baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.69563592854094	0.0784153008738714	0.0869363885367243	0.901984798238389	0.367064943154455	0.697986713199239
A1CF	0.479295674164182	-0.0828974957319686	0.277576331870026	-0.298647565422778	0.76520896875031	NA
A2M	0.175038371009864	-0.0387806063464102	0.468619548253891	-0.0827549906761453	0.934046358546825	NA
A2ML1	0.856216771521657	-0.201153724290132	0.160914821926916	-1.25006336819296	0.211276399965518	0.541390046158928
A4GALT	0.00603777663555048	-0.155378860243114	2.38072837349388	-0.0652652616623729	0.947962800529375	NA
AAAS	2.59496263479571	-0.140488157287309	0.0885033571122063	-1.58737659080203	0.112427377881147	0.394330348845007
AACS	6.96568767374398	0.0207138811568706	0.0912080385622524	0.227105872282657	0.820341417926893	0.943048000858044
AADACL2	0.0718971705570292	-0.097719282356652	0.568791226360096	-0.171801669624888	0.863593452871981	NA
AADACL3	0.0582488078884527	-0.287457900954379	0.722714686776024	-0.397747418468424	0.69081638009249	NA
AADAT	0.803051290648375	-0.0510507441016555	0.140488073340141	-0.363381338272427	0.716320040304556	0.900919676853719
AAED1	5.93955971380943	0.0806638890363614	0.0833866405216444	0.967347869295966	0.333370161078584	0.66963130638009
AAGAB	3.18437224108473	0.0697195078386705	0.0810857553470741	0.859824361754389	0.389885868026406	0.713954698340712
AAK1	6.39778481670358	0.143271651059258	0.0815186647367633	1.75753186735706	0.0788271949930412	0.325953795613961
AAMDC	6.40438438818265	0.0669089140755011	0.0668087439751951	1.00149935613732	0.316585451247833	0.654044060089306
AAMP	4.31674332248548	0.122987238824303	0.0696295609472814	1.76630783177594	0.0773442183832664	0.321713821042791
AANAT	0.092466602206246	-0.239829460053095	0.493732724072013	-0.48574754793469	0.627146167296452	NA
AAR2	3.24182050179472	0.037732307178078	0.0728792819778533	0.517737087332229	0.604641718320913	0.851969745682694
AARD	1.51100705561384	0.0632613447644845	0.175459805417337	0.360546078425286	0.718438804692794	0.901800641886045
AARS	6.31717631280913	0.0639302690468175	0.0834373158626265	0.766207162656983	0.443553047162219	0.756479054396321
AARS2	1.6152113206224	0.0468032566774385	0.153144716392698	0.305614570191402	0.759898125541951	0.919373194427116
