baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.16872291874802	0.995691399198246	1.24291763996781	0.801092017025387	0.423078377362561	NA
A1CF	0.578894688127737	-2.03088964627235	1.67920540759979	-1.20943491313266	0.226495802332022	NA
A2M	0.213559818174232	-0.989846046052767	2.93961397040689	-0.336726541653956	0.736323053291101	NA
A2ML1	0.853055913901197	-0.976852202455616	1.48123443834214	-0.659485208532521	0.509584241352493	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	3.11710203792955	2.76356604443806	1.23655833935668	2.23488529128017	0.0254248804416731	NA
AACS	4.1891264179292	2.09816876535117	1.19821319522044	1.75108133821307	0.0799319002750628	NA
AADACL2	0.0276113199888195	-2.01972660247565	3.75864799169072	-0.537354550609869	0.591022731179691	NA
AADACL3	0.0543357588777341	-1.75742211904961	3.75864799169072	-0.467567626160993	0.640093820646552	NA
AADAT	1.29438623494081	0.18672464209664	1.2793414833235	0.145953714884288	0.883957927218113	NA
AAED1	5.22038987340496	0.930088642436452	0.86856598391636	1.07083245217904	0.284244772317071	NA
AAGAB	2.53572501181064	1.40827182292955	1.23399532921244	1.14122945978113	0.253774447941123	NA
AAK1	5.00273612356915	0.794566808162526	0.865219099976087	0.918341733538344	0.358439984805641	NA
AAMDC	7.01050673629907	0.154585245653677	0.623363918408322	0.247985552401542	0.8041455852393	NA
AAMP	3.73152106178077	0.995756217898025	1.03924135454974	0.958156845412914	0.337983674430492	NA
AANAT	0.105654597973762	-1.75742211904961	3.75864799169072	-0.467567626160993	0.640093820646552	NA
AAR2	2.22726665281621	2.20450322829611	1.23462075145026	1.78557117698417	0.0741687172206311	NA
AARD	1.08012353464469	-0.000182976076359528	1.3671295010818	-0.000133839607889918	0.99989321144356	NA
AARS	5.74418057437053	1.11564552427303	0.864322490833464	1.29077460797904	0.196781845082253	NA
AARS2	1.1347700662401	1.08827234722947	1.32842488558589	0.819220084656498	0.41266085778608	NA
AARSD1	3.71107400120246	-0.136059733589599	0.788109332289413	-0.172640683234081	0.862933871414086	NA
AASDH	1.7462805371208	1.81880468593512	1.26885521915241	1.43342176355635	0.151737342498266	NA
AASDHPPT	5.7530449272345	0.60432073658694	0.756212475335256	0.799141453358096	0.424208395390248	NA
AASS	1.38548767569324	0.347956515740845	1.26570000580521	0.274912312668817	0.783383607351963	NA
AATF	0.912149992367215	0.828370504424586	1.40778237191231	0.588422273891197	0.556248890761661	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	15.9050512689613	1.13353783691463	0.534763093501727	2.11970094924093	0.0340312729036279	0.135898216461821
ABCA1	15.8730551409485	0.743461221634754	0.491647506049789	1.51218344949657	0.130487200203276	0.296629346951659
ABCA10	0.296278915424738	-2.4449290721721	2.37874334088295	-1.02782382199527	0.304032708377966	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.09907322357387	1.27201266051343	1.31737718828514	0.965564510927386	0.334262140841038	NA
ABCA2	1.44245224232892	-0.973630301674976	1.13305443776435	-0.859297019829044	0.390176667956887	NA
ABCA3	2.65623437197751	0.481733531298421	1.05621061936761	0.456096087716721	0.648320883363397	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	3.03624831567289	1.65133981758253	1.1984278186623	1.37792180043499	0.168227433318661	NA
ABCA6	0.557430445775984	-1.04130350529815	1.52753635350561	-0.681688198718425	0.495436131257884	NA
ABCA7	0.890406435202523	-0.503652731275915	1.37401082674402	-0.366556595823496	0.713949789303243	NA
ABCA8	1.22310949782194	0.204672797727935	1.29310556230669	0.158280038145403	0.874236137108302	NA
ABCA9	1.26469979458224	0.264660627421725	1.28317119704601	0.206255118592906	0.836591634893075	NA
ABCB10	0.0819470788665536	-1.52752397201228	3.75701644658252	-0.406578995256132	0.684317227025912	NA
ABCB11	0.266956165608254	-2.44894704484018	2.86577809982427	-0.854548733201066	0.392801019495702	NA
ABCB4	2.04272114276789	-0.105387809870191	1.07744731114241	-0.0978124951265126	0.922081185287661	NA
ABCB5	0.703455000266816	0.638512337588489	1.49150748876698	0.428098646770015	0.668579301966037	NA
ABCB6	5.44695652172807	1.6290651486817	1.01892844122259	1.59880231307218	0.109864534942964	NA
ABCB7	1.86892882375335	0.711561339488093	1.24403606663821	0.57197806283138	0.567336836618864	NA
ABCB8	0.469133580733187	0.079904210184572	1.72892814560313	0.0462160387566006	0.963138059054755	NA
ABCB9	2.56558484965843	-0.402319794546458	0.905735816837157	-0.444191106355233	0.656904421716558	NA
ABCC1	0.524164584454565	0.0769971512303228	1.60106410218936	0.0480912357756532	0.961643530963271	NA
ABCC10	2.19045070079247	0.931105391158524	1.23485674939714	0.754018951277622	0.450837842229062	NA
ABCC11	0.243238280491145	-0.988695912797277	2.44122666154713	-0.404999637424364	0.685477777460027	NA
ABCC2	0.292996780188661	-0.724779715708877	2.24462982577994	-0.322894985794389	0.746774773847736	NA
ABCC3	3.5581115481647	0.367254583154559	0.950504691952134	0.386378506349397	0.699216366012632	NA
ABCC4	0.491742786239268	0.0532545969774122	1.90287432585809	0.0279863973430812	0.977673000246229	NA
ABCC5	1.43778514692087	1.5160110712711	1.27714425767016	1.18703197557079	0.235215008146339	NA
ABCC6	0.839180429553768	0.74915127470551	1.37525590432516	0.544735908676663	0.585935164216217	NA
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	1.48551988151075	0.377861116267083	1.25701780544438	0.300601244175298	0.763718582602971	NA
ABCD1	0.367810567890244	-0.392399847144467	1.78186413764431	-0.2202187242307	0.82570081472812	NA
ABCD2	0.0276113199888195	-2.01972660247565	3.75864799169072	-0.537354550609869	0.591022731179691	NA
