baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.74867296169171	-0.348401312729161	0.583910107593908	-0.596669432842674	0.550728104517061	0.805267437675211
A1CF	0.383317064051576	-0.16586714247781	1.54716415195228	-0.10720720375308	0.91462460060103	NA
A2M	0.327471036434273	-2.02172845207859	1.81758136387549	-1.11231799151363	0.266001450915003	NA
A2ML1	0.983123133744865	0.201210834222667	1.04472956731237	0.192596094260349	0.847275303991093	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.91760509454093	-0.348089044334972	0.473244312720919	-0.735537723282153	0.462012074506262	0.750025491407683
AACS	8.23602666423228	0.255866645686146	0.366594075936661	0.697956302300843	0.485204522216349	0.765340648627161
AADACL2	0.0412792321194315	-0.943148191722765	3.75867833540884	-0.250925486982428	0.801871718910517	NA
AADACL3	0.110224220485254	-0.289201663710348	2.56533797115895	-0.112734332459007	0.910241181378355	NA
AADAT	2.15120548712865	-0.302751878885899	0.720717592492137	-0.420070055233461	0.67443427732582	0.871074310695207
AAED1	9.91298747792171	0.440211256960943	0.309271796423052	1.4233798944886	0.154626057633223	0.442137700341444
AAGAB	5.29986841876324	0.694869702186736	0.458715368050199	1.51481670461647	0.129818828923837	0.403847746236856
AAK1	8.92326001374951	0.412031754003748	0.316397117048358	1.30226140442605	0.19282704061121	0.498595633580414
AAMDC	9.91338302022926	-0.657480995264827	0.345344600083941	-1.90384038176655	0.0569309755429413	0.24554026783016
AAMP	7.31719633028737	0.585423153714953	0.369097499820516	1.58609352271319	0.112718095994343	0.374124075483504
AANAT	0.163020042467773	-1.20594411810749	2.5361938734278	-0.475493664243258	0.634435148075828	NA
AAR2	5.11967448764685	0.838467621322138	0.418567152776286	2.00318542857633	0.0451573891048175	0.211839846945278
AARD	1.5581091785248	-1.2694265194639	1.02001883280984	-1.24451282528482	0.213310882099435	0.524988829252652
AARS	9.61836250791761	-0.554042637886797	0.339126725304089	-1.63373334080349	0.102314854417919	0.355906252075143
AARS2	2.33375041745368	0.344137566626892	0.681056376462693	0.505299676385517	0.613348370078181	0.842413468957765
AARSD1	6.82110687410044	0.817352935211257	0.366599285083647	2.22955408935061	0.0257770606448642	0.145046051089754
AASDH	2.98239318752955	-1.13002107648191	0.717730367429133	-1.57443676311144	0.115386510287393	0.377780374350645
AASDHPPT	9.38339100419269	-0.303739321872431	0.335184351184889	-0.906185866967541	0.364837482267632	0.680612565880803
AASS	1.97448005921782	-1.2643955535782	0.845863762353037	-1.49479811034922	0.134967139658402	0.412921018553841
AATF	2.3585364680805	1.34139459995971	0.665524766545141	2.01554422523317	0.0438476570680895	0.208032134451486
AATK	0	NA	NA	NA	NA	NA
ABAT	23.8748013296012	-1.61233006788835	0.275944825576081	-5.84294365557443	5.12863682270091e-09	2.04768367259308e-07
ABCA1	25.1965757226638	-0.58823835597564	0.259577599450032	-2.26613682082715	0.0234430074362146	0.135926887750822
ABCA10	0.208348456498557	-1.45913505338996	2.14900419862938	-0.678981946298936	0.497149301136744	NA
ABCA12	0.0287115335188485	0.229336518442567	3.75068048167014	0.0611453093814179	0.951243484964501	NA
ABCA13	2.33482230507244	0.384237393083195	0.621602206307575	0.618140330237294	0.536482839252518	0.79784572911531
ABCA2	1.78531395124094	0.666797581956282	0.786916412606672	0.847355031962678	0.396797261075619	0.70475336614924
ABCA3	6.73569886916954	1.67515226745841	0.363516811970029	4.6081837546389	4.06201606874616e-06	9.91314483294006e-05
ABCA4	0.101696201314966	1.17127652619088	2.90444653633954	0.403270127900867	0.686749514733113	NA
ABCA5	4.84670342388406	-1.8054282156108	0.602812689284459	-2.99500698592435	0.002744385561965	0.0276475205964192
ABCA6	1.04247562499033	1.19523284589884	0.872637029960004	1.36967926510479	0.170787044051834	0.467997887675707
ABCA7	1.46655933983448	0.569775184755997	0.798173901436101	0.713848427931354	0.475320910172485	0.757499022703878
ABCA8	1.89359109045786	-0.661710871609291	0.798062341979093	-0.829146843300903	0.407021319806535	0.71205459888228
ABCA9	1.99768488965248	-0.648895866966943	0.760568728493103	-0.853171899734276	0.393563983961267	0.702336577579139
ABCB10	0.122791919085837	-1.42783402868479	2.81604685592675	-0.507034897405816	0.612130332906571	NA
ABCB11	0.16597612992314	-1.45937211476349	2.56108507860933	-0.569825706671148	0.568795918175255	NA
ABCB4	3.21134760309642	0.44568802331342	0.545487307684757	0.81704563430647	0.413902349701877	0.717933160479537
ABCB5	1.35087599877246	-0.303952923187433	0.912481108159242	-0.33310599032631	0.739054277739445	0.899588596306924
ABCB6	10.8432800868808	0.515698299336343	0.316555558649346	1.62909254077446	0.103293430068907	0.358163042959238
ABCB7	2.70009499454209	-0.502127543491086	0.658329691068773	-0.762729602360637	0.445624672460971	0.738771698793923
ABCB8	1.06634038309043	0.69107551921868	0.91952564223841	0.751556549892821	0.452317781251168	0.744521339532875
ABCB9	3.90049128729258	0.385982140547963	0.500028431956218	0.771920386682649	0.440161581966112	0.7342787680725
ABCC1	1.01481863951377	0.053645736126315	1.01698004728127	0.0527500379872033	0.957931069945012	NA
ABCC10	3.84476072781927	0.404176227631735	0.532784779547162	0.758610686993091	0.448085477833028	0.741147814972368
ABCC11	0.376427103808459	-1.95753986513897	1.69799494409857	-1.15285376552059	0.248970411822794	NA
ABCC2	0.477964793135933	-1.26822459391456	1.59209384798392	-0.79657653066151	0.425697012243694	NA
ABCC3	6.34669430274218	0.377743988392238	0.50785843636528	0.743797801402562	0.456998810477626	0.747263258600916
ABCC4	0.893716871030737	-0.662154208910071	1.3048534764631	-0.507454837538455	0.611835717109736	NA
ABCC5	3.01097184494097	0.423719173824642	0.5754887667033	0.736277054115109	0.461562107485968	0.74993484250413
ABCC6	1.62558420564777	-0.104982764831977	0.797808951591098	-0.131588852973643	0.895309502889122	0.961308126352942
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.15689613740558	-1.02402903735938	0.782430005431153	-1.30878037684035	0.190608755876945	0.495135580273047
ABCD1	1.15907463110545	1.99784036866086	0.848228053143699	2.35531041593881	0.0185072381544982	0.115910384289418
ABCD2	0.0412792321194315	-0.943148191722765	3.75867833540884	-0.250925486982428	0.801871718910517	NA
ABCD3	3.79779616382885	0.270545424368767	0.515453918355797	0.524868304875355	0.599674744144714	0.834931759155332
ABCD4	12.0923011292308	0.11008948762231	0.290899682934325	0.378444852575396	0.705100153851814	0.882891035280483
ABCE1	5.08164771436488	1.19525824496966	0.448375905638308	2.66575038921436	0.00768167043689574	0.0601897120813043
ABCF1	3.30633949155964	0.207321001691301	0.565627276881532	0.366532892180027	0.71396747329645	0.887979496824981
ABCF2	9.72168442770253	0.77380524067339	0.311112966494499	2.48721629764368	0.0128747095259855	0.0887741875886997
ABCF3	1.47178880198172	0.621113944364201	0.801429519544721	0.775007569869707	0.438335186543165	0.733824591623057
ABCG1	0.466755390845536	0.221337297684226	1.50710446490407	0.146862611609551	0.883240463476018	NA
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.268153798830832	-0.463516424147364	1.8762680298479	-0.247041689552712	0.804875960154346	NA
ABHD1	3.08853537009672	-1.59032884549899	0.740360541285329	-2.14804646765486	0.0317100642182825	0.166362945608961
ABHD10	1.56736842777737	-0.546568200851285	0.853428959906294	-0.640437841377327	0.521887987854538	0.78923284396012
ABHD11	3.3973662453829	0.81094912622531	0.543736912937331	1.49143658804488	0.135846908096282	0.414409388181355
ABHD12	3.27575563229557	0.331232834250667	0.567386704539466	0.583786739450514	0.559363800922541	0.811557813254315
ABHD12B	1.44300518784957	0.38410665398041	0.871637547060944	0.44067245069418	0.659450143696297	0.863575130898564
ABHD13	0.60206665358049	0.203522599376133	1.33594626047109	0.15234340287338	0.878916093862767	NA
ABHD14A	3.86127285192405	-1.68535530322484	0.66631616747855	-2.52936276423022	0.01142698520708	0.0813217951172273
ABHD14A-ACY1	1.97946495339598	-0.334957310519197	0.729303140894686	-0.459284064111231	0.646030189964022	0.85685000769532
ABHD14B	0.639329106310963	-0.51728059105082	1.45359106751	-0.355863903275714	0.721942489514487	NA
ABHD15	1.30781268174842	0.714556019381275	0.808400230452683	0.883913676003213	0.376742814042193	0.689372697640811
ABHD16A	0.237835821462554	1.87125194099016	1.95993695560898	0.954751088107697	0.339703587649593	NA
ABHD17A	4.34857707952286	0.269765288198899	0.488405568921816	0.552338681957336	0.580716333022799	0.824066297743055
ABHD17B	3.16484171493901	-0.00307276676378673	0.633733703544935	-0.00484867184212944	0.996131334755245	0.999779228277927
ABHD17C	0.913386112241418	-2.23178749956949	1.46344489303585	-1.52502325860713	0.12725329652256	NA
ABHD18	3.92049857144045	-0.236959860269177	0.531277461558963	-0.446019034148089	0.655583496720782	0.861860102295386
ABHD2	3.60393905725764	-0.234758885934287	0.550058273099397	-0.426789119290031	0.669532932295673	0.869544085712869
ABHD3	1.39523286562588	2.12459339815482	0.840162809898571	2.52878772200274	0.011445722979578	0.0813485285066863
ABHD4	38.6512300947109	1.90131174379627	0.178849127420168	10.6308136428843	2.14235186268517e-26	3.47252854160611e-24
ABHD5	0.379038653877494	1.09007421018633	1.39053495436089	0.783924349954468	0.433084500933881	NA
ABHD6	0.994769098472753	0.447950671738077	1.05265792571926	0.425542487063877	0.670441256096383	NA
ABHD8	0.450010934597722	-1.08088935208266	1.67205805280878	-0.646442478636997	0.517992837834689	NA
ABI1	2.9485707070489	0.238243263893775	0.600998051046329	0.396412706295797	0.69180059398456	0.878823216661088
ABI2	18.2229469952513	-0.329333240897662	0.262837289513286	-1.25299283639514	0.210208313753617	0.521200691594119
ABI3	0	NA	NA	NA	NA	NA
ABI3BP	0.534323799189504	-0.815523145555118	1.53387339800866	-0.531675656292016	0.594950655175832	NA
ABL1	2.18269236882695	-0.407874533913954	0.712078830130278	-0.572794073711378	0.566784132168234	0.816702688823801
ABL2	5.60399380280336	0.561855444590457	0.413423235824201	1.35903209085561	0.174136419974051	0.471605232579431
ABLIM1	6.08199031223885	-2.89300310994306	0.722791453872241	-4.00254194269212	6.26655541324494e-05	0.00113994626110285
ABLIM2	0.776157718924159	-0.714737505005162	1.31422928627433	-0.543845364328587	0.586547888699393	NA
ABLIM3	0	NA	NA	NA	NA	NA
ABO	1.36788814148511	-0.56976203914782	0.881386999993885	-0.646437988252349	0.517995745075701	0.787104210371081
ABR	3.22987017317271	0.144691772725864	0.579653011430806	0.249617909115505	0.802882847465675	0.926994229585076
ABRA	0.103735881736805	-0.943149660253635	3.34231633612161	-0.282184438995399	0.77780208956433	NA
ABRACL	1.47517912219931	-1.46576917362565	1.10785885361264	-1.32306490925798	0.18581379298574	0.488568014097569
ABRAXAS1	11.785121811298	0.0347446969149739	0.294351696007081	0.118038038802868	0.906037517944305	0.966748619068103
ABRAXAS2	3.66769883033921	0.799338898547621	0.491778099253789	1.62540564486405	0.104076153911245	0.359614508133406
ABT1	1.91513278850165	0.251925351705182	0.724116802440452	0.347907065346546	0.727909978985553	0.895040311380801
ABTB1	0.522079226875532	-0.35927317971707	1.43224695562366	-0.250845832352025	0.801933305060606	NA
ABTB2	0.359845998553017	-1.95780517622365	1.80178851919132	-1.08658988298047	0.277218098171218	NA
AC001226.2	0.51421878272418	0.442203645682281	1.25903339489884	0.351224715304563	0.725419769650467	NA
AC002094.3	0	NA	NA	NA	NA	NA
AC002310.4	0	NA	NA	NA	NA	NA
AC002310.5	0	NA	NA	NA	NA	NA
AC002985.1	0	NA	NA	NA	NA	NA
AC002996.1	0	NA	NA	NA	NA	NA
AC003002.1	0.0287115335188485	0.229336518442567	3.75068048167014	0.0611453093814179	0.951243484964501	NA
AC003002.2	0.852881128117533	-0.34403082648491	1.18936277582513	-0.289256426615702	0.772385154194849	NA
AC003002.3	0	NA	NA	NA	NA	NA
AC003006.1	0	NA	NA	NA	NA	NA
AC004076.1	0	NA	NA	NA	NA	NA
AC004080.3	0.0414691535000471	-0.943148191722765	3.75867833540884	-0.250925486982428	0.801871718910517	NA
AC004223.3	0	NA	NA	NA	NA	NA
AC004233.2	0.0287115335188485	0.229336518442567	3.75068048167014	0.0611453093814179	0.951243484964501	NA
AC004556.1	5.46614106707617	0.528565679437456	0.421456442490904	1.25414070387324	0.209790867839798	0.520979922521573
AC004691.2	0	NA	NA	NA	NA	NA
AC004754.1	0.2559934081982	0.302275765296394	2.00075646597591	0.151080738928889	0.879912026195215	NA
AC004805.1	0	NA	NA	NA	NA	NA
AC004832.3	0.280469262719747	-1.76372480787285	2.03040078721562	-0.868658453531986	0.385033972196688	NA
AC004922.1	0.523476344633665	-0.614741740346352	1.51783445872991	-0.40501237589556	0.685468413948744	NA
AC004997.1	0.729493197790156	1.176697395977	1.18553386910921	0.99254641865369	0.320931047590813	NA
AC005041.1	3.34094171293569	0.0738963401103664	0.584076170787771	0.126518327242659	0.899321642573263	0.963273798041783
AC005154.6	0.556494448501304	-1.14405358140784	1.65937953228867	-0.689446602869643	0.490542264935682	NA
AC005258.1	0.379141270049518	-1.0308688622633	1.6983377287782	-0.60698696425058	0.543859563215889	NA
AC005324.3	0.0931021845233929	0.11331370920917	3.03402942265561	0.0373475973446523	0.970207854750915	NA
AC005324.4	0.630856641671283	0.359940766574628	1.2608739077786	0.28546927996057	0.775284636682358	NA
AC005520.1	1.96177105682803	0.582359489714861	0.733819861265781	0.79360006515814	0.427428294521012	0.72550007349972
AC005670.2	0.0414691535000471	-0.943148191722765	3.75867833540884	-0.250925486982428	0.801871718910517	NA
AC005702.1	0.572525957455759	-0.45441713632611	1.45889411509021	-0.311480546549473	0.755435329466075	NA
AC005726.1	1.63112391634354	-2.24528673397251	1.16811293220318	-1.9221486827799	0.0545870518553048	0.23903846094702
AC005779.2	0	NA	NA	NA	NA	NA
AC005832.4	0.0287115335188485	0.229336518442567	3.75068048167014	0.0611453093814179	0.951243484964501	NA
AC005833.2	0.694426245393261	-0.294957104839447	1.23545509696437	-0.238743686892534	0.811304338859595	NA
AC005837.2	0.0287115335188485	0.229336518442567	3.75068048167014	0.0611453093814179	0.951243484964501	NA
