baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.74271806648534	-0.0588421514577846	0.925553833773737	-0.0635750718225314	0.949308581381466	0.977780586574309
A1CF	0.394208507558273	-1.64199117915429	1.88569331538124	-0.870762581465863	0.383883800182902	NA
A2M	0.223052224552331	-0.605084374909783	2.74696737582517	-0.220273593430654	0.825658084498123	NA
A2ML1	0.63107426630744	-0.581929714124135	1.58128543428008	-0.368010544781293	0.712865371523468	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	3.28420765399866	3.14800656095412	1.23541066874259	2.54814584380931	0.010829718532913	0.0799946664807873
AACS	6.21046513500155	-1.00415382486643	0.491102068885096	-2.04469475591107	0.0408849609598049	0.177149792614442
AADACL2	0.0280154992197967	-1.63072752579428	3.75864799169072	-0.433860135186734	0.664390009947105	NA
AADACL3	0.0556398305890056	-1.36842304236824	3.75864799169072	-0.364073210737858	0.715803340785207	NA
AADAT	1.33834410890754	0.567589121361207	1.28418660224221	0.441983369371857	0.65850124041337	NA
AAED1	6.29509267755747	-0.128724359560279	0.560930153199314	-0.229483758050959	0.818492943022768	0.910652427694672
AAGAB	2.90999302697412	0.951473744606252	1.07656270655586	0.883807082311266	0.376800362560999	0.608371354943281
AAK1	6.53902532046766	-0.836666144889613	0.473915311453753	-1.76543387535445	0.0774908743222745	0.250283160273323
AAMDC	5.91868023805162	2.93574209113853	1.19169181802562	2.46350780187653	0.0137584901093701	0.0933433794557811
AAMP	3.87578663232074	1.36308068996272	1.05064641958878	1.29737337371428	0.194502749371551	0.428478115527328
AANAT	0.111821659198794	-1.36842304236824	3.75864799169072	-0.364073210737858	0.715803340785207	NA
AAR2	4.4890207584196	-1.78396176278331	0.517973328869956	-3.44411896009264	0.00057292356354414	0.00997952904871072
AARD	1.53865400360985	-0.566436889571995	1.16917676154144	-0.484474981204046	0.628048815881553	NA
AARS	5.8679827255441	2.04350437297613	1.02468170273746	1.99428209512951	0.0461212348284056	0.189079391825265
AARS2	1.4744596191286	-0.291391286993441	1.1576750487425	-0.251703867428048	0.80126996745256	NA
AARSD1	3.72110490093655	0.618536990293409	0.887814571510798	0.696696145954038	0.485992971243479	0.702263677979963
AASDH	2.03424661086497	1.23735327526387	1.25262885889761	0.987805179862152	0.32324807024391	0.563446135938302
AASDHPPT	5.38824645974474	2.78568417085156	1.1929659715985	2.33509105638522	0.0195386644433509	0.116982091671221
AASS	1.21406115400778	1.68983063280991	1.29102860408725	1.30890255061747	0.190567362533023	NA
AATF	0.963589619594407	1.21056772836726	1.39224738099917	0.869506199033735	0.384570318898854	NA
AATK	0.134447921401171	-2.84514348115239	3.75722219418211	-0.757246533238829	0.448902176567222	NA
ABAT	15.6621734843237	2.48588084419323	0.73734414331783	3.37139837173929	0.000747876262982545	0.0123924481383944
ABCA1	18.0685101990979	0.0321375883462137	0.361440116049177	0.0889153885227314	0.92914915372026	0.967046603044718
ABCA10	0.4281749333118	-2.08729651244025	1.93114971657346	-1.08085690846583	0.279760769405819	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.99099013938918	-1.42013803377921	0.794367610443148	-1.78775923780045	0.0738148599075328	0.243878826955192
ABCA2	1.19519160454194	-0.548048497612292	1.17170911547927	-0.46773426132144	0.639974636863349	NA
ABCA3	3.16726881861619	-0.156695125414667	0.799686466771421	-0.19594570112871	0.844652666223372	0.923164813952
ABCA4	0.134447921401171	-2.84514348115239	3.75722219418211	-0.757246533238829	0.448902176567222	NA
ABCA5	3.03938588989942	2.99324734608652	1.21395392982395	2.46570094016715	0.0136745451685157	0.0931112211928936
ABCA6	0.738659366088137	-1.4488240418761	1.30345530471296	-1.11152567843142	0.266342143373641	NA
ABCA7	0.700813927614879	0.84476095182335	1.4439400025759	0.585038817621474	0.5585216161432	NA
ABCA8	1.53959453687292	-0.25895918686775	1.12409912541974	-0.230370419308934	0.817803945003418	NA
ABCA9	1.76867728583808	-0.788547071569681	0.954630546369695	-0.826023297251902	0.408790876227558	0.636425621065144
ABCB10	0.0836553298088024	-1.1482565943343	3.75679264202788	-0.30564811629169	0.759872580991377	NA
ABCB11	0.112069279178597	-1.12010902652398	3.75655661966632	-0.29817440276555	0.765570057327612	NA
ABCB4	2.81372492123834	-1.51645531957226	0.675057036994481	-2.24641065342254	0.02467771657961	0.133263227960547
ABCB5	1.05882619331428	-0.722984562438141	1.2320160228133	-0.586830486820463	0.557317559309407	NA
ABCB6	5.74298230228909	1.98774234761306	1.02807494656334	1.933460546099	0.0531794888547486	0.203429198938747
ABCB7	1.55948158356442	2.05284691517624	1.27035442955254	1.61596391323587	0.106102115631246	NA
ABCB8	1.09621851674338	-1.84918677896055	1.09439971891846	-1.68968133579933	0.0910889358540578	NA
ABCB9	2.49880109479213	-0.029892607292845	0.907202239958548	-0.0329503235069292	0.97371420220587	0.988936415984695
ABCC1	0.680374378232726	-0.510589792682855	1.46402851135091	-0.348756727566539	0.727271952402858	NA
ABCC10	2.09135305165412	1.31490759568862	1.24641819747929	1.05494897165963	0.291448663242704	0.531390089505319
ABCC11	0.257565633122879	-0.6023041859688	2.28913910772826	-0.263113842201808	0.792462835203906	NA
ABCC2	0.306586047272261	-0.334099004670598	2.13711577438687	-0.156331729274915	0.875771547456267	NA
ABCC3	4.36466289610332	-0.338119968702808	0.704480939465108	-0.479956163128463	0.63125856422794	0.802601705324609
ABCC4	0.649510574552796	-0.516310222147366	1.6566108175273	-0.311666576533663	0.755293931627145	NA
ABCC5	1.80397752949579	0.932743528190888	1.25501434329988	0.743213440683373	0.45735246722365	0.678708561057566
ABCC6	0.88237517844476	1.13043970303159	1.36056804189401	0.830858632735435	0.406053495187573	NA
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.43310330400815	-1.64782772700899	0.723842372260245	-2.27650078270984	0.0228160538113178	0.126378394517663
ABCD1	0.576566907474895	-0.980536178846578	1.52116639993464	-0.644594949565482	0.519189708615945	NA
ABCD2	0.0280154992197967	-1.63072752579428	3.75864799169072	-0.433860135186734	0.664390009947105	NA
ABCD3	2.75361831569908	-0.750250415153881	0.740808731500921	-1.01274510309001	0.311181928300546	0.552441963254585
ABCD4	8.18943992938384	-0.113581699527809	0.500029361596335	-0.227150060078874	0.820307058935655	0.911452287706284
ABCE1	3.04832689906882	-0.677769818673844	0.753656747233244	-0.89930836705438	0.36848843189344	0.601262222439803
ABCF1	2.08621456205328	0.391141972484733	1.09715916402524	0.356504311598435	0.721462923743635	0.856108570792114
ABCF2	5.50036053677434	0.0988211071845349	0.638069185168938	0.154875222752483	0.876919687311727	0.938572228917524
ABCF3	0.701072677870322	0.857561170997643	1.44838873220692	0.592079427248077	0.553797402425213	NA
ABCG1	0.232375119330831	-0.703184693460817	2.72121945117254	-0.258407932942646	0.79609209485749	NA
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.703012945397002	-3.46247445476007	1.34990292287491	-2.56498033753863	0.0103181651952166	NA
ABHD1	2.37398257787282	0.495434687628139	1.07158819504047	0.46233682857007	0.643839793047499	0.809369178665791
ABHD10	0.903049330984808	1.24144327286514	1.36402668265012	0.910131222985455	0.362753310051317	NA
ABHD11	2.42777320449644	-1.0825821511617	0.786125425640768	-1.37711122913915	0.168477861480478	0.392015900120778
ABHD12	1.97840525659101	0.236459445423737	1.09397200287209	0.216147620599926	0.828872681070991	0.916373767309732
ABHD12B	0.840860817371692	-0.0849548051907146	1.3952650047214	-0.0608879351974272	0.951448457936255	NA
ABHD13	0.316416338041629	-0.189771791644593	2.33767097885727	-0.0811798552323905	0.935298919828261	NA
ABHD14A	3.51619699878564	-0.499359344399509	0.712287227770924	-0.70106457750511	0.483262715203134	0.700470189332022
ABHD14A-ACY1	1.52204314736219	-0.282481211633975	1.11919423977443	-0.252396949157733	0.80073425805102	NA
ABHD14B	0.561901664474975	-0.966148119154069	1.68199546236643	-0.57440590106871	0.565693160604752	NA
ABHD15	0.634227989063725	0.686303125518657	1.43539025139651	0.478129989284058	0.632557688484338	NA
ABHD16A	0.0276243313692089	-1.63072752579428	3.75864799169072	-0.433860135186734	0.664390009947105	NA
ABHD17A	2.23013436556306	2.50958304047257	1.23995465971187	2.02393129524246	0.0429772213802136	0.181606268318929
ABHD17B	2.05234441921382	0.3977902690727	1.12407634950287	0.353881895343343	0.72342739563992	0.857488715515588
ABHD17C	0.603040851829437	0.606427491216431	1.64733671627711	0.368126009227138	0.712779278001254	NA
ABHD18	3.39968373562617	-0.93089811806771	0.679000950267278	-1.37098205488708	0.170380550168773	0.395092978564739
ABHD2	2.26519458069609	1.37847341988533	1.23619560941235	1.11509328247866	0.264810449836979	0.50379229598145
ABHD3	0.434053028946666	0.155153024755411	1.90689649456249	0.0813641564698602	0.935152353562007	NA
ABHD4	15.2189430254115	0.928577633386996	0.488006346600428	1.90279827271857	0.0570668727004261	0.211863659808629
ABHD5	0.132643463937218	-0.920979576718276	3.75499362264723	-0.245267946971637	0.806248968484372	NA
ABHD6	0.491769982870244	0.228350109988045	1.6348948220649	0.139672660837983	0.888918628121477	NA
ABHD8	0.288324254855086	-0.502182813960189	2.42841364939429	-0.206794593699244	0.836170278498215	NA
ABI1	1.50657521883413	2.03551897810145	1.30116065859976	1.56438712210371	0.117726683138136	NA
ABI2	12.9044815265468	0.0274240494065525	0.409983643552638	0.0668905939000747	0.946668801248489	0.976928812531163
ABI3	0	NA	NA	NA	NA	NA
ABI3BP	0.510285663378208	-1.14336983741613	1.69778950028121	-0.673446170580486	0.50066348366702	NA
ABL1	1.70808606689474	-0.683174269251196	0.956082645151871	-0.714555663901498	0.474883648972253	NA
ABL2	4.6212118886982	-1.23055474103327	0.55489356810809	-2.21764102479841	0.0265793183322431	0.139134600961224
ABLIM1	4.79955979717773	0.259913315885692	0.697966274462367	0.372386640150915	0.709604999460787	0.851071488544643
ABLIM2	0.430126323812973	0.1349450072095	1.66119789084308	0.0812335531807194	0.935256216102216	NA
ABLIM3	0	NA	NA	NA	NA	NA
ABO	1.43259871191238	-1.32667768446936	0.988000236199028	-1.3427908575946	0.179339704574214	NA
ABR	1.66736792757918	2.1349693878854	1.28438741718262	1.66224719996758	0.0964632196977471	NA
ABRA	0.0712913769586669	-1.63072752579428	3.75864799169072	-0.433860135186734	0.664390009947105	NA
ABRACL	0.948575218015237	1.10156439153873	1.37019286982042	0.803948419088694	0.4214267650182	NA
ABRAXAS1	7.92546341112307	0.0465243884808322	0.521298909978064	0.0892470473087887	0.928885576179061	0.967046603044718
ABRAXAS2	1.99662294651897	0.300793223925546	1.08051123465513	0.278380468687631	0.780720310914268	0.892217749274927
ABT1	1.29391880854213	0.411234500060535	1.30298029093836	0.315610683385225	0.752298027705086	NA
ABTB1	0.286958665173707	-0.440547741118814	2.16817724829619	-0.203188065673601	0.838988040488351	NA
ABTB2	0.246264814218573	-0.600967611160289	2.61393726106015	-0.229908965342401	0.818162509589926	NA
AC001226.2	0.23959473995366	-0.39523446684196	2.37277743334088	-0.16657039184896	0.86770809205976	NA
AC002094.3	0	NA	NA	NA	NA	NA
AC002310.4	0	NA	NA	NA	NA	NA
AC002310.5	0	NA	NA	NA	NA	NA
AC002985.1	0	NA	NA	NA	NA	NA
AC002996.1	0	NA	NA	NA	NA	NA
AC003002.1	0	NA	NA	NA	NA	NA
AC003002.2	0.462608451346492	0.22920854966108	1.69766072378254	0.135014344415286	0.892600532975248	NA
AC003002.3	0	NA	NA	NA	NA	NA
AC003006.1	0	NA	NA	NA	NA	NA
AC004076.1	0	NA	NA	NA	NA	NA
AC004080.3	0.0277953673822657	-1.63072752579428	3.75864799169072	-0.433860135186734	0.664390009947105	NA
AC004223.3	0	NA	NA	NA	NA	NA
AC004233.2	0	NA	NA	NA	NA	NA
AC004556.1	2.83484478801592	1.81456646305304	1.22200994194409	1.48490319167637	0.137569470450154	0.350117340697131
AC004691.2	0.134447921401171	-2.84514348115239	3.75722219418211	-0.757246533238829	0.448902176567222	NA
AC004754.1	0.13510361269246	-1.36842304236824	3.75864799169072	-0.364073210737858	0.715803340785207	NA
AC004805.1	0	NA	NA	NA	NA	NA
AC004832.3	0.189586370129264	-0.782887535382824	3.54254164838242	-0.220996000354803	0.82509554724658	NA
AC004922.1	0.505897714391195	-1.33135400789038	1.67853821840982	-0.793162761078893	0.427683000637887	NA
