baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	1.26215711250068	-1.02526016731569	1.30408206566361	-0.786192981493053	0.431754437262865	0.81083850389657
A1CF	0.123187267341342	-4.06847379386832	2.20181777851713	-1.84777951816173	0.0646342450573483	NA
A2M	0.137876987634482	-3.95354430134618	2.14743642560519	-1.84105301288814	0.0656137903795974	NA
A2ML1	0.294373971626828	-3.0229283860522	1.80422180522343	-1.67547492071123	0.0938410877012	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	1.97185720142734	-0.256613133480954	1.2856175616641	-0.199603008805197	0.841791074452388	0.949585018336098
AACS	3.6314027106119	-0.904929726858437	1.22900626230598	-0.736310102407879	0.461541999552449	0.813892892846456
AADACL2	0.0184122087738314	-5.02455343260241	3.75864799169072	-1.33679808370197	0.181288554890768	NA
AADACL3	0.0358106923284088	-4.76224894917637	3.75864799169072	-1.26701115925309	0.20515129975212	NA
AADAT	0.715295694389905	-1.84622588267539	1.3180696118928	-1.40070438315024	0.161302491446321	NA
AAED1	4.19946788988196	-0.684994802508591	1.20823729050803	-0.566937312637131	0.570756772565942	0.849811883538554
AAGAB	1.50611858907579	-0.652947637935306	1.30329475389803	-0.500997672232164	0.616372761152587	0.861953276069237
AAK1	5.08241340386241	-1.6977333553881	1.05137158452734	-1.61477957020434	0.106358438871569	0.500178885570237
AAMDC	3.46079849832504	0.516097045341808	1.206301993713	0.427834031636855	0.66877195821239	0.882415820120338
AAMP	2.14139634069693	-0.232187527316529	1.23332501718675	-0.188261426696878	0.850671721686279	0.954217984077829
AANAT	0.0672521117633977	-4.76224975508215	3.74090209502873	-1.27302175627924	0.203010321715852	NA
AAR2	1.40564180622589	-0.794088044652287	1.25248629170628	-0.634009369931299	0.526074707182388	0.834067185093349
AARD	1.89821314678957	-3.00169331004997	1.36020767500719	-2.20679045207865	0.0273287024218249	0.226130703839863
AARS	4.63275839381333	-0.50406401567315	1.20055981477157	-0.419857477712646	0.674589572955546	0.884883006471296
AARS2	0.710015647718671	-1.90664361364278	1.34611394955195	-1.41640580597014	0.156656725006411	NA
AARSD1	1.88973413065502	-0.385475129731982	1.23737502997816	-0.311526514106872	0.755400389641069	0.919215991949633
AASDH	1.10214433775471	-1.17252908742785	1.3006806613896	-0.901473453272661	0.367336642302109	0.799348546121645
AASDHPPT	3.14477423586138	0.367582781682185	1.20724538827295	0.304480584687126	0.760761782186685	0.920450874423376
AASS	0.730706020826832	-1.69000764737669	1.30827727349829	-1.29178094094508	0.196433017486154	NA
AATF	0.572248919482133	-2.16814375754268	1.44376461109724	-1.50172939610628	0.133167008851156	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	8.94371996525568	1.89046883427483	1.19405722100266	1.58323135694233	0.11336874186638	0.516134613967166
ABCA1	9.914662759611	0.859674453111182	1.20112722656484	0.715723059221469	0.474162369420311	0.817535565574076
ABCA10	0.0863090728025498	-4.5053103075203	2.77956669503088	-1.62086785525765	0.105045982066938	NA
