baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	4.0458351515124	-0.176985102143324	0.529743300434731	-0.334095970629704	0.738307140528185	0.999666703510696
A1CF	0.401749576199241	0.0640519917508287	1.5217761390546	0.042090285231191	0.966426724571786	0.999666703510696
A2M	0.330419175850125	2.04897194857257	1.79448937585073	1.14181336270169	0.253531606719069	0.999666703510696
A2ML1	0.731680849132886	2.97594396605294	1.53946100208397	1.93310773187785	0.0532229278051459	0.999666703510696
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	6.17769355109291	0.0966240290750246	0.469225260207124	0.205922479604728	0.836851465557639	0.999666703510696
AACS	8.3104529724812	-0.241124788592858	0.359789314959444	-0.670183294965383	0.502740951540234	0.999666703510696
AADACL2	0.090116691614106	0.00539877218036201	3.03428458629991	0.00177925702972555	0.998580359035321	0.999666703510696
AADACL3	0.0822340193207254	1.2292891903951	3.1274218849714	0.393067912040382	0.694269323079082	0.999666703510696
AADAT	2.01553330452442	0.943276757830105	0.823870965355525	1.14493263811409	0.252237062604431	0.999666703510696
AAED1	10.0144718820105	-0.436692193340898	0.31440360068712	-1.38895417350985	0.16484668558641	0.999666703510696
AAGAB	4.96036085026937	-0.261467066505724	0.473787581728437	-0.551865596712895	0.581040440716264	0.999666703510696
AAK1	8.52024043748391	-0.0814363007411982	0.331454466252892	-0.245693780089432	0.805919287411823	0.999666703510696
AAMDC	11.5276233454412	-0.350587490866153	0.299794573188843	-1.16942574088996	0.242232143901907	0.999666703510696
AAMP	6.30110357853189	0.507518988699037	0.458449282380462	1.10703409996365	0.268279185430656	0.999666703510696
AANAT	0.164379251354898	1.22969181179128	2.50069107405741	0.491740792994508	0.622902596483001	0.999666703510696
AAR2	4.46071055506241	-0.0610376511384287	0.466492043308409	-0.130843927595299	0.895898772489283	0.999666703510696
AARD	1.86063623385545	-0.0919071732725732	0.772018591976613	-0.119047875566392	0.905237426228692	0.999666703510696
AARS	10.3628530097838	0.0588657501984564	0.307672701454314	0.191325879482348	0.848270286695057	0.999666703510696
AARS2	2.15544820832711	0.191258572505413	0.73406135905304	0.260548481603965	0.794440723317082	0.999666703510696
AARSD1	5.92044261493586	0.028192797583973	0.427339844823445	0.065972780037913	0.94739949661194	0.999666703510696
AASDH	3.4446537078844	0.0258245304978396	0.589959232984207	0.0437734152700869	0.96508501830685	0.999666703510696
AASDHPPT	9.68917894162219	0.134461469988746	0.32306772083681	0.41620211898751	0.677262109308836	0.999666703510696
AASS	2.8418432967271	-1.01895326760982	0.535886715379835	-1.90143408740332	0.0572451782340645	0.999666703510696
AATF	1.65738254404276	0.612310948977483	0.894054970321044	0.684869464746233	0.493426296153451	0.999666703510696
AATK	0	NA	NA	NA	NA	NA
ABAT	27.4302130970275	0.195411816099803	0.216384898643493	0.903075109792002	0.366486033028524	0.999666703510696
ABCA1	26.0337376916334	0.341757173038023	0.262718059190423	1.30085146826664	0.193309300825321	0.999666703510696
ABCA10	0.210118189364402	1.48322581901528	2.11737853141653	0.7005010190705	0.48361446896932	0.999666703510696
ABCA12	0.0447705011818596	-0.256913773188615	3.75864799169072	-0.0683527092072939	0.945504866322156	0.999666703510696
ABCA13	2.42984442120989	-0.500505912100328	0.614370899542672	-0.814664093746785	0.41526461171226	0.999666703510696
ABCA2	1.65938411617687	-0.0104044720378832	0.783569136812184	-0.0132783076171326	0.98940575467761	0.999666703510696
ABCA3	5.4852359579442	-0.911127776703423	0.431861868438523	-2.10976667145394	0.0348784585392272	0.999666703510696
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	5.77237101663378	-0.0196679067822035	0.401883830152997	-0.0489392837097127	0.960967682480874	0.999666703510696
ABCA6	0.760111872550931	0.488740493581616	1.14501321656793	0.426842665665091	0.669493928036638	0.999666703510696
ABCA7	1.18118346274134	0.997037965276487	1.07493440912385	0.927533770259662	0.353649466486432	0.999666703510696
ABCA8	2.13359214911105	-0.034752337449655	0.678481196384616	-0.0512207819978472	0.959149591939539	0.999666703510696
ABCA9	2.05603582116038	0.532917153259606	0.747080565754042	0.713332909044051	0.475639778025292	0.999666703510696
ABCB10	0.172350710934831	0.494309755154048	2.27545941764829	0.217235144393356	0.828025097312453	0.999666703510696
ABCB11	0.309359518223957	-0.957957800886139	1.55288803669943	-0.616887874880034	0.537308684961363	0.999666703510696
ABCB4	3.20812305204689	-0.439947184446824	0.541229458384773	-0.812866294750081	0.416294720940309	0.999666703510696
ABCB5	1.19200973810212	1.80096495149479	1.250360720921	1.44035630787267	0.149766618328902	0.999666703510696
ABCB6	10.0500445815293	0.0925182155650314	0.330451326553361	0.279975318997824	0.779496440529295	0.999666703510696
ABCB7	2.8298194876229	0.33787669842736	0.6549364551149	0.515892337017771	0.605929606436965	0.999666703510696
ABCB8	1.42866787445759	-1.58632375158708	0.766551302043755	-2.06942933546349	0.0385058160631863	0.999666703510696
ABCB9	3.70974335402234	0.0725576379335057	0.532776516239808	0.136187755506939	0.891672854671088	0.999666703510696
ABCC1	0.951225057577805	0.601361240366174	1.13319369804095	0.530678242745084	0.595641765601788	0.999666703510696
ABCC10	3.75173457669235	-0.301683388047859	0.511573497954902	-0.589716608178273	0.555380658747368	0.999666703510696
ABCC11	0.468267782035519	0.150788517702507	1.50016935218214	0.100514330254228	0.919936006555252	0.999666703510696
ABCC2	0.545841316315098	0.368097504343479	1.43224532487021	0.257007300321846	0.797173137483358	0.999666703510696
ABCC3	6.77408403704115	-0.606354312345607	0.447425796102722	-1.35520642222067	0.175351799118277	0.999666703510696
ABCC4	0.958440929752232	0.185134518577551	1.1570570749855	0.160004655414143	0.872877406977818	0.999666703510696
ABCC5	2.66082120925266	0.477199759713765	0.662310286816745	0.720507848379232	0.47121236920412	0.999666703510696
ABCC6	1.83038100645526	-0.604393867863969	0.74667514888177	-0.809446877626926	0.418258147284434	0.999666703510696
ABCC8	0	NA	NA	NA	NA	NA
