baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.54642798819845	0.154891332868302	0.646210843471225	0.239691633826938	0.810569321151284	0.999349064981337
A1CF	0.278242919537651	1.33481366244625	1.88843622500761	0.706835446582727	0.479668743816691	0.999349064981337
A2M	0.301718495717779	1.44852306606443	1.8485526242037	0.783598501388839	0.433275735431323	0.999349064981337
A2ML1	0.784997657776554	0.578492211178222	1.4098185156245	0.410330978609663	0.681563170252673	0.999349064981337
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.68409013177514	0.0579423315434686	0.496801962158317	0.116630641496951	0.907152755022609	0.999349064981337
AACS	7.4486872386611	-0.14613763513411	0.41982808616302	-0.348089229736203	0.727773172582495	0.999349064981337
AADACL2	0.0380269004089537	0.37327626675157	3.75864799169072	0.0993113128914376	0.920891096434529	0.999349064981337
AADACL3	0.0751074206196142	0.635197294726182	3.22781098555963	0.196788875670814	0.843992756826435	0.999349064981337
AADAT	1.75290316273308	1.68857259698065	1.1641958422089	1.45041971097992	0.146941513750645	0.999349064981337
AAED1	8.28372395380115	0.172026105744491	0.390462496387516	0.440570111946842	0.659524244283249	0.999349064981337
AAGAB	4.4711930597553	-0.189918755121381	0.542902263690655	-0.34982126217399	0.726472841131573	0.999349064981337
AAK1	7.93644233155709	-0.181729110230325	0.37329278357548	-0.486827279353443	0.626380736744296	0.999349064981337
AAMDC	10.1702781531088	-0.123731087934269	0.336891011825134	-0.367273342390307	0.713415136459344	0.999349064981337
AAMP	5.7104943563533	0.68587586849915	0.551089821670167	1.24458090410832	0.213285843304957	0.999349064981337
AANAT	0.209014676547031	-0.325850466132427	2.13870260131473	-0.152358942254111	0.878903838290634	0.999349064981337
AAR2	4.11778981217594	-0.154194066236445	0.52890362835832	-0.291535277825665	0.770641967216873	0.999349064981337
AARD	1.62080546990092	0.195538793455228	0.937388039290223	0.208599624978453	0.834760803358606	0.999349064981337
AARS	9.51577099074524	0.034218076526917	0.350015903135665	0.0977614908933272	0.922121686671086	0.999349064981337
AARS2	2.05832382424139	-0.162981509977156	0.793128959076179	-0.205491815816426	0.837187891699858	0.999349064981337
AARSD1	5.08127685121784	0.466468390164346	0.530766039310355	0.878858773199669	0.379477854410912	0.999349064981337
AASDH	3.72215673182178	-0.895429812133735	0.537649020499684	-1.66545418663933	0.0958221764754897	0.999349064981337
AASDHPPT	8.52521324803637	0.439815201269576	0.393432102168791	1.11789352939198	0.263612468930441	0.999349064981337
