baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.29724762826047	0.469675739953724	0.719562211430751	0.652724298875892	0.513934034468027	0.746617994792924
A1CF	0.432352035110434	-0.816417721251907	1.60149496965195	-0.509784755321047	0.610202266996921	NA
A2M	0.290820516376815	1.22525243495198	1.88671343666161	0.649410986927602	0.516072764315818	NA
A2ML1	0.95311254857415	-0.707066583567136	1.10793389714312	-0.638184809933476	0.523353384061773	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	4.71400895182579	1.71793774527495	0.766170116770263	2.242240603845	0.0249458262226123	0.1213187552528
AACS	6.59373521636222	0.49554084272978	0.496470361812598	0.998127745069364	0.318217417815822	0.587071720273624
AADACL2	0.0367497360724419	0.153518105761101	3.75864799169072	0.0408439699861455	0.967420285606769	NA
AADACL3	0.0722560492899646	0.414748007731853	3.34785006015862	0.123884881425126	0.901406423601845	NA
AADAT	1.78913690180825	0.889367498701036	0.994803942913178	0.894012840456399	0.371315021008975	0.636445186987885
AAED1	8.57599077305558	-0.231731202212281	0.384439746233519	-0.602776389493092	0.546657455611138	0.770150866901136
AAGAB	4.2239991130453	-0.202484466955774	0.610264525092155	-0.331797865729123	0.740041895980101	0.884525254571687
AAK1	8.44868548825033	-0.697967052668568	0.351023271011063	-1.9883782937188	0.0467698675950648	0.188533175169557
AAMDC	8.64434507541684	0.932482892974601	0.447749801123158	2.08259811759941	0.037287870949793	0.160093516742739
AAMP	8.59852582076464	-1.65484985483956	0.356033168439166	-4.64802159330926	3.35133838022936e-06	8.00387715503603e-05
AANAT	0.144856117191228	0.416957990333553	2.65086472576887	0.157291311880359	0.875015267146662	NA
AAR2	4.67050914560552	-0.932932738846533	0.469564018063833	-1.98680627764734	0.0469438686915128	0.189151255472258
AARD	1.65345343044562	-0.229369422048126	0.914426087360302	-0.250834294010851	0.801942226200986	0.917017875335033
AARS	9.23429936285835	-0.0537053367184393	0.360986214156627	-0.14877392712603	0.881732024786952	0.952105881997713
AARS2	1.82282209167227	0.470590020868601	0.944332501128653	0.4983308530694	0.618250864997496	0.814461258641011
AARSD1	5.06427213709179	0.243117791508765	0.535131450953616	0.454314152299447	0.649602731352862	0.834161073934623
AASDH	2.40552396427308	3.9934230204983	1.28345927799586	3.11145284385967	0.00186169205304732	0.0174409345743125
AASDHPPT	8.23458222632478	0.443056118905958	0.415405617497258	1.06656265645922	0.286169371076414	0.553409462332529
AASS	1.86655629791914	0.654212744528462	0.891868675579878	0.733530353112922	0.463235022014506	0.71020561865998
AATF	1.9788041072874	-1.19122383275605	0.75187983674948	-1.5843274078288	0.113119231851918	0.325014138622257
AATK	0	NA	NA	NA	NA	NA
ABAT	20.7902663717364	2.04916398363618	0.383865393782655	5.33823579000826	9.38553506523058e-08	3.04103292209095e-06
ABCA1	24.0855533596592	-0.0164512945621337	0.260672754758355	-0.0631109092217333	0.949678187315448	0.981507085070022
ABCA10	0.184424008826361	0.670146087063457	2.24903308330608	0.29797075553835	0.765725484026866	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	2.0107780483536	-0.186533751504169	0.760226128904781	-0.245366140957162	0.806172943396664	0.918477438535012
ABCA2	1.35845298350339	0.582703251190041	1.06095485597888	0.549225302006288	0.582850842573566	0.792166322532151
ABCA3	4.23150564178762	-0.229046254371679	0.535449269166868	-0.427764622273298	0.668822496150053	0.844662372868749
ABCA4	0.0842090248253128	-1.07055872981111	3.60037243617745	-0.297346663099034	0.766201859701928	NA
ABCA5	4.10226124002455	2.94493190695817	1.075671463803	2.73776148764464	0.0061858921249536	0.0455063387413434
ABCA6	0.822217401180973	-0.703238692135792	1.10422757057521	-0.63686029118931	0.524215849919797	NA
ABCA7	0.970972869848671	1.67198639871839	1.39936538951867	1.19481760177983	0.232158301681466	NA
ABCA8	1.54637704406847	2.36923759342576	1.32007396773577	1.79477639233319	0.0726893335666848	0.2513736504784
ABCA9	1.71058334548713	1.00032668640629	1.01207405382209	0.988392778797717	0.322960322708265	0.591320879272086
ABCB10	0.193214810187719	-0.318954821538746	2.25643847239769	-0.141353210131994	0.887590915948725	NA
ABCB11	0.147811305110144	0.670249817544173	2.66914744591417	0.251110075829706	0.801729006057965	NA
ABCB4	2.68422662440343	-0.158350081953846	0.663554856077656	-0.23863902208458	0.811385503915151	0.921593964966606
ABCB5	1.0235544959943	1.86601028382068	1.41934591055531	1.31469733342918	0.188611643124865	NA
ABCB6	7.74950679051846	1.54500762093937	0.550504168655439	2.80653210077033	0.00500779226203683	0.0382789470127444
ABCB7	2.44847187292716	0.619729088493506	0.8086360153858	0.766388185415947	0.443445360541657	0.695807078678412
ABCB8	0.832857348527797	-0.0531972693946944	1.21352684211371	-0.0438369120060301	0.965034403826762	NA
ABCB9	3.39892743408533	-0.262442572377528	0.575413287266594	-0.456094042638845	0.648322353908519	0.833253111251297
ABCC1	0.931553812301952	-0.20070937823871	1.1578400837013	-0.173348099676336	0.862377817855995	NA
ABCC10	3.00826034425987	0.263850626483604	0.691828036994332	0.381381806423907	0.702919959098632	0.865279952461691
ABCC11	0.333070890958412	1.16960113459513	1.75674704824627	0.665776632875358	0.505553882793724	NA
ABCC2	0.398408947552851	1.42260694657502	1.72358634164207	0.825376084855544	0.409158107996338	NA
ABCC3	5.08708172356827	0.341264062399693	0.623311548880345	0.547501587308476	0.584034180264277	0.792790360241328
ABCC4	0.758562516177008	1.2716560857579	1.5960295781597	0.796762229948254	0.425589134754545	NA
ABCC5	2.64078663188109	-0.334664723927925	0.671065363290724	-0.498706597352632	0.617986096196139	0.814217889497477
ABCC6	1.28239091840574	1.08856907203958	1.20927216961846	0.900185334111377	0.368021629572667	0.634403940913642
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.08470582506193	0.349690054300258	0.814118563673899	0.429532097538964	0.667536040398631	0.843939712581003
