baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.3857137895198	0.461669269097582	0.69678099854639	0.662574424475849	0.507603154651558	0.755301217337786
A1CF	0.325128501144336	0.405001168769799	1.77295171030155	0.228433276787282	0.819309422099838	NA
A2M	0.300744135311114	1.47519891195434	1.86792284066794	0.789753666391715	0.429671643013916	NA
A2ML1	0.670047992992696	2.4096396592617	1.57988592392909	1.52519851133875	0.127209591800344	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.19237738545029	0.808095307210064	0.620032448998568	1.30331131623069	0.192468499269094	0.459333347089244
AACS	7.18492652497116	0.0794093937102351	0.430767748656294	0.184343869655839	0.853743700588319	0.942530259988817
AADACL2	0.0379477361461876	0.402486581303384	3.75864799169072	0.107082808018512	0.914723285951663	NA
AADACL3	0.182470729434296	-0.297241154625655	2.28402265493147	-0.130139319758443	0.896456201958859	NA
AADAT	1.97226635203949	0.2182761504461	0.797714560972944	0.273626885009942	0.784371370981423	0.910669812903568
AAED1	8.6369075987377	-0.0281847318177407	0.386966712716127	-0.0728350291938847	0.941937395706186	0.979233122252785
AAGAB	4.73313085906593	-0.431349514835366	0.51654509564972	-0.835066518815374	0.403680256640419	0.680001527520605
AAK1	8.53376802410031	-0.595418620557099	0.340706011370763	-1.74760233364111	0.0805329109799582	0.275690913718301
AAMDC	9.02307508791958	0.897634016685819	0.414506516277498	2.16554862574195	0.0303456958063885	0.142490543881862
AAMP	7.87164815571093	-1.22299484148125	0.373074309863472	-3.27815346473149	0.00104488571780537	0.0108938205039889
AANAT	0.248053933682719	-1.04870301374421	1.85408954967427	-0.565616161273574	0.571654739105966	NA
AAR2	4.92391032642662	-1.07073709781073	0.442865625268632	-2.41774713754593	0.0156169250032062	0.0895182974773513
AARD	1.90079273369201	-0.788832330602566	0.771681872275407	-1.02222477803786	0.306674525982986	0.589607913235755
AARS	8.93689211791851	0.422197773008778	0.375576121099921	1.12413369564689	0.260956312493015	0.540791378310883
AARS2	2.33109850363595	-0.861252484143342	0.681689774268532	-1.26340824910787	0.206442501106017	0.474901083912461
AARSD1	5.9677812798724	-0.448266369040454	0.440122048874627	-1.01850468565856	0.3084381751964	0.590623897063213
AASDH	2.58693553259243	2.47146756349859	1.10540274610179	2.23580733105127	0.0253643945234181	0.126623173766515
AASDHPPT	9.11153685326672	-0.0742956265103101	0.351684075204338	-0.211256726558182	0.832686948048493	0.933493743862291
AASS	1.93315128767742	0.437865590706968	0.804903138861533	0.543997867030673	0.5864429406354	0.808300619087347
AATF	2.50828250905717	-1.92286883229219	0.646983796760568	-2.97205098786082	0.00295817552647506	0.0252355482739958
AATK	0	NA	NA	NA	NA	NA
ABAT	21.8792213449772	1.77008482295389	0.331212395538946	5.34425899149585	9.0787681927269e-08	3.07202818721397e-06
ABCA1	27.7305823896336	-0.557006508894269	0.249150483805354	-2.2356228267629	0.0253764880510428	0.126625167104466
ABCA10	0.242824251549809	-0.0433099787066676	1.95915312764487	-0.0221064796291504	0.982363017743642	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	2.12849678618731	-0.262352857931903	0.71352769042186	-0.367684199861665	0.713108723207526	0.876528239097611
ABCA2	1.68283251303023	-0.524596047734998	0.787480988060506	-0.666169794177546	0.505302577515249	0.754181433122966
ABCA3	4.15097372994355	0.179733718893383	0.55014284417268	0.326703729398992	0.74389197925745	0.89122176935159
ABCA4	0.201555578618716	-2.33858133981854	2.25896672356575	-1.03524381985013	0.300555059170128	NA
ABCA5	4.24676172104857	2.68894608303997	0.904866557573937	2.97164931174976	0.00296204805675905	0.0252355482739958
ABCA6	0.971297824355022	-1.05537492430714	0.976014869937285	-1.08131029230626	0.279559110664397	NA
