baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.62744363242777	-0.299362837897226	0.627996387931425	-0.476695158842084	0.633579210698365	0.999904675482631
A1CF	0.267784099869928	1.07329979782291	1.91976801379721	0.55907786259027	0.576108582199325	0.999904675482631
A2M	0.340352133549835	0.252349657932342	1.74606785407074	0.144524542585227	0.885086277712332	0.999904675482631
A2ML1	0.771536193137806	0.35795188035515	1.37711670197567	0.259928501224056	0.794918925886661	0.999904675482631
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.52131899771796	0.0547749960285066	0.528661454636557	0.103610723929482	0.917478277006642	0.999904675482631
AACS	7.05177514065359	-0.0399866365671373	0.443939469837379	-0.0900722717486349	0.92822978357306	0.999904675482631
AADACL2	0.0365719607068928	0.111861558980276	3.75864799169072	0.0297611160256479	0.976257569936061	0.999904675482631
AADACL3	0.0723112554187774	0.373963888477144	3.27934110764414	0.114036288449968	0.909209027043217	0.999904675482631
AADAT	2.04522989259279	0.0209238959004266	0.841416299530829	0.0248674715620481	0.980160673139507	0.999904675482631
AAED1	8.01718707245255	0.152588416871393	0.409523368424432	0.372600023921589	0.709446155031786	0.999904675482631
AAGAB	4.27668957603964	-0.187550609186022	0.564255412861854	-0.332386016883351	0.739597795836493	0.999904675482631
AAK1	7.33162442795144	-0.04100242271096	0.413646854449802	-0.0991242221955198	0.921039640264705	0.999904675482631
AAMDC	8.9105183331914	0.491086804240584	0.407237858988871	1.20589673430634	0.227857309985574	0.999904675482631
AAMP	5.7468919502868	0.209438717985019	0.502723886491643	0.416607850974873	0.676965265858111	0.999904675482631
AANAT	0.144924941465989	0.374395896344499	2.58689305495779	0.144728014800213	0.884925619416195	0.999904675482631
AAR2	4.10507673936163	-0.216250294686535	0.552113079733377	-0.391677543286903	0.695296484815342	0.999904675482631
AARD	1.57371807656122	0.266290695655851	0.998015753716491	0.266820132512154	0.789607652535449	0.999904675482631
AARS	9.36168599800178	-0.0864796964351019	0.366693579777254	-0.23583640730125	0.81355961591331	0.999904675482631
AARS2	2.21360602071356	-0.748788426021033	0.74011904395745	-1.01171349681428	0.311675060320964	0.999904675482631
AARSD1	4.63573114820904	1.14826400743377	0.658003020581077	1.74507406731926	0.0809719769769431	0.999904675482631
AASDH	2.54415344460118	1.66631374816667	1.00078294305377	1.66501014004307	0.0959107328267225	0.999904675482631
AASDHPPT	8.71295425274224	-0.0730397865217736	0.375780142292367	-0.194368404025316	0.845887428049486	0.999904675482631
AASS	2.42443542368997	-1.04377880840759	0.648696781955546	-1.60903959668342	0.107607683643262	0.999904675482631
AATF	1.59520690191129	0.066895501824334	0.97016285579986	0.068952858197381	0.945027143845427	0.999904675482631
AATK	0	NA	NA	NA	NA	NA
ABAT	24.4195988319803	0.158756622280125	0.249958262725405	0.635132523922718	0.525341986518617	0.999904675482631
ABCA1	24.4587060618712	-0.199634215230496	0.260393964662846	-0.766662220796782	0.443282371099323	0.999904675482631
ABCA10	0.264613348346106	-0.359425627111703	1.9086188397376	-0.188317132592655	0.850628055754237	0.999904675482631
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	2.01103233164069	-0.0504026704594486	0.79596969271598	-0.0633223487284627	0.94950981976132	0.999904675482631
ABCA2	1.737548486351	-0.84084278746535	0.782854644712706	-1.07407268149239	0.282790107421154	0.999904675482631
ABCA3	3.91167755366283	0.173042707900203	0.597421642246345	0.28964921198628	0.772084614300216	0.999904675482631
ABCA4	0	NA	NA	NA	NA	NA
