baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.90997440023486	0.757426624568793	0.87993185335265	0.86077873153802	0.389359921013298	0.998674266668487
A1CF	0.246340975785254	0.52654055402526	1.95167095890739	0.269789613675471	0.787322113726848	0.998674266668487
A2M	0.268435952759651	0.636770926916226	1.90683375281212	0.333941501705192	0.738423701829793	0.998674266668487
A2ML1	0.797738784068746	-0.257538526351377	1.36901029212465	-0.188120226584775	0.850782405639508	0.998674266668487
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.50724235124363	-0.416635030183265	0.538384198256571	-0.77386192152823	0.439012449783303	0.998674266668487
AACS	6.54123863449975	-0.0813589543340275	0.491416868562455	-0.165559954366295	0.86850326406682	0.998674266668487
AADACL2	0.0338862563671409	-0.433619832831319	3.75864799169072	-0.11536590651477	0.908155101152271	0.998674266668487
AADACL3	0.0668500120919229	-0.171541768028816	3.42334873286421	-0.0501093465535697	0.960035251624037	0.998674266668487
AADAT	1.51761086118313	1.77290932922783	1.30909883798169	1.35429753490671	0.175641472301724	0.998674266668487
AAED1	7.8275987958019	-0.271092136491961	0.427619073372566	-0.633957073883301	0.526108836681557	0.998674266668487
AAGAB	4.45376806253584	-0.83053682316592	0.560235876316992	-1.48247703918195	0.138213408617841	0.998674266668487
AAK1	6.78166747259896	0.0123075453750115	0.468943892594318	0.0262452407833335	0.979061731369447	0.998674266668487
AAMDC	9.04748085534005	-0.177627661988988	0.392273576529644	-0.452815770973973	0.650681406308471	0.998674266668487
AAMP	5.60531188382063	-0.178603176819056	0.517802384230462	-0.344925365850698	0.730150480346633	0.998674266668487
AANAT	0.133716201958866	-0.171067717987313	2.71740432202673	-0.0629526186444442	0.949804234281684	0.998674266668487
AAR2	4.0236135125604	-0.627627441367666	0.566880507063459	-1.10716003381186	0.268224743565137	0.998674266668487
AARD	1.2403581682291	1.57556200724446	1.39168528592763	1.13212521765959	0.257581794258533	0.998674266668487
AARS	7.87144226764798	0.520869139909296	0.47239107153158	1.10262274479605	0.270191028704091	0.998674266668487
AARS2	2.19312220562906	-1.01955441494847	0.768510507320886	-1.32666294765799	0.184620202895093	0.998674266668487
AARSD1	4.69902703789031	0.32808737827908	0.619873268346905	0.529281379005151	0.596610271047627	0.998674266668487
AASDH	2.49254459346693	1.01022454261958	0.972691439487896	1.03858685458509	0.298996922022104	0.998674266668487
AASDHPPT	7.17420131039766	0.953468621234145	0.546395293206153	1.74501616886075	0.0809820545067767	0.998674266668487
AASS	2.08252594035207	-0.694858299142076	0.75474229425648	-0.920656367650103	0.35722986304302	0.998674266668487
AATF	1.23144591237303	1.44386497020809	1.37969200132848	1.04651253237521	0.295324461847418	0.998674266668487
AATK	0	NA	NA	NA	NA	NA
ABAT	22.6576954968966	0.0665648478416893	0.273829399194478	0.243088755398444	0.807936641890595	0.998674266668487
ABCA1	20.660476518233	0.532669956235144	0.319964851910294	1.66477646858688	0.0959573602984458	0.998674266668487
ABCA10	0.170503803887887	0.0823601418724807	2.28535405424982	0.0360382417417225	0.971251866246893	0.998674266668487
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.78086929820762	0.0314268776178631	0.9144014597713	0.0343687964209105	0.972583065613828	0.998674266668487
ABCA2	1.82155672007601	-1.26250446310128	0.805535066496741	-1.5672867831712	0.11704767330399	0.998674266668487
ABCA3	4.1069887779983	-0.570393925043054	0.565732776432062	-1.00823913480917	0.313339674620553	0.998674266668487
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.10773470663859	1.05609611499866	0.727828092053282	1.45102411754855	0.146773144628256	0.998674266668487
ABCA6	0.73558945654258	-0.381325250698774	1.30895686000146	-0.291319952819797	0.770806628767675	0.998674266668487
ABCA7	1.0221443293429	0.246033867329882	1.25749437695954	0.195654049702203	0.84488095221512	0.998674266668487
ABCA8	1.55346601096914	0.915915601553206	1.17491522866798	0.779558881530195	0.435650566605603	0.998674266668487
ABCA9	2.11696245553348	-0.975681621158264	0.733456621593379	-1.33025129562355	0.18343548839719	0.998674266668487
