baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.69631889852952	-0.559516620751231	0.596774510594441	-0.937567893430807	0.348466517612931	0.999464776768893
A1CF	0.262354426262137	0.938434441486432	1.91913417348761	0.488988448254783	0.624849875180293	0.999464776768893
A2M	0.28522668296256	1.05003119669704	1.8765017981238	0.559568446855155	0.575773832025826	0.999464776768893
A2ML1	0.701886354615795	1.02398231758966	1.53119540464596	0.668746989758907	0.503656887159772	0.999464776768893
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	4.73374032358772	1.30597829605746	0.713884140735106	1.82939810753137	0.0673399909197342	0.999464776768893
AACS	7.09718837034193	-0.220688447965788	0.438452772712459	-0.503334593143324	0.614729048858496	0.999464776768893
AADACL2	0.0358653223439486	-0.0230153790152007	3.75864799169072	-0.00612331324084647	0.995114333435504	0.999464776768893
AADACL3	0.0707978522051603	0.238828734052586	3.32536829796663	0.0718202354303501	0.94274496885977	0.999464776768893
AADAT	1.74333523510555	0.753936331884216	1.00553825530475	0.749783837568384	0.453384904505718	0.999464776768893
AAED1	8.17046156627324	-0.0946063974826737	0.398031790682069	-0.237685530898313	0.812125006781414	0.999464776768893
AAGAB	4.6574728589034	-0.71086639265088	0.522152817179034	-1.36141445428061	0.173382750821158	0.999464776768893
AAK1	7.74255698210557	-0.427880269024132	0.382960991557468	-1.11729465521797	0.263868360011537	0.999464776768893
AAMDC	8.63899690503826	0.543528397078851	0.442297395414033	1.22887541892499	0.21911851896841	0.999464776768893
AAMP	5.89403064498527	-0.0841221783974208	0.483260359984737	-0.174072167640809	0.861808746243785	0.999464776768893
AANAT	0.142159749071692	0.239783165487899	2.63388936510732	0.091037675562401	0.927462654568523	0.999464776768893
AAR2	4.71768733459544	-1.04173778464426	0.476343047631197	-2.1869486493499	0.0287462728789244	0.999464776768893
AARD	1.44117267236618	0.584675956523241	1.09635995482654	0.533288318265642	0.593834012860535	0.999464776768893
AARS	9.0797710471936	-0.030636623339127	0.372153700849613	-0.0823225008086303	0.934390262088424	0.999464776768893
AARS2	1.98838106630382	-0.328490931157461	0.813884942929833	-0.403608561641348	0.686500588818733	0.999464776768893
AARSD1	5.10894972913444	-0.0174751293627061	0.523285850748704	-0.033394996898355	0.973359599335856	0.999464776768893
AASDH	2.77162369106502	0.642195116689465	0.796909422732128	0.805857100406417	0.420325249515176	0.999464776768893
AASDHPPT	7.8244719926462	0.714969423863257	0.461164366628253	1.55035704317458	0.121055842925417	0.999464776768893
AASS	2.50867021768728	-1.03081601520044	0.648435281815763	-1.58969760608017	0.111902983560535	0.999464776768893
AATF	1.51048696288528	0.327203782905007	1.06435525560257	0.307419708957762	0.758523928468998	0.999464776768893
AATK	0	NA	NA	NA	NA	NA
ABAT	23.0771287989164	0.383461796359199	0.264641350240569	1.4489866984529	0.147341297278534	0.999464776768893
ABCA1	22.8304291980625	0.27018889896895	0.29040347465053	0.930391412479116	0.352168463223195	0.999464776768893
ABCA10	0.181022461762782	0.493161844063054	2.23459014408978	0.220694540055771	0.825330283053627	0.999464776768893
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.99970216213577	-0.334328046012751	0.760274815911022	-0.439746311486239	0.660120856494538	0.999464776768893
ABCA2	1.38655333326481	0.0625952119286407	0.981534537999634	0.063772806259278	0.949151131631052	0.999464776768893
ABCA3	4.53494946268775	-0.790814315657319	0.515753222665388	-1.53331919395565	0.125197227654029	0.999464776768893
ABCA4	0	NA	NA	NA	NA	NA
