baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.52659540745231	-0.127060171960874	0.639037020599474	-0.198830690343543	0.842395187851369	NA
A1CF	0.307783337072532	-0.3459134337532	1.75401418522444	-0.197212449401563	0.843661288716015	NA
A2M	0.437177933845618	0.744883335133207	1.44656390973959	0.514932890360373	0.606599916414043	NA
A2ML1	0.866087276189135	0.462255903045509	1.16463480514917	0.396910603222358	0.691433384868138	NA
A4GALT	0.0717007443480776	1.19356794435726	3.7315310580755	0.319860112586823	0.749074376126144	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.33209504354563	-0.599442915428047	0.57128451400976	-1.04928962842113	0.294044838038221	0.832593650759426
AACS	7.74496721356539	0.47328321459505	0.42050160699566	1.12552058475233	0.260368499366552	0.808211309617287
AADACL2	0.037632883509703	-0.268974078523565	3.75867833540884	-0.071560813275688	0.942951426560945	NA
AADACL3	0.0740387141039028	-0.530403127361651	3.29920751659863	-0.160766828001313	0.872277052754572	NA
AADAT	1.67465711955844	-2.47931934653879	1.23754108725951	-2.00342386371119	0.0451318121638027	NA
AAED1	9.12521535103	0.533935877272492	0.35408922775048	1.50791336032608	0.131576702776737	0.652120217221349
AAGAB	4.34764951606895	0.0765082932329505	0.554978008173468	0.137858243220759	0.890352452308774	NA
AAK1	7.69679720101991	0.130816500520222	0.380808508258986	0.343523050780299	0.731205002695947	0.964752586301406
AAMDC	9.1542351956205	-0.375571095184957	0.38162711122872	-0.984131064419757	0.325051074798774	0.859374152838018
AAMP	5.83488035103359	-0.206442485472736	0.481029088967964	-0.429168402093216	0.66780067622858	0.949133287395707
AANAT	0.148850472160594	-0.532176526248653	2.60836379588503	-0.204026956319597	0.838332433851953	NA
AAR2	3.92789723715939	-0.205555329942688	0.573786139395312	-0.358243805190752	0.72016086786482	NA
AARD	1.32503673615075	-2.33131216159663	1.32677768936686	-1.7571234278963	0.0788967732512001	NA
AARS	9.3683904578642	-0.0880330697366362	0.355885950192949	-0.247363150157818	0.804627190066826	0.970606687989955
AARS2	1.88045082352005	-0.691756058502688	0.935816408228293	-0.739200608602637	0.459785191339795	NA
AARSD1	4.64137674181223	-1.26967451768602	0.635922417517117	-1.99658713502083	0.0458700515369045	NA
AASDH	3.45525396646162	0.696674612180332	0.574632163767382	1.21238360138566	0.225365575201383	NA
AASDHPPT	8.51800550928223	-0.366131710125092	0.390271856674366	-0.938145305288011	0.34816974182001	0.866128488170341
AASS	2.13701828979627	0.51543880118929	0.709061611349506	0.726930908314572	0.467268281834569	NA
AATF	1.4885810939819	-0.299239806927033	0.986848183950541	-0.303227803216011	0.761716261946146	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	23.7564314978182	-0.490278107768121	0.256596938516004	-1.91069352036538	0.0560439779987915	0.470198446666291
ABCA1	24.4261009429464	0.0273892436019165	0.271785716869662	0.100775139758545	0.919728961953899	0.990220611960286
ABCA10	0.189448732103093	-0.785417360855244	2.2246565312751	-0.353051066451624	0.724050156886054	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.95796679874972	0.213435695634256	0.756993719293256	0.281951739089095	0.777980516128171	NA
ABCA2	1.92578451970761	1.40291229239461	0.729197101495175	1.92391369839241	0.0543654019059872	NA
ABCA3	4.40301399315934	0.289293725549098	0.511344507803157	0.565751115215776	0.571562982158212	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	5.14668495877318	0.00839546028486857	0.469686274181466	0.0178746127923358	0.985738881835488	0.995755540405279
ABCA6	0.940763465731052	1.29039378480044	0.979470289447675	1.31744045603272	0.187691027691367	NA
ABCA7	1.49673287333121	1.05280860953023	0.854695718864338	1.23179347490956	0.218026241387665	NA
ABCA8	1.76958265124865	-0.188057656450337	0.845651402506359	-0.222382007400412	0.824016517183153	NA
ABCA9	1.82895587310135	-0.363160725618046	0.836049431588663	-0.434377097689029	0.664014625950042	NA
ABCB10	0.216994698303942	0.953180629580342	1.94698795996933	0.489566781704882	0.624440487348757	NA
ABCB11	0.18471699790479	0.0879266622429304	2.24483900179459	0.0391683600350133	0.968756159304284	NA
ABCB4	2.54280853555727	-0.831051976150458	0.802900266894364	-1.03506252322594	0.30063971314811	NA
ABCB5	1.05699326514549	-1.39623941818063	1.28438089165506	-1.0870913973046	0.276996419361693	NA
ABCB6	8.81182296909269	-0.111251092311666	0.383583345514581	-0.290031080891746	0.771792459921485	0.96837697358588
ABCB7	2.36076500557354	-0.801586860148796	0.794330305305655	-1.00913543748069	0.312909684692065	NA
ABCB8	0.825237635367914	0.0535102578476914	1.18035634499207	0.0453339858549675	0.963841098480595	NA
ABCB9	3.33137635473497	0.00742622564309605	0.5914775972774	0.0125553794045275	0.989982519807306	NA
ABCC1	1.24473144131303	0.994460441024831	0.998457907842325	0.995996359199425	0.31925191416554	NA
ABCC10	3.01534057694148	-0.842646581945575	0.752145503962698	-1.1203238967807	0.262575762298677	NA
ABCC11	0.341144939305367	-1.285028753026	1.74985465830947	-0.734363135203165	0.462727448409957	NA
ABCC2	0.54700806655365	0.60701471536537	1.36540215242942	0.444568447680652	0.656631653584878	NA
ABCC3	7.50377887593143	1.3904358031835	0.447600070552766	3.10642445043938	0.00189364689871321	0.070330710255717
ABCC4	1.00418592682465	0.89003369282177	1.137081720829	0.782735028202622	0.433782728021915	NA
ABCC5	2.23304124916441	-1.17632187654752	0.895584814096941	-1.31346786818137	0.189025341335511	NA
ABCC6	1.55138468111789	0.600991169147612	0.82487898315305	0.728581017848654	0.466257993375524	NA
ABCC8	0.0336223563422582	0.854091583070911	3.74155972900367	0.228271535116812	0.81943515208988	NA
ABCC9	2.00022885443373	-1.02876388275962	0.90920948939269	-1.13149268101764	0.257847782221029	NA
ABCD1	0.696447641776963	0.401739179641483	1.23474243420113	0.325362738425205	0.744906553053466	NA
ABCD2	0.037632883509703	-0.268974078523565	3.75867833540884	-0.071560813275688	0.942951426560945	NA
ABCD3	3.19903682757222	0.15050811765254	0.597826676271827	0.251758784989556	0.801227516154279	NA
ABCD4	10.9001824463678	0.128108288366765	0.335632005060117	0.381692706402713	0.702689310680011	0.959727517058923
ABCE1	3.27083802265623	-0.734057665244382	0.70838620924653	-1.03623935031874	0.300090492971398	NA
ABCF1	2.74078882390373	-0.447573179737282	0.729150097877237	-0.613828594469498	0.539328599605048	NA
ABCF2	7.15151233243538	-0.673438924627447	0.465402177048081	-1.44700424243584	0.147895735370185	0.684003618329838
ABCF3	1.03525522000709	-0.727162631151702	1.17811178976724	-0.617227191398674	0.537084882901503	NA
ABCG1	0.415927254452077	0.595074915219666	1.54369266132064	0.385487947264435	0.699875934518552	NA
ABCG2	0	NA	NA	NA	NA	NA
