baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.52370607542061	0.438823785633626	0.695498370407524	0.630948689896282	0.528074074274376	0.828288177211698
A1CF	0.382762020208465	0.621471815358921	1.69353631870836	0.366966925063001	0.713643689437468	NA
A2M	0.262832523432746	-0.516635369198362	1.93444753470725	-0.267071274836382	0.789414283889861	NA
A2ML1	0.739174720933553	-0.450003992638105	1.49160078172251	-0.301691979618326	0.762886882911903	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	4.73138718234381	-0.486218806019545	0.675628343701566	-0.719654245639988	0.47173790388528	0.799228412249187
AACS	6.2569934004537	-0.185954673565821	0.553636070011577	-0.335878898862086	0.736962189871271	0.922833433765297
AADACL2	0.0331384897276291	0.551087461200122	3.75867833540884	0.14661735110679	0.883434057490238	NA
AADACL3	0.0654750787807574	0.288924418076682	3.48940049839342	0.0828005894450087	0.934010100429459	NA
AADAT	1.52471234089641	-0.998060240435708	1.16628445858025	-0.855760559178395	0.392130235299717	NA
AAED1	7.96693459407608	0.510159326365046	0.406534015433709	1.25489948441531	0.209515251197638	0.581079093075668
AAGAB	4.15958433028152	0.489608386556352	0.600923495475939	0.814759932407996	0.415209740053553	0.764478136831381
AAK1	7.72203304482799	0.882751051545992	0.398680492566442	2.21418170190225	0.0268162820799403	0.193886130746381
AAMDC	8.09186424280037	-0.410784986295686	0.460815232969651	-0.891431005109027	0.372697990366938	0.740044492525745
AAMP	5.59542699747215	0.271042192556832	0.518699257984297	0.522542086545722	0.601292951284006	0.864799565610253
AANAT	0.130783609515958	0.288643746737485	2.76376858764777	0.104438464214237	0.916821399537558	NA
AAR2	3.73994292586208	0.366875841142021	0.616199777221142	0.595384572835307	0.551586435303062	0.841246431088767
AARD	1.61711876593192	0.432240042231504	1.01407283350741	0.426241614950379	0.66993179663042	NA
AARS	10.0710285165522	1.01186879220394	0.339457758335684	2.98083860909526	0.00287460244736694	0.039717594312819
AARS2	1.57195189923727	-1.59256613037126	1.27208381106937	-1.25193490909414	0.210593583101302	NA
AARSD1	4.88592346119653	0.199324913207248	0.552758737497841	0.360600203462232	0.718398337199334	0.914186019067983
AASDH	2.43680501412653	-1.03259142547962	0.989775223420356	-1.04325851066599	0.296828581068364	0.671583313518603
AASDHPPT	8.06438148227203	0.278275516576113	0.410508224418937	0.677880490628427	0.497847470756686	0.813507072901023
AASS	1.64597793778082	-1.05999911463323	1.13302423439166	-0.935548492660757	0.349505704762824	NA
AATF	1.5974844639557	0.722092976722462	0.934421490697628	0.772770087065694	0.439658459380405	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	18.4595818577215	-2.82100800586739	0.576879638063093	-4.8901154066368	1.00776875727473e-06	4.2996287913397e-05
ABCA1	24.0925760008772	0.653002619535807	0.264851738339895	2.46554024386951	0.0136806806124378	0.119226133507946
ABCA10	0.167330916025317	0.0353582175699997	2.32258597525207	0.0152236420725662	0.987853760200217	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.86748276313946	0.478121073453379	0.827721884279715	0.577634930927845	0.56351061842226	NA
ABCA2	1.30741317257013	-0.42263575665765	1.20091863631372	-0.351927053072432	0.724892970020585	NA
ABCA3	4.81191708805663	1.346565627053	0.487554479675118	2.76187725308213	0.00574700800057246	0.0666052494394703
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	3.57192911393787	-4.07144616396336	1.22878268180184	-3.31339806807266	0.000921696965461524	0.0159398150040284
ABCA6	0.828850660347476	0.983238775280081	1.18506644332026	0.829690842080798	0.406713600557179	NA
ABCA7	0.93537757471704	-0.347599645181026	1.28034541246255	-0.271488960555161	0.786014989192357	NA
ABCA8	1.61813963702609	-0.790623179145443	1.14610357272185	-0.689835716389761	0.490297505139453	NA
ABCA9	1.63815462232242	-0.435036897311835	1.02789517693246	-0.423230799282583	0.672126877619666	NA
ABCB10	0.15447397016426	0.947134212990463	2.39099414319553	0.396125693442574	0.692012304744792	NA
ABCB11	0.133458842474303	0.035054636481748	2.78223739070631	0.0125994412262747	0.989947366340611	NA
ABCB4	2.17197813069011	-0.494298725089572	0.89938660755541	-0.549595380826391	0.58259692776993	0.856144046959406
ABCB5	0.928899015486805	-1.20426949694027	1.38466177697614	-0.869721051714294	0.384452864835762	NA
ABCB6	8.40742639675655	0.0708869902383348	0.434246291221524	0.163241440793729	0.870328338759346	0.966272287246005
ABCB7	1.89326350355657	-2.20361071038413	1.2333759960282	-1.78664958413358	0.0739941423028961	NA
ABCB8	0.771814663675707	0.125306642636157	1.33804977370558	0.0936487155400307	0.92538821022065	NA
ABCB9	3.54996604428616	0.880286549934126	0.573961288685	1.53370369620388	0.125102564048247	0.456364609541981
ABCC1	0.755937472066656	0.0320606862799226	1.34731955435839	0.0237959036341533	0.981015407552048	NA
ABCC10	3.27628474445128	0.520482471306519	0.700053453837843	0.743489612761886	0.457185307958061	0.788198027596436
ABCC11	0.301183164523322	-0.466360465235411	1.79080848326781	-0.260418950207568	0.794540626950801	NA
ABCC2	0.360462788739466	-0.720668058085906	1.75736096911609	-0.410085389826534	0.681743309796133	NA
ABCC3	5.74346399303941	0.804108496932216	0.568479434094768	1.41449003905068	0.15721807000751	0.510580641408748
ABCC4	0.891432546778387	0.491450054246141	1.46005319535631	0.336597362212003	0.736420444940561	NA
ABCC5	2.47548525630437	0.385919088082131	0.76614249559617	0.503717115680719	0.614460179105538	0.871239355606325
ABCC6	1.09057348740449	-1.28810810926193	1.30643139082035	-0.985974555045771	0.324145599265393	NA
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	1.66673910213208	-1.17680310894687	1.14134537869803	-1.03106660868009	0.302509585128802	NA
ABCD1	0.457509033495081	-1.07011634039357	1.57559043199513	-0.679184335384997	0.49702107137048	NA
ABCD2	0.0331384897276291	0.551087461200122	3.75867833540884	0.14661735110679	0.883434057490238	NA
ABCD3	2.45818333225129	-1.16461024591547	0.96597648975938	-1.20563001093905	0.227960182246877	0.599126578976792
ABCD4	8.61435781608697	-0.651911206363329	0.478612109197182	-1.36208673753959	0.173170513287601	0.533369965760557
ABCE1	3.17922829417165	0.228924041234188	0.705675540825959	0.324404103571797	0.745632113393549	0.925603165289724
ABCF1	2.98086026633088	0.779854740015401	0.666811546368439	1.16952794873246	0.242190987519594	0.614541720115124
ABCF2	6.8645461890537	0.361914178047259	0.456124884488396	0.793454140203716	0.427513278137818	0.771471207236848
ABCF3	1.24412764877036	1.15754919304464	0.966208722173886	1.19803223307719	0.230904468742641	NA
ABCG1	0.273446570298113	-0.324713876725088	1.94784017884454	-0.166704578872436	0.867602502537501	NA
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.229572388507674	0.908508123827302	1.96352342930312	0.462692784954312	0.643584590667577	NA
ABHD1	2.73595269094769	-0.201926471265092	0.771539683124755	-0.261718840497335	0.793538214078391	0.940617718413218
ABHD10	1.118440816998	-1.40352087788988	1.31065316100919	-1.07085605837107	0.284234156299102	NA
ABHD11	2.09224354337889	-0.846370876590097	1.02562232622796	-0.825226650148	0.409242925932523	0.761325184443229
ABHD12	2.51203608663055	-0.0330552782524472	0.806786232749034	-0.0409715447669639	0.967318580793173	0.991198542351767
ABHD12B	0.830348659899989	-1.95519477857292	1.43758807617256	-1.36005216722334	0.17381341618382	NA
ABHD13	0.428965909805361	0.0185855471952013	1.70895843486305	0.0108753652611163	0.991322885010961	NA
ABHD14A	3.21301607094794	-1.4045353362889	0.91672374959986	-1.53212495792976	0.125491601986611	0.457055482845233
ABHD14A-ACY1	1.46278758271945	-0.462681737488	1.07713681950994	-0.429547787344697	0.667524624950339	NA
ABHD14B	0.443163474675094	-1.08797043015268	1.75124179242804	-0.621256547700503	0.534430838620551	NA
ABHD15	0.885673360546105	-0.787989057420385	1.33836362172831	-0.588770528896179	0.556015218213955	NA
ABHD16A	0.284670321819099	2.70294728846294	1.86894267691786	1.44624408326984	0.148108753180707	NA
ABHD17A	3.43604970465268	0.351609267420211	0.640848869912904	0.548661757752646	0.583237595092509	0.85643720232476
ABHD17B	2.17433427227064	-1.02940743644072	1.04597874023911	-0.98415713134418	0.325038259930358	0.702650915467491
ABHD17C	0.70815618002441	-1.68243260975411	1.57447590530998	-1.0685667555026	0.285264935249318	NA
ABHD18	3.03955516505274	-0.547800723653219	0.789937337849764	-0.693473643294735	0.48801236066553	0.808322521452185
ABHD2	3.44680782210562	0.904850774471989	0.60028996682673	1.50735615198641	0.131719391656451	0.470398643667569
ABHD3	0.565969544429171	-0.325167939537075	1.59011001131206	-0.204493989235856	0.837967488650992	NA
ABHD4	17.3862471801303	-1.19494163111313	0.397726170102503	-3.00443300174382	0.00266076353026348	0.0374969669918257
ABHD5	0.158176329355588	-0.169877478348053	2.39547525232436	-0.0709159813624536	0.943464624110907	NA
ABHD6	0.73281591851655	-0.284934952263617	1.43969724205619	-0.197913105575357	0.843113050228061	NA
ABHD8	0.496506064724704	0.51108609470002	1.65467658954216	0.308873708572523	0.757417597082078	NA
ABI1	2.37492550578111	0.18642993845133	0.806186958677484	0.231249012954961	0.817121354889109	0.948927228151052
ABI2	15.2714191575994	-0.0474915097451513	0.328707783204795	-0.14447941962957	0.885121906692188	0.970862676759278
ABI3	0	NA	NA	NA	NA	NA
ABI3BP	0.382836201416758	-0.913345941005605	1.76646409646551	-0.517047554395871	0.60512296293333	NA
ABL1	2.33669788895963	0.879922381227476	0.73146608178439	1.20295718850139	0.22899288794676	0.600025562996556
ABL2	4.13132960058006	0.172536318050086	0.595310447754345	0.289825785354406	0.771949520249138	0.933383373518305
ABLIM1	5.00441340010862	-2.69578127871186	1.03518383071888	-2.60415705763079	0.00921005410091769	0.091103274004619
ABLIM2	0.503890029708522	-1.21341120918708	1.54836176527886	-0.783674226784168	0.433231289241093	NA
ABLIM3	0	NA	NA	NA	NA	NA
ABO	1.10366146703932	-0.453066640363564	1.19150718356133	-0.38024667128685	0.70376231772491	NA
ABR	2.67955787931755	0.439927137064949	0.733989685234268	0.599364195321814	0.548930047827825	0.839393820674096
ABRA	0.082926480012589	0.551088180909577	3.66778519714902	0.150250941995715	0.88056663612658	NA
ABRACL	1.11104316704106	-2.18756174854689	1.38044312986452	-1.58468081822507	0.113038872217517	NA
ABRAXAS1	9.04446028770371	-0.16739302456581	0.420412543105808	-0.398163725870759	0.690509502711341	0.906270986239515
ABRAXAS2	2.24473676785336	-0.309468283248672	0.84608454335057	-0.365765201221085	0.714540288592246	0.912684736651367
ABT1	1.43694471574183	-0.221400448032564	1.06385523534502	-0.208111442870103	0.835141952647478	NA
ABTB1	0.337144127807504	-0.645087718594094	1.7549442210669	-0.367583032469213	0.713184168508635	NA
ABTB2	0.287112699194185	-0.466486577332423	1.91758167027952	-0.24326816665098	0.807797663086224	NA
AC001226.2	0.283161694014336	-0.724174694623586	1.80586402015633	-0.401012859518014	0.688410656173884	NA
AC002094.3	0	NA	NA	NA	NA	NA
AC002310.4	0	NA	NA	NA	NA	NA
AC002310.5	0	NA	NA	NA	NA	NA
AC002985.1	0	NA	NA	NA	NA	NA
AC002996.1	0	NA	NA	NA	NA	NA
AC003002.1	0	NA	NA	NA	NA	NA
AC003002.2	0.915912308385338	1.10169683752096	1.19513496721241	0.921817926631847	0.3566235550903	NA
AC003002.3	0	NA	NA	NA	NA	NA
AC003006.1	0	NA	NA	NA	NA	NA
AC004076.1	0	NA	NA	NA	NA	NA
AC004080.3	0.0332869175680156	0.551087461200122	3.75867833540884	0.14661735110679	0.883434057490238	NA
AC004223.3	0	NA	NA	NA	NA	NA
AC004233.2	0	NA	NA	NA	NA	NA
AC004556.1	3.87468029900193	-0.19605265815455	0.660507855775523	-0.296821084624888	0.76660310731846	0.931706546928759
AC004691.2	0	NA	NA	NA	NA	NA
AC004754.1	0.300130870516211	1.36124237525948	1.96627470556404	0.692295115940575	0.488752016632513	NA
AC004805.1	0	NA	NA	NA	NA	NA
AC004832.3	0.38311769559896	0.790930871224188	1.79051897936903	0.441732749184769	0.658682608386315	NA
AC004922.1	0.512552765690773	0.305025129559644	1.57785435497998	0.193316403758644	0.846711180294351	NA
AC004997.1	0.455154891849016	0.796939311639528	1.55883552611562	0.511240152208605	0.609182906223869	NA
AC005041.1	2.46208789034874	-0.847424028215918	0.987609581064893	-0.858055697781081	0.390861708719711	0.751034981744518
AC005154.6	0.478876422531366	0.305902608574774	1.70450922372066	0.179466678336324	0.85757127936297	NA
AC005258.1	0.281295391748601	-0.473340903274276	1.92818695653161	-0.245484962788937	0.806080949985635	NA
AC005324.3	0.0332869175680156	0.551087461200122	3.75867833540884	0.14661735110679	0.883434057490238	NA
AC005324.4	0.503997054053757	0.303552996943408	1.53196620287388	0.198146014170521	0.842930824374191	NA
AC005520.1	1.42616899802896	0.338381422783676	1.01703482062791	0.332713704506952	0.739350403687355	NA
AC005670.2	0.0332869175680156	0.551087461200122	3.75867833540884	0.14661735110679	0.883434057490238	NA
AC005702.1	0.588834573943742	0.866282638263932	1.43076188580604	0.605469468300728	0.544867105352145	NA
AC005726.1	1.24207533016328	-2.50599768326003	1.36097742443531	-1.84132200745343	0.0655743845365197	NA
AC005779.2	0	NA	NA	NA	NA	NA
AC005832.4	0	NA	NA	NA	NA	NA
AC005833.2	0.450193476035616	-1.14051148381743	1.6158160851374	-0.705842387823764	0.480286158645082	NA
AC005837.2	0	NA	NA	NA	NA	NA
AC005943.1	2.2569903370768	-0.544903570982384	0.974388958601931	-0.559225929411413	0.576007539126312	0.854411740430062
AC006030.1	0	NA	NA	NA	NA	NA
AC006254.1	0.181317369973929	0.0107251402816822	2.52409590115752	0.00424910173847347	0.996609717527444	NA
AC006486.1	0	NA	NA	NA	NA	NA
AC006978.2	0.0744903904604005	0.551087461200122	3.75867833540884	0.14661735110679	0.883434057490238	NA
AC007040.2	1.0141834096024	1.16429855732618	1.07497756868198	1.08309102556783	0.27876802201027	NA
AC007192.1	2.08442541513448	-1.43686937052691	1.11124853288002	-1.29302251297734	0.196003272833143	0.56430413334567
AC007240.1	0.148549986633733	0.0394668021916202	2.40360161017889	0.0164198601068015	0.98689943581068	NA
AC007325.1	0.67710958645423	-0.108549372567183	1.45654160311603	-0.0745254185221755	0.940592316345659	NA
AC007325.2	0.191402440473932	1.66476911960837	2.44344438936215	0.681320650003804	0.495668619667062	NA
AC007325.4	1.06870528254249	0.986094874510658	1.087279117723	0.906938115923495	0.364439523401467	NA
AC007326.4	1.6770068566145	-0.807798052945688	1.11459554823031	-0.724745450695779	0.468608206328973	NA
AC007375.2	0	NA	NA	NA	NA	NA
AC007906.2	0.199667505078445	-0.172289598758405	2.05132103433078	-0.0839895832368398	0.933064713877084	NA
AC007998.2	0	NA	NA	NA	NA	NA
AC008073.3	0.954365175141051	1.09261086793738	1.09262102004368	0.999990708483434	0.317315004433795	NA
AC008403.1	0	NA	NA	NA	NA	NA
AC008537.1	0.100023497065901	0.288634937682354	3.02033659072182	0.0955638317163101	0.923866991794876	NA
AC008575.1	0.685343261014377	0.790347126691434	1.45035150668854	0.544934881679797	0.585798304696646	NA
AC008687.1	0	NA	NA	NA	NA	NA
AC008695.1	0.346632866361592	1.78213431998734	1.6537275931697	1.07764684301574	0.281191389151296	NA
AC008750.8	0.0323365890531283	0.551087461200122	3.75867833540884	0.14661735110679	0.883434057490238	NA
AC008758.1	1.40468844461663	-0.814276930141173	1.15259300942796	-0.706473944818827	0.479893450323409	NA
AC008758.4	0.834511522614194	0.124323540902791	1.2827215434105	0.0969216908700539	0.922788583077782	NA
AC008758.5	0	NA	NA	NA	NA	NA
AC008758.6	0.172949518507353	1.66927785212904	2.51755993826625	0.663053866863887	0.507296055371486	NA
AC008763.2	1.15899212865047	-1.43954889879734	1.32326934409316	-1.08787293019614	0.276651207900438	NA
AC008763.3	1.51689463704528	-0.175690615388333	1.02345298053565	-0.171664569579328	0.863701241637092	NA
AC008764.1	0	NA	NA	NA	NA	NA
AC008764.4	0.159533782943893	0.0119252329159262	2.35894222545073	0.00505533064238044	0.995966446911193	NA
AC008770.1	0	NA	NA	NA	NA	NA
AC008770.2	0.167139166066021	0.0122201962759022	2.32302231199701	0.00526047305391441	0.995802769125803	NA
AC008878.1	0	NA	NA	NA	NA	NA
AC008878.3	0.640998610973558	-1.4654240513761	1.56816203731385	-0.93448509561312	0.350053720642202	NA
AC008982.1	0	NA	NA	NA	NA	NA
AC009119.2	0.0876369440750354	0.551088752185196	3.59400180234484	0.15333569165871	0.878133555597244	NA
AC009133.6	4.68527078442761	-0.902516058349914	0.665593833635283	-1.35595615936018	0.175113117382881	0.535335967117349
AC009163.2	1.58042419087364	2.75225413258902	0.805239969843522	3.41793035077959	0.000630992518779201	NA
AC009163.4	0.684306384787032	1.63035504568119	1.26012135328345	1.29380796653675	0.195731760244027	NA
AC009690.1	0.0323365890531283	0.551087461200122	3.75867833540884	0.14661735110679	0.883434057490238	NA
AC009690.3	0	NA	NA	NA	NA	NA
AC009779.3	1.69504611494813	-0.395045114578883	1.00023304094392	-0.394953074341634	0.692877519692662	NA
AC010132.3	4.06528168450918	0.313225098098857	0.644910771051582	0.485687496873585	0.627188749785357	0.875291272840276
