baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.62060924424485	0.287523926393097	0.621293788961066	0.462782553924927	0.643520237577772	NA
A1CF	0.346805392566325	-0.142790885224296	1.74845156985398	-0.0816670519711452	0.934911479528941	NA
A2M	0.291863151323715	-1.21173474712102	1.8731055276282	-0.646912162314406	0.51768879387204	NA
A2ML1	0.871107873088128	0.283067705118242	1.19554638501806	0.236768483988152	0.812836402552373	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.9045374099241	0.337223251446417	0.4887229562438	0.690009026869188	0.490188510699424	0.999520808288229
AACS	7.373644426435	0.264474530374103	0.42271192847947	0.625661384398213	0.531537066744293	0.999520808288229
AADACL2	0.0367383999505334	-0.138709100423874	3.75867833540884	-0.0369036900862617	0.970561797489826	NA
AADACL3	0.0723780204795079	-0.40009263373585	3.29900917902213	-0.121276605194061	0.903471949578267	NA
AADAT	1.87417786277859	-0.452892830037794	0.898977645742933	-0.503786531492131	0.614411393252745	NA
AAED1	8.32277261990641	0.135906686515934	0.387149672051602	0.35104430231267	0.725555112278242	0.999520808288229
AAGAB	4.31189005397067	0.206150397803859	0.556385273739975	0.37051735107605	0.710997050759896	0.999520808288229
AAK1	6.83845075880218	-0.584636742751244	0.467234634178915	-1.25127013278595	0.210835938400511	0.999520808288229
AAMDC	10.0872785409667	0.238120583818771	0.34947313521898	0.681370210816246	0.495637267189306	0.999520808288229
AAMP	5.95391249658958	0.00895772682505815	0.477528416865563	0.01875852097736	0.985033743460135	0.999520808288229
AANAT	0.22311959992916	0.56001738368487	2.11613707802139	0.264641354996006	0.791285758904714	NA
AAR2	3.51399195832018	-0.929706961385069	0.705241556200543	-1.31828159190423	0.187409400822085	NA
AARD	1.54902780748581	-0.292653852937884	0.983679746396467	-0.297509279834183	0.766077724282576	NA
AARS	9.14906950953476	-0.0327747899860055	0.367998143848363	-0.0890623785306662	0.929032336119906	0.999520808288229
AARS2	1.76403087189431	-0.858789341263309	1.03021941021075	-0.833598486644341	0.404507278710279	NA
AARSD1	5.46662229703101	0.247148698104238	0.473143200448696	0.522354961182702	0.601423208515471	0.999520808288229
AASDH	2.78219401885516	-0.811538579583377	0.799601116624774	-1.01492927249651	0.310139543304388	NA
AASDHPPT	8.20281375144917	-0.506476096534774	0.424159633908169	-1.19406953431223	0.232450769345402	0.999520808288229
AASS	2.60023829820891	1.22295120465249	0.612666473015571	1.99611249924135	0.0459216788114377	NA
AATF	1.58741305885216	-0.0772401189732064	0.987930291501188	-0.0781837743388128	0.937681868707754	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	24.1865380857275	-0.236833872963606	0.253710347263085	-0.933481332229708	0.350571504513666	0.999520808288229
ABCA1	26.4165824887476	0.580633765753498	0.258869641663613	2.2429581237185	0.0248995150414338	0.718186012158946
ABCA10	0.243553811654594	0.306187970566758	1.9509082829589	0.156946368643414	0.875287115762091	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	2.05994560833341	0.36107119016808	0.739953715788176	0.487964561112417	0.625574943259844	NA
ABCA2	1.13911434664522	-2.9898590484613	1.3743205750814	-2.17551792694672	0.0295913262055698	NA
ABCA3	4.71666486354339	0.772722199592645	0.48988015252163	1.57736988448114	0.11471044071735	0.999520808288229
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.98672733494621	-0.116791337362226	0.512934624771642	-0.227692442120126	0.819885348440025	0.999520808288229
ABCA6	0.778510823303158	0.38931588319243	1.21942774807735	0.319261131958214	0.749528503808114	NA
ABCA7	1.09738412860651	-0.704694179612273	1.24606327694065	-0.565536431939834	0.571708951412666	NA
ABCA8	1.86004622406507	-0.126277122919324	0.84597509592009	-0.149268132748026	0.881342059911094	NA
