baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.40449903391854	0.158952529195682	1.10523294750772	0.143818124092407	0.885644090705337	NA
A1CF	0.386222335962915	2.32722212966643	1.92852421508541	1.20673731315495	0.227533324395446	NA
A2M	0.201581594115351	1.30348657301573	3.06777069208941	0.424897003018158	0.670911759508529	NA
A2ML1	0.44396476719344	0.334130197218396	1.86041509233168	0.179599810061543	0.857466753805874	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	3.6214651837285	-0.625610312562851	1.07129643737044	-0.583974977176673	0.559237147312148	0.835879296174722
AACS	5.87813988313698	1.05185023221545	0.575614628864687	1.82735145958689	0.0676469426382311	0.327617641121357
AADACL2	0.0254696408756947	2.32699522093397	3.75867833540884	0.619099325157032	0.535850927877127	NA
AADACL3	0.0503905600274982	2.06469153164804	3.75867833540884	0.549313175378032	0.582790547094942	NA
AADAT	1.28074270942257	0.125231477920374	1.29548656655144	0.0966675233489594	0.922990431620611	NA
AAED1	6.94673791694965	0.863384232862972	0.553343520878197	1.56030422384402	0.118688005714702	0.426113543244189
AAGAB	2.23837911755872	-2.04783498331014	1.25773686798842	-1.6281903118459	0.103484538418886	NA
AAK1	6.21650432446575	0.790825336864922	0.587385412553412	1.34634827485269	0.178190223953259	0.522748885102534
AAMDC	5.18969101412285	-3.20345181586131	1.19837469905017	-2.67316375954897	0.00751395602726255	0.09908874666561
AAMP	4.4213135029732	0.672733441083734	0.708656583232691	0.949308109175977	0.342463930414364	0.666926358862363
AANAT	0.100372050633882	2.06469153164804	3.75867833540884	0.549313175378032	0.582790547094942	NA
AAR2	2.80318763145939	0.482496298852415	0.906126786129017	0.532482105416666	0.594392132357502	0.850075551831354
AARD	1.1630465978863	0.317542871505382	1.36799512465317	0.232122809345457	0.816442629356936	NA
AARS	5.58106360339327	-0.761237890360401	0.86345870140672	-0.881614707362629	0.377985199011808	0.69836081177072
AARS2	1.27946630394939	0.190422813676265	1.31366303002909	0.144955600731223	0.884745926934216	NA
AARSD1	3.829788233081	0.503929827614455	0.782148312571686	0.644289349621615	0.519387820645517	0.812095710907234
AASDH	2.44340058632128	0.890130325996226	0.934431597885905	0.952590139299754	0.340797775280345	NA
AASDHPPT	5.50458503592772	-0.660781329466165	0.86206342044867	-0.76651127259553	0.443372147107201	0.758283464050589
AASS	1.29336199577489	-0.0364012788381393	1.28618780018442	-0.0283016825637127	0.977421538646932	NA
AATF	0.86588090508652	-0.52302786055751	1.41806735963961	-0.368831464177016	0.712253350562864	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	14.8303283356771	-1.7648551906678	0.734725923799889	-2.40205923528633	0.016303068236057	0.157575544805484
ABCA1	16.0480929139314	-0.240522716337134	0.466252377646347	-0.51586378508416	0.605949549237871	0.853699824804191
ABCA10	0.128177605023713	1.81280588863332	3.75669976290726	0.482552773190055	0.629413318837175	NA
ABCA12	0	NA	NA	NA	NA	NA
