baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.31151469577937	0.013893510663755	0.681456917858319	0.0203879516072997	0.98373389507871	0.999119755586449
A1CF	0.315487922703308	0.098780994824876	1.76194873515015	0.0560634897339725	0.955291229142928	0.998943765114595
A2M	0.281312646210521	-0.956381676385743	1.88443055205541	-0.50751760278063	0.611791688529797	0.998943765114595
A2ML1	0.622769401987632	-1.88941859108232	1.59395274165687	-1.18536675630566	0.235872469714594	0.998943765114595
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	4.78141072991731	-0.780953023817054	0.644724510792584	-1.21129724517065	0.225781504178589	0.998943765114595
AACS	6.44284781810111	-0.323860733632301	0.501961986394545	-0.645189760201771	0.518804221156981	0.998943765114595
AADACL2	0.0354584539810915	0.115444376435682	3.75867833540884	0.0307140878079754	0.975497556017377	0.998943765114595
AADACL3	0.0698938506203344	-0.146225848927812	3.36281611305945	-0.0434831534082242	0.965316393456515	0.998943765114595
AADAT	1.51227636851461	-3.05418929456397	1.31303978545949	-2.32604474623377	0.0200161637090903	0.998943765114595
AAED1	8.46403727606501	0.438923983353768	0.378399714078185	1.15994797835148	0.246069986980174	0.998943765114595
AAGAB	4.07928836958905	0.290367432381839	0.6032572474325	0.481332687866844	0.630280068568271	0.998943765114595
AAK1	7.11800781842992	0.116451769825033	0.424291538589561	0.274461683143963	0.783729845807452	0.998943765114595
AAMDC	9.209900132587	-0.157538885009494	0.395384078726852	-0.398445191614122	0.690302051503182	0.998943765114595
AAMP	5.55630147460053	-0.472449512217394	0.585284988307472	-0.807212762424718	0.419543914111965	0.998943765114595
AANAT	0.216999550267614	0.841767392694611	2.1280201846822	0.395563631752074	0.692426970900015	0.998943765114595
AAR2	3.74009336913387	0.0828585228118278	0.58553654218376	0.141508713534439	0.887468076906336	0.998943765114595
AARD	1.33157008969403	-1.15615448889647	1.24949630946881	-0.925296441562099	0.354811729236918	0.998943765114595
AARS	8.81917799338371	-0.0212988376543793	0.382704586286986	-0.0556534685435088	0.955617868734934	0.998943765114595
AARS2	1.70439619712067	-0.692238427218434	1.03968195724323	-0.665817486199279	0.505527766641763	0.998943765114595
AARSD1	4.76392279697036	-0.310719162908775	0.578861833690951	-0.536776040195223	0.591422323816814	0.998943765114595
AASDH	2.76340807766801	-0.405814281028957	0.768047841461397	-0.528371097634748	0.597241793678145	0.998943765114595
AASDHPPT	8.90855919976496	0.276091269022417	0.371982772069555	0.742215203909475	0.457956958260782	0.998943765114595
AASS	2.87495471959286	1.61620724948436	0.599573454747194	2.69559507127584	0.00702630237167847	0.998943765114595
AATF	1.20958283363974	-2.72557220014212	1.39036559389352	-1.96032770956993	0.0499574992823401	0.998943765114595
AATK	0.141746112325071	1.37880800152083	3.02530095558244	0.455758954816241	0.648563322551285	0.998943765114595
ABAT	23.5920441637676	-0.0141211159170397	0.260176379297905	-0.0542751650059318	0.956715935835359	0.998943765114595
ABCA1	22.3335670903345	-0.273443373838005	0.293468313307408	-0.931764560051747	0.351458213656596	0.998943765114595
ABCA10	0.312156696412278	1.32609151113625	1.65889444171064	0.799382695965147	0.424068541000255	0.998943765114595
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.83816214170881	0.0869573799205973	0.820811992496633	0.1059406791269	0.91562941838273	0.998943765114595
ABCA2	1.23932456225585	-1.77225446448923	1.345505769573	-1.31716600892144	0.187782984897303	0.998943765114595
ABCA3	5.07864317738289	1.22166090006847	0.458501306202961	2.66446547379668	0.00771107815311179	0.998943765114595
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	5.06738308911698	0.177406644155892	0.489096175775797	0.36272343343207	0.716811492865311	0.998943765114595
ABCA6	0.829292162716558	1.09640857433553	1.07816789512719	1.01691821773842	0.309192336097511	0.998943765114595
ABCA7	1.20417336668572	0.634395346958503	0.96354172851924	0.658399452957201	0.510281486821658	0.998943765114595
ABCA8	1.6784527703685	-0.343677270183207	0.932466627305172	-0.368567903793441	0.712449822855658	0.998943765114595
ABCA9	1.87146642637893	-0.0285558626242336	0.838887432848194	-0.0340401602242158	0.972845126016962	0.998943765114595
ABCB10	0.105352304601426	-0.368904791518766	2.96707531151762	-0.124332803446798	0.901051775407865	0.998943765114595
ABCB11	0.142382090117868	-0.400557772309087	2.69427753551579	-0.148669825965944	0.881814171979413	0.998943765114595
ABCB4	2.17295153073385	-1.78076116672918	1.10062026188991	-1.61796146081426	0.105670903459633	0.998943765114595
ABCB5	1.12337228359276	-0.300261311643732	1.1459147595916	-0.262027615169862	0.793300151958944	0.998943765114595
ABCB6	8.53492629131004	0.0507401059770501	0.400979206516907	0.126540491757172	0.899304098847735	0.998943765114595
ABCB7	2.45018087166472	-0.213894858136747	0.760042322753507	-0.281424930866799	0.778384498424256	0.998943765114595
ABCB8	0.882317913380587	0.635108920890915	1.12385119772393	0.565118337887761	0.571993276292805	0.998943765114595
ABCB9	3.44203467539952	0.573651337608454	0.562895041630201	1.01910888386421	0.308151277034917	0.998943765114595
ABCC1	0.764920508073462	-0.994388424602918	1.4371677495058	-0.691908390614012	0.48899486103426	0.998943765114595
ABCC10	3.0277427319961	-0.0170646364116741	0.6918241563664	-0.0246661471049248	0.980321257556906	0.998943765114595
ABCC11	0.379051257520678	0.0524554310249192	1.64741571935251	0.0318410407335047	0.97459881744411	0.998943765114595
ABCC2	0.498361434089256	0.509289132463606	1.51284083337788	0.336644226694002	0.736385112132373	0.998943765114595
ABCC3	5.16327349806385	-0.223557385597363	0.627324653690213	-0.356366331663032	0.721566239909308	0.998943765114595
ABCC4	0.653144304633341	-1.96302827232752	1.67001161602406	-1.17545785519808	0.239811588760288	0.998943765114595
ABCC5	2.64890819925608	0.528310021402095	0.669303000531095	0.789343572317588	0.429911226446097	0.998943765114595
ABCC6	1.35345619848032	0.0344698753678355	0.97947561247521	0.0351921731677703	0.971926503274302	0.998943765114595
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.10813970635571	0.0745186586804583	0.77836553536702	0.0957373564148377	0.923729171025013	0.998943765114595
ABCD1	0.631744023530393	-0.531114637631596	1.48637822471645	-0.35732132562216	0.720851266844696	0.998943765114595
ABCD2	0.0354584539810915	0.115444376435682	3.75867833540884	0.0307140878079754	0.975497556017377	0.998943765114595
ABCD3	3.85628936734128	0.98052574305747	0.539486276955981	1.81751748828539	0.0691379129821579	0.998943765114595
ABCD4	10.984185189708	0.501133826549472	0.33292498302207	1.50524548203176	0.132260975828836	0.998943765114595
ABCE1	3.57646864641155	0.298649289449889	0.633169992664676	0.471673157145419	0.637160099805486	0.998943765114595
ABCF1	2.50101000503077	-0.405836786414118	0.794023984481618	-0.511114014621447	0.609271223073709	0.998943765114595
ABCF2	7.01094213148311	-0.143544616496897	0.452518098209149	-0.317212984552393	0.751081998072417	0.998943765114595
ABCF3	1.24146881287257	0.156736526936961	1.07825885922458	0.145360759706325	0.884426044762942	0.998943765114595
ABCG1	0.292898033255292	-0.755709197265265	1.89844344073549	-0.398067796516755	0.690580211692172	0.998943765114595
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.185697931476952	-0.422415305783245	2.22674233434167	-0.189701026144154	0.849543416665067	0.998943765114595
ABHD1	2.46064316030264	-3.81886796052515	1.2644015482902	-3.02029680815343	0.00252527085011262	0.998943765114595
ABHD10	1.68770584967541	0.639703455363931	0.830231523874552	0.770512124592116	0.440996165651905	0.998943765114595
