baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.99865391299261	0.546046582380188	0.545069353064857	1.001792853166	0.31644364967537	NA
A1CF	0.344608958627108	-0.480571397797252	1.74328759439749	-0.275669602274286	0.782801845124786	NA
A2M	0.367941925618127	-0.605559673842538	1.71766650031224	-0.352547874533537	0.724427421392163	NA
A2ML1	1.05549888760583	0.952004045147082	1.02164503493535	0.931834455797388	0.351422084931075	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.25201158523169	-0.856108431532672	0.574591237165907	-1.4899434174376	0.136239114201886	NA
AACS	7.8058805996768	0.266855248573266	0.408738765789399	0.652874821055661	0.513836982609341	NA
AADACL2	0.0384927017322554	-0.476316306572474	3.75867833540884	-0.126724413229328	0.899158522650523	NA
AADACL3	0.0760227073201839	-0.73798597997301	3.23894316132742	-0.22784777108301	0.81976458733628	NA
AADAT	1.80032743998177	-1.28300306003278	1.00792207925504	-1.27291889565616	0.203046823342309	NA
AAED1	8.9919462430698	0.230932473947585	0.350117459466219	0.659585712462497	0.509519725435641	NA
AAGAB	4.35802201570906	-0.15016004826176	0.573055066626082	-0.262034238953408	0.793295045300409	NA
AAK1	7.76530337878011	-0.0232571323034324	0.377750643134693	-0.0615674194766087	0.950907323192858	NA
AAMDC	9.51402409015271	-0.408209769869821	0.3666969164963	-1.11320753326798	0.265619308015964	NA
AAMP	6.22287066287937	0.0467474786172711	0.444590912907354	0.105147175212312	0.916259026339225	NA
AANAT	0.281648386155793	1.12197294665955	1.79681947199422	0.624421631748193	0.532350722464053	NA
AAR2	3.97363579083032	-0.201861583709172	0.561430319820692	-0.35954877494618	0.719184596626813	NA
AARD	1.66771583912046	-0.0763057253975743	0.876240378552067	-0.0870830964485622	0.930605461417382	NA
AARS	9.98580072034227	0.163254904965763	0.32640894343157	0.50015450939992	0.616966286850011	NA
AARS2	1.7789135065927	-1.75565442984676	1.17054953415892	-1.49985487893792	0.133651998091448	NA
AARSD1	5.58906447528239	0.104824473764236	0.455449286917483	0.230156192522984	0.817970401376546	NA
AASDH	3.15001400772033	-0.0658576477964519	0.630837365160724	-0.104397189249677	0.916854153149267	NA
