baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.81758707741408	0.578428188647084	0.596993170743799	0.968902521826867	0.332593827116786	NA
A1CF	0.33264870293856	-0.0333587176470822	1.75348029459846	-0.0190242900076166	0.984821728290691	NA
A2M	0.497117958643187	1.22295599208351	1.38258054002981	0.884545931810336	0.376401578990484	NA
A2ML1	0.705131858467546	-1.07712978424466	1.53201415516976	-0.70308083029775	0.482005377871351	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.08426476981893	-0.509349678612789	0.583560205111108	-0.872831413368583	0.382754974637362	NA
AACS	7.49156618225306	0.407292478400644	0.42521191778632	0.957857626665391	0.338134555908969	0.867897236680399
AADACL2	0.10435966664426	0.932300009769192	2.9412713819158	0.316971774689466	0.751265019312413	NA
AADACL3	0.0711384928176095	-0.291274252448844	3.34459308542151	-0.0870880986145839	0.930601485371933	NA
AADAT	1.61051288454682	-2.23400696080224	1.30522254181332	-1.7115908507821	0.0869720955733684	NA
AAED1	7.58878070029075	-0.410004293938604	0.443355470270484	-0.924775538888621	0.355082677006809	0.879540953852912
AAGAB	4.47991701237643	0.513385615141007	0.587531643818822	0.873800791058873	0.382226749578845	NA
AAK1	7.73263719869986	0.346573208680956	0.382283529094526	0.906586819217263	0.364625334534389	0.879829978757135
AAMDC	9.56988152642351	0.0457948708718189	0.365018638989409	0.125458992994458	0.90016018732595	0.994422029438849
AAMP	5.53876396067355	-0.392116687458599	0.53671132831445	-0.730591412501106	0.465028758905896	NA
AANAT	0.142949743050997	-0.2923299650037	2.65452640799577	-0.110125092040209	0.912310168612154	NA
AAR2	3.9136848820626	0.163759012305591	0.565196719298075	0.289738080059922	0.772016621596974	NA
AARD	1.41189483562539	-1.13127893812701	1.23071592890735	-0.91920394589463	0.357988907619024	NA
AARS	8.55953724130703	-0.417204577965071	0.408461826668781	-1.02140408411624	0.307063031166107	0.847777683496077
