baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.66982003148837	0.2953421842011	0.605062387429102	0.488118564857423	0.625465861980834	0.999486834045814
A1CF	0.320947476400373	-0.206799506540371	1.76466049786096	-0.117189400902351	0.906709965899469	0.999486834045814
A2M	0.294556928557902	-1.27016822706434	1.86771875518137	-0.68006396762932	0.496463958392532	0.999486834045814
A2ML1	0.957970367201491	0.645548590310269	1.1537770722984	0.559508943113501	0.575814429508727	0.999486834045814
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	6.19834755871471	0.573250178077218	0.458578091674351	1.25006010641324	0.211277591395734	0.999486834045814
AACS	7.43598647369113	0.214798664017855	0.419352886811722	0.512214582927847	0.608500838065663	0.999486834045814
AADACL2	0.037253386993934	-0.195902570321854	3.75867833540884	-0.0521200679707926	0.958433022768785	0.999486834045814
AADACL3	0.073370768858012	-0.457764518610798	3.29407286980118	-0.138966117843783	0.889476923255353	0.999486834045814
AADAT	1.99857699285419	0.00630974665539216	0.801177748417213	0.00787558899115402	0.993716254094917	0.999486834045814
AAED1	7.84113522487946	-0.416483438201853	0.426485399942815	-0.976547938704812	0.328793003833004	0.999486834045814
AAGAB	4.40176854188331	0.318423980962497	0.54054078820613	0.589084094873279	0.555804862337429	0.999486834045814
AAK1	7.62028450804906	0.0172363651241225	0.400171615482199	0.0430724330693795	0.965643794122392	0.999486834045814
AAMDC	9.24993240585474	-0.38241866635668	0.384150475568765	-0.995491846757391	0.319497107737827	0.999486834045814
AAMP	5.75775189390348	-0.234792799787486	0.491809662048346	-0.477405829746397	0.633073163722041	0.999486834045814
AANAT	0.256562651704769	1.25433215930827	1.82665835243467	0.686681314891989	0.492283574153669	0.999486834045814
AAR2	4.03137900523446	0.293247309390541	0.529719315748584	0.553589987512787	0.579859479869742	0.999486834045814
AARD	1.8038952690186	0.462021900053173	0.83537839120926	0.55306901030127	0.580216156000487	0.999486834045814
AARS	8.65655804457373	-0.586589078075726	0.404642169991521	-1.44964890359306	0.147156451285069	0.999486834045814
AARS2	1.95287475711947	-0.416688338834071	0.91991788346642	-0.452962537551627	0.650575717630624	0.999486834045814
AARSD1	5.21404841144737	-0.0835609398972544	0.503413016826509	-0.1659888344247	0.868165737116244	0.999486834045814
AASDH	2.99334865994004	-0.126191381569312	0.672975394227117	-0.187512623272412	0.851258727284135	0.999486834045814
AASDHPPT	8.58463134030307	-0.271218106333591	0.391300680282759	-0.693119434746715	0.48823460212754	0.999486834045814
AASS	1.81256513855004	-0.823904085923359	0.913695690870192	-0.901727012785496	0.367201899779572	0.999486834045814
AATF	1.3273678748375	-2.06685312164309	1.36474944235049	-1.51445610271391	0.129910199319156	0.999486834045814
AATK	0	NA	NA	NA	NA	NA
ABAT	23.4576338590306	-0.394892042469046	0.265249446643622	-1.4887572715641	0.136551297672757	0.999486834045814
ABCA1	23.9509067765341	-0.0496488899432094	0.257702089999479	-0.192660020503946	0.847225235803014	0.999486834045814
ABCA10	0.186636129976738	-0.712246541409374	2.22110630912363	-0.320671972558756	0.748458989130799	0.999486834045814
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	2.16568550388458	0.457107713791747	0.703359760165092	0.649891761912076	0.515762139892431	0.999486834045814
ABCA2	1.56744724465656	0.572354834146808	0.83850255528133	0.682591639753291	0.494864918332438	0.999486834045814
ABCA3	4.6105840137992	0.626077142252797	0.486149573004409	1.28782822616429	0.197805764396665	0.999486834045814
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.6030370518732	-0.649983730515763	0.55426884527607	-1.17268674949973	0.240921446997011	0.999486834045814
ABCA6	0.845602910463979	0.648614744226901	1.07684010073685	0.602331528871437	0.546953477685941	0.999486834045814
ABCA7	1.21781361372084	0.119497682042062	0.99415145883018	0.12020068067161	0.904324178588204	0.999486834045814
ABCA8	1.85691213425581	0.112700693998214	0.79662435486272	0.141472820044066	0.887496430528308	0.999486834045814
ABCA9	2.10915738821872	0.353729501097637	0.7258261129381	0.48734744423256	0.626012131074795	0.999486834045814
ABCB10	0.171202082055817	0.293595776368342	2.30766106336187	0.127226558973363	0.898761085164325	0.999486834045814
ABCB11	0.209889278828145	0.265498578238184	2.18052817070651	0.121758838892762	0.903090013137992	0.999486834045814
ABCB4	2.32485949837464	-0.87010347112592	0.828556644598429	-1.05014361636992	0.293652088053205	0.999486834045814
ABCB5	1.24926307779932	-0.132621928014929	1.04965014531443	-0.126348696855752	0.899455910573595	0.999486834045814
ABCB6	8.86882666982951	-0.191626030283116	0.388667927199506	-0.493032784217239	0.621989422786452	0.999486834045814
ABCB7	2.8303636669428	0.266322504083143	0.652416641932359	0.408209243857324	0.683120062231535	0.999486834045814
ABCB8	1.16429176040861	1.15188123048567	1.00945740366528	1.14108948659276	0.253832685883233	0.999486834045814
ABCB9	3.4405288833107	0.25998392957905	0.565120817163652	0.460050172782366	0.645480207867358	0.999486834045814
