baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.39978719409246	-0.235806490310123	0.682126176901743	-0.345693360400227	0.729573174618827	0.999357712915841
A1CF	0.324461318277368	-0.128466354722923	1.76978223286907	-0.072588792189794	0.942133345728252	0.999357712915841
A2M	0.291102053615371	-1.19776562457376	1.87619734956312	-0.63840065910586	0.523212902011224	0.999357712915841
A2ML1	0.784996932075415	-0.329356422583276	1.37955830766952	-0.238740487264837	0.811306820064308	0.999357712915841
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.73638073662244	0.193882456004778	0.513615830776174	0.37748535848629	0.705812943218955	0.999357712915841
AACS	6.84120327999771	-0.205335912856536	0.46438447836492	-0.44216790703151	0.65836770766268	0.999357712915841
AADACL2	0.0366775446666142	-0.124904606834134	3.75867833540884	-0.0332309912389852	0.97349038432938	0.999357712915841
AADACL3	0.128419529321803	0.574868521171495	2.48282542828743	0.231538035103829	0.81689684034547	0.999357712915841
AADAT	2.14255710953602	0.529121244640282	0.745413887066095	0.709835507254731	0.477806147471241	0.999357712915841
AAED1	7.58201928968667	-0.667170752631469	0.459935403090948	-1.45057490279682	0.146898267985622	0.999357712915841
AAGAB	4.49438421872062	0.412514276036514	0.536488153357325	0.768915908869588	0.441943232522404	0.999357712915841
AAK1	7.37851213080143	-0.106213697492024	0.421275887178219	-0.252123847399532	0.800945337681216	0.999357712915841
AAMDC	9.89173834703251	0.147737474243537	0.357338097049141	0.413438912513211	0.679285069996428	0.999357712915841
AAMP	6.14293248850163	0.282464081901176	0.456221993258952	0.619137363114472	0.53582587122299	0.999357712915841
AANAT	0.144817902406822	-0.387548854933588	2.62677561245211	-0.14753786090309	0.882707498015284	0.999357712915841
AAR2	4.2547145312695	0.494633394414684	0.512757583461649	0.964653493909134	0.33471839614486	0.999357712915841
AARD	1.35157453541451	-2.13401536212058	1.38242146724726	-1.54367927052661	0.122666050571288	0.999357712915841
AARS	8.91718558896787	-0.242503638399632	0.384902357160735	-0.630039369435097	0.528668826469781	0.999357712915841
