baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.84481200286276	0.441193511886945	0.582187581158948	0.757820204630045	0.448558625082834	0.99864673114848
A1CF	0.448388492163286	1.02527830546106	1.42689686233678	0.718537080375938	0.472426193070917	0.99864673114848
A2M	0.299399994011018	-1.39500072446256	1.86261869155825	-0.748945949476925	0.45388978376586	0.99864673114848
A2ML1	0.713601769363062	-1.36847199657946	1.5308089328756	-0.89395349556055	0.37134677352006	0.99864673114848
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.39212294163272	-0.275405743292814	0.553531239894264	-0.49754327026858	0.61880599730559	0.99864673114848
AACS	8.18952339364589	0.65829297439716	0.380186274103779	1.73150115939606	0.083362418277177	0.99864673114848
AADACL2	0.12088770802445	0.641032550311408	2.78467862689562	0.230199831362959	0.8179364928919	0.99864673114848
AADACL3	0.0745491954576778	-0.582690297463479	3.27289433481315	-0.178035169441773	0.858695355714182	0.99864673114848
AADAT	1.96126316499733	-0.3051348637913	0.836921661955094	-0.364591905864269	0.715416057736906	0.99864673114848
AAED1	7.92986327175359	-0.467854353041436	0.417839613575685	-1.11969841499169	0.262842300711672	0.99864673114848
AAGAB	4.73797501540525	0.493070564779616	0.518284476994012	0.95135121090133	0.341426118564778	0.99864673114848
AAK1	8.51852724777128	0.608161571901513	0.36523108754138	1.6651418585298	0.0958844573364502	0.99864673114848
AAMDC	9.42000022835213	-0.334429495323958	0.373294418924192	-0.895886673815699	0.370313292174532	0.99864673114848
AAMP	6.16089341764783	-0.037215142912727	0.482546517227406	-0.0771223945963927	0.938526177744139	0.99864673114848
AANAT	0.14893566861409	-0.583442259012836	2.59629037048841	-0.224721497119399	0.822195940018024	0.99864673114848
AAR2	3.81773659105623	-0.284693065219517	0.58449250847363	-0.487077355299176	0.626203513178286	0.99864673114848
AARD	1.56754467363933	-0.449225164032577	1.0048761933132	-0.447045284804118	0.654842363475361	0.99864673114848
AARS	9.12721924308389	-0.269353598760862	0.369346028244308	-0.729271680654693	0.465835491641196	0.99864673114848
AARS2	1.9693457086702	-0.0555447818352546	0.827439018862418	-0.0671285503451588	0.946479365263625	0.99864673114848
AARSD1	6.1794488626863	0.664960630803791	0.49771379192898	1.3360301474199	0.181539419675114	0.99864673114848
AASDH	3.22017039679146	0.151268565224656	0.62388682118841	0.242461549254257	0.808422547317365	0.99864673114848
AASDHPPT	8.2631621985773	-0.633835660413405	0.415837218956764	-1.52423985039999	0.127448806593178	0.99864673114848
AASS	1.68263479505415	-2.68211660555772	1.29719135049187	-2.06763374157614	0.0386744767333446	0.99864673114848
AATF	1.54430608078722	-0.336147084060823	0.975405142728632	-0.344623038505286	0.730377783447812	0.99864673114848
AATK	0.0498501139690984	0.903329130273977	3.75867833540884	0.240331587240152	0.810073209389991	0.99864673114848
ABAT	24.770355811371	-0.242979655143895	0.240556993757746	-1.0100710494769	0.312461251303493	0.99864673114848
ABCA1	25.2349276944414	0.117507712529981	0.252785608903105	0.464851274721981	0.642037965814323	0.99864673114848
ABCA10	0.190536579689357	-0.836770939710259	2.20865259845178	-0.378860369574109	0.704791554676933	0.99864673114848
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	2.37636169453899	0.936588725332916	0.652634777345472	1.43508859448526	0.151261853252191	0.99864673114848
ABCA2	1.7532710815367	0.799128502096128	0.754600890526039	1.05900816196897	0.289596062599559	0.99864673114848
ABCA3	4.97521899885193	0.928609470207048	0.452512225941558	2.05212017923904	0.040157984287821	0.99864673114848
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	5.17335949023483	0.0145372802415796	0.469825506387198	0.0309418710647842	0.975315897615296	0.998958052143021
ABCA6	0.949586592303513	1.10931078193328	0.971621504629402	1.14171081707006	0.253574243027406	0.99864673114848
ABCA7	1.11055023060829	-0.44419777952477	1.10908606387928	-0.400507944325878	0.688782433343122	0.99864673114848
ABCA8	2.09446683265075	0.392585145837957	0.750952704028398	0.522782784763914	0.601125420925956	0.99864673114848
ABCA9	1.93740056847005	-0.165763223124651	0.795172436172081	-0.20846198331852	0.834868263471867	0.99864673114848
ABCB10	0.195436903482127	0.151445429603663	2.23302706085226	0.0678206871106443	0.945928375743368	0.99864673114848
ABCB11	0.224501345659405	0.124117069525647	2.14588169503029	0.0578396608783669	0.953876346230343	0.99864673114848
ABCB4	2.92127257160836	0.352547298636278	0.633946770841065	0.556114984493964	0.578132252079197	0.99864673114848
ABCB5	1.11757784968499	-1.19949599178208	1.27609288024208	-0.939975459744377	0.347230148564685	0.99864673114848
ABCB6	9.39914644369066	0.176262086809746	0.384747547540382	0.458124003483729	0.646863354758904	0.99864673114848
ABCB7	2.9713950016259	0.470607641856377	0.629365849684101	0.74774893186942	0.454611610471541	0.99864673114848
ABCB8	0.978569577626288	0.779656551232721	1.05796101948622	0.736942606459497	0.4611572525149	0.99864673114848
ABCB9	3.38620437737447	0.0763684073703095	0.578740046728148	0.131956320980466	0.895018840362145	0.99864673114848
ABCC1	0.833410611841039	-0.675840341270157	1.35181299893011	-0.499951059654737	0.617109538270883	0.99864673114848
ABCC10	3.1850966120588	-0.198102775304244	0.663452384386747	-0.298593810145634	0.765249988897106	0.99864673114848
ABCC11	0.343943296447403	-1.33649422505976	1.73845585805244	-0.768782375962662	0.442022513013658	0.99864673114848
ABCC2	0.482972085543848	-0.618761155493697	1.62194985422243	-0.381492161353122	0.702838086582088	0.99864673114848
ABCC3	6.1038058976177	0.575008311702788	0.496496952272197	1.15813059691764	0.246810745457694	0.99864673114848
ABCC4	1.04741572412134	0.807200284293795	1.115592148496	0.723562177613059	0.469334568626551	0.99864673114848
