baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.03055205932907	0.413349751986777	0.809930717933509	0.510351987934739	0.609804886902795	NA
A1CF	0.218582600511495	0.26950784150189	2.01774179139675	0.133569043695788	0.893743364346977	NA
A2M	0.41582949340102	1.09367582718682	1.68589682512819	0.648720497533212	0.516519053028484	NA
A2ML1	0.703917105711174	0.181491586446916	1.54071138267175	0.117797264619536	0.906228296975636	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.1432315677392	0.742329042191999	0.594058494768098	1.24958913765181	0.211449673141075	NA
AACS	6.24129819409784	0.468262880541631	0.540896094982621	0.865716881458862	0.386645440075841	NA
AADACL2	0.0299809815597712	1.22806541528058	3.75867833540884	0.326727989386995	0.743873628599492	NA
AADACL3	0.0593276981901252	0.965762714077667	3.66726893459816	0.263346575149251	0.792283464394903	NA
AADAT	1.59335472438346	-0.084119579176867	1.15898867381403	-0.0725801563703331	0.942140217988134	NA
AAED1	6.51059091501082	-0.208777159988963	0.578032659430712	-0.36118575063662	0.717960593527303	NA
AAGAB	3.40998349518273	0.0222040796803634	0.78673958460522	0.0282229089712134	0.97748436578334	NA
AAK1	6.23534586620403	0.229877491561503	0.532754178666959	0.431488856899621	0.666112953194164	NA
AAMDC	7.7875402142683	0.000733685655703165	0.501950875006563	0.00146166824730323	0.998833757887735	0.999615443018936
AAMP	5.57666577681525	0.765159782613259	0.545753687995193	1.40202402557103	0.160908072371307	NA
AANAT	0.256128763252417	1.92756843657036	2.08884004961376	0.922793699271889	0.356114724952369	NA
AAR2	3.08035270952017	-0.152099389251573	0.826312171400859	-0.184070130533981	0.85395843845891	NA
AARD	1.361380862254	0.132626766436847	1.23911788715012	0.107033211135285	0.914762632408641	NA
AARS	7.08414772901522	-0.396631190039533	0.569180659265624	-0.696845867094781	0.48589925812062	NA
AARS2	1.55412249504373	-0.0586156173850059	1.19876300614493	-0.0488967519722736	0.96100157731854	NA
AARSD1	4.50085143845842	0.270437866170947	0.644958970487089	0.41931018645528	0.674989452940672	NA
AASDH	2.58266895178731	0.245047282389664	0.864634584242617	0.283411381935775	0.776861504396232	NA
AASDHPPT	6.19170563242458	-1.30296465927059	0.767937031075691	-1.69670768115643	0.0897519397653248	NA
