baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.53391024044766	0.569041884357174	0.656950967918637	0.866186233289255	0.386388041630877	NA
A1CF	0.464993313913803	1.54847374654184	1.43452916028362	1.07942995472863	0.280396103467801	NA
A2M	0.272921848904362	-0.740756831942042	1.90279041597354	-0.389300274861351	0.697054033001766	NA
A2ML1	0.816831118976887	0.232243046047673	1.37927719456879	0.168380255225114	0.86628414037618	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.02306433787178	-0.14687601848594	0.587075181141289	-0.250182639641501	0.802446110006969	NA
AACS	6.61858137322761	0.272793517122229	0.491447044354221	0.555082221484695	0.578838422597544	NA
AADACL2	0.0343151080327085	0.329713267297224	3.75867833540884	0.087720533090353	0.930098799486285	NA
AADACL3	0.0678192682859663	0.0675767280706685	3.38668402353978	0.0199536560248798	0.984080342330862	NA
AADAT	1.73251513700442	-0.189466494028419	0.937132658581572	-0.202176812741957	0.839778499566539	NA
AAED1	7.48094777176059	-0.232747768890444	0.459344189941995	-0.506695793670178	0.612368282407442	NA
AAGAB	4.23807679416791	0.468832236967735	0.576393056551628	0.813389806901223	0.415994601577558	NA
AAK1	6.84797942248276	-0.0404683067166642	0.450406961059755	-0.0898483154466507	0.928407753248034	NA
AAMDC	9.24628943069484	0.0914741995747576	0.392256400151822	0.233200017996781	0.815606091875289	0.997234887362691
AAMP	5.84160726422397	0.157894504640169	0.511886680902026	0.308455973814231	0.757735395835081	NA
AANAT	0.243862968489969	1.54281005243308	2.02870933193817	0.760488468281021	0.446962659696126	NA
AAR2	3.96778580712148	0.452270483498811	0.567190084176499	0.797387853060691	0.425225811675446	NA
AARD	1.70774169168301	0.79197569134848	0.873447129527469	0.906724247610654	0.364552637577499	NA
AARS	8.44777329208721	-0.157464801725156	0.415002711473072	-0.379430778093539	0.704367998668127	0.996276535691955
AARS2	1.88626738429128	0.260176145891766	0.875433345139367	0.297196979457467	0.76631612779594	NA
AARSD1	4.81610279769334	0.124390476924793	0.546671309786264	0.227541622722852	0.820002607651412	NA
AASDH	2.51240273142995	-0.85254610633808	0.898285898102573	-0.949081031037994	0.342579401211533	NA
AASDHPPT	8.08415536584231	-0.122209591959089	0.429611408177398	-0.284465425342303	0.776053726607152	NA
AASS	2.07285333780241	0.662300462221211	0.742392790288831	0.892115967294806	0.372330777278685	NA
AATF	1.52928103707896	-0.0724863886760943	1.071990865554	-0.0676184760572876	0.946089347294021	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	21.8788054661734	-0.372584861324211	0.286536813546656	-1.30030363886749	0.193496921379166	0.918726454087986
ABCA1	27.7433653790699	1.02504470847878	0.241539029256619	4.24380569729682	2.19760652617234e-05	0.00525887241713041
ABCA10	0.173094543197944	-0.18605798243592	2.27209805523758	-0.0818881834817928	0.934735631095342	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.84120693662271	0.268917155332951	0.826966167587486	0.32518519604915	0.745040912196697	NA
ABCA2	1.27051024168513	-0.779783078930175	1.19736272896223	-0.651250502515662	0.514884794519279	NA
ABCA3	3.70747254971767	-0.186455947531158	0.655670946238844	-0.284374271272403	0.776123573979932	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.76492635974803	0.189284453630214	0.514551998209994	0.367862634463941	0.712975662940209	NA
ABCA6	0.777529876782997	0.966984979161195	1.14126824232844	0.847289833622578	0.396833591844317	NA
ABCA7	1.26537094896083	0.630238769409919	1.0093734403952	0.624386123299578	0.532374036118192	NA
