baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.23596000321519	-0.223134789324337	0.717833300475306	-0.31084485656571	0.755918567094176	0.998502590109834
A1CF	0.258406218604172	-0.838493463626162	1.92351119475457	-0.435918161491724	0.662896107724676	0.998502590109834
A2M	0.280369525291056	-0.949608579876297	1.87949847820614	-0.505245729585606	0.613386255135532	0.998502590109834
A2ML1	0.809480998883648	0.00179208145292509	1.35492934168233	0.00132263830872537	0.998944687621631	0.999888378714837
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.36557585840053	-0.0479431460092028	0.570309703953931	-0.0840651065146098	0.933004667376406	0.998502590109834
AACS	6.44980554212187	-0.258492055579923	0.510560645752732	-0.506290599814683	0.61265266104221	0.998502590109834
AADACL2	0.0352604340506123	0.122914650238132	3.75867833540884	0.0327015613653894	0.97391257876902	0.998502590109834
AADACL3	0.0697659886927579	-0.139255464704902	3.33973679734641	-0.0416965387259103	0.966740613259881	0.998502590109834
AADAT	1.65746237028844	-1.22760435972303	1.16694619005336	-1.05198026283191	0.292808605115065	0.998502590109834
AAED1	7.45265740304981	-0.35433716699056	0.454268569887583	-0.780016911753872	0.435380920808667	0.998502590109834
AAGAB	3.90577550097448	-0.236627014830243	0.640173289391054	-0.369629628026699	0.711658472214486	0.998502590109834
AAK1	7.41872302331243	0.248954518770897	0.404613353734939	0.615289921780451	0.538363272058805	0.998502590109834
AAMDC	9.52536730275244	0.186054122102692	0.374586168952977	0.496692450291854	0.619405947177029	0.998502590109834
AAMP	5.83497369421901	0.170658739836141	0.487457817956212	0.350099503074276	0.72626402381297	0.998502590109834
AANAT	0.218630258595902	0.822297018176449	2.12298605202194	0.387330391263423	0.698511629091379	0.998502590109834
AAR2	3.62222803778072	-0.25812423837549	0.637811807435878	-0.404702822001991	0.685695967594098	0.998502590109834
AARD	1.28670244291078	-1.88594701975592	1.3851322160956	-1.36156462021511	0.173335327093794	0.998502590109834
AARS	8.81254087415405	-0.00173200848474448	0.384601345105876	-0.00450338644621143	0.996406829628452	0.999888378714837
AARS2	2.16361728235723	0.850871812393061	0.757226205962432	1.12366926249153	0.261153360822039	0.998502590109834
AARSD1	4.80694710012806	-0.347536655600681	0.574525897843859	-0.604910338950695	0.54523857310995	0.998502590109834
AASDH	2.68329259185462	-0.852111850367691	0.860383539875371	-0.990386043985826	0.3219854642287	0.998502590109834
AASDHPPT	7.67425852515729	-0.722215363187896	0.474136500102211	-1.52322245393933	0.127703060282616	0.998502590109834
AASS	2.11362125459179	0.445037670558414	0.774544542315673	0.574579828847383	0.565575497232677	0.998502590109834
AATF	1.66710468768351	0.498268542852116	0.924044657417065	0.539225608689628	0.58973119218332	0.998502590109834
AATK	0	NA	NA	NA	NA	NA
ABAT	23.1000623250798	-0.231839861977117	0.268806398040885	-0.862478957594808	0.388424007586728	0.998502590109834
ABCA1	22.7599093750538	-0.13567021995814	0.281530829887115	-0.481901822306778	0.6298756915214	0.998502590109834
ABCA10	0.178415995212211	-0.392779733657201	2.24148010860068	-0.175232308397511	0.860897098645887	0.998502590109834
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	2.42574654727327	1.23334449681175	0.71197934788558	1.73227566287493	0.0832244929936753	0.998502590109834
ABCA2	1.42649764101862	0.087196839752307	0.952824946384867	0.0915140184806689	0.927084167839877	0.998502590109834
ABCA3	3.73428416891202	-0.321679878734843	0.640042944983153	-0.50259108588926	0.615251797815803	0.998502590109834
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.66379655364283	-0.343108969682418	0.555499994119437	-0.617657917758047	0.536800857413707	0.998502590109834
ABCA6	0.603337613143299	-0.854247373141393	1.48329192466787	-0.575913182654635	0.564673864710808	0.998502590109834
ABCA7	1.06112166386535	-0.505668002824411	1.24249808346072	-0.40697688757473	0.684024963492356	0.998502590109834
ABCA8	1.67756700364582	-0.615587517183713	1.00857624586669	-0.610352979962088	0.541628008451809	0.998502590109834
ABCA9	1.68776150379907	-0.716555242032354	1.00672556532696	-0.711768198515584	0.476608328474294	0.998502590109834
ABCB10	0.10502642274337	-0.360971339039846	2.94400715451175	-0.122612249255798	0.902414154135708	0.998502590109834
ABCB11	0.14227861345605	-0.393630642698653	2.66914443050235	-0.147474463427432	0.88275753456125	0.998502590109834
ABCB4	2.27740577775036	-0.746452469348811	0.875500039434058	-0.85260129723276	0.393880442961322	0.998502590109834
ABCB5	1.08171591978977	-0.757945119178546	1.27700981744663	-0.593531160703252	0.55282573543817	0.998502590109834
ABCB6	8.21720399378499	-0.307937579488281	0.43393389390072	-0.709641684635804	0.477926363169493	0.998502590109834
ABCB7	2.32445700829343	-0.710112406292446	0.870158458601576	-0.816072520209321	0.41445865965549	0.998502590109834
ABCB8	0.874594932546829	0.388339486522949	1.16381237316333	0.333678774584098	0.738621967910757	0.998502590109834
ABCB9	3.12317279293306	-0.0368786272810022	0.647166638987677	-0.0569847471413069	0.954557345414361	0.998502590109834
ABCC1	0.686804980490453	-1.95995460330714	1.48168380342914	-1.32278870753065	0.185905653609977	0.998502590109834
ABCC10	2.75951226689661	-0.658452656183584	0.803373725810106	-0.819609398502066	0.412438814087001	0.998502590109834
ABCC11	0.391913714199193	0.0720338945166541	1.64898819311853	0.0436836933200991	0.965156537653625	0.998502590109834
ABCC2	0.383885364901494	-1.14538396023208	1.71941837721157	-0.666146166292338	0.505317678395112	0.998502590109834
ABCC3	5.48504153877182	0.317992352425691	0.554928995146308	0.573032505432252	0.566622685185129	0.998502590109834
ABCC4	0.730521930941787	-0.994815284987673	1.59522683768866	-0.62361995265142	0.532877203891547	0.998502590109834
ABCC5	2.3438391984223	-0.239178442061804	0.802603349358073	-0.298003294221362	0.765700649369752	0.998502590109834
ABCC6	1.71261799337224	1.02460676550547	0.801545317118862	1.27828925404791	0.201147455399707	0.998502590109834
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	1.95135458754709	-0.783355939792298	0.970215669045862	-0.807403925523769	0.419433806051539	0.998502590109834
ABCD1	0.567033369183276	-0.532839337236156	1.50728083401396	-0.353510324825918	0.723705889729671	0.998502590109834
ABCD2	0.0352604340506123	0.122914650238132	3.75867833540884	0.0327015613653894	0.97391257876902	0.998502590109834
ABCD3	3.05699431431562	-0.00241066702475779	0.656305631903739	-0.00367308599465342	0.997069307984301	0.999888378714837
ABCD4	10.6069755222177	0.234403285703125	0.353095027588779	0.663853261553475	0.506784232751448	0.998502590109834
ABCE1	3.77000439485513	0.529417948234014	0.610625994886914	0.867008533320074	0.385937334181771	0.998502590109834
ABCF1	2.81352075393066	0.284986013938193	0.686729066450624	0.414990464013923	0.678148883974294	0.998502590109834
ABCF2	6.58728604745463	-0.699224753549667	0.523112207593738	-1.33666303978267	0.181332651566718	0.998502590109834
ABCF3	1.47134383395306	1.14723320971611	0.890406449422181	1.28843766850588	0.197593653389259	0.998502590109834
ABCG1	0.441489603197702	1.06638219365748	1.54534775343436	0.690059691281501	0.490156650464557	0.998502590109834
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.296126614966304	0.551117358511013	1.85946393626406	0.296385075162194	0.766936021882684	0.998502590109834
ABHD1	3.2513921140007	0.219047936460055	0.640928150875631	0.341766758350047	0.732526427804605	0.998502590109834
ABHD10	1.35508571048787	-0.379200378376542	1.0561754063144	-0.359031630645319	0.719571426835773	0.998502590109834
ABHD11	2.63103783349246	0.325436503658389	0.730789207986028	0.445321989025064	0.656087079283479	0.998502590109834
ABHD12	3.03788849131079	0.777327725799763	0.619503384894396	1.25475944886447	0.209566097452934	0.998502590109834
ABHD12B	0.88638833779232	-2.38344094028959	1.42158947555883	-1.6766028317371	0.0936201726735925	0.998502590109834
ABHD13	0.508568472756211	-0.346680971368445	1.67705528556707	-0.20672006125977	0.836228489176331	0.998502590109834
ABHD14A	4.39254284948976	0.687678383756517	0.498072910831386	1.38067814731911	0.167377943281333	0.998502590109834
ABHD14A-ACY1	2.06112257544101	0.811358514381812	0.725715095539288	1.11801245332906	0.263561674672955	0.998502590109834
ABHD14B	0.473103036382322	-1.51587752678932	1.71342964274719	-0.884703689588841	0.376316465212277	0.998502590109834
ABHD15	0.90602197445616	-1.23001619702032	1.3847545836513	-0.888255732490176	0.374403205775802	0.998502590109834
ABHD16A	0.0345055546421456	0.122914650238132	3.75867833540884	0.0327015613653894	0.97391257876902	0.998502590109834
ABHD17A	3.90515652742575	0.517586721770042	0.55803655329825	0.927514010884895	0.35365972067655	0.998502590109834
ABHD17B	2.2641598261783	-1.32753004948573	1.03988197112168	-1.27661608370206	0.201737820746351	0.998502590109834
ABHD17C	0.91415138671174	-0.289456683979105	1.38646179393533	-0.208773646158335	0.834624945306592	0.998502590109834
ABHD18	3.74800087699332	0.438618505087965	0.575221951333595	0.762520456792498	0.445749438548756	0.998502590109834
ABHD2	3.114557179185	-0.0391900536017371	0.666738021738638	-0.0587787891555098	0.953128303046944	0.998502590109834
ABHD3	0.544513428313375	-1.66047985771666	1.6665417195481	-0.996362610212312	0.319073992959369	0.998502590109834
ABHD4	21.7943127105525	0.242551966784631	0.264142487118471	0.918261842048315	0.358481799127117	0.998502590109834
ABHD5	0.279446495258997	0.355375291972423	1.90957889307414	0.186101392962257	0.852365249571419	0.998502590109834
ABHD6	0.802887733563583	0.184182341455126	1.32118353417134	0.139407082128561	0.889128476279193	0.998502590109834
ABHD8	0.598153043462025	1.44204252510848	1.45000760402962	0.994506870930188	0.31997616200559	0.998502590109834
ABI1	2.49489241965607	0.111744837311553	0.759082605215435	0.147210378085056	0.882965969316441	0.998502590109834
ABI2	16.1279245638841	-0.0993798008246308	0.308914308238451	-0.321706693973915	0.747674906180414	0.998502590109834
ABI3	0	NA	NA	NA	NA	NA
ABI3BP	0.550313305535318	0.413884139094081	1.52579988091343	0.271257157816991	0.78619325464032	0.998502590109834
