baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.96213237449067	0.456959377123181	0.556639930948685	0.820924536161791	0.411689254139053	0.998067235366407
A1CF	0.509211124774088	1.24498307831058	1.25700439635182	0.99043653460868	0.32196079543531	0.998067235366407
A2M	0.312125166187092	-1.66803583147491	1.83160688296712	-0.910695328231553	0.362455926322963	0.998067235366407
A2ML1	0.863270857186763	-0.180367195152716	1.22071602794006	-0.147755244483095	0.882535931276892	0.998067235366407
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.37889514834106	-0.751634332595005	0.544552708807122	-1.38027838341216	0.167500947994499	0.998067235366407
AACS	7.8679897753279	0.23117979283757	0.393424259285298	0.587609399729278	0.556794500323835	0.998067235366407
AADACL2	0.152283114370355	1.23131536388468	2.27282370042381	0.541755774394236	0.587986761648696	0.998067235366407
AADACL3	0.0776538070021078	-0.852383948407867	3.21359426141321	-0.265243176042088	0.79082213597667	0.998067235366407
AADAT	1.91481840363319	-0.907409266872932	0.901829975561748	-1.00618663324837	0.314325800836814	0.998067235366407
AAED1	8.61454465499315	-0.173552464224443	0.370640480700784	-0.468250159551653	0.639605705801643	0.998067235366407
AAGAB	4.44426781731057	-0.00657143746973065	0.536206242400466	-0.0122554288818271	0.990221827282769	0.998820770541206
AAK1	8.28490883262492	0.248870249674482	0.34886810558779	0.713364866803094	0.475620007537104	0.998067235366407
AAMDC	10.3574777368433	-0.0108757343932031	0.333656469623786	-0.0325956047112348	0.973997074901962	0.998067235366407
AAMP	6.7757820690225	0.412704958282612	0.400124645208574	1.03144098526468	0.302334069401641	0.998067235366407
AANAT	0.15529717324933	-0.853087296301885	2.5589752999502	-0.333370664546269	0.73885450419158	0.998067235366407
AAR2	4.2979754670719	0.188287668061308	0.494603702365211	0.380683903417849	0.703437814339307	0.998067235366407
AARD	1.64316606205782	-0.401495867020566	0.91111796096502	-0.440662882548509	0.659457071577842	0.998067235366407
AARS	10.3185836762014	0.285132690219155	0.310478449563415	0.918365479536824	0.358427557004316	0.998067235366407
AARS2	2.19093521160786	0.327363048705968	0.719810179555361	0.454790801803034	0.64925974828191	0.998067235366407
AARSD1	6.23375181602204	0.587762111365551	0.404380866354461	1.45348645366012	0.146088738129583	0.998067235366407
