baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.98566674714912	-1.23736743389676	0.953334442716877	-1.29793635732957	0.194309205327074	0.999391357656934
A1CF	0.252374713845823	-0.674284650521182	1.95050317291351	-0.345697797309392	0.729569839814747	0.999391357656934
A2M	0.338663373819529	0.15366445857143	1.75034598288732	0.0877909053831461	0.930042866308107	0.999391357656934
A2ML1	1.07097402430707	1.24776789367391	1.11913161986702	1.11494293568631	0.264874876046502	0.999391357656934
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	4.69728774310435	-0.88657311240999	0.681293834943448	-1.30130799214348	0.193153052679156	0.999391357656934
AACS	6.30442640040065	-0.425026124148221	0.549937003791331	-0.772863293828276	0.439603290109728	0.999391357656934
AADACL2	0.0345817498204507	0.285492869163398	3.75867833540884	0.0759556534736949	0.939454379627727	0.999391357656934
AADACL3	0.0682032933701915	0.0236772495568636	3.3967408787486	0.00697057868175878	0.994438327929317	0.999391357656934
AADAT	1.53939739085529	-1.92454521135457	1.30553327820293	-1.47414489043413	0.140442584143885	0.999391357656934
AAED1	7.57654235402078	-0.0716911364507137	0.439076489205884	-0.163277101400657	0.870300262384085	0.999391357656934
AAGAB	4.36632921995171	0.523491698698777	0.567061507287317	0.923165638949879	0.355920892411115	0.999391357656934
AAK1	6.56887012167309	-0.502630427493201	0.501281505781927	-1.00269094649556	0.31600999947118	0.999391357656934
AAMDC	8.43645797271861	-0.619753192125786	0.468917953665405	-1.3216665885393	0.186279199119534	0.999391357656934
AAMP	5.3135345454021	-0.387936593432177	0.569677341497131	-0.680975993204622	0.495886680977462	0.999391357656934
AANAT	0.136970925959108	0.0226890449841952	2.68377178263444	0.00845416332752525	0.993254633958344	0.999391357656934
AAR2	3.56001183830683	-0.0428265523972669	0.640854967961483	-0.0668272144842621	0.946719257806449	0.999391357656934
AARD	1.54887048583162	0.097669163326595	0.988822959026074	0.0987731549263306	0.921318383505999	0.999391357656934
AARS	8.09457396780459	-0.418766219624279	0.443243638303336	-0.944776604639488	0.34477293832844	0.999391357656934
AARS2	1.88198715916381	0.0325351872870016	0.932522889445192	0.0348894248658695	0.972167913215257	0.999391357656934
AARSD1	5.4426594042659	0.603378185414376	0.478060479671011	1.26213776514136	0.206899218148663	0.999391357656934
AASDH	2.88340841546448	0.0498050093670382	0.726196526495342	0.0685833759180858	0.945321251800882	0.999391357656934
AASDHPPT	8.25047119707484	0.0688649626221748	0.406360129629142	0.16946781340242	0.865428687342381	0.999391357656934
AASS	2.04645408741015	0.495853183249302	0.763366661684364	0.649560962166209	0.515975856242078	0.999391357656934
AATF	1.6220591302947	0.335746525439222	0.968532355305772	0.346654939920127	0.728850566099882	0.999391357656934
AATK	0.0870626465418332	1.53262215580034	3.52279440526622	0.435058643646427	0.663519861147814	0.999391357656934
ABAT	22.418567092979	-0.359713178764041	0.281288214326051	-1.27880643569049	0.200965227060628	0.999391357656934
ABCA1	23.5249450305811	0.263413448551469	0.263295319273473	1.00044865696178	0.317093432869737	0.999391357656934
ABCA10	0.261645015370751	0.742977330954146	1.92084786680461	0.386796551561426	0.698906830362465	0.999391357656934
ABCA12	0.145235515338545	1.5304533207739	2.95178288848428	0.518484379980867	0.604120355528605	0.999391357656934
ABCA13	1.86959744126448	0.0982566303545375	0.843198612958276	0.116528453491893	0.907233737075026	0.999391357656934
ABCA2	1.46059506320683	0.487704893723497	0.921698427980957	0.52913716560399	0.596710301191056	0.999391357656934
ABCA3	4.9123737905143	1.10927155794355	0.494623643340206	2.24265777198319	0.0249188916996306	0.999391357656934
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	3.98287643926627	-1.60201105927732	0.814561542458463	-1.96671580448325	0.0492159838122456	0.999391357656934
ABCA6	0.931439922930323	1.1873083100789	1.08579569702202	1.09349144902241	0.27417808136877	0.999391357656934
ABCA7	1.20801611298322	0.612474153119953	1.05769450287133	0.57906527022431	0.562545132871147	0.999391357656934
ABCA8	1.58444954767785	-1.08819400809022	1.15575965188489	-0.941540056633329	0.346428171871416	0.999391357656934
ABCA9	1.65893353545139	-1.11030156621252	1.13884371480268	-0.974937607136804	0.329591210098696	0.999391357656934
ABCB10	0.16704558080489	0.747977316670702	2.33756566092307	0.31998130755195	0.748982500612578	0.999391357656934
ABCB11	0.13903133901321	-0.23007501346332	2.70526795902798	-0.0850470330288416	0.932223999179391	0.999391357656934
ABCB4	2.77370130268937	0.47186255471889	0.692208594407761	0.681676821887203	0.495443326658822	0.999391357656934
ABCB5	0.973861211046583	-1.42922035024403	1.41832980904838	-1.0076784265029	0.313608865041291	0.999391357656934
ABCB6	8.51348039718845	0.0960059426261277	0.405825349157124	0.236569605189835	0.812990702452633	0.999391357656934
ABCB7	2.3575514194941	-0.55601234454606	0.866700030967786	-0.641528008168176	0.521179689757637	0.999391357656934
ABCB8	0.815245680472277	0.401871625399055	1.22711229707761	0.327493764308385	0.743294458536497	0.999391357656934
ABCB9	3.06642140322541	-0.286324695633384	0.719502768415565	-0.397948011046444	0.690668508671389	0.999391357656934
ABCC1	0.758594563962974	-0.828497651566501	1.45147569986706	-0.570796777129912	0.568137407855101	0.999391357656934
ABCC10	4.02149759188393	1.31222374065901	0.546025096695626	2.4032297207586	0.0162509751335127	0.999391357656934
ABCC11	0.314117732683029	-0.731491631316407	1.77374534963701	-0.412399463917469	0.680046656023988	0.999391357656934
ABCC2	0.376030141987693	-0.98496108205258	1.73878602100087	-0.56646480369426	0.571077852552	0.999391357656934
ABCC3	4.95040583352495	-0.0769317271984123	0.61994798168019	-0.124093842502578	0.901240973447548	0.999391357656934
ABCC4	0.699922407653591	-0.837128429468676	1.60498464527293	-0.521580335322348	0.601962557953137	0.999391357656934
ABCC5	2.30882169421647	-0.139098662137143	0.811898849532962	-0.17132511299549	0.863968135072008	0.999391357656934
ABCC6	1.1442389036453	-1.51668952581698	1.34810485577594	-1.12505308420093	0.260566540340427	0.999391357656934
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.27994909354682	0.537244532215999	0.73092062089968	0.735024456629384	0.46232459967403	0.999391357656934
ABCD1	0.541698179149007	-0.376188066908039	1.51798128277566	-0.247821281577446	0.80427268814335	0.999391357656934
ABCD2	0.0345817498204507	0.285492869163398	3.75867833540884	0.0759556534736949	0.939454379627727	0.999391357656934
ABCD3	2.90553068965872	0.0512515558836334	0.681918351665064	0.0751579067471798	0.94008907513592	0.999391357656934
ABCD4	9.65835190468589	-0.243736744524884	0.404806895174405	-0.602106207750918	0.547103442613481	0.999391357656934
ABCE1	3.21950762161491	-0.183807600408709	0.723596112779337	-0.254019607295433	0.799480410381839	0.999391357656934
ABCF1	2.47828677358465	-0.237161481504749	0.801694891206673	-0.29582511265325	0.767363643766161	0.999391357656934
ABCF2	6.85352481097336	-0.142549709986655	0.469629036492331	-0.303536832073592	0.76148078267448	0.999391357656934
ABCF3	1.15659160604443	0.199128451768919	1.08743210065373	0.18311805550821	0.854705389061806	0.999391357656934
