baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.5177640523557	-0.179298299224854	0.63861774180221	-0.280759971871225	0.778894506992085	0.99913934758377
A1CF	0.411691589240029	0.531085117289642	1.61202354030542	0.329452457740797	0.741813723149828	0.99913934758377
A2M	0.302146243916395	-1.44648174214631	1.85763986747908	-0.778666396791574	0.436176255612365	0.99913934758377
A2ML1	0.725549898412642	-1.41931143923942	1.52677402487358	-0.929614609704241	0.35257066034967	0.99913934758377
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	6.47367797109637	0.645832617814272	0.440736479652895	1.46534867801935	0.14282581198382	0.99913934758377
AACS	7.45116580137808	0.11016455549699	0.414739754248171	0.265623332146429	0.790529314477702	0.99913934758377
AADACL2	0.0379530368963926	-0.372830003352128	3.75867833540884	-0.0991917823453691	0.92098599942019	0.99913934758377
AADACL3	0.0750614772090934	-0.634676788427963	3.27052983960155	-0.194059317466825	0.846129435979412	0.99913934758377
AADAT	1.80856208948084	-1.12198453738483	1.00151446789869	-1.12028789732704	0.262591097788799	0.99913934758377
AAED1	7.99901053374874	-0.436076010659853	0.417017038738383	-1.04570310119493	0.295698130564687	0.99913934758377
AAGAB	4.4516348893069	0.174552622207691	0.540412906731154	0.322998618340787	0.746696288436501	0.99913934758377
AAK1	7.71416773107458	0.0152326113524273	0.39094563718122	0.0389635026042414	0.96891948720642	0.99913934758377
AAMDC	9.84688894106597	-0.0640286760743397	0.351399551852259	-0.182210465940661	0.855417559851917	0.99913934758377
AAMP	6.18002700649231	0.0640598543073872	0.462312841769803	0.138563865243623	0.889794799147137	0.99913934758377
AANAT	0.150742435286681	-0.63560279112758	2.5921907143827	-0.245199084928804	0.806302284887373	0.99913934758377
AAR2	3.86926853690316	-0.293860213139309	0.578558811059559	-0.507917617918808	0.61151111875422	0.99913934758377
AARD	1.31047568074597	-3.34181845013299	1.39472880990699	-2.39603457417349	0.0165735269136678	0.99913934758377
AARS	9.44828371766856	-0.0847194132917877	0.35557107820781	-0.238262947928162	0.811677157152756	0.99913934758377
AARS2	2.06613475508614	0.167368567173201	0.796566503838644	0.210112484477635	0.833579881764696	0.99913934758377
AARSD1	5.4736573227603	0.0310287965465694	0.472220274956982	0.065708310701814	0.94761005573193	0.99913934758377
AASDH	3.33948381009331	0.346616312431451	0.59331823991044	0.58419965731	0.559085992068855	0.99913934758377
AASDHPPT	8.38491847014693	-0.583817170832753	0.408001687306069	-1.43091852067463	0.152453568374476	0.99913934758377
AASS	2.30257498804656	0.47535664404656	0.665318101639505	0.714480250687852	0.474930264010514	0.99913934758377
