baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.32077356464879	0.173305472509158	0.689815099345102	0.251234675311821	0.801632677067613	NA
A1CF	0.248027118827379	-0.559754250256022	1.94755918907123	-0.287413216192398	0.77379594285217	NA
A2M	0.269145988293289	-0.669296843879234	1.90472921675855	-0.351386873257626	0.725298128947124	NA
A2ML1	0.916957640625817	1.01933970118693	1.16780812542293	0.872865737954824	0.382736263138885	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	4.90047300307942	-0.22987302330775	0.6042912159519	-0.380401066968426	0.703647722722777	NA
AACS	6.39266786712334	-0.130681702826801	0.508428871196809	-0.257030452498074	0.797155264896518	NA
AADACL2	0.184840809942612	1.47059343353932	2.47355286465399	0.594526785561556	0.55215983248197	NA
AADACL3	0.0670314507569659	0.138659882406076	3.43459081614576	0.040371587134702	0.967796881957062	NA
AADAT	1.65528891489686	-1.01856065450248	1.14287210045427	-0.891228908377086	0.372806378710866	NA
AAED1	7.32424968319193	-0.40187555425832	0.486315251479237	-0.826368395882969	0.408595145647776	NA
AAGAB	3.98912933499974	0.0539417380909528	0.65658882003198	0.0821545180868684	0.934523840437136	NA
AAK1	6.5074666482969	-0.176003489097901	0.477566387500123	-0.36854245546721	0.712468794437386	NA
AAMDC	7.98712889590238	-0.938274677606679	0.505906598405325	-1.85464012638742	0.0636476340126711	NA
AAMP	5.28921679587607	-0.203950531850114	0.557154538439988	-0.366057382250117	0.714322257717471	NA
AANAT	0.284850442430572	1.17981724269139	1.99619260584646	0.59103377060707	0.554497793841249	NA
AAR2	4.07868435816522	0.637986149947205	0.546313829143201	1.1678015746879	0.242886812796653	NA
AARD	1.22458795201356	-1.63560267191961	1.3574856215763	-1.204876608579	0.228250939958863	NA
AARS	10.0758765527195	0.946879942017733	0.330072579221881	2.86870222376523	0.00412159628937669	NA
AARS2	1.99880191185967	0.769390662360068	0.802778263706534	0.958409933532192	0.337856088149997	NA
AARSD1	4.62769920926871	-0.220453492120671	0.586799922761444	-0.375687663834772	0.707149110030804	NA
AASDH	2.62061470826286	-0.417829775531382	0.821338001056446	-0.508718426511312	0.610949604601238	NA
AASDHPPT	8.18232959510988	0.132327995421312	0.405094334358276	0.326659704167272	0.743925281045575	NA
AASS	2.56609433084688	1.15167479151588	0.691868447649712	1.66458637538413	0.0959953054229632	NA
AATF	1.3875894563116	-0.175718987473383	1.1023826547279	-0.159399267323155	0.873354316121996	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	20.7183702752404	-0.845050695767771	0.327232268895198	-2.58241859404891	0.00981105052351258	0.210703989814484
ABCA1	23.5314809174544	0.415093975239738	0.266197626790826	1.55934513858725	0.118914713558516	0.728685391685896
ABCA10	0.171208401821117	-0.114992228055134	2.28621426296729	-0.0502980975658357	0.959884839775266	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.73926773554241	-0.17126975593627	0.917899308027849	-0.186588827814078	0.851983027020905	NA
ABCA2	2.03966043322165	1.64217023013692	0.723824029573971	2.26874235040728	0.02328399857862	NA
ABCA3	4.11429540698003	0.61181297996753	0.556607444144593	1.09918217300844	0.271688612961495	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	5.41938465768707	0.750053831488327	0.460428511768669	1.62903428505569	0.103305761200764	NA
ABCA6	0.560626925258447	-0.606571034153916	1.45765740005811	-0.416127297216573	0.677316856223447	NA
ABCA7	0.844334644660326	-2.07857046462677	1.41837278756377	-1.46546132501384	0.142795096658529	NA
ABCA8	1.61923775684078	-0.938379290933555	1.14068928850476	-0.822642327222694	0.410711420961244	NA
ABCA9	1.78131119194975	-0.0946993808698131	0.905852663302137	-0.104541703862306	0.916739474674415	NA
ABCB10	0.100949666103752	-0.0831040671375527	3.03422474782358	-0.0273888963555394	0.978149554352586	NA
ABCB11	0.136760291181192	-0.115382313995948	2.7542615820871	-0.0418922860291703	0.96658456585826	NA
ABCB4	2.27040120733295	-0.544878114489987	0.869735271975309	-0.626487314067971	0.530995355170018	NA
ABCB5	0.895169288044968	-2.268001983459	1.44455439400594	-1.57003570988388	0.11640680378206	NA
ABCB6	8.24063069734521	0.00831640999668857	0.424196708662981	0.0196050790278428	0.984358412134617	NA
ABCB7	2.37748494172993	-0.200282230622714	0.805323155446312	-0.248697965864048	0.803594422421015	NA
ABCB8	0.761663702014527	-0.0117960879277079	1.33368417659628	-0.00884473860806608	0.992943011631069	NA
ABCB9	2.62260105123789	-1.28329385758147	0.941737986070909	-1.36268673087681	0.172981261487518	NA
ABCC1	0.773177452664631	-0.0729632630104858	1.34237292827595	-0.0543539440296927	0.956653171915917	NA
ABCC10	2.55277023268517	-1.21153493631593	0.973576240552052	-1.2444171148106	0.213346087160684	NA
ABCC11	0.365043639600664	0.309870552666309	1.63448326297819	0.189583191021299	0.849635759947673	NA
ABCC2	0.425707113822794	0.0618427336794906	1.61627383916966	0.0382625345908349	0.969478361963758	NA
ABCC3	5.28844727017203	0.42582908795749	0.571889449820505	0.744600356049832	0.456513352635531	NA
ABCC4	0.626291518791962	-1.67796996152035	1.68809585954646	-0.994001585888121	0.320222095369705	NA
ABCC5	1.94285231711085	-2.17276471361258	1.24135465772791	-1.75031744561176	0.080063552228273	NA
ABCC6	1.17471215515714	-1.38987970224194	1.30515186691719	-1.06491798960137	0.286913043442188	NA
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	1.82180848068503	-0.67685870983137	0.993429104434898	-0.681335695531483	0.495659101660895	NA
ABCD1	0.61997960454992	-0.230259603588557	1.45963776978953	-0.157751195779045	0.874652857124222	NA
ABCD2	0.0339182153467859	0.400701854715172	3.75867833540884	0.106607115309746	0.915100673557343	NA
ABCD3	3.11262404663381	0.219836559088514	0.658710452043318	0.333737772653495	0.738577443715164	NA
ABCD4	9.25562251546333	-0.62152518069097	0.467210838417306	-1.33028844706687	0.183423252153967	NA
ABCE1	3.35047919759336	0.240638335110956	0.689452397035951	0.349028208684881	0.727068132197539	NA
ABCF1	2.64141541691707	0.251545111938897	0.736277481805721	0.341644445409334	0.732618485005799	NA
ABCF2	7.07003281985611	0.251458041396716	0.436504554542994	0.576071976293545	0.564566532326862	NA
ABCF3	1.07257471010258	0.162398744658193	1.12237460711348	0.144692105139343	0.884953972746969	NA
ABCG1	0.546645396285342	1.57668938905213	1.475181380135	1.06881052749449	0.285155054654956	NA
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.178170565626895	-0.137782105867398	2.26064980199473	-0.0609480096146794	0.951400614342421	NA
ABHD1	2.47210443412334	-2.5734235871449	1.21813489603267	-2.11259327314754	0.034635594976693	NA
ABHD10	1.90443866405634	1.40754138887882	0.746474204217257	1.88558610723159	0.0593507509760236	NA
ABHD11	1.98162112296471	-1.58939820679244	1.17356827837474	-1.35432955719762	0.175631260354735	NA
ABHD12	2.4080049667837	-0.504773273805466	0.873168587782168	-0.578093716229051	0.563200849254325	NA
ABHD12B	1.23181047610626	0.405398006228734	1.08368108939455	0.374093458118044	0.708334785607373	NA
ABHD13	0.439060885684868	-0.112924972480583	1.70029006738122	-0.0664151221294317	0.947047331066322	NA
ABHD14A	4.42789224899345	0.743772768201724	0.521952329842426	1.42498217878683	0.154162352657767	NA
ABHD14A-ACY1	1.55470242086474	-0.474906979302328	1.02349635086814	-0.464004565233188	0.642644474849115	NA
ABHD14B	0.454819404711694	-1.23888103990467	1.73478974769269	-0.714139013994292	0.475141223447255	NA
ABHD15	1.08643486334924	0.470138773741771	1.07197789301293	0.438571333239332	0.660972172401689	NA
ABHD16A	0.03311323541018	0.400701854715172	3.75867833540884	0.106607115309746	0.915100673557343	NA
ABHD17A	3.4863243045852	-0.118313788853998	0.680204932645945	-0.173938445864788	0.861913837708799	NA
ABHD17B	2.25314578177043	-0.569654106152198	0.945857385625294	-0.602262153692025	0.546999648924532	NA
ABHD17C	0.726325099787316	-1.83232557711502	1.56327413075968	-1.1721076560159	0.241153836527401	NA
ABHD18	3.22352231128017	-0.209949733188282	0.710166675857276	-0.295634447976373	0.767509263237884	NA
ABHD2	2.84176096489907	-0.308581906407497	0.752078447457569	-0.410305477374961	0.681581874581663	NA
ABHD3	0.695104860112634	0.366308585456334	1.42630466724882	0.256823520154991	0.797315012453817	NA
ABHD4	18.7018491130528	-0.638647248200038	0.33654245904448	-1.89767213924003	0.0577392848921707	NA
ABHD5	0.313117560199963	0.701511649352789	1.86062554931644	0.377029999190601	0.70615131110709	NA
ABHD6	0.967363287152004	1.339802635643	1.07825049511046	1.24257085131757	0.214026016733993	NA
ABHD8	0.403290336432244	0.245939874037773	1.70600530203761	0.144161260075821	0.885373131317698	NA
ABI1	2.19130561908595	-0.525872988696631	0.91109100618652	-0.577190407023921	0.563810836692428	NA
ABI2	16.5337912843675	0.249474845114671	0.301839973722871	0.826513605993494	0.408512803095328	NA
ABI3	0	NA	NA	NA	NA	NA
ABI3BP	0.679266667494739	1.32421747033392	1.3150315989275	1.00698528568737	0.313941845261371	NA
ABL1	1.88499651203771	-0.160433500235767	0.88190150393268	-0.181917707953035	0.855647307440404	NA
ABL2	4.26614586892153	0.0345017461347493	0.600616947632597	0.05744384381883	0.954191638323392	NA
ABLIM1	5.85017445285756	-0.390243084671587	0.535556960563643	-0.728667748545137	0.466204925605499	NA
ABLIM2	0.629738105456487	0.236065416403342	1.38004348452896	0.171056505863593	0.864179335025931	NA
ABLIM3	0	NA	NA	NA	NA	NA
ABO	0.93033803760719	-2.31552995790422	1.36403420128475	-1.69756004337962	0.0895908295638378	NA
ABR	2.97480768918495	0.709069364708974	0.66876179550155	1.06027193759954	0.28902090206667	NA
ABRA	0.0849321120703405	0.400702584283215	3.65024361358793	0.1097742032317	0.912588450217036	NA
ABRACL	1.2534475154355	-0.687198033738939	1.23612989765367	-0.555927038932822	0.578260733115509	NA
ABRAXAS1	8.98582336011772	-0.363301965284658	0.423444089834944	-0.857969148716353	0.390909499247835	NA
ABRAXAS2	2.44826397295214	-0.0883419185315818	0.762764233338355	-0.115818118719253	0.907796690489797	NA
ABT1	1.7666688340445	0.560649677917366	0.867840612711405	0.646028394736819	0.518260966546752	NA
ABTB1	0.460362075289202	0.202663140780058	1.57822731068475	0.128411883008239	0.897823027731191	NA
ABTB2	0.502218016141208	1.15728958353335	1.49523929699881	0.773982857363514	0.438940928803341	NA
AC001226.2	0.346753054907552	0.0290539856580407	1.64059602391265	0.0177094087969018	0.985870674691141	NA
AC002094.3	0	NA	NA	NA	NA	NA
AC002310.4	0	NA	NA	NA	NA	NA
AC002310.5	0	NA	NA	NA	NA	NA
AC002985.1	0	NA	NA	NA	NA	NA
AC002996.1	0	NA	NA	NA	NA	NA
AC003002.1	0	NA	NA	NA	NA	NA
AC003002.2	0.70727317221465	-0.484992450643686	1.4569886386703	-0.332873186359439	0.739230010488183	NA
AC003002.3	0	NA	NA	NA	NA	NA
AC003006.1	0	NA	NA	NA	NA	NA
AC004076.1	0	NA	NA	NA	NA	NA
AC004080.3	0.0340933448507884	0.400701854715172	3.75867833540884	0.106607115309746	0.915100673557343	NA
AC004223.3	0	NA	NA	NA	NA	NA
AC004233.2	0	NA	NA	NA	NA	NA
AC004556.1	4.12928913734976	-0.195717303798776	0.638271895580891	-0.306636255103562	0.759120254587657	NA
AC004691.2	0	NA	NA	NA	NA	NA
AC004754.1	0.219998568521092	1.04663375525661	2.11814969037571	0.494126434978713	0.621216889655865	NA
AC004805.1	0	NA	NA	NA	NA	NA
AC004832.3	0.230932324203439	-0.42404235817406	2.15385193741112	-0.196876280494819	0.843924355816418	NA
AC004922.1	0.532573810254992	0.139481689433293	1.57246685368392	0.0887024671499565	0.929318371764902	NA
