baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.75926105830043	0.302615297249961	0.580276830863844	0.521501602604855	0.602017389458779	0.996882084797206
A1CF	0.392228679019791	0.445584919445816	1.56105385052482	0.285438531986588	0.775308190567627	0.996882084797206
A2M	0.3892135356866	-0.490313236604004	1.70148006928045	-0.288168662951989	0.77321763512792	0.996882084797206
A2ML1	0.668460366465073	-2.36460884426163	1.57144941482317	-1.50473112399085	0.132393217800852	0.996882084797206
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.50992203707737	-0.240467870975276	0.518427005470129	-0.463841328553498	0.642761430822302	0.996882084797206
AACS	7.8902997110648	0.450887657611234	0.403074842956938	1.11862019049253	0.263302206137434	0.996882084797206
AADACL2	0.0380127882509628	-0.357562618265798	3.75867833540884	-0.0951298798030572	0.924211665041545	0.996882084797206
AADACL3	0.0750349740046176	-0.619485330514318	3.25266347749767	-0.190454787222839	0.848952769240378	0.996882084797206
AADAT	1.84901020050726	-0.724036797352626	0.909017912671901	-0.796504433256375	0.425738899780486	0.996882084797206
AAED1	7.84906258353344	-0.642995101772342	0.430240929975707	-1.49450007419947	0.135044962539109	0.996882084797206
AAGAB	4.38245471284412	0.190825831409906	0.576573029474764	0.330965587453407	0.740670479274552	0.996882084797206
AAK1	8.87419401466333	0.812398600026686	0.331610568004072	2.44985738819008	0.0142912805411303	0.996882084797206
AAMDC	10.0083545794423	0.0624538101395411	0.339147057595107	0.184149644647963	0.853896061562186	0.996882084797206
AAMP	5.77623611083858	-0.493124308038935	0.503152105124327	-0.980070048434133	0.327051542605519	0.996882084797206
AANAT	0.150024107875142	-0.620257138696023	2.58241908083058	-0.240184539875894	0.810187198329139	0.996882084797206
AAR2	4.45295205174294	0.618124393509137	0.484757574838768	1.27512064915072	0.20226654168951	0.996882084797206
AARD	1.5658124088818	-0.500551102839354	0.978594130320671	-0.511500209668467	0.609000841632751	0.996882084797206
AARS	9.09220905741977	-0.353808716973237	0.372121198139089	-0.950788933128696	0.34171153163219	0.996882084797206
AARS2	1.79453435692262	-1.08136796478034	1.03870101539602	-1.04107721928823	0.297839711365877	0.996882084797206
AARSD1	5.44344404394252	0.075883238349399	0.46815892183239	0.162088630186496	0.871236059595792	0.996882084797206
AASDH	3.40353876872301	0.512486903087455	0.60010204893235	0.853999588901967	0.393105217165502	0.996882084797206
AASDHPPT	9.35422788609258	0.19544588172705	0.346942202607861	0.563338447320453	0.5732044423767	0.996882084797206
AASS	2.93917495201295	1.42523366761293	0.561846051189512	2.53669784560289	0.0111903491561039	0.996882084797206
AATF	1.76164984929784	0.339499998450368	0.890585767926279	0.381209773024884	0.70304759785333	0.996882084797206
AATK	0.0874684098318301	0.866526844329469	3.49511828312464	0.247924898139582	0.804192515263931	0.996882084797206
ABAT	24.7746792876916	-0.294897930037633	0.240918720977157	-1.22405568501086	0.2209312217524	0.996882084797206
ABCA1	25.2637630613013	0.0533043669081549	0.276707260965508	0.192638121320565	0.847242387569367	0.996882084797206
ABCA10	0.191457948922383	-0.873916154931524	2.19696446086268	-0.39778347374284	0.690789800249834	0.996882084797206
ABCA12	0.0571221335827235	0.866524176805913	3.75867833540884	0.230539593836156	0.817672500494294	0.996882084797206
ABCA13	1.93664917424912	-0.255998884166474	0.792194084980844	-0.323151723826194	0.746580339835936	0.996882084797206
ABCA2	1.37963393052398	-0.789952101120452	1.05367725665753	-0.749709739039385	0.453429540661775	0.996882084797206
ABCA3	4.68762686325778	0.606119492105478	0.47335167276835	1.28048452551282	0.200374783613947	0.996882084797206
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	5.36685238941549	0.107347639625245	0.451777657940991	0.237611660821143	0.812182305488287	0.996882084797206
ABCA6	0.792523975140567	0.45438761245159	1.10489597774725	0.41124922309703	0.680889798171787	0.996882084797206
ABCA7	1.20407304620538	-0.010333269602367	0.990944924534508	-0.0104276931507783	0.991680055411148	0.99833652908882
ABCA8	2.14575707071203	0.604399223882374	0.693789493412663	0.871156495768494	0.383668710135307	0.996882084797206
ABCA9	1.77030621559433	-1.1702424700355	0.992365550317383	-1.17924535939527	0.238300488924801	0.996882084797206
ABCB10	0.257638305670134	1.07790784696457	1.85803546955964	0.580133083907187	0.561824874812311	0.996882084797206
ABCB11	0.15320101902893	-0.87493721276679	2.60129651768991	-0.336346589793531	0.73660952069998	0.996882084797206
ABCB4	2.65992195268074	-0.0718383787431201	0.668798981283787	-0.107414007427498	0.914460542478121	0.996882084797206
ABCB5	1.37464751321104	0.342840150326493	0.90834167640736	0.377435230851107	0.705850189159742	0.996882084797206
ABCB6	9.54101451256721	0.184211090800824	0.349842072203428	0.526554995631593	0.598502651579193	0.996882084797206
ABCB7	2.86163993290925	0.194706393454114	0.661581307568783	0.294304556713721	0.768525191011741	0.996882084797206
ABCB8	0.976391269349222	0.607947370209374	1.02818739314883	0.591280708419823	0.554332353320415	0.996882084797206
ABCB9	3.62726919304905	0.394585495873397	0.531159563735304	0.742875630626946	0.457556980895555	0.996882084797206
ABCC1	0.851684953882841	-0.641928476431825	1.32585296228344	-0.484162644495865	0.62827044560718	0.996882084797206
ABCC10	3.39868125294518	0.188345056667586	0.604970490166075	0.311329328833678	0.75555027320176	0.996882084797206
ABCC11	0.345231194677945	-1.37287627531792	1.73048483368673	-0.793347765084459	0.427575234965782	0.996882084797206
ABCC2	0.500014654152695	-0.654195188524996	1.60967770194598	-0.406413773225611	0.684438601330855	0.996882084797206
ABCC3	5.51905434201252	-0.0831023486807535	0.553707545749703	-0.150083467922106	0.880698762931705	0.996882084797206
ABCC4	0.871736861496242	-0.0987234994962567	1.37038583786842	-0.0720406594757407	0.942569550311824	0.996882084797206
ABCC5	2.41825617077072	-0.486477547406849	0.759657296445167	-0.64039080475279	0.521918559407611	0.996882084797206
ABCC6	1.5587911889765	0.279190654195153	0.87417223881387	0.319377168250018	0.749440522068409	0.996882084797206
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.38703073338293	0.303582172761736	0.674541459932248	0.450057099221489	0.652669269487039	0.996882084797206
ABCD1	0.612670932974498	-1.01342628283903	1.49767142176498	-0.676667971433091	0.498616642190946	0.996882084797206
ABCD2	0.0380127882509628	-0.357562618265798	3.75867833540884	-0.0951298798030572	0.924211665041545	0.996882084797206
ABCD3	3.1932775580619	-0.171374543923657	0.611877653912442	-0.280079755859462	0.779416315872647	0.996882084797206
ABCD4	10.5120099495612	-0.346217224403371	0.367187954245892	-0.942888295762346	0.345738042183734	0.996882084797206
ABCE1	4.31854446491338	0.915524019920308	0.510866640137543	1.79209983191272	0.0731169758254047	0.996882084797206
ABCF1	2.74135657915193	-0.372714250520889	0.707225578855491	-0.527009007683313	0.598187333234729	0.996882084797206
ABCF2	7.88966243440002	0.132477923522304	0.384238531687165	0.344780423089279	0.730259451783722	0.996882084797206
ABCF3	1.20426197600711	-0.0184915570141888	1.01689396445986	-0.0181843512307705	0.985491786482508	0.997063994433288
ABCG1	0.515912463284211	1.25375245648718	1.39156545887032	0.900965490696347	0.367606668275789	0.996882084797206
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.199252061272491	-0.894573948774321	2.17247823944659	-0.411775792517122	0.680503766066383	0.996882084797206
ABHD1	3.20902571868902	-0.188118929088797	0.636104604931326	-0.295735839090658	0.767431825111218	0.996882084797206
ABHD10	1.50984524395273	-0.364578842513016	0.949388375331061	-0.384014437069428	0.700967747142076	0.996882084797206
ABHD11	2.49374231312688	-0.573829908979493	0.783904623205849	-0.732014956912442	0.464159438695365	0.996882084797206
ABHD12	2.60836066551325	-0.81678200987059	0.800495288564679	-1.02034580532649	0.307564486684842	0.996882084797206
ABHD12B	1.18044849093219	-0.0838587034255446	1.01861111007965	-0.0823265155815816	0.934387069599688	0.996882084797206
ABHD13	0.541891486286936	-0.0167028567473277	1.58023295746777	-0.0105698698843068	0.991566621042446	0.99833652908882
ABHD14A	4.05715822958675	-0.211387601276542	0.546043635347275	-0.387125840487277	0.698663048280544	0.996882084797206
ABHD14A-ACY1	1.97510925941861	0.169441184126822	0.77418354009011	0.21886435884067	0.826755710880332	0.996882084797206
ABHD14B	0.824122292235929	1.14924667884116	1.13985658975028	1.00823795657745	0.313340240118248	0.996882084797206
ABHD15	1.17147035785605	0.470998689554607	0.958136420180817	0.491577900217718	0.623017769600181	0.996882084797206
ABHD16A	0.0370221857536548	-0.357562618265798	3.75867833540884	-0.0951298798030572	0.924211665041545	0.996882084797206
ABHD17A	4.07578781480631	0.344310037107243	0.527058545154825	0.653267156509342	0.513584062160326	0.996882084797206
ABHD17B	2.52664204682459	-1.25455321690617	0.912975713821569	-1.37413646158759	0.169399321763118	0.996882084797206
ABHD17C	1.07111683217417	0.252734011195973	1.08876370227603	0.232129350627357	0.81643754890336	0.996882084797206
ABHD18	4.41764016900555	0.851819523646855	0.500440892942377	1.70213812592037	0.0887294783179376	0.996882084797206
ABHD2	3.35831468428045	-0.0552241802327946	0.601646520013487	-0.0917884146185315	0.926866148997406	0.996882084797206
ABHD3	0.757985162235207	0.209732123448534	1.29865733625359	0.161499201978541	0.871700239836007	0.996882084797206
ABHD4	23.339735650033	0.201283341688081	0.242686255555034	0.829397368333604	0.406879590155036	0.996882084797206
ABHD5	0.325899416413761	0.820626476981419	1.67502618298474	0.489918596686732	0.624191502982024	0.996882084797206
ABHD6	0.948325476223058	0.718400941972214	1.09488007957259	0.656145778314514	0.511730332187915	0.996882084797206
ABHD8	0.387778355950589	-1.43927745487477	1.80432505711994	-0.797681908365307	0.425055105200014	0.996882084797206
ABI1	3.12438313299553	0.832358154361726	0.608829352244279	1.36714524569729	0.171579783695983	0.996882084797206
ABI2	17.4985567922846	-0.0208476766086186	0.270764951087851	-0.0769954771651906	0.938627142987643	0.996882084797206
ABI3	0	NA	NA	NA	NA	NA
ABI3BP	0.49608458732395	-0.853556102874221	1.63041329695441	-0.523521308657535	0.60061152639353	0.996882084797206
ABL1	1.97172681518267	-0.54206774707206	0.825121925748937	-0.656954724091283	0.511210029150825	0.996882084797206
ABL2	4.63475508214716	0.0279939005307172	0.515591001241427	0.0542947810635061	0.95670030753005	0.996882084797206
ABLIM1	6.97096562111255	0.0655521903029353	0.409570560383875	0.160051030624603	0.872840875684256	0.996882084797206
ABLIM2	0.578776921195659	-2.12196984977088	1.51540145784968	-1.4002691094028	0.161432747509429	0.996882084797206
ABLIM3	0	NA	NA	NA	NA	NA
ABO	1.27012344971637	-0.293677048001928	0.962285804616945	-0.305186927410647	0.760223788200035	0.996882084797206
ABR	2.8861528885157	-0.0830907392297712	0.684342663943408	-0.121416862644475	0.903360861232006	0.996882084797206
ABRA	0.0951702740771345	-0.35756231358544	3.38774627860287	-0.105545777097836	0.915942747939053	0.996882084797206
ABRACL	1.6489364582839	0.337284513726996	0.854879627352809	0.394540357420167	0.693182137559143	0.996882084797206
ABRAXAS1	10.8491274628763	0.109735602112163	0.325068894629859	0.337576445870388	0.735682394689399	0.996882084797206
ABRAXAS2	2.60292892632771	-0.910290190704907	0.782073268210101	-1.16394489839584	0.244446342676043	0.996882084797206
ABT1	1.73249409005397	0.034581056920798	0.822981488285117	0.0420192403025445	0.966483360118413	0.996882084797206
ABTB1	0.443631395288628	-0.594144578821778	1.6208555480586	-0.36656232539255	0.713945514807898	0.996882084797206
ABTB2	0.387352668802239	-0.40782646415149	1.71581005598803	-0.237687419261946	0.812123542050032	0.996882084797206
AC001226.2	0.325005699506963	-1.64033221938389	1.7432565207392	-0.940958602402547	0.346726074223597	0.996882084797206
AC002094.3	0	NA	NA	NA	NA	NA
AC002310.4	0	NA	NA	NA	NA	NA
AC002310.5	0	NA	NA	NA	NA	NA
AC002985.1	0	NA	NA	NA	NA	NA
AC002996.1	0	NA	NA	NA	NA	NA
AC003002.1	0	NA	NA	NA	NA	NA
AC003002.2	0.881392098291605	0.592506586113397	1.08733803802201	0.544914796865963	0.585812118952695	0.996882084797206
AC003002.3	0	NA	NA	NA	NA	NA
AC003006.1	0	NA	NA	NA	NA	NA
AC004076.1	0	NA	NA	NA	NA	NA
AC004080.3	0.0383430219875053	-0.357562618265798	3.75867833540884	-0.0951298798030572	0.924211665041545	0.996882084797206
AC004223.3	0.113697720213545	1.62202761674563	3.16329951726561	0.512764475160331	0.608116082515702	0.996882084797206
AC004233.2	0	NA	NA	NA	NA	NA
AC004556.1	5.078241909994	0.529734331937495	0.464638050225656	1.14010105646799	0.254244201851693	0.996882084797206
AC004691.2	0	NA	NA	NA	NA	NA
AC004754.1	0.182315686669642	-0.620237448418879	2.42669475585306	-0.255589396615664	0.798267906793044	0.996882084797206
AC004805.1	0	NA	NA	NA	NA	NA
AC004832.3	0.315003644794107	-0.208460566770137	1.86547123154313	-0.111746867625344	0.911024117033872	0.996882084797206
AC004922.1	0.542286748929798	0.159254085411168	1.50584331366734	0.105757407803153	0.915774830854093	0.996882084797206
AC004997.1	0.450784076054708	-0.659849788739915	1.63237144150704	-0.404227721682467	0.686045270175555	0.996882084797206
AC005041.1	3.17136688704142	0.37535303599383	0.628427315606781	0.597289498199814	0.550314114738877	0.996882084797206
AC005154.6	0.57213596427992	-0.525814000056377	1.67089128618013	-0.314690730872416	0.752996482656777	0.996882084797206
AC005258.1	0.322794225834102	-1.38023877178658	1.84603247768906	-0.747678488037448	0.454654109721761	0.996882084797206
AC005324.3	0.0383430219875053	-0.357562618265798	3.75867833540884	-0.0951298798030572	0.924211665041545	0.996882084797206
AC005324.4	0.561838990058104	0.272290677301104	1.40608773948967	0.1936512705814	0.84644894988193	0.996882084797206
AC005520.1	1.62945083129845	0.0192084030025486	0.892198326837852	0.0215292972702913	0.982823433033609	0.996882084797206
AC005670.2	0.0383430219875053	-0.357562618265798	3.75867833540884	-0.0951298798030572	0.924211665041545	0.996882084797206
AC005702.1	0.575051288253736	0.109029875405136	1.42809292868173	0.0763464850328621	0.939143444026554	0.996882084797206
AC005726.1	1.59774004257755	-1.03228418386625	1.04044941434945	-0.992152208102974	0.321123281945804	0.996882084797206
AC005779.2	0	NA	NA	NA	NA	NA
AC005832.4	0	NA	NA	NA	NA	NA
AC005833.2	0.718400907218414	0.368160846658898	1.22672537268889	0.300116761954567	0.764088094008595	0.996882084797206
AC005837.2	0	NA	NA	NA	NA	NA
AC005943.1	2.60824590804396	-0.660179711944637	0.821272857660419	-0.803849422012201	0.421483943190894	0.996882084797206
AC006030.1	0	NA	NA	NA	NA	NA
AC006254.1	0.208451986683489	-0.901867051831014	3.75639758421979	-0.240088284482893	0.810261816264712	0.996882084797206
AC006486.1	0	NA	NA	NA	NA	NA
AC006978.2	0.0857149004649173	-0.357562417765858	3.51898219411924	-0.101609612678177	0.919066549130618	0.996882084797206
AC007040.2	0.837372668938222	-0.59545001975861	1.31366584507377	-0.453273579420169	0.650351755229566	0.996882084797206
AC007192.1	2.77546208420986	0.172220733826169	0.646928664236946	0.266212866034161	0.790075274786369	0.996882084797206
AC007240.1	0.284779748983742	0.885168180182626	1.8190341437427	0.486614384467448	0.626531627878722	0.996882084797206
AC007325.1	0.75920386592586	-0.132495285663418	1.33915371795967	-0.0989395645074167	0.921186255068397	0.996882084797206
AC007325.2	0.0380127882509628	-0.357562618265798	3.75867833540884	-0.0951298798030572	0.924211665041545	0.996882084797206
AC007325.4	0.868094728278745	-0.850984000832524	1.36944154000142	-0.621409513276221	0.534330214280206	0.996882084797206
AC007326.4	2.1967715494226	-0.318809474706844	0.819455775169178	-0.38905025062643	0.697238974177484	0.996882084797206
AC007375.2	0	NA	NA	NA	NA	NA
AC007906.2	0.228480134676038	-1.08313853552507	1.96133177017432	-0.552246464364774	0.58077950406638	0.996882084797206
AC007998.2	0	NA	NA	NA	NA	NA
AC008073.3	0.892663658159567	-0.0470429046216239	1.15059342768349	-0.0408857755396155	0.967386957440706	0.996882084797206
AC008403.1	0	NA	NA	NA	NA	NA
AC008537.1	0.114527763304882	-0.620281341761352	2.82105272514246	-0.219875841466249	0.825967851623417	0.996882084797206
AC008575.1	0.769906421225624	-0.0652857932953488	1.42509878580596	-0.0458114159843498	0.963460559725323	0.996882084797206
AC008687.1	0	NA	NA	NA	NA	NA
AC008695.1	0.151880182795079	-0.869479391322945	2.3460907089554	-0.370607746752503	0.710929711273603	0.996882084797206
AC008750.8	0.0938710458604273	0.604225914669725	3.01452996112777	0.20043785348336	0.841138157314701	0.996882084797206
AC008758.1	1.77006129738695	-0.0117338907826024	0.796840536746266	-0.0147255194000488	0.988251160027314	0.997879623114952
AC008758.4	0.788939346386553	-1.54463238633356	1.43564818481849	-1.07591288915177	0.281966216925333	0.996882084797206
AC008758.5	0	NA	NA	NA	NA	NA
AC008758.6	0.0370221857536548	-0.357562618265798	3.75867833540884	-0.0951298798030572	0.924211665041545	0.996882084797206
AC008763.2	1.43874601712443	-0.89740420104145	1.08686934651425	-0.82567808533708	0.408986726889107	0.996882084797206
AC008763.3	2.03110155482496	0.268673937608169	0.740001574429034	0.363072116184983	0.716551013476392	0.996882084797206
AC008764.1	0	NA	NA	NA	NA	NA
AC008764.4	0.182916342332069	-0.895078365458824	2.22470782409163	-0.402335244100781	0.68743732007081	0.996882084797206
AC008770.1	0	NA	NA	NA	NA	NA
AC008770.2	0.450404531371166	1.94483731119438	1.33063664888542	1.46158405664193	0.143855225985407	0.996882084797206
AC008878.1	0	NA	NA	NA	NA	NA
AC008878.3	0.793313094869094	-1.39648057585025	1.49111220570256	-0.936536211365986	0.348997177440205	0.996882084797206
AC008982.1	0	NA	NA	NA	NA	NA
AC009119.2	0.215063075412289	1.38561122732458	2.05530283592373	0.674164022501257	0.500207039999829	0.996882084797206
AC009133.6	6.39064506707845	0.11301448073863	0.452974915822545	0.249493905271575	0.802978754769123	0.996882084797206
