baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.97543074496885	-0.163331970773221	0.552102149660796	-0.29583650575092	0.767354942588168	0.999920691908951
A1CF	0.200823595575938	-0.74072505232569	1.62276793910962	-0.456457780853195	0.648060823854371	NA
A2M	0.218802744920088	-0.844142504622825	1.58185595483011	-0.533640564455494	0.59359023757923	NA
A2ML1	0.604261813271392	-0.503610417101495	1.13713372685846	-0.442877038299455	0.657854676691668	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.35915054418645	-0.0327800705002571	0.42320747557691	-0.0774562652882533	0.938260581947818	0.999920691908951
AACS	6.37247599053505	0.100241883357729	0.366769293580167	0.273310457315637	0.78461457747442	0.999920691908951
AADACL2	0.0277374807323931	0.217256418476373	3.19152945955193	0.068072822522802	0.945727664644112	NA
AADACL3	0.155635105646642	0.95365216286188	1.71295566929498	0.556729038559642	0.57771257360177	NA
AADAT	1.48521083795732	-0.704020194740688	0.748844559403518	-0.940141963909661	0.34714474620066	NA
AAED1	6.74934581465405	-0.238692175617205	0.337631659574435	-0.706960288967163	0.479591156158822	0.999920691908951
AAGAB	4.14335774702225	0.43900700015361	0.446819043541877	0.982516315047044	0.325845549339294	0.999920691908951
AAK1	6.27433392165801	-0.204454245567141	0.341549663018006	-0.598607662969242	0.549434544810445	0.999920691908951
AAMDC	9.97880692848766	0.459364782000613	0.264931764725271	1.733898471846	0.0829360990702764	0.970672924112998
AAMP	5.30371506176198	0.00951113483991113	0.382021462002849	0.0248968599566278	0.98013723185084	0.999920691908951
AANAT	0.108577467019192	-0.0450448178768767	2.3372321483683	-0.0192727187619441	0.984623547160058	NA
AAR2	4.2855241101131	0.71306528444172	0.423272173288067	1.68464956933615	0.09205620167506	0.98664831786212
AARD	1.20568235830579	-0.772481180884172	0.87266273243505	-0.885200149121374	0.376048691927535	NA
AARS	8.93731048903593	0.285284733949724	0.277997586315263	1.02621298886458	0.304791200223041	0.999920691908951
AARS2	1.39901152639218	-0.930186366738256	0.821890104121762	-1.13176489420348	0.257733290522033	NA
AARSD1	4.8581281704264	0.0553935108473485	0.392039586204608	0.141295707873843	0.887636340219696	0.999920691908951
AASDH	2.41252390472025	-0.511958412643945	0.609356981015185	-0.840161725547191	0.400817715167842	0.999920691908951
AASDHPPT	7.25495038410914	-0.485931371695292	0.334074135186292	-1.45456148954578	0.145790698885905	0.999920691908951
AASS	2.6708429746147	1.27157244679136	0.491268728845242	2.58834395948683	0.00964386294092412	0.549037822782493
AATF	1.41099125381304	0.178494845548591	0.764100935068602	0.233601134819401	0.815294646662896	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	20.9429945704718	-0.297649995176877	0.214174950754303	-1.38975166857088	0.16460429909019	0.999920691908951
ABCA1	19.4698701099039	-0.565338235641494	0.231461319074861	-2.44247392134945	0.0145869834699029	0.618093856327397
ABCA10	0.600616072175128	1.8598585853486	1.09961728339722	1.69136900031495	0.0907663491000747	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.48935873476289	-0.623549343392812	0.718629385618486	-0.867692521168134	0.385562681158845	NA
ABCA2	1.58698547533114	0.657846413246767	0.714419222011302	0.920812868660972	0.357148135178898	NA
ABCA3	3.69129394395388	0.24175297423526	0.451221907870977	0.53577401721458	0.592114741512844	0.999920691908951
ABCA4	0	NA	NA	NA	NA	NA
