baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.38216293654051	0.196176245319471	0.667690683032509	0.293813063900308	0.768900751920052	0.999657521174565
A1CF	0.259399613021475	-0.858734054141384	1.92359018958125	-0.446422558605544	0.655292040665259	0.999657521174565
A2M	0.351808539054705	-0.0249703670818627	1.73113800047273	-0.0144242498720748	0.988491512801319	0.999993327198596
A2ML1	0.883669609757586	0.516621257923915	1.18969165077565	0.434248031905654	0.664108337099	0.999657521174565
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.11880900548513	-0.202801860586605	0.572010318496437	-0.354542311613682	0.722932500514058	0.999657521174565
AACS	7.8221963032709	0.698054847354087	0.422932276709113	1.6505121169416	0.0988382371122422	0.999657521174565
AADACL2	0.105871682834114	1.06424172472514	2.91520223369752	0.365066173599662	0.715062010433394	0.999657521174565
AADACL3	0.069887008034148	-0.159536017143824	3.3540613164015	-0.0475650270207304	0.962062904860116	0.999657521174565
AADAT	2.34746269873849	0.99018197984578	0.703928928504297	1.40665050085342	0.159531050311206	0.999657521174565
AAED1	7.90307615742248	0.0128341056826917	0.421844449908099	0.0304237869799821	0.975729074367623	0.999657521174565
AAGAB	3.89151204230612	-0.166546755703393	0.645941041177256	-0.257835847370612	0.796533597392211	0.999657521174565
AAK1	6.62467729089897	-0.555171735605593	0.48700251208195	-1.13997714967058	0.254295821052836	0.999657521174565
AAMDC	8.64835566563422	-0.46014963118222	0.42706247690681	-1.07747614474364	0.281267602510755	0.999657521174565
AAMP	5.48344068675811	-0.288754079527388	0.533604335132867	-0.541138931068631	0.588411826216058	0.999657521174565
AANAT	0.139801881967483	-0.160178728700792	2.66158923527723	-0.0601816112635831	0.952010991251445	0.999657521174565
AAR2	3.87844982250933	0.167840002571188	0.573977456219185	0.292415670254295	0.769968828430542	0.999657521174565
AARD	1.43155995267669	-0.522811076899484	1.12924378392085	-0.462974500585011	0.643382644873609	0.999657521174565
AARS	9.0114956360134	0.209576244953277	0.382713868545329	0.547605566920957	0.583962766113974	0.999657521174565
