baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.17433545816175	-0.0444492439005208	0.750154244382893	-0.0592534725136248	0.952750219515674	NA
A1CF	0.330689416459878	0.483678441194669	1.75517335822094	0.275573030395659	0.782876026467993	NA
A2M	0.351521555169076	0.359891710662491	1.7304676234814	0.207973674733337	0.83524952244296	NA
A2ML1	0.761114088254273	0.236070776068389	1.4314724162196	0.164914652488961	0.869011159294426	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	4.94398088983224	-0.127193786308866	0.602307835616099	-0.211177372744553	0.832748866537878	NA
AACS	6.20549913493292	-0.277159390735402	0.541704895191381	-0.511642765638075	0.608901049370774	NA
AADACL2	0.0333561067405643	0.486944452662169	3.75867833540884	0.129552041757572	0.896920848498422	NA
AADACL3	0.0659176556741153	0.225101827075765	3.42697574927122	0.0656852699128773	0.947628399991407	NA
AADAT	1.52933421747278	-1.71881382463117	1.3087246046324	-1.31335027900233	0.18906494350757	NA
AAED1	7.93512838941046	0.411069939054382	0.421897443295792	0.974336170049225	0.329889651037018	0.789115050844409
AAGAB	3.35648484706111	-1.05032118928753	0.851356186971928	-1.23370359593353	0.2173133734854	NA
AAK1	7.54228836263172	0.622441737747569	0.403131496765327	1.54401663661103	0.122584302350401	0.59920507763114
AAMDC	8.90361377888762	0.118914769012397	0.403267865778127	0.294877869286571	0.76808717839566	0.958059552448972
AAMP	4.75664864537365	-1.14642763968476	0.73693005737871	-1.55568039084015	0.119784111737126	NA
AANAT	0.132235294412584	0.224167926158163	2.71608379277514	0.082533509000884	0.934222472890696	NA
AAR2	3.46668943907965	-0.277009939603342	0.710825115768337	-0.389701958271296	0.696756948290085	NA
AARD	1.33810992138339	-0.666690922399951	1.24856459392909	-0.533965904240447	0.593365123830122	NA
AARS	8.35585483401436	-0.113528135648799	0.442271528705284	-0.256693294232943	0.797415548568285	0.96555165886662
AARS2	1.61831234692357	-0.792246818437765	1.18687513897645	-0.66750645659407	0.504448686887317	NA
AARSD1	5.13218886151292	0.412105654135755	0.521387807314781	0.790401402476509	0.429293383417687	NA
AASDH	2.4795771126748	-0.935250421405928	0.970645855085504	-0.963534142247526	0.335279538778296	NA
AASDHPPT	7.07193496761001	-1.21459846025768	0.604874807576289	-2.00801627881401	0.044641561836595	NA
AASS	1.87252667288155	0.0122920147718694	0.889761476265574	0.0138149550185746	0.988977611292901	NA
AATF	1.56054656079578	0.510372973924464	0.96900672662731	0.526697039246414	0.598403992000777	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	21.0019989920465	-0.616168851693748	0.315302916103009	-1.95421234700045	0.0506761097310417	0.429707832672051
ABCA1	22.6034099108068	0.242050631122693	0.292187765959484	0.828407823058057	0.407439577619164	0.829208641075788
ABCA10	0.16892179258791	-0.0285000547574389	2.285180411299	-0.0124716869690119	0.990049291481397	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.96568639002486	0.597479532297127	0.789164150655044	0.757104249858778	0.448987408150709	NA
ABCA2	1.20914280498044	-0.574757814231052	1.24233493713379	-0.462643202771937	0.643620136017858	NA
ABCA3	4.41884332582985	0.95865169411705	0.523377445807833	1.83166413034358	0.0670014758636023	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.07092115676801	-0.990021274370579	0.729608061125171	-1.35692206147477	0.174805976160889	NA
ABCA6	0.755144691322206	0.88076463963138	1.23144245232201	0.715230044222209	0.47446690712135	NA
ABCA7	0.831694951171986	-1.99120299632115	1.42193085765168	-1.40035149079585	0.161408088710822	NA
ABCA8	1.33226825418583	-2.68976957195218	1.33155192713247	-2.02002604415486	0.0433806861203091	NA
ABCA9	1.74233683357334	0.0496169667842575	0.91896558065166	0.0539921927751341	0.956941384433065	NA
ABCB10	0.0992737624146795	0.00329865960903039	3.02068096160474	0.00109202515954481	0.999128690158366	NA
ABCB11	0.134325909243897	-0.0285214208969693	2.73955044404151	-0.0104109858458723	0.991693385188207	NA
ABCB4	2.15420317836907	-0.780513494535919	0.969116561683158	-0.805386601979359	0.420596620810458	NA
ABCB5	1.45532553742552	1.17928021564974	0.915499107826827	1.28812819757855	0.197701341194156	NA
ABCB6	7.22107185277611	-1.09099672755131	0.577958281108823	-1.88767383946505	0.0590697504660761	NA
ABCB7	2.47021345598921	0.223559931160298	0.755541966205334	0.295893466094432	0.767311441067293	NA
ABCB8	0.89634793471041	0.754752207889355	1.16003433779385	0.650629195446695	0.51528587926033	NA
ABCB9	3.68268015753405	1.11870044198082	0.559885375914844	1.99808834112318	0.0457070835079269	NA
ABCC1	0.99609387681923	1.1485442618345	1.12433039721253	1.02153625365107	0.307000441921766	NA
ABCC10	3.08491865649413	0.420110342668542	0.680627315012487	0.617239910009833	0.537076495033424	NA
ABCC11	0.304330253969296	-0.529817428223157	1.76960016188349	-0.299399513876197	0.764635233035641	NA
ABCC2	0.466061198722151	0.188761507887556	1.62480589682109	0.116174804791677	0.907514004388732	NA
ABCC3	5.74759272309035	0.843448967708369	0.546131078858242	1.54440756140762	0.122489629396833	NA
ABCC4	0.616031090117278	-1.59037139258178	1.68341860911147	-0.944727225880673	0.344798153627224	NA
ABCC5	2.11727958293617	-0.615535784565507	0.967128785307828	-0.63645689583067	0.52447866710596	NA
ABCC6	1.36051912980406	0.160492543130531	1.0336331665623	0.155270310901791	0.87660822019689	NA
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.07463245376466	0.288767958772536	0.810452280585226	0.356304702559436	0.721612387989777	NA
ABCD1	0.564185250583175	-0.168474353510433	1.50730278831833	-0.111772070493146	0.911004133245816	NA
ABCD2	0.0333561067405643	0.486944452662169	3.75867833540884	0.129552041757572	0.896920848498422	NA
ABCD3	2.74594916890692	-0.314180912264482	0.776534039468521	-0.404593870063333	0.685776065151577	NA
ABCD4	10.5478181936441	0.54174519281355	0.362887290616553	1.49287452832287	0.135470033817338	0.613007783560694
ABCE1	3.7244338759661	0.899545038373234	0.622542096245484	1.44495455616309	0.148470650626403	NA
ABCF1	2.54367017931387	-0.122956287836004	0.825114662268412	-0.149017213556685	0.881540050166974	NA
ABCF2	7.0103883915568	0.22094232031242	0.455711420364513	0.484829456623433	0.627797325747226	NA
ABCF3	1.17230453329684	0.459387505926538	1.08845183708607	0.422055887338459	0.672984225174734	NA
ABCG1	0.276760929732004	-0.38714078746725	1.92184887878008	-0.201441846828765	0.84035309674983	NA
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.175302142893721	-0.0519455052155661	2.26112569651977	-0.0229732939197137	0.981671575690426	NA
ABHD1	2.53551538539987	-1.60206114365385	1.11370511781478	-1.43849670619928	0.150293171363464	NA
ABHD10	1.61873166552335	0.794095814452558	0.873264940158023	0.909341229603081	0.36317003366738	NA
ABHD11	2.20151838204181	-0.363357762402422	0.917628262195545	-0.395974903315468	0.692123542484538	NA
ABHD12	3.11839820310417	1.05411579114885	0.652188002217313	1.61627596270564	0.106034661450804	NA
ABHD12B	0.924340376370906	-1.05641808765354	1.40538838229452	-0.7516912057639	0.45223678022357	NA
ABHD13	0.478385813551698	0.0174620260380018	1.69758160016593	0.0102864133519679	0.991792774335518	NA
ABHD14A	3.76945863930101	0.215382345361077	0.604073839956816	0.356549698256216	0.721428940380848	NA
ABHD14A-ACY1	1.99456211076026	0.817968268890166	0.798621739576446	1.024224896913	0.305729061789884	NA
ABHD14B	0.935813794238375	1.98394909384975	1.11519259669256	1.77901924719887	0.0752366064944171	NA
ABHD15	0.752470120731681	-1.8291989842903	1.41078597958725	-1.29658148773599	0.194775225457406	NA
ABHD16A	0.119012492512396	1.44873976682196	2.81093571738129	0.51539412938679	0.606277633967578	NA
ABHD17A	3.98495732441818	0.813714995637301	0.583130564168149	1.3954250482447	0.162887702263557	NA
ABHD17B	2.25451308276167	-0.89970761744609	1.0056954045458	-0.894612437701672	0.370994300752477	NA
ABHD17C	1.19503024423605	1.38699702214208	1.05715580320062	1.31200814292732	0.189517387080992	NA
ABHD18	3.40251959749412	0.218127574977697	0.656521379861682	0.332247481450875	0.73970239311768	NA
ABHD2	3.05958291624591	0.159298903967656	0.695840258364638	0.228930278253862	0.818923106776094	NA
ABHD3	0.515959419477983	-1.29674177795654	1.68653483071993	-0.768879334323028	0.441964946570318	NA
ABHD4	19.1933762150092	-0.300895715292696	0.32188831837375	-0.934782960788657	0.349900162508487	0.801315827975384
ABHD5	0.539866239198403	2.37528230737354	1.5312831714431	1.55117116916726	0.120860669374811	NA
ABHD6	0.785126568013877	0.506666963753644	1.35655486854795	0.373495370884613	0.708779789985672	NA
ABHD8	0.341589578306106	-0.601084674602213	1.86005013146597	-0.323155093743886	0.746577787821799	NA
ABI1	2.51867957363346	0.471039350388382	0.749119454733154	0.62879070542384	0.529486085774707	NA
ABI2	16.3471716632148	0.336073451023958	0.301313112640049	1.11536284657294	0.264694963986146	0.749650930036373
ABI3	0	NA	NA	NA	NA	NA
ABI3BP	0.47273461396343	-0.0095967458118028	1.64300353578227	-0.00584097696858184	0.995339601156592	NA
ABL1	1.90186852182802	0.0329731011038206	0.87596483099539	0.0376420375991032	0.969973090499663	NA
ABL2	4.08391220027351	0.107056240252456	0.619391405620506	0.172841016651187	0.862776395580467	NA
ABLIM1	6.89305316723506	0.672438771206092	0.431321675484148	1.55901919478379	0.118991837142629	NA
ABLIM2	0.911366321052885	1.5532093954521	1.06768728438535	1.45474186886684	0.145740736778424	NA
ABLIM3	0	NA	NA	NA	NA	NA
ABO	1.29331966284813	0.573853360656481	0.956421853516276	0.600000259871431	0.548506062309052	NA
ABR	2.63536798567374	0.169831863093106	0.774102861563403	0.219391855431342	0.82634481392143	NA
