baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.12641801297531	-0.0516493894488915	0.744653429657958	-0.0693603056023198	0.944702824332531	NA
A1CF	0.248444537609436	-0.580089258597052	1.96106283164863	-0.295803504729821	0.76738014632859	NA
A2M	0.269192001969734	-0.687556493435472	1.91782537734739	-0.358508392660054	0.719962888298672	NA
A2ML1	0.596607436730356	-1.62229760312814	1.61373317094739	-1.00530721703869	0.314748941008052	NA
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	4.59917001121072	-0.801932231983344	0.689193357248071	-1.16358090737473	0.244593892484363	NA
AACS	6.53630429323344	0.0852169980180795	0.490994858413219	0.173559858230453	0.862211381625821	0.955599355902665
AADACL2	0.0337319604447958	0.37943089294274	3.75867833540884	0.100947955393866	0.91959177461147	NA
AADACL3	0.294293063968633	2.06384478846738	1.79095699170419	1.15236982128952	0.249169136702161	NA
AADAT	1.6775734185051	-0.954004226853471	1.14403732710242	-0.833892569982608	0.404341524499369	NA
AAED1	7.85336592692081	0.272123011536994	0.419317071356964	0.64896716619805	0.516359599027586	0.808684901351174
AAGAB	3.7882962568857	-0.0464367040091745	0.656347741943939	-0.070750154288092	0.943596603465947	NA
AAK1	6.49668060759743	-0.209767839746853	0.48537776261712	-0.432174392612882	0.665614669315984	0.887502106715343
AAMDC	9.36567236300785	0.258069692047896	0.381704918482328	0.676097371430241	0.498978825450164	0.799724442677154
AAMP	5.87234991418268	0.33702371576412	0.516478583838742	0.652541511516666	0.514051902697119	NA
AANAT	0.13460886374838	0.116021487277885	2.73798024963213	0.0423748444838028	0.96619988152593	NA
AAR2	3.73704921860765	0.0249045793259441	0.638633949405118	0.0389966417368549	0.968893066084512	NA
AARD	1.5704348164421	0.463018182797362	0.956036807747504	0.484309996273332	0.628165882685486	NA
AARS	8.91797404776448	0.195988962574777	0.388985098748698	0.503846967930755	0.614368919546831	0.857768580666658
AARS2	1.92101276612901	0.409747672795779	0.861152772055238	0.475812987070657	0.63420761668964	NA
AARSD1	4.74176285265238	-0.249691313400425	0.592631366641705	-0.421326523459876	0.673516664872653	NA
AASDH	2.69239552155473	-0.332215130644261	0.804556878100084	-0.412916898341318	0.679667499902321	NA
AASDHPPT	7.73309723965706	-0.290250729100809	0.45210898816277	-0.641992830711677	0.520877837969259	0.810912088656688
AASS	2.32305717791924	1.02981483254458	0.682822071968671	1.50817449350382	0.131509873520989	NA
AATF	1.54810368786788	0.36393044609225	0.977008941064797	0.372494488838166	0.709524714536523	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	20.2401979124626	-1.24806383991815	0.356337535811166	-3.50247648504684	0.000460954469669037	0.010525127057443
ABCA1	22.4866269538021	0.11207276551	0.277127766223983	0.404408288050859	0.685912506519699	0.894952508506655
ABCA10	0.252412611321098	0.825052144830037	1.94451337051552	0.424297491259371	0.671348868604967	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.62526256778888	-1.07301483919966	1.1470881727231	-0.935424899946796	0.349569369610125	NA
ABCA2	1.45448620183142	0.585216465846268	0.919133444164019	0.636704571639802	0.524317295179939	NA
ABCA3	4.71604799839257	1.15644920470986	0.50658267134303	2.28284398604464	0.0224395599392259	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.13070103885829	-1.11938442636684	0.727837521668232	-1.53795921897674	0.124058586321303	NA
ABCA6	0.742600142473139	0.752395234528625	1.20129223616053	0.626321565960809	0.531104043735429	NA
ABCA7	0.845926274495538	-2.09827640865819	1.42427115417599	-1.47322818587318	0.140689517360592	NA
ABCA8	1.9628042828867	0.621707989634313	0.8212390230037	0.757036590103088	0.44902794139116	NA
ABCA9	2.02797372203092	0.733694964394092	0.76181243122842	0.963091352041881	0.335501681264073	NA
ABCB10	0.100355550707723	-0.102585791398766	3.05170294790635	-0.033615916473504	0.973183429931045	NA
ABCB11	0.217743915305384	0.824397935372672	2.19164704016775	0.376154517704444	0.706802026108367	NA
ABCB4	2.36871463864951	0.0326619289499283	0.784291891710885	0.0416451187308316	0.966781604874503	NA
ABCB5	1.04112363766479	-1.33164306995407	1.41928147117103	-0.938251570955368	0.348115141336016	NA
ABCB6	7.3055693234569	-1.22553720778893	0.577189167308677	-2.12328518482663	0.0337299614049244	0.220924528086437
ABCB7	2.42842435014474	0.0703438362483055	0.768395348243882	0.0915464108535689	0.92705843050265	NA
ABCB8	0.746890884624372	-0.00119017220009204	1.37878784524036	-0.000863201836454081	0.999311264667368	NA
ABCB9	3.30389336772819	0.26828617169742	0.643405479611016	0.416978375533292	0.676694224852928	NA
ABCC1	0.822243843507825	0.0780040843841649	1.32337432236067	0.0589433262125104	0.952997248693422	NA
ABCC10	2.75943959632433	-0.403211857237195	0.80022693375152	-0.503871889623746	0.61435140537952	NA
ABCC11	0.308984750879436	-0.636986057599672	1.77619438395414	-0.358624069163885	0.719876338382672	NA
ABCC2	0.676188747710974	1.56279163707102	1.26171907611824	1.2386209154252	0.215485918681005	NA
ABCC3	6.70358225200394	1.40635823839476	0.479675709665066	2.93189379836797	0.00336901934529712	0.0452136147238242
ABCC4	0.786025820126483	0.0600252134964932	1.44456793920876	0.0415523644594876	0.966855548070148	NA
ABCC5	2.13954526320587	-0.747335937334364	0.97338219256738	-0.767772354005368	0.442622441779553	NA
ABCC6	1.22176079354807	-0.594147178450075	1.1970423859149	-0.496345981931097	0.619650329642892	NA
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.22284600122472	0.619713234382185	0.732840105103256	0.845632260116097	0.397757923120915	NA
ABCD1	0.469803421309443	-1.24035757143932	1.56586412028922	-0.792123374798463	0.428288741828728	NA
ABCD2	0.0337319604447958	0.37943089294274	3.75867833540884	0.100947955393866	0.91959177461147	NA
ABCD3	2.4226571021079	-1.7911418136497	1.10261361703949	-1.62445101889718	0.104279586008301	NA
ABCD4	10.0239448843273	0.183309189086915	0.377510391608852	0.485573889252952	0.627269312878967	0.864896067710783
ABCE1	3.4993752888058	0.531966524405499	0.637588625997416	0.834341302079086	0.404088683923325	NA
ABCF1	2.49150633373274	-0.102049071759942	0.798555730304231	-0.127792047426751	0.898313543696039	NA
ABCF2	6.62102971688445	-0.333871761637261	0.506869337712875	-0.658693941014021	0.51009232455179	0.804404586631311
ABCF3	1.44302501870074	1.14366732892813	0.94362288339905	1.21199617882145	0.225513843354536	NA
ABCG1	0.360305705197926	0.486447308158592	1.75881956982621	0.276576015245645	0.78210568358316	NA
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.324813548658221	0.80758006235913	1.85223072576375	0.436004030775449	0.662833805085223	NA
ABHD1	3.06930097809799	0.233434455970323	0.667393818387391	0.349770179973147	0.726511180077345	NA
ABHD10	1.16953819423959	-1.53415798402889	1.35587254047311	-1.13149130042384	0.257848362982757	NA
ABHD11	2.56661833203673	0.369063083554426	0.758684853131339	0.486451102893623	0.626647365732029	NA
ABHD12	2.91482774751673	0.726193685811534	0.6621778771368	1.09667464118785	0.272783645675432	NA
ABHD12B	1.31912164418252	0.996868260590055	0.933882992759858	1.06744449606482	0.2857711646531	NA
ABHD13	0.382420817072481	-1.05564416050122	1.85521563661572	-0.569014264253898	0.569346459760912	NA
ABHD14A	3.9452870981847	0.366808938675285	0.567307493636514	0.64657869460527	0.517904650592532	NA
ABHD14A-ACY1	1.64882833161152	-0.00617421748980411	0.922959812908371	-0.00668958431716362	0.994662523764332	NA
ABHD14B	1.02043746831081	2.23813488603359	1.14754471687419	1.95036834131403	0.0511322324225961	NA
ABHD15	1.15315828536445	0.883481822269427	0.987298100312205	0.894848092982303	0.370868297517009	NA
ABHD16A	0.0328916298181319	0.37943089294274	3.75867833540884	0.100947955393866	0.91959177461147	NA
ABHD17A	3.62159792888683	0.35762525988067	0.614720477584137	0.581768906228965	0.56072235073033	NA
