baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.79151875348937	0.395107690524977	0.579977708586169	0.681246338739716	0.495715631418	0.997821513570018
A1CF	0.275164338606385	-1.26119156382208	1.89242310841798	-0.666442698893275	0.505128177892878	0.997821513570018
A2M	0.298818931389168	-1.37457997946652	1.85159732648894	-0.742375223706466	0.457860026707474	0.997821513570018
A2ML1	0.864481238036403	0.127015859427166	1.19074650276152	0.10666910138522	0.91505149623571	0.997821513570018
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.63253072768808	-0.0550903935322008	0.503307020447251	-0.109456835080993	0.91284015661502	0.997821513570018
AACS	7.50837685471904	0.238261867342696	0.41122909802891	0.579389611495697	0.562326312165566	0.997821513570018
AADACL2	0.0376030513689506	-0.299146959897937	3.75867833540884	-0.0795883374961369	0.936564671120843	0.997821513570018
AADACL3	0.074095708221404	-0.560577523940805	3.23661268938133	-0.173198827830079	0.862495144974117	0.997821513570018
AADAT	2.00381476312072	-0.029310756079576	0.789075094411144	-0.0371457118431162	0.970368824378982	0.997821513570018
AAED1	8.42454568292957	0.0178072102697773	0.378627965498682	0.0470308901940822	0.962488607946466	0.997821513570018
AAGAB	4.47588718931849	0.261861146130237	0.533490999543775	0.490844543495902	0.623536402671613	0.997821513570018
AAK1	7.30597050169453	-0.286072895760373	0.416691461209954	-0.686534096306409	0.492376370942422	0.997821513570018
AAMDC	9.30806132054731	-0.445020594307748	0.385716375195541	-1.15375084628477	0.248602331401606	0.997821513570018
AAMP	5.8787592816802	-0.234949334122633	0.497571068404462	-0.472192514882414	0.636789381954135	0.997821513570018
AANAT	0.148851983356388	-0.562342052125411	2.56139209804487	-0.219545477849584	0.826225157658018	0.997821513570018
AAR2	4.22379002723281	0.338715958314161	0.513254646750493	0.659937441304492	0.509293975813438	0.997821513570018
AARD	1.36671147137356	-2.30888714813416	1.3769248897698	-1.6768432071267	0.093573146213008	0.997821513570018
AARS	9.01788903390215	-0.333018569067145	0.379253632683091	-0.878089332226436	0.379895241704958	0.997821513570018
AARS2	2.08763859871195	0.281091432753572	0.771410590076135	0.364386276737307	0.715569581703444	0.997821513570018
AARSD1	6.02126689354234	0.642360476214975	0.42865548270785	1.49854720662181	0.133991137355246	0.997821513570018
AASDH	3.08955381966751	-0.0943476132666159	0.689088672647154	-0.136916505831066	0.891096791938286	0.997821513570018
AASDHPPT	8.4556361717581	-0.425626102529367	0.405322782054708	-1.05009173274627	0.293675939342775	0.997821513570018
