baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	4.05652318507329	0.767672415345737	0.545848328272337	1.40638410998802	0.159610096143043	0.999540064529667
A1CF	0.276026802611299	-1.26915747539223	1.89680811068911	-0.66910167045371	0.503430624463252	0.999540064529667
A2M	0.299081821067338	-1.38193400943423	1.85680996875496	-0.744251718101694	0.45672420486811	0.999540064529667
A2ML1	1.01577306031889	0.829531846837843	1.04217864799284	0.7959593572901	0.426055658770203	0.999540064529667
A4GALT	0	NA	NA	NA	NA	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	5.41051410832136	-0.336343399465519	0.534818895118882	-0.62889214000331	0.529419672169508	0.999540064529667
AACS	7.1015658377897	-0.082542705006428	0.439374503994088	-0.187864121054094	0.850983169160866	0.999540064529667
AADACL2	0.115993898826771	0.740073290267675	2.79394227703777	0.26488496070589	0.791098084259068	0.999540064529667
AADACL3	0.115339182665101	0.348801084951626	2.53116157644254	0.137802773318744	0.890396292481842	0.999540064529667
AADAT	1.69223946800923	-1.78283515567674	1.17423760395623	-1.51829165551336	0.128940890342411	0.999540064529667
AAED1	7.97005521611548	-0.390703957121038	0.410016534806222	-0.952898051552212	0.340641727407237	0.999540064529667
AAGAB	4.84361670813889	0.706327031509895	0.497373488870385	1.42011395322673	0.155574508732474	0.999540064529667
AAK1	7.34310420779707	-0.345588836876948	0.424322614574363	-0.814448311277511	0.415388171920911	0.999540064529667
AAMDC	10.6269330136525	0.422205508776074	0.318421033795513	1.32593473409552	0.18486131662167	0.999540064529667
AAMP	6.26743717264916	0.193548546399943	0.440778158291232	0.439106481932485	0.660584382584829	0.999540064529667
AANAT	0.244940470537594	0.451275574296741	2.05293534994044	0.219819671530248	0.826011598656548	0.999540064529667
AAR2	3.93856101880452	-0.0106150571645182	0.549409430218184	-0.0193208499539273	0.984585151174428	0.999540064529667
AARD	1.5685662891346	-0.737082343319635	1.06631777845844	-0.691240789762713	0.48941423431063	0.999540064529667
AARS	9.71518954313414	0.0986589419575815	0.342545523591593	0.288017023031396	0.773333708054429	0.999540064529667
AARS2	1.91017831984139	-0.346510908083628	0.870796582708031	-0.397924055932831	0.690686167112466	0.999540064529667
AARSD1	5.36202612233889	-0.0673389527460902	0.484739981348065	-0.138917678213421	0.889515201224384	0.999540064529667
AASDH	3.13751196766585	-0.0384283718734244	0.654261083793332	-0.0587355305478678	0.953162758892989	0.999540064529667
AASDHPPT	8.70750688245858	-0.220398548759615	0.378106574045667	-0.582900599694402	0.559960216906816	0.999540064529667
AASS	2.16877324268695	0.268689733872818	0.699679960572413	0.384018049699467	0.700965069569954	0.999540064529667
AATF	1.52384097526522	-0.660156398310467	1.08689508102829	-0.60737821877518	0.543599939950782	0.999540064529667
AATK	0	NA	NA	NA	NA	NA
ABAT	24.9413358157897	-0.181541184027269	0.236689458026543	-0.767001562050604	0.443080586796311	0.999540064529667
ABCA1	23.0471399747043	-0.610629229874742	0.286478630226607	-2.13150010313764	0.0330479639561117	0.999540064529667
ABCA10	0.190217863571645	-0.823574913744366	2.19934235516535	-0.374464171896717	0.70805900749394	0.999540064529667
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.71314413752408	-1.29892998224889	1.01948114760994	-1.27410887910393	0.202624832104665	0.999540064529667
ABCA2	1.6856311180288	0.689372200756999	0.781950176232184	0.881606298854909	0.377989747678362	0.999540064529667
ABCA3	4.3841077773739	0.285188208961948	0.514643803515293	0.554146784657582	0.579478394077994	0.999540064529667
ABCA4	0.0410210252033735	0.867052682869841	3.75100551711679	0.231152068135666	0.817196665703762	0.999540064529667
ABCA5	5.02860738894376	-0.133791018739699	0.481822372773	-0.277677057563145	0.781260273670366	0.999540064529667
ABCA6	0.834660697042003	0.533052511386037	1.10137498876777	0.483988211846378	0.628394235144091	0.999540064529667
ABCA7	0.938465937604309	-2.78687247323956	1.40887514936831	-1.97808334861261	0.0479193047175859	0.999540064529667
ABCA8	2.17073562212302	0.559314288234911	0.724031936526404	0.772499471388322	0.439818659862625	0.999540064529667
ABCA9	2.13103117839679	0.379662943567158	0.714907665768516	0.531065705050212	0.595373248479117	0.999540064529667
ABCB10	0.111975351281051	-0.79129069683243	2.86729766311255	-0.275970893085951	0.782570422359778	0.999540064529667
ABCB11	0.152015785804361	-0.824453631360617	2.59739079323204	-0.317416090604801	0.750927899472581	0.999540064529667
ABCB4	2.94995488284312	0.482782365393348	0.598152254328277	0.807122871977656	0.419595695997017	0.999540064529667
ABCB5	1.23820030308688	-0.0589327343698802	1.01516258253984	-0.0580525084193275	0.953706803344202	0.999540064529667
ABCB6	9.52611673171049	0.128292945172094	0.360797969805916	0.355581117158467	0.722154286930882	0.999540064529667
ABCB7	2.74802123009648	0.181403211918114	0.64846695717767	0.279741642824235	0.779675726932299	0.999540064529667
ABCB8	1.20415141419986	1.33828989681391	0.957490446196144	1.39770574435556	0.162201448561524	0.999540064529667
ABCB9	3.3405886276542	0.0199409792808627	0.589728313998011	0.0338138407255276	0.973025598954587	0.999540064529667
ABCC1	0.976003172255975	0.545989680217834	1.05282212673635	0.518596319693957	0.604042276066726	0.999540064529667
ABCC10	3.09840773416334	-0.301404972807852	0.661193542838106	-0.455849843170127	0.648497959201867	0.999540064529667
ABCC11	0.384011561304429	-0.386137591472191	1.63856049205707	-0.235656598181144	0.813699151027425	0.999540064529667
ABCC2	0.492222403567991	0.0186599595408263	1.54063578302353	0.0121118565117355	0.990336372958163	0.999540064529667
ABCC3	5.70568082034594	0.126907407707736	0.576076324136748	0.220296169779078	0.825640502970901	0.999540064529667
ABCC4	0.9674173998562	0.250223219954216	1.26890731705121	0.197195820838756	0.843674300895206	0.999540064529667
ABCC5	2.44593604802048	-0.452266124079735	0.761980280561552	-0.593540457170927	0.552819515868141	0.999540064529667
ABCC6	1.59439182548338	0.470396848105836	0.814807923582889	0.577310105229951	0.563729988490749	0.999540064529667
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.2838112488804	0.102103409070308	0.705376775816561	0.144750171214683	0.884908125363246	0.999540064529667
ABCD1	0.600072203375006	-0.943938021894879	1.47745464487707	-0.63889475400676	0.522891400964119	0.999540064529667
ABCD2	0.0376571938193238	-0.307396592814403	3.75867833540884	-0.0817831602982774	0.934819147345824	0.999540064529667
ABCD3	3.44639379161788	0.428699148398719	0.550557598342147	0.778663576144674	0.436177917601771	0.999540064529667
ABCD4	10.3415682837993	-0.376833797364643	0.381290165037439	-0.988312398059471	0.322999675337971	0.999540064529667
ABCE1	3.97484039074024	0.505588586901802	0.560804543303132	0.901541531607237	0.367300462182386	0.999540064529667
ABCF1	3.20834532084798	0.570456770831126	0.620185999463342	0.919815621966237	0.357669118309502	0.999540064529667
ABCF2	7.46858398103723	-0.189879595032151	0.412959436192625	-0.459802049283072	0.64565831214973	0.999540064529667
ABCF3	1.45739394373716	1.07406642287141	0.843408346207876	1.27348327497661	0.202846603748515	0.999540064529667
ABCG1	0.435605053211214	0.882691062252513	1.56627999683367	0.563558919246194	0.573054351372845	0.999540064529667
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.279851423337215	0.690088949648762	1.83465081849122	0.376141848189008	0.706811444493725	0.999540064529667
ABHD1	3.12054902134002	-0.364525250318348	0.654154986574972	-0.557246001023291	0.577359364104075	0.999540064529667
ABHD10	1.62906243745504	0.344636878611244	0.815433442748184	0.422642561052861	0.672556069003768	0.999540064529667
ABHD11	2.55889363624866	-0.114037919822235	0.734062104041259	-0.155351868996395	0.876543926380191	0.999540064529667
ABHD12	3.12009705659228	0.567525372328731	0.61149371770735	0.928096815870051	0.353357351160979	0.999540064529667
ABHD12B	1.18844816606076	0.130364097945712	0.995671286193014	0.130930860167881	0.895830001933678	0.999540064529667
ABHD13	0.814501479107966	1.53807530092283	1.15014075039584	1.33729310990283	0.181126979171356	0.999540064529667
ABHD14A	4.32620806880681	0.265862244776693	0.498354161802489	0.533480534837113	0.59370098190018	0.999540064529667
ABHD14A-ACY1	1.91491042615056	0.237984435130885	0.760730435451747	0.312836747473581	0.754404695184158	0.999540064529667
ABHD14B	0.721579293331557	0.493003398901935	1.27911009080142	0.385426870171155	0.6999211779198	0.999540064529667
ABHD15	1.18794367156567	0.661605647735779	0.907782561095056	0.7288151106777	0.466114767067361	0.999540064529667
ABHD16A	0.173761839466037	1.49610476687645	2.19209885471686	0.682498767634129	0.494923621762197	0.999540064529667
ABHD17A	3.47178141853858	-0.583862921393964	0.650418395091078	-0.897672829982316	0.369359998650228	0.999540064529667
ABHD17B	2.55507724191815	-0.551989956077543	0.807249521261229	-0.683790998370772	0.494107151572572	0.999540064529667
ABHD17C	1.10507193637254	0.511939643183645	1.04716519735279	0.488881452972096	0.624925627169219	0.999540064529667
ABHD18	3.31220197930252	-0.899302634843512	0.705101875885467	-1.27542226960348	0.202159820529666	0.999540064529667
ABHD2	3.22377189149756	-0.356527706310222	0.649068389716104	-0.549291433628688	0.582805465213451	0.999540064529667
ABHD3	0.760726925223411	0.205025797833632	1.30637829938546	0.156942133783207	0.875290453332824	0.999540064529667
ABHD4	22.2658471590512	-0.082666206856807	0.258836784978373	-0.319375806123207	0.749441554849537	0.999540064529667
ABHD5	0.340734854836513	1.17181227165595	1.58631822591279	0.738699368458475	0.460089569359788	0.999540064529667
ABHD6	0.83273395017391	0.173937223498529	1.2092242701572	0.143841988447616	0.885625245641077	0.999540064529667
ABHD8	0.463462246152011	-0.37938895410927	1.66741786245353	-0.227530820349385	0.820011006445686	0.999540064529667
ABI1	2.82435751178668	0.46085692226272	0.640340575738012	0.719705949808926	0.471706062166505	0.999540064529667
ABI2	17.2920585681793	-0.0907592235402265	0.279300549078673	-0.32495182640927	0.745217531663049	0.999540064529667
ABI3	0	NA	NA	NA	NA	NA
ABI3BP	0.519073514999951	-0.184210930029558	1.54833887244857	-0.118973264385104	0.90529653724265	0.999540064529667
ABL1	2.05071486439501	-0.265092392403654	0.774071893760666	-0.342464820826601	0.73200111409334	0.999540064529667
ABL2	4.43953202203443	-0.398199269367403	0.576072838865102	-0.691230765456465	0.489420532851293	0.999540064529667
ABLIM1	7.23694163542232	0.326801775664918	0.392523185446647	0.832566808233388	0.40508908500491	0.999540064529667
ABLIM2	0.813328880688648	0.668141611602814	1.11610270966205	0.598638105452788	0.54941423969013	0.999540064529667
ABLIM3	0	NA	NA	NA	NA	NA
ABO	1.25040104247799	-0.640049620300168	1.03958549711911	-0.615677712005283	0.538107250151865	0.999540064529667
ABR	2.73420601937523	-0.21840236056641	0.70786303147227	-0.308537599586405	0.757673294433343	0.999540064529667
ABRA	0.0944352317214542	-0.307396133472619	3.37363054461423	-0.091117308018021	0.927399380041212	0.999540064529667
ABRACL	1.39094269367282	-0.833138511524996	1.1178973380273	-0.745272828894283	0.456106803373997	0.999540064529667
ABRAXAS1	10.5356694703553	0.0422005091094082	0.339235910165361	0.124398708523628	0.90099959585537	0.999540064529667
ABRAXAS2	2.52009279284265	-0.978210957284242	0.795245877338718	-1.23007359756182	0.218669545958285	0.999540064529667
ABT1	1.68975861829335	-0.0280848018217052	0.843497278104879	-0.0332956638399646	0.973438811598751	0.999540064529667
ABTB1	0.46233900189539	-0.514709881489216	1.59143076676868	-0.323425870755478	0.746372739447524	0.999540064529667
ABTB2	0.464797515825897	0.464265120204015	1.52246962245472	0.30494212387336	0.760410232486604	0.999540064529667
AC001226.2	0.404747640673038	-0.0256448439891607	1.56823713242238	-0.0163526570433569	0.986953048899137	0.999540064529667
AC002094.3	0	NA	NA	NA	NA	NA
AC002310.4	0	NA	NA	NA	NA	NA
AC002310.5	0	NA	NA	NA	NA	NA
AC002985.1	0	NA	NA	NA	NA	NA
AC002996.1	0	NA	NA	NA	NA	NA
AC003002.1	0	NA	NA	NA	NA	NA
AC003002.2	1.01760522374629	1.31338723629546	0.994379648600412	1.32081065631627	0.186564505640854	0.999540064529667
AC003002.3	0	NA	NA	NA	NA	NA
AC003006.1	0	NA	NA	NA	NA	NA
AC004076.1	0	NA	NA	NA	NA	NA
AC004080.3	0.0379515218441382	-0.307396592814403	3.75867833540884	-0.0817831602982774	0.934819147345824	0.999540064529667
AC004223.3	0	NA	NA	NA	NA	NA
AC004233.2	0	NA	NA	NA	NA	NA
AC004556.1	4.39377758678227	-0.222982386354879	0.557085976485925	-0.400265660538509	0.688960857490048	0.999540064529667
AC004691.2	0	NA	NA	NA	NA	NA
AC004754.1	0.301057068058536	1.18576107359251	1.76950026267838	0.670110707866015	0.502787219391225	0.999540064529667
AC004805.1	0	NA	NA	NA	NA	NA
AC004832.3	0.352953091490628	-0.111247215148105	1.81082294105575	-0.0614346177231691	0.951013083459738	0.999540064529667
AC004922.1	0.465734013330561	-0.636708733184514	1.60891606280936	-0.395737694403241	0.692298544725572	0.999540064529667
AC004997.1	0.39129699517625	-1.5789907381207	1.7152247654203	-0.920573658889416	0.357273059918931	0.999540064529667
AC005041.1	2.94261842217926	-0.0406746938148499	0.691836900186814	-0.0587923162292538	0.953117528636531	0.999540064529667
AC005154.6	0.656189783016342	0.572598022400621	1.47739321534109	0.387573204245711	0.698331901787393	0.999540064529667
AC005258.1	0.320992521640538	-1.33002717256853	1.84847496546751	-0.719526743621405	0.471816430342569	0.999540064529667
AC005324.3	0.0379515218441382	-0.307396592814403	3.75867833540884	-0.0817831602982774	0.934819147345824	0.999540064529667
AC005324.4	0.492836209877004	-0.575497204390556	1.54922164292007	-0.371475061054415	0.710283727628469	0.999540064529667
AC005520.1	1.61309501208899	0.168073486017528	0.87540538123264	0.191995034095937	0.847746095282396	0.999540064529667
AC005670.2	0.0379515218441382	-0.307396592814403	3.75867833540884	-0.0817831602982774	0.934819147345824	0.999540064529667
AC005702.1	0.427745260703512	-1.72571781180289	1.68292922143141	-1.02542506828367	0.305162664837115	0.999540064529667
AC005726.1	1.69096059122437	-0.580549984370006	0.946902997606945	-0.613103967182698	0.539807597225832	0.999540064529667
AC005779.2	0.0410210252033735	0.867052682869841	3.75100551711679	0.231152068135666	0.817196665703762	0.999540064529667
AC005832.4	0	NA	NA	NA	NA	NA
AC005833.2	0.553976387480312	-1.0708654855064	1.51434686215289	-0.707146765559372	0.479475276523984	0.999540064529667
AC005837.2	0	NA	NA	NA	NA	NA
AC005943.1	2.87405997420654	0.177281502556367	0.701589852902784	0.25268538566069	0.800511342034838	0.999540064529667
AC006030.1	0	NA	NA	NA	NA	NA
AC006254.1	0.206732297986364	-0.852197034183873	3.7563597610409	-0.226867789135226	0.820526549560685	0.999540064529667
AC006486.1	0	NA	NA	NA	NA	NA
AC006978.2	0.0850356671719802	-0.307396285124718	3.50543445345579	-0.0876913515874402	0.930121993576818	0.999540064529667
AC007040.2	0.769798311737846	-0.788858219444422	1.37846283447509	-0.572273839899946	0.567136469632564	0.999540064529667
AC007192.1	2.77975978560861	-0.014160258612197	0.659004642924326	-0.0214873427133397	0.982856900184876	0.999540064529667
AC007240.1	0.169047717207996	-0.819275654358151	2.27401178052528	-0.360277664950752	0.718639500204656	0.999540064529667
AC007325.1	0.692853151477804	-0.33845951727367	1.40308577703332	-0.241225107412397	0.80938065247614	0.999540064529667
AC007325.2	0.119699244226071	1.15725751667636	2.7507061617192	0.420712881943402	0.673964753368224	0.999540064529667
AC007325.4	1.00187278098889	-0.0395603653805559	1.17381394089215	-0.0337024156916116	0.973114452625042	0.999540064529667
AC007326.4	2.07800240333586	-0.482674960757913	0.841410958566454	-0.573649482269955	0.566205019977839	0.999540064529667
AC007375.2	0	NA	NA	NA	NA	NA
AC007906.2	0.267899852417422	-0.107659124626507	1.79834310118339	-0.0598657311586771	0.952262573495294	0.999540064529667
AC007998.2	0	NA	NA	NA	NA	NA
AC008073.3	0.798786682067882	-0.72640779240535	1.33194032782204	-0.545375627745394	0.585495199354048	0.999540064529667
AC008403.1	0	NA	NA	NA	NA	NA
AC008537.1	0.113769935935408	-0.57042639572645	2.81824845697533	-0.202404580162054	0.83960044805424	0.999540064529667
AC008575.1	0.591461789283505	-2.03888345074202	1.63533471012488	-1.24676828426538	0.212482472813696	0.999540064529667
AC008687.1	0	NA	NA	NA	NA	NA
AC008695.1	0.150725227602626	-0.819069254099632	2.35045878771489	-0.348472076337033	0.727485681073959	0.999540064529667
AC008750.8	0.0366609636424036	-0.307396592814404	3.75867833540884	-0.0817831602982775	0.934819147345824	0.999540064529667
AC008758.1	1.69233827525785	-0.280929575352212	0.847442674264852	-0.331502748071916	0.7402647655687	0.999540064529667
AC008758.4	0.86436400236262	-0.686216645973131	1.28526045855964	-0.533912516644415	0.593402061856368	0.999540064529667
AC008758.5	0	NA	NA	NA	NA	NA
AC008758.6	0.0366609636424036	-0.307396592814404	3.75867833540884	-0.0817831602982775	0.934819147345824	0.999540064529667
AC008763.2	1.41961673260671	-0.929680914036719	1.07731711684599	-0.862959382617534	0.388159799331486	0.999540064529667
AC008763.3	1.71234248356272	-0.786010969170684	0.938684729019793	-0.837353527623128	0.402393879631832	0.999540064529667
AC008764.1	0	NA	NA	NA	NA	NA
AC008764.4	0.181801269317653	-0.845255570879101	2.22716522071203	-0.379520820017507	0.704301146543185	0.999540064529667
AC008770.1	0	NA	NA	NA	NA	NA
AC008770.2	0.31008192458437	0.917441399231449	1.68066391039769	0.545880347376743	0.585148188250147	0.999540064529667
AC008878.1	0	NA	NA	NA	NA	NA
AC008878.3	1.00195558363285	0.286235223456428	1.17890308070688	0.242797926429031	0.808161941986024	0.999540064529667
AC008982.1	0	NA	NA	NA	NA	NA
AC009119.2	0.100311481986311	-0.307396051697999	3.30037481251382	-0.0931397399266486	0.925792546740165	0.999540064529667
AC009133.6	6.15695188050518	-0.0208892825070036	0.438725846989142	-0.047613521406047	0.962024255728677	0.999540064529667
AC009163.2	0.980687221416446	0.922809198419326	0.982951239587672	0.938814827484652	0.347825824752233	0.999540064529667
AC009163.4	0.741476492026834	1.4546071252379	1.21418370060289	1.19801239673669	0.230912190913687	0.999540064529667
AC009690.1	0.0366609636424036	-0.307396592814404	3.75867833540884	-0.0817831602982775	0.934819147345824	0.999540064529667
AC009690.3	0	NA	NA	NA	NA	NA
AC009779.3	1.99930208294059	-0.0106012817819512	0.753655598286151	-0.014066480506559	0.988776942490216	0.999540064529667
AC010132.3	4.10312279196957	-0.605376846048372	0.654433923563003	-0.925038914169449	0.35494566591338	0.999540064529667
AC010255.3	0.111203426098011	-0.307395920727611	3.17953385279664	-0.0966795558591814	0.922980875824123	0.999540064529667
AC010319.2	0	NA	NA	NA	NA	NA
AC010323.1	4.24768773461992	0.24537599676865	0.560250956300436	0.437975150259388	0.661404297251831	0.999540064529667
