baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.4201297498133	0.107991798968189	0.145926336629201	0.740043240053344	0.459273757611721	0.904164319849216
A1CF	0.191457765680803	0.64428528334061	0.459986501485999	1.40066128301424	0.161315385659251	NA
A2M	0.0926935564318446	0.612059427276238	0.877670931363362	0.69736777806401	0.485572661218	NA
A2ML1	0.853406166931875	0.227158510306506	0.251923036130002	0.901698049515741	0.367217289416713	0.880863913507493
A4GALT	0.00363501787133945	0.50604205105772	3.34876882721397	0.151112864807311	0.879886684389996	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	3.22554028430499	0.173358636366172	0.123253800060896	1.40651757820465	0.159570488582155	0.791167132267925
AACS	6.11961296847811	0.103883174378259	0.103311517549993	1.00553333105372	0.314640108176774	0.864071885480968
AADACL2	0.0688966888560714	0.630784049106656	1.05731006445552	0.59659325141437	0.550778978002747	NA
AADACL3	0.0311129151611929	0.402980171124001	1.73651304184972	0.232062853207685	0.816489196181288	NA
AADAT	0.865172754839466	0.215831684639838	0.220356171198099	0.979467393476385	0.32734909195655	0.866917897947968
AAED1	6.65584864100181	-0.024180693861887	0.110372889781252	-0.219081822627012	0.826586310271657	0.977050540080399
AAGAB	3.32861059152095	0.0491084323147969	0.12737896599759	0.385530153508439	0.699844670489485	0.957163891401117
AAK1	6.68546036228026	0.242311355151609	0.123699254537038	1.95887482150555	0.0501274483789004	0.676402180818921
AAMDC	6.73778495377154	-0.181347959546964	0.1036870529605	-1.74899328671295	0.0802921798539494	0.729894362399624
AAMP	3.46387113777589	-0.125104818564885	0.12768821255633	-0.979767952423133	0.32720067476774	0.866917897947968
AANAT	0.097829025131802	0.335340610536069	0.855847763598137	0.391822733900989	0.695189196256082	NA
AAR2	3.11396705232422	0.172891248247896	0.131563203149339	1.31413073039613	0.188802214247849	0.792453629957921
AARD	1.41642350299895	0.463161382394234	0.297079751756331	1.55904729169871	0.11898518741363	0.755835190603656
AARS	5.84115125322827	0.00348737554246574	0.102615633302058	0.033984836717816	0.97288924226324	0.996602627703695
AARS2	1.66785392065035	0.217837256909064	0.228367751729926	0.953887995388617	0.340140340674141	0.871370130654285
AARSD1	3.76338875045206	-0.0702820894211127	0.123407896720699	-0.569510471280276	0.569009766587736	0.936573714575116
AASDH	1.79507276270208	0.00890235749212155	0.170380199929737	0.0522499533149557	0.95832953027334	0.995482698001797
AASDHPPT	4.55952149406892	-0.0139333006960971	0.104338147376731	-0.133539851400547	0.893766449624206	0.98687017845142
AASS	2.44210408459914	-0.131017236283995	0.152842600153101	-0.857203660188693	0.391332340005439	0.884580179504483
AATF	0.996535712950549	0.157261897826872	0.23893053868398	0.658190864562832	0.510415494258001	0.917231076389432
AATK	0.036909815672365	0.753303323823593	1.83768880346566	0.409918873316829	0.681865460093769	NA
ABAT	13.911453127325	-0.0763845011659283	0.0823769287572893	-0.927255996530088	0.353793635291713	0.878090376070835
ABCA1	15.2035324272893	0.00652671528425817	0.104989035626503	0.0621656846861312	0.950430889267347	0.995291713825927
ABCA10	0.207942679969153	0.311690477212457	0.502532380938512	0.620239588601942	0.535100061204559	NA
ABCA12	0.0300509535284407	0.619487086334518	1.73824100313327	0.35638733939532	0.721550509480189	NA
ABCA13	1.59557491939782	0.0863538875641396	0.199506798815945	0.432836815971396	0.66513332495097	0.95074554475124
ABCA2	1.21664468575273	0.17353616949902	0.202972858315985	0.85497229008256	0.392566488279505	0.884580179504483
ABCA3	3.69654290706261	0.0233092139871754	0.129066644885855	0.180598279344673	0.856682906558699	0.980186776577963
ABCA4	0.0126407855489959	0.558006115866633	3.34867460569981	0.166634917264534	0.867657317795811	NA
ABCA5	2.95588234882265	-0.251729103787948	0.142142530061421	-1.7709625942297	0.0765669221982183	0.727631153237089
ABCA6	0.897055597531909	0.229291049900627	0.228976235999849	1.00137487586606	0.316645605837204	0.864424091975036
ABCA7	0.542109838775567	0.210240094507909	0.28643147475358	0.733997877463642	0.4629500317018	0.905765945661224
ABCA8	1.21833146824853	0.0746502776548957	0.204605949485168	0.364849007776809	0.715224120065296	0.961666921733855
ABCA9	1.31745485630121	0.136666770483655	0.210388530378752	0.64959230542473	0.515955604659338	0.919464604964593
ABCB10	0.240990607111952	0.440182718848537	0.377030337465003	1.16749946916247	0.243008722563656	0.828331469372574
ABCB11	0.498111059721388	0.467567368737918	0.422163771956242	1.10754972311168	0.26805632691157	0.843929638602283
ABCB4	2.0665990688226	-0.318010383907384	0.190709125725677	-1.6675152942855	0.0954119858153147	0.737770781816681
ABCB5	1.26966394471102	0.188381722326663	0.270325673163314	0.696869520834798	0.485884453718646	0.912816748257822
ABCB6	5.17352888713208	0.0681382859207967	0.107335406462115	0.634816489420449	0.525548107590727	0.923992237081629
ABCB7	1.28331280421028	-0.119437378929249	0.193246046360411	-0.618058589962012	0.536536717780012	0.927130130701093
ABCB8	1.57929368618391	0.312113812153611	0.247268248297214	1.2622478393524	0.206859619377095	0.801864190271269
ABCB9	2.80576043048751	0.158932199738158	0.167506441812181	0.948812463680428	0.342716001687436	0.871431557409774
ABCC1	0.545747696799127	-0.0566054994644123	0.269144440286098	-0.210316436052854	0.83342070804614	0.977050540080399
ABCC10	2.41436392890022	-0.106368116347444	0.161269067569278	-0.659569240094667	0.509530299156132	0.916597745921337
ABCC11	0.145215414912797	0.0997676852671471	0.604469858786904	0.165049892590788	0.868904711911901	NA
ABCC2	0.25517172811799	0.370165342906463	0.350971698621403	1.05468715671506	0.291568427586364	0.856991216628462
ABCC3	4.11551865682808	0.203460047944619	0.133188082563051	1.52761451347047	0.126608276158168	0.765571841275277
ABCC4	0.577474897065719	0.18410565216992	0.355683760405712	0.517610508728088	0.604730048255313	0.941951361966262
ABCC5	1.22860628633636	0.00397387307954466	0.200364843755311	0.0198331853286479	0.984176445021242	0.997222225047417
ABCC6	0.977499188985057	0.199612685684513	0.226094764655077	0.882871772767652	0.377305556253079	0.884580179504483
ABCC8	0.0486786050004135	0.533196380389947	1.80050356250571	0.296137364842484	0.76712518000429	NA
ABCC9	1.59846515889214	0.293884883808316	0.178691866011154	1.6446461183072	0.100042810379146	0.738106120735911
ABCD1	0.286893892329397	0.326112659051764	0.35541731484659	0.917548598307668	0.35885523894508	0.879548887789706
ABCD2	0.0899892059779873	0.588217139964345	1.04996052061421	0.560227864206027	0.575324023359662	NA
ABCD3	2.52126806811454	-0.0027633252944841	0.156065374778891	-0.0177062035598807	0.985873231699346	0.997707259521386
ABCD4	7.17483864607017	-0.134183816273432	0.100201027784511	-1.33914610698409	0.180523113031013	0.791809134088964
ABCE1	2.94911164203344	-0.138922027404044	0.137605416364038	-1.00956801755915	0.312702298927819	0.863622688390455
ABCF1	2.25732625147376	-0.0452724051244495	0.152718727053614	-0.296443049244092	0.766891753352459	0.968133362209659
ABCF2	4.78285415282976	-0.000789978891886627	0.104736883746745	-0.00754250903432266	0.99398200555191	0.998659393238627
ABCF3	1.02218883376755	0.125176590448198	0.207794177267501	0.602406631861746	0.546903496594217	0.930469768767041
ABCG1	0.437793843040504	-0.144399148327988	0.359605834859542	-0.401548401972922	0.68801640991656	0.955332398278633
ABCG2	0.00710834776456701	0.578181941631762	3.34867501084439	0.17265991467054	0.862918753946936	NA
ABCG4	0.0132879169669098	0.591659000619001	2.94213987877096	0.201098188732671	0.840621798247407	NA
ABCG5	0.246916501572631	0.386649445466653	0.465217713909645	0.831115054105073	0.405908636145491	0.888173469296816
ABHD1	1.65855389949133	0.181403491043564	0.174996312778466	1.0366132186637	0.299916150316665	0.856991216628462
ABHD10	1.30451309203085	0.0943926342437264	0.19158313472194	0.492698036185316	0.622225965451332	0.946203847723233
