baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	6.19227101734823	0.161885024523076	0.719575341882729	0.224973001575503	0.822000277523236	0.955631123691039
A1CF	0.997868147120964	-2.14681646503695	1.93523136027824	-1.10933323482743	0.267286452811364	NA
A2M	0	NA	NA	NA	NA	NA
A2ML1	1.89251850561695	-0.988820566462263	1.35673757212791	-0.728822276891317	0.466110382908738	NA
A4GALT	0.193656545405284	-0.858009241618092	4.0804728567969	-0.210272013006751	0.83345537736829	NA
AAAS	4.42326630264768	0.916437869025531	0.875882428961348	1.04630237886182	0.295421447460206	0.68899214312077
AACS	11.0437740260969	-0.574951973124337	0.553873440221287	-1.03805658724966	0.299243711075291	0.692655708069598
AADACL2	0.141981097880711	1.0655441100244	4.0804728567969	0.261132507780196	0.793990323551476	NA
AADACL3	0.183813114397652	1.0655441100244	4.0804728567969	0.261132507780196	0.793990323551476	NA
AADAT	0.801197367754702	-0.516197495914317	1.98005297302844	-0.260698831266523	0.794324767414766	NA
AAED1	11.3954339288511	0.330377684157052	0.540247349476862	0.611530411906633	0.540848491246188	0.85719219077253
AAGAB	7.16105023510979	-0.102527584021759	0.678284819413671	-0.151157126161819	0.879851769978129	0.967344798689441
AAK1	10.3348100940325	-0.394824782956735	0.591142554133529	-0.667901135176188	0.504196702739074	0.839163413272111
AAMDC	13.7261666825292	0.592151570071805	0.49374182831174	1.19931416808772	0.230405808045537	0.61545922904123
AAMP	9.57593351173958	-0.606792825316825	0.604077497893928	-1.00449499846024	0.315140080799382	0.71002259386534
AANAT	0.144479344178411	-0.858009241618092	4.0804728567969	-0.210272013006751	0.833455377368289	NA
AAR2	9.10823989359919	-0.698511997166494	0.608087786007996	-1.14870256110901	0.250678649432452	0.638847912801279
AARD	2.49931515299599	-0.15457950133107	1.13470553313365	-0.136228736722713	0.891640458309688	NA
AARS	16.9988066501868	-0.549551557295998	0.479968012746237	-1.1449753789875	0.25221935658803	0.64128787898559
AARS2	3.24044138457654	-0.488874363228436	0.993934226806885	-0.491857861459299	0.622819829080804	NA
AARSD1	8.99141319701632	0.0994583084579403	0.605302126233807	0.164311843866749	0.869485658356858	0.963583479801586
AASDH	3.22916873982395	1.33495646390608	1.05126387855192	1.26985858749844	0.204135006891853	NA
AASDHPPT	9.27259240501862	0.11369185655595	0.593391082221036	0.191596840536272	0.848058017551127	0.960598838354849
AASS	2.85261230610269	-0.187154039884886	1.06563927134069	-0.175626072460174	0.860587717856949	NA
AATF	3.59006374904063	-1.40259579339666	1.01800014459712	-1.37779527914679	0.168266503992281	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	20.7847724269889	2.02450624751605	0.465569297074761	4.34845308794267	1.37101136584245e-05	0.000251386313341978
ABCA1	39.165155078923	-0.443656937333252	0.304704562416884	-1.45602328305888	0.145386183336627	0.491526589847874
ABCA10	0	NA	NA	NA	NA	NA
ABCA12	0.137783253555921	-0.858009241618092	4.0804728567969	-0.210272013006751	0.83345537736829	NA
ABCA13	3.50590032868651	0.898620068179093	0.969188804306833	0.927187833976053	0.353829018372438	NA
