baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.18192196533873	0.101775869840089	1.02297368909636	0.0994902126270639	0.920749058537432	NA
A1CF	0.105875746112473	0.152776224731919	4.0804728567969	0.0374408138697547	0.970133530707565	NA
A2M	0	NA	NA	NA	NA	NA
A2ML1	0.661078201154143	1.10345100506866	2.24154462969831	0.492272600977467	0.622526646604221	NA
A4GALT	0	NA	NA	NA	NA	NA
AAAS	3.10166818926913	-0.201944529861311	1.05490702252393	-0.191433487074668	0.848185986282312	NA
AACS	6.81801837352554	-0.687762571955513	0.743448055020278	-0.925098353962005	0.354914749210971	0.999018490055181
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0.105875746112473	0.152776224731919	4.0804728567969	0.0374408138697547	0.970133530707565	NA
AADAT	1.43663475354937	0.168857438871459	1.60740964335019	0.10504941261863	0.916336599992311	NA
AAED1	4.83030562626301	0.0794025428838898	0.857922720414672	0.0925520923906888	0.92625940504252	NA
AAGAB	4.3365132698677	0.611430861040931	0.974071753438212	0.627706181688098	0.530196435046122	NA
AAK1	6.34651174159794	0.26915321298735	0.746555764499475	0.360526602011844	0.718453366753829	0.999018490055181
AAMDC	6.76150161248442	-1.61916416893563	0.808309896837268	-2.00314777200063	0.0451614296435214	0.999018490055181
AAMP	6.70344158384412	-0.0650722270246991	0.727166775595764	-0.089487348994164	0.928694607285611	0.999018490055181
AANAT	0.590213107285225	-0.315218438233585	2.40364179953608	-0.131142018870875	0.895662961922947	NA
AAR2	5.79990572179834	0.808794708086802	0.771806106014883	1.04792473366517	0.294673285698776	0.999018490055181
AARD	2.83332049087632	2.03366606667362	1.20627171184139	1.68591043519475	0.0918130517133123	NA
AARS	6.96091332935383	0.934877795968251	0.723692564091928	1.29181622467175	0.196420795228165	0.999018490055181
AARS2	1.18959449518411	1.42527919957465	1.69963060980815	0.838581743203322	0.401704059146995	NA
AARSD1	4.37389863931915	-0.127751168734817	0.891530426179935	-0.143294233133703	0.886057810126141	NA
AASDH	1.8236073434918	0.147444244107425	1.39859807838463	0.105422884805992	0.916040257796057	NA
AASDHPPT	4.34757217601222	0.0863953403277291	0.938757688849337	0.0920315661367594	0.926672959858651	NA
AASS	5.14899267820097	0.688753902367211	0.837517799427547	0.822375241264104	0.410863365996484	NA
AATF	0.710522646585404	-0.807121102926122	2.2460113598048	-0.359357533701997	0.719327639021199	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	18.8183631842952	-0.126594102455666	0.471500020256625	-0.268492252421885	0.788320437691038	0.999018490055181
ABCA1	21.0708276786862	0.518474853136938	0.437082354921911	1.1862177626218	0.235536313300804	0.999018490055181
ABCA10	0.274591495407011	2.07634224982606	3.62271621835282	0.573145155369122	0.566546415286299	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.05407204784247	-1.74942844882646	1.89542399307227	-0.922974730308671	0.35602037417597	NA
ABCA2	0.438422661832894	-1.73262084535769	2.5629561614672	-0.6760243781797	0.49902516734799	NA
ABCA3	2.79303781000916	-0.0113310763707669	1.11707749051092	-0.0101435007571269	0.991906796139411	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.34319684802075	0.44536186767798	0.880489956338722	0.505811411557601	0.61298904672641	NA
ABCA6	0.898655210376649	0.595029249866575	2.08958786855242	0.284759142614465	0.775828676244022	NA
ABCA7	0.741031784346965	1.15895446236072	2.27013765306298	0.510521668497504	0.609686037948464	NA
ABCA8	2.95573667992608	0.348014867248418	1.06841615633922	0.325729693606321	0.744628876157994	NA
ABCA9	2.17480528309862	0.43424587096955	1.37306624310071	0.316259956976963	0.751805202156268	NA
ABCB10	0.194152028018893	2.07632957637441	4.0804728567969	0.508845334656702	0.610860639630417	NA
ABCB11	0.300027774131366	1.11456981555109	3.263236979964	0.341553439849589	0.732686981620868	NA
ABCB4	1.42735978057517	0.102425159001572	1.55874948815602	0.0657098268707307	0.947608848612953	NA
ABCB5	1.42602831447981	-0.794063834911925	1.65817122044237	-0.478879276833717	0.63202451433306	NA
ABCB6	2.47408348294467	-1.26877235470823	1.28104999712806	-0.990415953750945	0.321970850716443	NA
ABCB7	2.46210047428085	1.0961818350533	1.23212008715688	0.889671263766782	0.373642428395405	NA
ABCB8	1.71334120727378	2.71538713387531	1.66208842788357	1.63372001652942	0.102317653424905	NA
ABCB9	3.23204057113384	-0.701395943812354	1.05776522889702	-0.663092267216737	0.507271462851046	NA
ABCC1	0.211751492224946	-0.689815285325723	4.00050957679021	-0.172431854513692	0.863098030937673	NA
