baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	4.94500645639157	0.0694754072967758	0.845537250720835	0.0821671750565061	0.934513775664513	0.999933055262751
A1CF	0.77994991828192	-0.490808350905223	2.10793749476721	-0.232838189995489	0.815887056467533	NA
A2M	0.15216443428047	0.906537506419782	4.0804728567969	0.222164817224491	0.8241855815087	NA
A2ML1	1.2228402017189	-0.767404794986275	1.67388216438599	-0.458458075074702	0.64662337643083	NA
A4GALT	0	NA	NA	NA	NA	NA
AAAS	7.58250104777192	-0.715982113947928	0.692757557707101	-1.03352479663693	0.301358372403324	0.999933055262751
AACS	10.6637055524417	0.514195754117609	0.5823273446452	0.883001217177766	0.377235613874243	0.999933055262751
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADAT	1.70360306523098	-0.767134238727031	1.45561890017104	-0.527015854655976	0.598182578484324	NA
AAED1	8.21554013602349	0.389890898213745	0.673786687792841	0.578656279913946	0.562821121650117	0.999933055262751
AAGAB	9.90485756160229	-0.895735532296758	0.624902232909813	-1.43340107479826	0.151743251429438	0.999933055262751
AAK1	11.9608318928332	0.382032281295112	0.562578823185028	0.679073341460392	0.497091392767796	0.999933055262751
AAMDC	19.8839127481585	-0.0667653871568291	0.430396447012899	-0.155125321364068	0.876722520251846	0.999933055262751
AAMP	11.0703073000303	-0.328877783802856	0.566533468299166	-0.580509011745071	0.561571411373097	0.999933055262751
AANAT	0.27697583103046	-0.0552317343658099	3.41668940165339	-0.0161652781019786	0.987102535903212	NA
AAR2	8.95271353812686	0.021817050172321	0.642309574412547	0.0339665654093274	0.972903812246343	0.999933055262751
AARD	1.44554851139333	1.93727647449946	1.72756034732376	1.12139438573048	0.262120024866148	NA
AARS	16.3974804217185	0.39919219714287	0.485251851149496	0.822649509110039	0.410707335650871	0.999933055262751
AARS2	2.54808925827307	-0.164555480474335	1.20088156714273	-0.13702890024856	0.891007951480144	0.999933055262751
AARSD1	10.5158538700716	-0.954479305428765	0.636948847373142	-1.49851798832066	0.133998722592862	0.999933055262751
AASDH	3.97816247157903	-0.212509764212617	0.936939675695534	-0.22681264303901	0.820569432169884	0.999933055262751
AASDHPPT	10.5101136390724	-0.632584774385095	0.617065920313341	-1.02514942660239	0.30529268680809	0.999933055262751
AASS	4.85829605469349	-0.332767433254289	0.851727777599554	-0.390696936281844	0.69602126372632	0.999933055262751
AATF	3.78905164395946	-0.00170777688293647	0.959251010369875	-0.00178032325686889	0.998579508310493	0.999933055262751
AATK	0.184858103762986	0.906537506419781	4.0804728567969	0.222164817224491	0.8241855815087	NA
ABAT	16.341629785064	1.49046570992666	0.509641337620343	2.92453849384757	0.00344967410807068	0.158531310619901
ABCA1	24.3580884892885	-0.484091479552412	0.431622194933384	-1.12156299012178	0.262048295049441	0.999933055262751
ABCA10	0.58706823368236	-1.41733014852828	2.44616451136868	-0.579409169719026	0.562313118291327	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	1.72020721631186	-0.819854502754701	1.52655998536161	-0.537060129059059	0.591226080515978	NA
ABCA2	2.0248172482171	1.18701568398915	1.39684781502011	0.849781680742409	0.395446476415266	NA
ABCA3	13.0728690357368	-0.00557710692655508	0.57296299408028	-0.00973379953710177	0.992233674270744	0.999933055262751
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.72194467830876	1.42201567309163	0.88948197503053	1.5987009439318	0.109887067786837	0.999933055262751
ABCA6	1.84814444665015	0.461298710260323	1.33731715340188	0.344943388400326	0.730136930943244	NA
ABCA7	0.73923266796283	-0.592024883010897	2.14446411471161	-0.276071247333748	0.782493344102384	NA
ABCA8	3.28069167637408	-1.32581897368578	1.08416412046295	-1.2228950844819	0.221369325397144	0.999933055262751
ABCA9	2.85280393217146	0.0980721168612718	1.11246136168234	0.0881577735993997	0.929751278380318	0.999933055262751
ABCB10	0.44332790821374	0.734871259668579	2.89238424309206	0.25407110463407	0.799440626205445	NA
ABCB11	0.27697583103046	-0.0552317343658099	3.41668940165339	-0.0161652781019786	0.987102535903212	NA
ABCB4	3.9189824803369	0.831918094061714	0.963042000068945	0.863844042110475	0.387673570092509	0.999933055262751
ABCB5	2.30357025283454	-0.933359135526253	1.21557884221531	-0.767831014420478	0.442587586170447	0.999933055262751
ABCB6	7.41765698367581	0.648950329254568	0.737150941119243	0.880349319325623	0.378670102600038	0.999933055262751
ABCB7	3.39042726921492	-0.774810013381062	1.0772091342236	-0.719275383734569	0.471971259984037	0.999933055262751
ABCB8	3.05839954624093	0.13716193218077	1.12691330272128	0.121714715630342	0.903124958503686	0.999933055262751
ABCB9	4.02016841087974	-0.239546266361874	0.9175700104915	-0.261065928074044	0.794041666215559	0.999933055262751
ABCC1	1.7979955618819	1.11364634851835	1.4827479994034	0.751069196496256	0.452611012823628	NA
ABCC10	3.39717603213342	0.0664357196901332	1.04857402597057	0.0633581588373216	0.949481304686818	0.999933055262751
ABCC11	0.450528058936115	-0.762835342579148	2.87541813898299	-0.265295447725372	0.790781871100125	NA
ABCC12	0	NA	NA	NA	NA	NA
ABCC2	0	NA	NA	NA	NA	NA
ABCC3	12.0808496842735	-0.60250421068989	0.554205226560774	-1.08714999753583	0.276970524835966	0.999933055262751
ABCC4	1.00490262313596	-1.2727930750028	1.91449248090424	-0.664820096029649	0.50616556750907	NA
ABCC5	2.99059569909784	0.0874870873789324	1.07421417256413	0.0814428720206718	0.935089755387715	0.999933055262751
ABCC6	1.27447752255788	0.154854699441488	1.70803687153561	0.0906623867564794	0.927760858520834	NA
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.54978043795519	0.828307807627901	1.32299993014704	0.626083032019391	0.531260481083578	0.999933055262751
ABCD1	0.15216443428047	0.906537506419782	4.0804728567969	0.222164817224491	0.8241855815087	NA
ABCD2	0.46985751563002	0.894176563180955	2.66488779775543	0.335540041848702	0.737217744563883	NA
ABCD3	6.95749032054919	0.290413070563008	0.739476109749687	0.392728131083657	0.694520291063953	0.999933055262751
ABCD4	15.9417981946271	-0.0263997536345536	0.481537048448863	-0.0548239304111554	0.956278735359134	0.999933055262751
ABCE1	8.57181174830271	0.177837534821962	0.632991316686889	0.280947826824503	0.778750416815545	0.999933055262751
ABCF1	3.25009962947951	-0.462265920626943	1.12195156697672	-0.412019497305568	0.680325132530854	0.999933055262751
ABCF2	11.7625910330622	-0.571072973885976	0.562607122859088	-1.01504753616319	0.310083168376874	0.999933055262751
ABCF3	3.78181243371039	0.130271729475466	0.960142639135903	0.135679558604653	0.89207460813741	0.999933055262751
ABCG1	1.43150260728514	-0.904971617235539	1.57089865888784	-0.576085294945912	0.564557530380319	NA
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
