baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	1.88404778372553	0.728630110641945	1.26421170397669	0.576351340799943	0.564377727067308	0.825012076107464
A1CF	0.20542075622468	3.92766131015911	1.65421877754164	2.37433002422816	0.0175808287400328	NA
A2M	0.15329430070224	4.16690472182762	1.84737893786823	2.255576609873	0.0240971594370174	NA
A2ML1	0.359546367446203	3.05423219346099	1.44344162010315	2.1159374587264	0.0343501270407654	NA
A4GALT	0	NA	NA	NA	NA	NA
AAAS	2.42344472153035	0.372980382404446	1.26895417077175	0.293927386028139	0.76881339092181	0.921153240376273
AACS	5.35312535605275	0.508712217726928	1.20005167756014	0.423908592637617	0.671632477354057	0.876582542649741
AADACL2	0.0647228321095191	5.0564309305032	3.57388448895393	1.41482774447005	0.157119007331854	NA
AADACL3	0.122582258873105	4.57557248270497	2.52870739162388	1.80945114403554	0.0703809437242889	NA
AADAT	2.09751706605705	2.9202855189184	1.29379239008391	2.25715156566117	0.0239986056853273	0.248477871172696
AAED1	4.28220641258696	-0.421127901329134	1.2137675666851	-0.346959263773432	0.728621922718699	0.901316969840792
AAGAB	4.26161725819276	0.895775284633047	1.21349245991003	0.73817952251591	0.460405364823818	0.774554938807642
AAK1	3.56202724726396	-0.175005546013579	1.20609615055912	-0.14510082461705	0.884631267230087	0.962137342703668
AAMDC	7.08737416212116	0.00625194438445325	1.20520191322886	0.00518746636213316	0.995861019243174	0.998297959709457
AAMP	5.2285217865851	0.510636040500591	1.20171999223658	0.42492098309043	0.670894277749701	0.876582542649741
AANAT	0.0605653306005645	5.05642832684246	3.6374834813806	1.3900897014997	0.164501640152447	NA
AAR2	3.38296419113283	-0.126387147297339	1.20502942039464	-0.104883038669669	0.916468617909725	0.97278391001678
AARD	3.16663754053788	3.73188523932756	1.10710099054893	3.37086252400261	0.000749332416774332	0.0387123545810529
AARS	5.36688103150545	0.509427956640482	1.21057912806365	0.420813431217276	0.673891323136683	0.878202496071068
AARS2	0.712409005732943	2.12905982298744	1.42398189306296	1.49514529177606	0.134876527722494	NA
AARSD1	4.48093571275349	0.80661204969651	1.21433044519187	0.664244277898397	0.506533978446287	0.800469350918645
AASDH	3.43190022850297	1.50563405669644	1.2527126489188	1.20189898137928	0.229402669155184	0.691633413152355
AASDHPPT	4.39107573728201	-0.481528688040622	1.20010337420932	-0.401239341867425	0.688243918029258	0.884280041479236
AASS	1.88518283492737	0.69684863029181	1.25024487200963	0.557369716839314	0.577274851578822	0.830104227497653
AATF	1.05019524258175	1.60462103257322	1.29276703956407	1.24122984533571	0.214520852437032	0.687616312681992
AATK	0	NA	NA	NA	NA	NA
ABAT	12.8350720145867	0.0341324724275126	1.04200456443638	0.0327565479005121	0.97386872935344	0.988072577656298
ABCA1	11.1490793835987	0.283964442035136	1.04658338955362	0.271325194790499	0.786140930361713	0.926348782567402
ABCA10	1.22333672724047	5.2994581592768	1.41763182625703	3.73824716765069	0.000185307720974039	0.0195950581606721
ABCA12	0.0244214420854671	5.29686466687615	3.83960651501468	1.37953320116603	0.167730416889055	NA
ABCA13	1.40333226344004	1.13650420232982	1.26025599193259	0.901804244221049	0.367160864811076	0.733387676118286
ABCA2	0.72997858611437	2.08276814743367	1.32513595757631	1.57173921326766	0.116011044030242	NA
ABCA3	4.49170386334738	0.916171517275373	1.22814342520996	0.745980883396209	0.455678963069925	0.772531169104037
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	2.12689756191417	0.550033575427673	1.2333131404205	0.445980471139825	0.65561135260536	0.867964686325534
ABCA6	0.631874944050653	2.27199291085144	1.34431216235569	1.69007837202793	0.0910129620018145	NA
