baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	0.368739452542915	-0.669033539648977	3.92391389596237	-0.170501585250737	0.864615687767835	NA
A1CF	0.0508727026370239	-3.53958337222954	4.03041328255746	-0.878218466465438	0.379825172458553	NA
A2M	0.0250876598705374	-4.5253501012158	4.0804728567969	-1.10902590460266	0.267419007036699	NA
A2ML1	0.0707442271284336	-3.05128944524069	3.99532682111754	-0.76371460505131	0.4450373353125	NA
A4GALT	0	NA	NA	NA	NA	NA
AAAS	0.419612155179939	-0.482848583997844	3.52468547250695	-0.136990545046964	0.891038268612247	NA
AACS	1.74965921455115	-0.276337018954974	1.26632322953548	-0.218219971417836	0.827257725089991	0.939983940615283
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADAT	1.08249068742055	-3.5379933563135	1.80940167864824	-1.9553388272286	0.0505430912323226	NA
AAED1	0.699760711131545	0.252823092484843	1.94534472633269	0.129963131501869	0.896595596041472	NA
AAGAB	1.31336681523039	-1.16158678124402	1.37043835456631	-0.847602358306459	0.396659460536385	NA
AAK1	1.00852266241177	0.778863263669163	1.45617965738777	0.53486756233524	0.59274144010032	NA
AAMDC	2.24523173223865	0.332591578938038	1.23331712508296	0.269672391774878	0.7874123020501	0.925598693480575
AAMP	1.54437188944436	-0.634875571825556	1.30416478397936	-0.48680625303221	0.626395638639657	0.846655519323734
AANAT	0.0205689073873588	-4.5253501012158	4.0804728567969	-1.10902590460266	0.267419007036699	NA
AAR2	0.674377417131855	0.202349910569109	1.9975160699712	0.101300767293465	0.919311707116781	NA
AARD	1.95707120587554	-3.61842415959158	1.24644227785041	-2.90300178667866	0.00369604528487615	0.0895281482670564
AARS	2.22459553119198	0.305147361902569	1.27053385822542	0.240172554180315	0.810196489640338	0.936013386237186
AARS2	0.174581781090329	-1.75129582461303	3.94298665179998	-0.444154641967545	0.656930783094461	NA
AARSD1	1.33393572261775	-1.10253905311497	1.37155907402071	-0.80385823257535	0.421478854251089	0.757214799954962
AASDH	1.25607945148578	-2.04098410559521	1.4761333046526	-1.38265568506738	0.166770465955879	NA
AASDHPPT	0.631443087798443	0.10466109511959	2.19195453419196	0.0477478403347319	0.961917206483933	NA
AASS	0.326206871976299	-0.846069294882742	3.92614762346146	-0.215496047531909	0.829380593293471	NA
AATF	0.294106562167939	-0.997054914245215	3.92828038583295	-0.25381459985418	0.799638793670866	NA
AATK	0.0257850427664865	-4.5253501012158	4.0804728567969	-1.10902590460266	0.267419007036699	NA
ABAT	3.43963656196875	-0.167939341100598	1.07559489575314	-0.156136238432969	0.875925634498339	0.958813216847699
ABCA1	3.13440034614661	-0.428129511507335	1.07429775958562	-0.398520342881915	0.690246666028169	0.878905117890503
ABCA10	0.82683180250925	-5.48718715885203	2.46303421235987	-2.22781605359621	0.0258927838816466	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	0.0913131345157924	-2.67994298822151	3.97541285172409	-0.674129477409938	0.500229000319917	NA
ABCA2	0.222664952143556	-1.39925092640458	3.93517288910879	-0.355575464111686	0.722158521092485	NA
ABCA3	1.95271617592604	-0.237052526935128	1.25829208012268	-0.188392290375073	0.85056914288453	0.950475822774864
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	0.514746659282961	-0.188025617960146	2.73834190511203	-0.0686640399466309	0.945257042583495	NA
ABCA6	0.162754744540175	-1.84865508167625	3.94550244610221	-0.468547442798458	0.639393151965404	NA
ABCA7	0.0456565672578962	-3.67704355872713	4.04255297971207	-0.909584506914496	0.363041672323672	NA
ABCA8	0.133148332186459	-2.13488962496605	3.95395014401815	-0.539938427953089	0.589239495437611	NA
ABCA9	2.18624766512441	-3.25295503383429	1.23115928392203	-2.64218860736814	0.00823721712482877	0.134167279706355
ABCB10	0.0411378147747175	-3.80502191727749	4.05490405191099	-0.938375327397515	0.348051560758377	NA
ABCB11	0.0205689073873588	-4.5253501012158	4.0804728567969	-1.10902590460266	0.267419007036699	NA
ABCB4	0.381598327096502	-0.62042910699719	3.92334687655672	-0.158137714180833	0.874348282875955	NA
ABCB5	0.117098177282279	-2.32390888967372	3.96050811250829	-0.586770389974514	0.557357925744702	NA
ABCB6	0.69939778334308	0.252506647529407	2.06620169597374	0.122208130997786	0.902734187119972	NA
ABCB7	0.174286146961177	-1.74639489931466	3.94286439917907	-0.44292542743247	0.657819674763158	NA
