baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	0.34511209524431	-0.78346941065838	1.76293112690351	-0.444412943138907	0.656744057368156	NA
A1CF	0.061678157444335	-3.24558262741686	4.00733333486478	-0.809910820040722	0.417991432687469	NA
A2M	0	NA	NA	NA	NA	NA
A2ML1	0.110957512895803	-2.41027575650573	2.43221229955352	-0.990980827186909	0.321694942380176	NA
A4GALT	0	NA	NA	NA	NA	NA
AAAS	0.672578356627404	0.177288269888379	1.487528725801	0.119183089921785	0.905130303439998	NA
AACS	1.41809596677065	-0.892314891613417	1.36604717948065	-0.653209424254778	0.513621275397543	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADAT	1.15596942387873	-2.88683618948735	1.5372033709945	-1.8779793513071	0.0603839898884386	NA
AAED1	0.495016783642787	-0.247374280219275	1.65615527878603	-0.149366598282137	0.881264366738198	NA
AAGAB	1.71917573843184	-0.326883333617734	1.32365176658897	-0.246955688700593	0.804942517350825	0.945285572096737
AAK1	0.74808495636481	0.32228229337902	1.50351436368864	0.214352653464746	0.83027206056704	NA
AAMDC	2.25233819369359	0.317001593595564	1.26130769542971	0.251327724982733	0.801560741489313	0.944499907905557
AAMP	1.68372482527344	-0.399303649358852	1.3063876424923	-0.305654796762367	0.759867494004497	NA
AANAT	0.0193939650333532	-4.5547550188208	4.0804728567969	-1.11623215707314	0.264322773050128	NA
AAR2	0.620121229703594	0.0780567470505768	1.6167031067275	0.0482814356734786	0.961491949484008	NA
AARD	1.84839292535429	-5.52327614513055	1.75631168043855	-3.14481547133558	0.00166191620278186	0.0531180073955803
AARS	1.80708114016211	-0.201864034793306	1.28526701487473	-0.157059998005925	0.875197563213083	0.965640230857184
AARS2	0.186623358069176	-1.672297145148	2.03870276550804	-0.820275114862692	0.412059289385604	NA
AARSD1	1.78467128744432	-0.219542285520005	1.40644351553285	-0.156097477854863	0.875956186374989	0.965640230857184
AASDH	1.31254814609382	-1.92895041365353	1.39983362690743	-1.37798548097108	0.168207770892962	NA
AASDHPPT	0.898470019423123	0.610888029474147	1.52913554730991	0.399498939481745	0.689525605004497	NA
AASS	0.382311139574845	-0.618506453006244	1.81583251668295	-0.340618667924337	0.733390674026194	NA
AATF	0.265947349374726	-1.14725377116214	1.8129164981047	-0.632822180371532	0.526849770649046	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	2.21082631032129	-1.7398977147057	1.18509038636251	-1.46815612946292	0.142061817850879	0.4202003525308
ABCA1	3.65056509747492	0.00640409707312119	1.19490140915266	0.00535951922398564	0.995723742830052	0.999587104797857
ABCA10	0.866807302987843	-4.13455784936902	1.88592206732355	-2.19232699007371	0.0283559042402889	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	0.158326853387232	-1.91719757236448	3.60810526522691	-0.531358547335483	0.595170341088346	NA
ABCA2	0.082820253649826	-2.82579945453627	3.98227037169258	-0.709595077878959	0.477955272807978	NA
