baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.68091831570245	-0.848920730274861	1.15321847674906	-0.736131745537046	0.461650524975329	NA
A1CF	0.0774755509219783	-0.393735535690887	4.0804728567969	-0.096492624631735	0.923129331285675	NA
A2M	0	NA	NA	NA	NA	NA
A2ML1	0.719961323813577	-0.964643269816615	2.12086115984713	-0.454835652648825	0.649227478748145	NA
A4GALT	0	NA	NA	NA	NA	NA
AAAS	4.53280152787237	0.890953799426571	0.92505217011871	0.96313897551555	0.335477784596384	NA
AACS	4.79019911120117	-0.477304274789953	0.845582974069838	-0.5644676979394	0.572435877640823	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0.183107984557875	-0.393735535690887	4.0804728567969	-0.096492624631735	0.923129331285675	NA
AADAT	1.41164241829794	-0.533720173162013	1.62163522439075	-0.329124679295575	0.742061451075727	NA
AAED1	5.1467067270617	-0.223812193712851	0.846417301887327	-0.264422989952826	0.791453998341336	NA
AAGAB	5.72768480656098	0.0213494162281664	0.850321797353732	0.0251074549595312	0.97996925386014	NA
AAK1	5.64582755202025	-0.865987691647084	0.808982792276166	-1.0704649096559	0.284410095686448	NA
AAMDC	6.32341680395299	1.32278009037295	0.81215906427141	1.62872046691939	0.10337220799465	NA
AAMP	7.34667610467386	0.110718527211912	0.700433850456987	0.158071354118131	0.874400572896208	0.980010626054869
AANAT	0.297101237515885	-2.31729751549091	3.47875346532687	-0.666128697703842	0.505328842943473	NA
AAR2	7.0635973148648	-0.366443707449328	0.702822142951241	-0.521388961808437	0.602095839344202	NA
AARD	2.63350277051579	-3.69979406050885	1.44078110179618	-2.56790851566309	0.0102314154177234	NA
AARS	8.82360290989666	-0.351511353140066	0.64643287854501	-0.543770845832048	0.586599173395691	0.904716255114598
AARS2	1.15097522429457	-1.88005917199782	1.7770566590432	-1.05796242479409	0.290072573424715	NA
AARSD1	5.45679530356406	0.496535557732975	0.8212384629804	0.604618000880002	0.545432843257468	NA
AASDH	2.26045051376879	0.215763603209056	1.26714354373194	0.17027558107079	0.864793414295082	NA
AASDHPPT	4.96274505492869	0.106677997721929	0.876453860985621	0.121715474676515	0.903124357341971	NA
AASS	5.98421005927463	-0.543533633594412	0.787907944601532	-0.689844083079138	0.490292243054245	NA
AATF	1.36699652507235	1.90271199257474	1.75092646359473	1.08668869432037	0.277174412133409	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	14.7928615332958	-1.05562298935184	0.53204913793876	-1.98407048161282	0.0472479832636248	0.324474816868287
ABCA1	21.758251503617	-0.736186396738118	0.43428367480218	-1.69517400596156	0.0900424164695108	0.462921453892389
ABCA10	0.452052339359842	-0.605649634847354	2.78863176368994	-0.217185231386002	0.828063993652173	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	0.890563996531126	1.3757274785627	2.03691992199033	0.675395956272273	0.499424233936465	NA
ABCA2	0.787786857638143	2.48262140259177	2.0614351267036	1.20431701702963	0.228467071898751	NA
ABCA3	5.00136182643794	1.25146938723237	0.912956089728956	1.37078814776723	0.170441006720209	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	4.06468330170727	-1.03376928441371	0.91997175674644	-1.12369676224597	0.261141690442521	NA
ABCA6	0.928480177859712	-0.847469967054956	1.98020575576457	-0.427970661426414	0.668672480518228	NA
ABCA7	0.643288515107282	-2.33465941208925	2.51308137853154	-0.929002710391117	0.352887681692879	NA
ABCA8	2.53790710165703	-1.3717042127636	1.17895163985225	-1.16349489359504	0.244628768729306	NA
ABCA9	1.70098794862527	-1.72154406653049	1.49374668679753	-1.15250067614967	0.249115392063428	NA
ABCB10	0.282103739876968	-1.3555135698576	3.30394048841285	-0.410271787464539	0.68160658533891	NA
ABCB11	0.285885123450858	-1.35551366400631	3.28866788427185	-0.412177122077025	0.680209604466434	NA
ABCB4	1.02747593317881	-1.61565220058384	1.86201224693765	-0.86769150054787	0.385563240036038	NA
ABCB5	0.900323295145794	-0.738883404903512	2.05135377283236	-0.360193066007974	0.718702759726398	NA
ABCB6	2.65993108381093	1.31321142022462	1.28184898011122	1.02446656400247	0.305614955808766	NA
ABCB7	2.39427452754101	-1.69113813329963	1.2674504727751	-1.33428340564413	0.182110993942805	NA
ABCB8	1.90756353166143	-2.19039916450309	1.46370552506259	-1.49647529984519	0.134529839872882	NA
ABCB9	2.6796338079685	0.0618370787635099	1.13646211741891	0.0544119137943216	0.956606987082145	NA
ABCC1	0.151169718270067	0.319289098751702	4.03790605444479	0.0790729389061046	0.936974607725033	NA
ABCC10	1.59092963181818	2.18847466152406	1.6917170946585	1.29364103988429	0.195789439731782	NA
ABCC11	0.154951101843957	0.342884876544677	4.03667778358651	0.0849423449002735	0.932307227054124	NA
ABCC12	0	NA	NA	NA	NA	NA
ABCC2	0.151169718270067	0.319289098751702	4.03790605444479	0.0790729389061046	0.936974607725033	NA
ABCC3	5.26272446539807	-0.0283195445015775	0.828307702468426	-0.0341896428310191	0.97272592553752	NA
ABCC4	0.507770367710807	-0.15907732050522	2.4981636022564	-0.0636777032383058	0.949226858946102	NA
ABCC5	1.55468394537844	0.836350488258844	1.55643674078902	0.537349489600755	0.591026226415849	NA
ABCC6	0.6201628262788	0.51852498832442	2.21224263903967	0.234388841067411	0.814683120930897	NA
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	0.845026711896956	1.20392414234159	1.97657754748184	0.60909532432734	0.542461256599857	NA
ABCD1	0.20840957252888	-2.31729028938334	3.98887694780986	-0.58093802333403	0.561282224623205	NA
ABCD2	0.505510810044765	-3.17881589778261	2.67532027307348	-1.18820013057005	0.234754572275859	NA
ABCD3	3.06919215176226	1.05170083160666	1.11788643228585	0.94079398517803	0.346810443851224	NA
ABCD4	10.669738022302	0.142771311558695	0.590053423385343	0.241963364502769	0.808808550724282	0.967332063592294
ABCE1	3.68152019529698	2.06657098846179	1.17891053972283	1.75294979460243	0.0796106252331438	NA
ABCF1	2.45705979305147	0.887223986141919	1.31883107799493	0.67273512199212	0.501115819045422	NA
ABCF2	5.90164554056531	0.463569619240752	0.803763217420215	0.57674898427007	0.564109036771908	NA
ABCF3	2.1895279826401	0.28577410992606	1.31081583337983	0.21801240315294	0.827419447538178	NA
ABCG1	0.256802151905964	0.684045339402244	3.37303889667934	0.202797939886097	0.839292968213215	NA
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.0774755509219783	-0.393735535690887	4.0804728567969	-0.096492624631735	0.923129331285675	NA
ABHD1	1.08159316713975	0.42964456508338	1.84085960706562	0.233393444798458	0.815455902932741	NA
ABHD10	0.989436405234927	1.36553854849197	1.90668119158297	0.716186090532665	0.473876450623025	NA
ABHD11	1.38198933266991	0.556477534245432	1.66038708936252	0.335149278027138	0.737512481719658	NA
ABHD12	1.41929383463861	2.12271899817171	1.74300005562023	1.21785366060494	0.223279588377077	NA
ABHD12B	1.58058127042632	-0.179068440516148	1.53503621489329	-0.116654212310291	0.907134075737844	NA
ABHD13	1.34000080347709	0.381176517019953	1.73916849562332	0.21917170071744	0.826516299117148	NA
ABHD14A	2.68324757386733	-1.22006841533186	1.12296447252967	-1.08647107293025	0.277270632162278	NA
ABHD14A-ACY1	1.60879648929804	1.33056121554862	1.59441375963919	0.834514383424363	0.403991185576473	NA
ABHD14B	0	NA	NA	NA	NA	NA
ABHD15	0.46107192195798	1.74920668844772	2.68125823491985	0.65238277524582	0.514154273277836	NA
ABHD16A	0.0774755509219783	-0.393735535690887	4.0804728567969	-0.096492624631735	0.923129331285675	NA
ABHD16B	0	NA	NA	NA	NA	NA
ABHD17A	1.84789451780318	-0.166343144449218	1.34758698746925	-0.123437778782362	0.901760442668042	NA
ABHD17B	1.31780120347958	0.905650525190626	1.70743158842913	0.53041687369966	0.595822929414632	NA
ABHD17C	0.260583535479854	0.713926661509725	3.35589495514569	0.212738083596759	0.831531260212435	NA
ABHD18	4.27947572512589	-0.618761172553877	0.900128870113206	-0.687413983817737	0.491821888004715	NA
ABHD2	3.24811381689729	-0.206103176293766	1.04836203853385	-0.196595420969272	0.844144154220675	NA
ABHD3	0.151169718270067	0.319289098751702	4.03790605444479	0.0790729389061046	0.936974607725033	NA
ABHD4	13.0476887175655	-0.304026434407374	0.572687022902685	-0.530877114809421	0.595503937413204	0.909752747139877
ABHD5	0.260583535479854	0.713926661509725	3.35589495514569	0.212738083596759	0.831531260212435	NA
ABHD6	1.07128907680767	1.34548372586675	1.91152536693289	0.703879607951856	0.481507751741702	NA
ABHD8	0.154951101843957	0.342884876544677	4.03667778358651	0.0849423449002735	0.932307227054124	NA
ABI1	2.83012882067952	0.458142253159112	1.12690262848289	0.406549990726256	0.684338533550069	NA
ABI2	14.3139461262512	-0.621118451462144	0.521520340870965	-1.19097646397616	0.233662824626078	0.676517029407258
ABI3BP	0.984198206210678	-0.491253356197826	1.92459518103011	-0.255250226665791	0.798529840203161	NA
ABL1	1.48164385126503	2.20236636479073	1.68506498274459	1.30699194828889	0.191215446053962	NA
ABL2	2.45396718013466	-0.0769987227564012	1.16577731250034	-0.0660492548025795	0.947338611374871	NA
ABLIM1	4.9472074556137	0.132877491252361	0.854257887395961	0.15554728052604	0.876389883022864	NA
ABLIM2	0.224863885618155	0.762887562101168	3.50105795080117	0.217902009284534	0.827505461580651	NA
ABLIM3	0	NA	NA	NA	NA	NA
ABO	0.638704389317709	-1.47478664782112	2.33990172860014	-0.630277173521907	0.528513254867199	NA
ABR	0.411753253749921	1.49319140661273	2.60270796921016	0.573706856196343	0.566166187953244	NA
ABRA	0	NA	NA	NA	NA	NA
ABRACL	1.2849715457832	-1.55019671577522	1.65233555096615	-0.938185173628192	0.348149256384538	NA
ABRAXAS1	9.84542689540147	0.201764641985536	0.618145987044993	0.326402898690742	0.744119544683936	0.955754097528337
ABRAXAS2	2.03036737782044	1.8077466298458	1.52353004243276	1.18655135080842	0.235404635011034	NA
ABT1	1.58960085302446	1.02596086446175	1.57212253344645	0.652595992128308	0.514016770059397	NA
ABTB1	0.0774755509219783	-0.393735535690887	4.0804728567969	-0.096492624631735	0.923129331285675	NA
ABTB2	0.778767275040004	0.772432965023704	2.0695149776413	0.373243476548343	0.708967240705046	NA
AC001226.2	0.433273458147035	-0.166582251880304	2.62033893592736	-0.0635727880833667	0.949310399863142	NA
AC002094.3	0	NA	NA	NA	NA	NA
AC002310.4	0.0774755509219783	-0.393735535690887	4.0804728567969	-0.096492624631735	0.923129331285675	NA
AC002310.5	0	NA	NA	NA	NA	NA
AC002985.1	0	NA	NA	NA	NA	NA
AC003002.1	0	NA	NA	NA	NA	NA
AC003002.2	0.807850246584899	-0.602736318499634	2.0084395129712	-0.300101802721443	0.764099504172926	NA
AC003002.3	0	NA	NA	NA	NA	NA
AC003006.1	0.0774755509219783	-0.393735535690887	4.0804728567969	-0.096492624631735	0.923129331285675	NA
AC003688.1	0	NA	NA	NA	NA	NA
AC004076.1	0.20840957252888	-2.31729028938334	3.98887694780986	-0.58093802333403	0.561282224623205	NA
AC004080.3	0.0736941673480886	-0.393735535690887	4.0804728567969	-0.0964926246317351	0.923129331285675	NA
AC004223.3	0	NA	NA	NA	NA	NA
AC004233.2	0	NA	NA	NA	NA	NA
AC004556.1	3.04876340798497	1.58761823710152	1.2077749202526	1.31449843052667	0.188678525911324	NA
AC004691.2	0	NA	NA	NA	NA	NA
AC004754.1	0.147388334696177	0.295306106075206	4.03917334075145	0.0731105305870004	0.941718161889546	NA
AC004805.1	0	NA	NA	NA	NA	NA
AC004832.3	0.599440674056019	0.234221807030282	2.3372942914423	0.100210661484886	0.920177081982611	NA
AC004922.1	0.790676849803459	-1.10822595760746	2.15765434448081	-0.513625345246913	0.607513955915187	NA
AC004997.1	2.06526064673105	-1.4281570467431	1.26486549292911	-1.12909795921134	0.258856512132807	NA
AC005041.1	2.63734718028883	-1.11860905688225	1.1643383574798	-0.960725075916481	0.336690419440001	NA
AC005154.6	0.437054841720925	-0.150967676510868	2.61383258429411	-0.0577572096307913	0.95394202301424	NA
AC005258.1	0.297101237515885	-2.31729751549091	3.47875346532687	-0.666128697703842	0.505328842943473	NA
AC005324.3	0.0736941673480886	-0.393735535690887	4.0804728567969	-0.0964926246317351	0.923129331285675	NA
AC005324.4	0.444489572212062	-0.647939284185589	2.80326873880093	-0.231137056257667	0.817208327713146	NA
AC005520.1	2.00423940889835	-0.818978610484318	1.26206077286163	-0.648921690694294	0.516388993834221	NA
AC005670.2	0.0736941673480886	-0.393735535690887	4.0804728567969	-0.0964926246317351	0.923129331285675	NA
AC005697.1	0	NA	NA	NA	NA	NA
AC005702.1	0.391517557086755	-1.35551537942084	2.99679837054461	-0.452321181412849	0.651037618919864	NA
AC005726.1	0.702704268508618	-2.6118746286066	2.4146947787021	-1.0816582914096	0.279404392616503	NA
AC005779.2	0.297101237515885	-2.31729751549091	3.47875346532687	-0.666128697703842	0.505328842943473	NA
AC005832.4	0	NA	NA	NA	NA	NA
AC005833.2	0.877767720400448	0.988449188643523	2.00530402065606	0.492917372359398	0.622070971743191	NA
AC005837.2	0	NA	NA	NA	NA	NA
AC005943.1	2.43973772728902	1.90916329043843	1.39294215161043	1.37059768650922	0.17050040456341	NA
AC006030.1	0.0774755509219783	-0.393735535690887	4.0804728567969	-0.096492624631735	0.923129331285675	NA
AC006254.1	0	NA	NA	NA	NA	NA
AC006486.1	0	NA	NA	NA	NA	NA
AC006538.2	0	NA	NA	NA	NA	NA
AC006978.2	0	NA	NA	NA	NA	NA
AC007040.2	0.372252220314333	1.44714362485187	2.88873128836891	0.500961661155056	0.616398105226263	NA
AC007192.1	1.62227216102911	2.28110748416491	1.66350279275834	1.37126760116975	0.170291551525078	NA
AC007240.1	0.0774755509219783	-0.393735535690887	4.0804728567969	-0.096492624631735	0.923129331285675	NA
AC007325.1	0.439910136463839	1.50538417955396	2.77359764574791	0.542755068263706	0.587298453212411	NA
AC007325.2	0	NA	NA	NA	NA	NA
AC007325.4	0.221082502044266	0.738498840240019	3.87257380165102	0.190699745973897	0.848760837722436	NA
AC007326.4	2.63329378111864	0.084159829487442	1.13313302175921	0.0742718002841207	0.940794115154403	NA
AC007375.2	0	NA	NA	NA	NA	NA
AC007906.2	0.297101237515885	-2.31729751549091	3.47875346532687	-0.666128697703842	0.505328842943473	NA
AC007998.2	0	NA	NA	NA	NA	NA
AC008073.3	0.282906482092652	-2.31729665467281	3.54337809090623	-0.653979506341689	0.513125008994121	NA
AC008162.2	0	NA	NA	NA	NA	NA
AC008403.1	0	NA	NA	NA	NA	NA
AC008537.1	0	NA	NA	NA	NA	NA
AC008575.1	0.660461911888721	-1.45936610136625	2.31674963442728	-0.629919642450712	0.528747160770787	NA
AC008687.1	0	NA	NA	NA	NA	NA
AC008687.4	0	NA	NA	NA	NA	NA
AC008687.8	0	NA	NA	NA	NA	NA
AC008695.1	0	NA	NA	NA	NA	NA
AC008750.8	0.59420247503177	-3.35354545542626	2.70620994092401	-1.23920373091277	0.215270059246199	NA
AC008758.1	1.64924424388897	-1.20103771494663	1.48034837032021	-0.811320996480603	0.417181355404821	NA
