baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	4.84503204934178	-0.00377760150189743	0.577400754346613	-0.00654242564364532	0.994779936828112	NA
A1CF	0.468614987809762	-0.300870055283392	1.59068990786305	-0.18914437930117	0.849979659548117	NA
A2M	0.311558865724228	-1.00968894503811	1.81254928170676	-0.557054616516328	0.577490113821651	NA
A2ML1	1.03430968965691	0.87003012531502	1.01261648693573	0.859190163837656	0.390235609191572	NA
A4GALT	0	NA	NA	NA	NA	NA
AAAS	6.33865653549053	0.321569165708698	0.513777095109689	0.625892373890364	0.531385536912403	NA
AACS	10.9417343212179	0.0253015888453295	0.363267399795635	0.069650039776659	0.944472207633276	0.990043167474358
AADACL2	0.235791605465185	1.44102380447244	2.07292227761562	0.695165380792751	0.486951665086737	NA
AADACL3	0.249877249323913	-0.597167234105008	2.11713507746887	-0.282063832610505	0.777894565074859	NA
AADAT	2.0553369223146	0.276900297665363	0.817000634029486	0.33892298993659	0.734667744914255	NA
AAED1	11.6077892273895	0.348124636465946	0.376473629530928	0.924698595489133	0.355122710218647	0.903577400696904
AAGAB	7.92344339481973	-0.258941048561984	0.452615347853921	-0.572099575919717	0.567254516427066	0.943851030447858
AAK1	9.29970512370007	0.260555394022745	0.376058544522301	0.692858592945211	0.48839829727782	0.930751562230106
AAMDC	15.2662245380229	0.0628255468871518	0.330070712257435	0.190339659212635	0.849042978108371	0.977921246440332
AAMP	10.3506673225986	0.00234952900998854	0.389711090033567	0.00602889953628511	0.995189663282107	0.999241507550003
AANAT	0.171090238379764	0.820215834366953	2.31411593728763	0.354440251307516	0.72300897372442	NA
AAR2	8.7518693556037	0.207195520928315	0.386945570064516	0.535464253780625	0.592328869435368	0.944535208306939
AARD	1.98072133026251	0.181568465005838	0.838196494079298	0.216618020104317	0.82850604115206	NA
AARS	11.0918340307828	0.133054312899271	0.379030852905365	0.351038212006692	0.725559681267394	0.967743991322731
AARS2	1.86841051011356	0.297427455216295	0.864087125215761	0.344210029911079	0.730688339891645	NA
AARSD1	9.34427710088723	0.557419860207215	0.386268369292163	1.44308958361951	0.148995237237761	0.78308761978712
AASDH	5.0900557400308	-0.758493942742148	0.651729468919971	-1.16381716481089	0.244498114488857	NA
AASDHPPT	11.1228202012146	0.0978157874141173	0.360905555765253	0.271028765979265	0.786368907934514	0.972459935215912
AASS	5.6571597393967	0.875690825747519	0.486291603715652	1.800752509516	0.0717418971827833	NA
AATF	2.74864939779348	0.429783665007509	0.693181192919261	0.620016338293195	0.535247030384315	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	25.5319431008475	-0.537548033436341	0.310438781193464	-1.731575002871	0.0833492600890761	0.662468570208984
ABCA1	24.5328136732171	0.445738755598325	0.287075890967139	1.55268613500306	0.120498136311771	0.732296168164037
ABCA10	0.2836136715491	-0.833679833153685	1.83856820259822	-0.45343971030041	0.650232147384255	NA
ABCA12	0.049725009838377	0.124170367948822	3.83960651501468	0.0323393471344674	0.974201431127376	NA
ABCA13	3.03784435342078	-1.35928003727033	0.87994474614809	-1.54473339743263	0.12241076310307	NA
ABCA2	1.74079548653004	-0.705466919015958	1.01234784115626	-0.696862175564284	0.485889050950175	NA
ABCA3	7.4137387553173	-0.638176368026697	0.523131752183752	-1.21991518458344	0.222497028922989	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	6.2095322861655	0.871564975030096	0.435533092919684	2.00114523832709	0.0453767403928939	NA
ABCA6	1.50441232940032	-0.557998394546986	1.04939377725332	-0.531734041731685	0.594910211100573	NA
ABCA7	0.784781430294489	-1.09845168254264	1.50480529583136	-0.729962663997526	0.465413006724274	NA
ABCA8	3.47035198126523	0.302758384560827	0.608595706742925	0.497470457327288	0.618857330921159	NA
ABCA9	2.44022839450438	-1.36804440549075	0.975987450756971	-1.40170286454985	0.161003994884681	NA
ABCB10	0.15138371195287	0.818212871582226	2.64326766496342	0.309545976908679	0.756906243732609	NA
ABCB11	1.69716179212329	-1.19801944960798	1.19142127561931	-1.00553806963473	0.314637827675328	NA
ABCB4	3.6026682233317	-0.116382950568621	0.627334996153795	-0.185519620748351	0.852821492245331	NA
ABCB5	1.95537145027251	0.168733335002893	0.842620639115809	0.200248281575384	0.84128640855257	NA
ABCB6	8.71725685815842	0.289363183927803	0.396958710416253	0.728950332452397	0.46603204471548	0.930751562230106
ABCB7	3.04444931508898	0.0939863736744771	0.720552234705483	0.130436586200989	0.896221022231766	NA
ABCB8	2.34330408335735	-0.0318889961796407	0.765732983974536	-0.0416450601541557	0.966781651571418	NA
ABCB9	5.71852487803546	-0.267610164854262	0.54263172421997	-0.493170879824526	0.621891851798944	NA
ABCC1	0.968259388262967	0.378243695093106	1.15263931430173	0.328154428189226	0.742794902627571	NA
ABCC10	4.46850582562224	-0.676860180001564	0.624062374352012	-1.08460341116443	0.278097343557535	NA
ABCC11	0.249054447036296	0.637520503905889	1.96331331821848	0.324716639972869	0.745395539673492	NA
ABCC12	0.102661551584172	1.86932277246847	3.29390821738374	0.567509064946934	0.570368369574658	NA
ABCC2	0.221188592721293	-0.597167328693779	2.03492387196154	-0.293459296891606	0.769171106962797	NA
ABCC3	9.09741843399864	0.262151779356315	0.425822726328997	0.615635951646631	0.538134817706155	0.943756655702301
ABCC4	0.959388888386995	0.93413534549389	1.07211957343396	0.871297725217246	0.383591612225349	NA
ABCC5	2.99281010669615	0.294046464841799	0.703710454313822	0.417851494232126	0.67605569877292	NA
ABCC6	1.75699028135421	0.86698305220638	0.857115239028919	1.01151281966313	0.311771048539462	NA
ABCC8	0.0757902021988081	1.38511449625973	3.69776356205632	0.37458168241819	0.707971598095597	NA
ABCC9	3.86503631165686	-0.176853256782121	0.652857846928355	-0.270890910807309	0.786474935878841	NA
ABCD1	0	NA	NA	NA	NA	NA
ABCD2	0.762512913204696	2.0976701090567	1.23439399014519	1.69935217264788	0.0892528477626516	NA
ABCD3	5.33053305287518	-1.33101844665033	0.681895322438135	-1.95193954680792	0.0509453823557671	NA
ABCD4	14.9560973219126	0.47625322944006	0.304921148987412	1.56188979026745	0.118313954078507	0.728170270696466
ABCE1	6.02718364313536	0.237899945050413	0.473255607463177	0.502688063910418	0.615183602918478	NA
ABCF1	3.37500218061762	-0.143794669723671	0.656540792411119	-0.219018637357765	0.826635529695444	NA
ABCF2	8.99120543539903	-0.0617968046056219	0.400262219215061	-0.154390800927475	0.877301606493451	0.981763342907552
ABCF3	2.08896549582546	-0.251449850631148	0.851401119105127	-0.295336528210624	0.767736814835401	NA
ABCG1	1.16114175261095	0.73195936998413	0.969010571415342	0.755367786044921	0.450028336429265	NA
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.339805065946056	0.34590677336264	1.76911297700074	0.195525541816483	0.84498154406432	NA
ABHD1	2.90007193657027	0.01673362388043	0.70051647580188	0.0238875521967917	0.980942303359113	NA
ABHD10	3.07324700091048	0.131646560690087	0.660605238193323	0.199281739046037	0.842042362819942	NA
ABHD11	3.22355441384631	0.514556705215018	0.60037014496575	0.857065777720131	0.391408533061377	NA
ABHD12	4.58288183382022	0.339132655229543	0.522903464651815	0.648556909936255	0.516624815016229	NA
ABHD12B	1.58287338507934	-0.143158900324477	0.985782070237961	-0.145223680412365	0.884534269858729	NA
ABHD13	1.08877610845335	0.452638516263363	1.02908989329251	0.439843515336812	0.660050448332835	NA
ABHD14A	4.38233204576823	-0.23837489267442	0.621586225598435	-0.383494490156895	0.701353154793375	NA
ABHD14A-ACY1	3.39703869204326	0.47277297128155	0.615291064610554	0.768372886384739	0.442265683870089	NA
ABHD14B	0.680363080846387	-0.666882165091187	1.5265727781831	-0.436849244675317	0.662220682893855	NA
ABHD15	1.98555016481521	-0.998239830919226	1.0736301388034	-0.929780000430874	0.352485003360549	NA
ABHD16A	0.424867664147704	0.907011342548992	1.51527162159389	0.598580036492018	0.549452971976309	NA
ABHD16B	0	NA	NA	NA	NA	NA
ABHD17A	3.7460323252848	0.232043485350133	0.570164411348365	0.406976445270198	0.684025288351691	NA
ABHD17B	2.12975302717607	0.233754217406103	0.790816336860533	0.295585974278282	0.767546286162029	NA
ABHD17C	1.19445674084357	0.480965122170709	1.17280736264731	0.410097290901255	0.681734579931164	NA
ABHD18	7.06501557168319	-0.0811643812302877	0.479454243781936	-0.169284936535472	0.865572523885264	NA
ABHD2	4.64677299390884	-0.0357199298417942	0.554784565096775	-0.0643852264267001	0.948663493221756	NA
ABHD3	0.785088324914447	-2.15953219810147	1.45320218127905	-1.48605075461746	0.137265696577174	NA
ABHD4	22.448349502155	-0.495929822367814	0.284993973448081	-1.74014143656326	0.0818341858644179	0.656583440848885
ABHD5	0.890264026105825	0.0789225351643135	1.23815560093441	0.063742016839202	0.949175648153368	NA
ABHD6	1.82725222713761	-0.353600065263018	0.957049361801177	-0.369468994365702	0.711778179763241	NA
