baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	3.09998939799625	-0.259094175499421	1.06244025648596	-0.243867054093357	0.807333785954832	0.999953396548249
A1CF	0.0712470307749595	-0.187243345497912	4.07597589420361	-0.0459382857892236	0.96335943872752	0.999953396548249
A2M	0	NA	NA	NA	NA	NA
A2ML1	0.875772345639063	-0.0146710197972135	1.96917996147503	-0.00745031946507524	0.99405556011908	0.999953396548249
A4GALT	0	NA	NA	NA	NA	NA
AAAS	3.40520712332244	0.50569965787525	1.03792741691416	0.487220637622945	0.626101981733604	0.999953396548249
AACS	5.8047981757811	0.264832409292713	0.797376459549494	0.332129706264892	0.73979131974518	0.999953396548249
AADACL2	0.142494061549919	0.386505380205972	4.05327015774117	0.09535643200782	0.924031720550755	0.999953396548249
AADACL3	0	NA	NA	NA	NA	NA
AADAT	1.37531449822804	-0.228641397106832	1.72212254348678	-0.13276720519778	0.894377491163116	0.999953396548249
AAED1	6.60690625782815	0.683198593379634	0.806241512359431	0.847387021018407	0.396779436402017	0.999953396548249
AAGAB	4.72305058973294	-0.352405924331775	0.948946596641105	-0.371365391455275	0.71036539906742	0.999953396548249
AAK1	6.34621987092294	-0.246726906420484	0.754812871817562	-0.326871620281692	0.743764986784736	0.999953396548249
AAMDC	5.95356859554134	1.39413525625401	0.848390248836006	1.64327119290535	0.100326835732406	0.999953396548249
AAMP	5.95778552355965	-0.213259682958493	0.817662597093086	-0.260816238527558	0.794234221220444	0.999953396548249
AANAT	0.346407634849512	-1.14582050463208	3.11612581938252	-0.367706752245046	0.713091905212942	0.999953396548249
AAR2	6.31584621426593	-0.450488637378818	0.75675362023837	-0.595291023830079	0.551648954928792	0.999953396548249
AARD	2.828105759464	-1.86321474341314	1.24053019407073	-1.50195033729821	0.133109935133553	0.999953396548249
AARS	7.88698438308743	-0.481876916843735	0.710458305031599	-0.678262064685559	0.497605546843573	0.999953396548249
AARS2	1.45750773126005	-0.551502335468268	1.51956311693576	-0.362934799694524	0.716653590226745	0.999953396548249
AARSD1	5.47905027751285	0.730822936523445	0.85574082300976	0.854023691370758	0.393091862644474	0.999953396548249
AASDH	2.03372459635331	0.0402458773224658	1.38459815126864	0.0290668287297585	0.976811291452398	0.999953396548249
AASDHPPT	5.2824114126894	0.473420954811751	0.889985676298295	0.531942218194841	0.594766015769181	0.999953396548249
AASS	5.77267305351039	-0.331089507279542	0.83262265531886	-0.397646527108668	0.690890758932867	0.999953396548249
AATF	1.10736495652054	1.79382789809084	1.94725344699289	0.921209255457229	0.356941186993281	0.999953396548249
AATK	0	NA	NA	NA	NA	NA
ABAT	14.5516535779763	-0.760561686327109	0.556586734039904	-1.36647469264437	0.171790018861869	0.999953396548249
ABCA1	21.3851931482451	-0.508837655255319	0.472180751413238	-1.07763320239626	0.281197478899324	0.999953396548249
ABCA10	0.275160604074552	-2.0799466599822	3.62995903797299	-0.572994526446135	0.566648400054837	0.999953396548249
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	0.478097035761939	0.274154263365204	2.74822548705681	0.0997568302369568	0.920537381505119	0.999953396548249
ABCA2	0.355046112039921	1.38674926375514	2.80517876600175	0.494353258538202	0.621056718242235	0.999953396548249
ABCA3	2.66608670657701	-0.0442545050646734	1.15033473968882	-0.0384709802614888	0.969312168745582	0.999953396548249
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	5.14291624637789	0.0893590324479216	0.827665680179819	0.107965129626382	0.91402335300661	0.999953396548249
ABCA6	0.871134135354634	-0.737025077925677	2.12560358493805	-0.346736843665588	0.728789028131994	0.999953396548249
ABCA7	0.587170849641722	-2.11507231446459	2.60688445919226	-0.811341027028081	0.417169855507299	0.999953396548249
ABCA8	2.90622766141871	-0.516648457279561	1.10647711117108	-0.466930993929688	0.640549249640794	0.999953396548249
ABCA9	1.47148074990316	-2.19108455397182	1.67247828361392	-1.3100825137396	0.190167923235535	0.999953396548249
ABCB10	0.26435594343706	-1.14715920085854	3.42227531785729	-0.335203656722974	0.737471463782135	0.999953396548249
ABCB11	0.476907993927063	0.0151272613420872	2.62925880047721	0.00575343185666682	0.995409450875991	0.999953396548249
ABCB4	1.74010208726219	0.415187120833232	1.47277453128823	0.281908134621306	0.77801395188931	0.999953396548249
ABCB5	1.08050294730204	0.122207173185361	1.91450045211856	0.0638324075871216	0.949103673346086	0.999953396548249
ABCB6	3.33302538839073	1.90720306812922	1.25103380059229	1.52450162995298	0.127383450000135	0.999953396548249
ABCB7	2.45696404990949	-0.954266050663749	1.30772819285104	-0.729712837790329	0.465565732283431	0.999953396548249
ABCB8	2.19695246570225	-1.12154846373259	1.31469897071722	-0.853083853196251	0.393612804962644	0.999953396548249
ABCB9	2.82521568793017	0.250101799765842	1.17180787327501	0.213432428190509	0.830989689125792	0.999953396548249
ABCC1	0.355046112039921	1.38674926375514	2.80517876600175	0.494353258538202	0.621056718242235	0.999953396548249
ABCC10	1.12774688970431	1.71177738242504	1.85053662554376	0.925016753949443	0.354957192649193	0.999953396548249
ABCC11	0.105480215609351	-0.0983376675670431	4.07277543021674	-0.0241451239460581	0.980736850097314	0.999953396548249
ABCC12	0.142494061549919	0.386505380205972	4.05327015774117	0.09535643200782	0.924031720550755	0.999953396548249
ABCC2	0	NA	NA	NA	NA	NA
ABCC3	5.53262078351702	0.287149252988921	0.821422323781536	0.349575662452158	0.72665717842603	0.999953396548249
ABCC4	0.718488237082654	0.803001261272799	2.15670968535829	0.372327006608401	0.709649393360001	0.999953396548249
ABCC5	1.45258354953518	0.8991449020946	1.62542170895696	0.55317638317479	0.58014263700138	0.999953396548249
ABCC6	0.970075887139427	1.58857194759137	1.98322725203582	0.801003488612143	0.423129626226472	0.999953396548249
ABCC8	0.105480215609351	-0.0983376675670431	4.07277543021674	-0.0241451239460581	0.980736850097314	0.999953396548249
