baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	5.83539084985433	0.807850988847633	0.766480994321566	1.05397393390385	0.291894851233935	NA
A1CF	0.305802490689271	-0.0434197116247227	3.23903750718371	-0.0134051277666357	0.98930457584378	NA
A2M	0.167082923991429	-1.01401796777911	4.0804728567969	-0.248505014826909	0.803743690482293	NA
A2ML1	2.19448202711294	0.822023147233523	1.36762177828512	0.601060293339485	0.547799828701882	NA
A4GALT	0	NA	NA	NA	NA	NA
AAAS	5.74447621324743	-0.672160615997972	0.785903186565047	-0.855271523882973	0.392400848220076	NA
AACS	7.35665680543899	-0.299720704272862	0.720273110957427	-0.41612091262779	0.677321527891047	NA
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0.16170495016144	0.919959446925853	4.07901577861934	0.225534662490872	0.821563363118902	NA
AADAT	1.32256520793336	0.79466548111982	1.59428008979359	0.49844784878591	0.618168418464573	NA
AAED1	7.7927469350701	0.349126182697595	0.67319934758495	0.518607428765428	0.604034527586537	NA
AAGAB	7.67171363767996	0.11646424008178	0.675645687904325	0.172374725639145	0.863142940775351	NA
AAK1	10.6129667633905	-0.161200229192366	0.55165243212107	-0.292213393445146	0.770123471835721	NA
AAMDC	12.6995024306522	0.418885609734036	0.544906424532489	0.768729438441517	0.442053945067547	NA
AAMP	10.5927284421215	0.223777020757915	0.562825286613459	0.39759589002191	0.690928090586223	NA
AANAT	0.16170495016144	0.919959446925853	4.07901577861934	0.225534662490872	0.821563363118902	NA
AAR2	8.75784664556057	-0.130066973775259	0.608201829319957	-0.213854953249137	0.83066016960945	NA
AARD	2.28038832600784	1.33357048404963	1.26836930552549	1.05140551591725	0.293072383546932	NA
AARS	12.5156297039923	0.729409574737676	0.522218245886095	1.39675237409605	0.162488048559861	NA
AARS2	1.92067614055519	1.34885486477131	1.48732343948031	0.906900832035977	0.364459241135677	NA
AARSD1	8.91283725265427	0.367266009368591	0.609132953611867	0.602932425820798	0.546553643693424	NA
AASDH	4.1528362518727	-0.113096704964494	0.917617360254133	-0.123250398110572	0.901908817836685	NA
AASDHPPT	9.39568515498293	0.124882881598801	0.609995242416104	0.204727632143749	0.837784930315517	NA
AASS	7.14597939934207	-0.469049955215279	0.701063253756116	-0.669055114074558	0.503460321276228	NA
AATF	2.18996926957963	1.19497964981672	1.27138745417174	0.939902030569584	0.347267815684423	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	23.4146682796708	-0.563772917678003	0.406730032669724	-1.38611086567045	0.165713053012496	NA
ABCA1	27.1277280741903	0.347493328350594	0.368228093067498	0.943690432350844	0.345327864625242	0.775212645635357
ABCA10	0.112401506341642	0.903707103273994	4.07964434116116	0.221516148884875	0.824690563912071	NA
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	2.90265336463301	-0.120051688183078	1.07608731271865	-0.111563148049554	0.911169793150183	NA
ABCA2	1.91179784313459	0.921811816275097	1.32796956633453	0.694151311629441	0.487587322593188	NA
ABCA3	9.20493921639937	-0.229391477160959	0.619065360634518	-0.370544843481215	0.710976570289038	NA
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	7.26018782951494	-0.311866407016115	0.671805769013326	-0.464221090977158	0.642489351944241	NA
ABCA6	1.78031963467426	2.21710671676124	1.62499115421747	1.36438079124739	0.172447750266271	NA
ABCA7	0.494867864594128	-0.941442301880672	2.58340019406061	-0.364419846388919	0.715544517609931	NA
ABCA8	1.63213866271406	2.00567057323402	1.58193602362426	1.26785820872766	0.204848590605949	NA
ABCA9	2.69725415514552	-0.130211369608409	1.16370577831877	-0.111893720933936	0.910907675307485	NA
ABCB10	0.22466769243288	0.919719404958145	3.91563489718823	0.234883851305591	0.814298883767185	NA
ABCB11	0.81533258728521	-0.610700906441449	2.05484290284985	-0.297200776562759	0.766313229033005	NA
ABCB4	2.07597741633435	-0.291049129666179	1.29364117050464	-0.224984436412644	0.821991381845417	NA
ABCB5	2.28099240219624	0.0701209020025009	1.18623053555135	0.0591123731020034	0.952862603565987	NA
ABCB6	8.41696645450998	0.448286792603694	0.630638963604931	0.710845378219489	0.477180057116071	NA
ABCB7	2.05285671262035	-0.364076548794345	1.23618545037124	-0.29451612513722	0.768363543456099	NA
ABCB8	2.07493505294713	0.229746065623193	1.28037556491342	0.179436465298936	0.857595000837752	NA
ABCB9	4.72945762464779	-0.15222343805626	0.889648509330359	-0.171105145975953	0.864141089642038	NA
ABCC1	0.810089933705626	0.749612130702539	2.0352280452055	0.368318495054372	0.712635763317067	NA
ABCC10	3.68004672760536	0.350875718618218	0.970962097300579	0.361369119962258	0.717823529215423	NA
ABCC11	0	NA	NA	NA	NA	NA
ABCC12	0	NA	NA	NA	NA	NA
ABCC2	0.112401506341642	0.903707103273994	4.07964434116116	0.221516148884875	0.824690563912071	NA
ABCC3	8.63608798712021	1.16242854532387	0.653085579491526	1.77990233106801	0.0750919461494858	NA
