baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	5.49626339602925	0.601059522806051	0.475543077776877	1.26394337525835	0.206250351764568	NA
A1CF	0.710420788987588	1.27592728308842	1.18590258211208	1.07591239140065	0.281966439556141	NA
A2M	0.32608150000623	-1.31455539529825	1.78039000289526	-0.738352491959922	0.460300276071557	NA
A2ML1	1.38770520948028	1.52330468729671	0.858435251863427	1.77451320177035	0.0759783003515916	NA
A4GALT	0	NA	NA	NA	NA	NA
AAAS	6.21076497839732	-0.193826272381631	0.519548597720396	-0.373066683717511	0.709098814107455	NA
AACS	11.4243220231419	0.100763445870269	0.330827407332565	0.304580103210663	0.760685975759924	0.99675804632953
AADACL2	0.185169585761837	0.531845899356483	2.24907397688836	0.236473279590519	0.813065439174524	NA
AADACL3	0.261104568918286	-0.90032261029788	2.08123177235147	-0.432591229030035	0.66531176255042	NA
AADAT	2.3420138734469	0.519322036645196	0.724251413515035	0.717046631810841	0.473345323862953	NA
AAED1	10.7787795401185	-0.316878830588641	0.383462699141989	-0.826361550413295	0.408599027669904	0.99675804632953
AAGAB	7.84670936604372	-0.712634244508015	0.463113815004735	-1.53878856863885	0.123855921513346	0.92015382660752
AAK1	9.41882192582934	-0.0261614498498197	0.371231379729028	-0.0704720863546493	0.943817917160564	0.997248260505355
AAMDC	16.0325579114431	0.0275238081092028	0.309534701757944	0.0889199432337844	0.929145533924641	0.99675804632953
AAMP	10.8974310130124	-0.117086701540618	0.350498985971021	-0.334057176274682	0.738336413944634	0.99675804632953
AANAT	0.12528917413832	-0.419426708396294	2.77511958529757	-0.151138246660934	0.879866662550052	NA
AAR2	8.88202847976397	-0.0520883193875512	0.374794941476342	-0.138978181462033	0.889467390381934	0.99675804632953
AARD	2.04346963649163	-0.173085747481444	0.806921697370937	-0.21450129305654	0.830156158717089	NA
AARS	11.2447466810331	-0.0805349142178164	0.36330786007127	-0.221671268554492	0.824569798050629	0.99675804632953
AARS2	2.37193660216141	1.19864729839776	0.707535927730484	1.69411509920434	0.0902434136637156	NA
AARSD1	8.8223912642299	-0.232461644594595	0.406780660902447	-0.571466804933344	0.567683255792064	0.99675804632953
AASDH	5.9605896903635	0.300935238643244	0.483367769905327	0.622580274026515	0.533560377268837	NA
AASDHPPT	11.8191987862825	0.171259505718699	0.323002161011728	0.530211640635065	0.595965201066905	0.99675804632953
AASS	4.96188226759215	-0.0728483581592791	0.529757431332123	-0.137512668724807	0.890625579677325	NA
AATF	2.58251005114301	-0.531215670979672	0.777212841240703	-0.68348802643516	0.494298513651245	NA
AATK	0	NA	NA	NA	NA	NA
ABAT	28.4949661788517	0.0846176403527379	0.250465428781859	0.337841596599884	0.735482561411562	0.99675804632953
ABCA1	25.6755967734541	0.531965617082096	0.267600371773922	1.98791060548869	0.0468215776059525	0.769908324973608
ABCA10	0.297004847464335	-1.13693718864982	1.80394881914164	-0.630249138216016	0.528531594371994	NA
ABCA12	0.123665996999622	0.803597884752206	2.78426044069453	0.288621665203041	0.772870914326623	NA
ABCA13	3.74838028011582	0.0493295386230013	0.582613156821619	0.0846694552730549	0.932524179902527	NA
ABCA2	2.25388844209239	0.778416100637327	0.691348367974792	1.12593901525737	0.26019133362686	NA
ABCA3	8.47035546332751	-0.0594483875465527	0.439915077661883	-0.135136053673169	0.892504304909343	0.99675804632953
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	5.8654480391741	0.270596385567471	0.454906186285358	0.594839977396414	0.551950442097838	NA
ABCA6	1.47019564989212	-1.3962793241084	1.18612405069555	-1.1771781571157	0.239124404987569	NA
ABCA7	0.885405553366692	-0.57180752356776	1.35346193112632	-0.42247772945628	0.672676352861937	NA
ABCA8	3.31991078809212	-0.170661565715134	0.6268899438834	-0.272235290070112	0.78544110861	NA
ABCA9	2.83511720605916	-0.345486469858979	0.708249315327736	-0.487803464658639	0.625689057096682	NA
ABCB10	0.1048512235342	-0.419426653450968	3.33070968394612	-0.125927112612842	0.89978962074854	NA
ABCB11	2.14313640770981	0.520117445911441	0.789529409854532	0.658768931745394	0.510044160659448	NA
