baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	4.66710218867646	0.158525070852249	0.858894362214822	0.184568764013611	0.853567287674261	0.999737928892581
A1CF	0.838623918442448	-1.24393509572335	2.10985470678062	-0.589583297715055	0.555470052055943	0.999737928892581
A2M	0	NA	NA	NA	NA	NA
A2ML1	0.830544132546099	0.473869456423595	2.14004603295278	0.221429562321033	0.824757976258715	0.999737928892581
A4GALT	0	NA	NA	NA	NA	NA
AAAS	5.06632360786813	0.785387393393554	0.844202235713102	0.930330861692321	0.352199803535084	0.999737928892581
AACS	14.0332091420147	-0.201755690481133	0.50006865927199	-0.403455978974674	0.686612812723537	0.999737928892581
AADACL2	0	NA	NA	NA	NA	NA
AADACL3	0	NA	NA	NA	NA	NA
AADAT	1.93681027214848	0.863362191256268	1.3100641937778	0.659022813810837	0.509881118859363	0.999737928892581
AAED1	7.79633732539069	0.0489925016454813	0.672656877343784	0.0728343131478042	0.941937965514906	0.999737928892581
AAGAB	6.06064728133796	0.74101884318241	0.770791757449935	0.961373595423457	0.336364355721865	0.999737928892581
AAK1	13.1438943628669	0.15294874940681	0.508798079495218	0.300607953470562	0.763713465845138	0.999737928892581
AAMDC	18.584019047809	-0.166703748472105	0.437688472354438	-0.380873061553033	0.703297442362112	0.999737928892581
AAMP	12.1792620084356	-0.124116890029656	0.52735988601927	-0.235355197314194	0.813933056785845	0.999737928892581
AANAT	0.247007896105215	-0.125076294983801	3.49509602155267	-0.0357862256752067	0.971452816351597	0.999737928892581
AAR2	9.47917702727546	0.0473121175449457	0.595514466295438	0.0794474697470638	0.936676712537937	0.999737928892581
AARD	2.8898519366662	0.25257576174521	1.10224530012915	0.229146598960881	0.818754976118052	0.999737928892581
AARS	16.5036569580823	0.62341073287963	0.463002837569597	1.34645121432095	0.178157043742382	0.999737928892581
AARS2	2.56179309400795	-0.283151379856958	1.17007633593127	-0.241993937627665	0.808784860720799	0.999737928892581
AARSD1	8.65539793404163	0.0727369792228775	0.668559009722919	0.108796647962344	0.913363782575994	0.999737928892581
AASDH	5.22944127657232	-0.316302719673038	0.804381035108267	-0.393224984015772	0.694153318377176	0.999737928892581
AASDHPPT	9.43951849764871	0.0998798594290041	0.603692661731513	0.165448192036207	0.868591224528243	0.999737928892581
AASS	5.82904742084421	0.233805731381503	0.840172085790109	0.278283146198114	0.780795012733658	0.999737928892581
