baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	5.1603209991263	0.604770675081028	0.523033500620231	1.15627521824868	0.247568601537857	0.999410876737135
A1CF	0.48151544156217	-0.251624943170352	1.58400513856825	-0.158853615460989	0.87378420604392	0.999410876737135
A2M	0.310679884973846	-0.975641130903078	1.79572188913416	-0.543314160620664	0.586913516083428	0.999410876737135
A2ML1	0.912917295437007	-0.234095532719474	1.25873563644994	-0.185976726121541	0.852463012777054	0.999410876737135
A4GALT	0	NA	NA	NA	NA	NA
AAAS	6.03749674996067	-0.0183355230916575	0.547957426904023	-0.0334615833117799	0.973306500740453	0.999410876737135
AACS	10.1592289554845	-0.529617187536721	0.413537550523364	-1.28069914537736	0.200299360082428	0.999410876737135
AADACL2	0.198983009930217	0.880002250742571	2.20553039232815	0.39899801598909	0.689894666153303	0.999410876737135
AADACL3	0.249019704349743	-0.562685407349822	2.10685507694526	-0.267073617690715	0.78941248005516	0.999410876737135
AADAT	1.88273542685556	-0.43085633757388	0.973871470713652	-0.442416017442373	0.658188190394018	0.999410876737135
AAED1	10.3698111221598	-0.340186157747336	0.420328820142169	-0.809333411000164	0.418323393053399	0.999410876737135
AAGAB	7.66646815432254	-0.336021129077849	0.461436633277162	-0.728206442326433	0.466487222804596	0.999410876737135
AAK1	8.74271469485955	-0.131296440862647	0.410075140298183	-0.320176543174931	0.748834503829316	0.999410876737135
AAMDC	14.679608791343	-0.1934927259347	0.349762590702741	-0.553211610040785	0.580118517857468	0.999410876737135
AAMP	10.867469805249	0.186844795485497	0.377890150644737	0.494442088968745	0.620993995544042	0.999410876737135
AANAT	0.119255721305974	-0.0817907987128872	2.8193035186338	-0.0290109944432383	0.976855821988237	0.999410876737135
AAR2	9.1407981700252	0.30360227483789	0.389628876072358	0.779208866391894	0.435856688031183	0.999410876737135
AARD	2.13822721673776	0.10809830965955	0.866800010101067	0.12470963128732	0.900753432267603	0.999410876737135
AARS	10.7789890577513	-0.0278243721495528	0.385919549823976	-0.0720988925340628	0.94252320756342	0.999410876737135
AARS2	1.82795685753837	0.309521557297633	0.886738226818601	0.349056291853031	0.727047049265612	0.999410876737135
AARSD1	8.94289428086975	0.254052526327498	0.401445557507637	0.632844283804697	0.526835334973073	0.999410876737135
AASDH	5.29455493019139	-0.0306202143440252	0.56572526971643	-0.0541255906057964	0.956835103772503	0.999410876737135
AASDHPPT	10.7587481112563	-0.138799205316549	0.372022020886243	-0.37309405767405	0.70907844119422	0.999410876737135
AASS	4.90164013860983	0.167230527362512	0.537339189219143	0.311219674123398	0.755633627416162	0.999410876737135
AATF	2.3830648727729	-1.12753665116492	0.975716699989505	-1.15559839364956	0.247845465384766	0.999410876737135
AATK	0	NA	NA	NA	NA	NA
ABAT	27.2402988688996	0.0877169316946625	0.27159010056716	0.322975438027689	0.74671384366248	0.999410876737135
ABCA1	23.0077056160524	0.119287999828104	0.291992942772026	0.408530420960339	0.682884301279272	0.999410876737135
ABCA10	0.282660698372918	-0.798714358579267	1.82013311452518	-0.438821947804422	0.660790555880874	0.999410876737135
ABCA12	0.0491565920979131	0.158651842854864	3.83960651501468	0.0413198181205444	0.96704093398577	0.999410876737135
ABCA13	3.2890277382256	-0.433746343132398	0.702456164007836	-0.617471047100897	0.53692407261197	0.999410876737135
ABCA2	1.80278108816876	-0.246885696851176	0.914506795560456	-0.269965951100311	0.78718644840506	0.999410876737135
ABCA3	7.57671416960922	-0.496939208751841	0.500334754433735	-0.993213452290084	0.320605944011224	0.999410876737135
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	5.76080199309903	0.465248536181524	0.467818456528144	0.994506586239259	0.319976300536152	0.999410876737135
ABCA6	1.88183788070293	0.670497929271656	0.827343162553427	0.810423001747304	0.41769710230403	0.999410876737135
ABCA7	0.918503252463701	-0.142038913455522	1.32902609628005	-0.106874435237269	0.914888594732815	0.999410876737135
ABCA8	2.87950059321335	-1.38971698882618	0.924173158422633	-1.50374091279402	0.13264809043589	0.999410876737135
ABCA9	3.00871445670648	0.365860526952254	0.650776581886235	0.562190676701719	0.57398611294308	0.999410876737135
ABCB10	0.28665728236702	1.88107754743241	1.94625342330191	0.966512132958037	0.333787978693774	0.999410876737135
ABCB11	1.74148790284484	-0.613983654146856	1.05435669792576	-0.582330112147764	0.56034434637486	0.999410876737135
ABCB4	3.6524246747567	0.0955370293361159	0.595354899468879	0.160470719937545	0.872510284812923	0.999410876737135
ABCB5	1.95335960944831	0.0343463359708597	0.856299084727908	0.0401102098360567	0.968005262081198	0.999410876737135
ABCB6	8.1588537509498	-0.212378376264546	0.430576396765191	-0.493242030589901	0.621841583058321	0.999410876737135
ABCB7	2.74082551411763	-1.04523335281757	0.91692657389325	-1.13993135609489	0.254314900364912	0.999410876737135
ABCB8	2.32195104117053	-0.183280817121065	0.810524062167807	-0.226126312192221	0.821103180380469	0.999410876737135
ABCB9	5.59440333450083	-0.255331691161501	0.541080348130302	-0.471892376139324	0.637003610079575	0.999410876737135
ABCC1	0.911622134741251	0.326566745745003	1.18345185504656	0.275944259457985	0.782590878988687	0.999410876737135
ABCC10	4.48688517450456	-0.598581444437822	0.617721822161328	-0.969014567663262	0.332537920856892	0.999410876737135
ABCC11	0.305608605132856	1.41652284425969	1.80268490910914	0.785785046017672	0.431993428836166	0.999410876737135
ABCC12	0	NA	NA	NA	NA	NA
ABCC2	0.406359959956187	1.33929600923221	1.54872528055169	0.864773130554908	0.387163321567867	0.999410876737135
ABCC3	8.60541590969808	-0.1745218015395	0.479170746799624	-0.364216310584752	0.715696488159001	0.999410876737135
ABCC4	0.879167721904509	0.560749626650595	1.17045834320204	0.479085505184698	0.631877800990065	0.999410876737135
ABCC5	2.89729176347435	0.0157293355044703	0.7637844321065	0.0205939462016647	0.983569569674561	0.999464716172107
ABCC6	1.63590951637139	0.440656341404336	0.900209812075921	0.489504041716857	0.624484893819642	0.999410876737135
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	3.66000110550799	-0.537028805576367	0.703116238048395	-0.763783819112146	0.444996080975318	0.999410876737135
ABCD1	0	NA	NA	NA	NA	NA
ABCD2	0.380662856404901	-0.834384616996961	1.8415330352766	-0.453092396939616	0.650482209916399	0.999410876737135
ABCD3	5.7783627972656	-0.183250776178741	0.517183987211544	-0.354324149064936	0.723095971841826	0.999410876737135
ABCD4	13.6412100732534	-0.106756016750675	0.340907695438292	-0.313152264320179	0.75416498324707	0.999410876737135
ABCE1	5.26217942103951	-1.08375151781199	0.643494521826618	-1.684165880287	0.0921496152067259	0.999410876737135
ABCF1	3.50000153321219	0.218413934965808	0.638843079360493	0.341889803650138	0.73243382328568	0.999410876737135
ABCF2	8.8690571024407	-0.172408853528363	0.408095904940283	-0.422471412825354	0.672680962513404	0.999410876737135
ABCF3	2.67763478259976	0.954904692597831	0.648204891761454	1.47315255520973	0.140709904932926	0.999410876737135
ABCG1	1.11686718365931	0.496332461311868	1.04866472105388	0.473299474414538	0.635999537055238	0.999410876737135
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0.287391568367656	-0.562685610204964	1.89733138797183	-0.296566858995808	0.766797215795854	0.999410876737135
ABHD1	3.17341485240899	0.560723013019665	0.626216872129047	0.895413454947784	0.37056611074809	0.999410876737135
ABHD10	3.0119654979231	-0.378485105291563	0.727366959204339	-0.520349598647682	0.602819932223267	0.999410876737135
ABHD11	3.14233935136406	0.349041455641511	0.620082153769044	0.562895502668369	0.573506042818621	0.999410876737135
ABHD12	4.22055629561948	-0.181922716465128	0.589938344147232	-0.308375812947201	0.757796384249526	0.999410876737135
ABHD12B	1.61775307432638	-0.0160720382381948	0.94977592853097	-0.016921926272709	0.986498900634578	0.999464716172107
ABHD13	0.965435911872706	-0.444803256537792	1.25420724103135	-0.354648930404855	0.722852614611923	0.999410876737135
ABHD14A	4.2788745147829	-0.426854897995384	0.652035203950408	-0.654650079335056	0.512693073061358	0.999410876737135
ABHD14A-ACY1	3.1997820779618	-0.204882990942901	0.698995553008685	-0.293110578545205	0.769437631198817	0.999410876737135
ABHD14B	0.751003456044488	0.708857349176864	1.25616345214371	0.564303433575594	0.572547645073406	0.999410876737135
ABHD15	1.84211612108107	-2.33800147590664	1.35622574692449	-1.72390288357857	0.0847253766892513	0.999410876737135
ABHD16A	0.297114816667248	-0.800914092203867	1.80279470116706	-0.444262506255087	0.656852805474775	0.999410876737135
ABHD16B	0	NA	NA	NA	NA	NA
ABHD17A	3.78347779138154	0.217943398844293	0.571799178050633	0.38115374629831	0.703089168225971	0.999410876737135
ABHD17B	2.96973583884402	1.4771947514779	0.641726277937371	2.30190784180739	0.0213403698933165	0.999410876737135
