baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	5.24634522189793	-0.60058045564193	0.811798446464429	-0.739814738815524	0.459412414550922	0.999606660551402
A1CF	0.412833113368222	0.445589355796661	2.89090482091815	0.15413491048631	0.877503362588793	0.999606660551402
A2M	0.131513238965259	0.599037713457548	4.0804728567969	0.146805954721577	0.883285184425583	0.999606660551402
A2ML1	0.694505354162509	-0.474867121575228	2.19886921848154	-0.215959693093141	0.829019166408897	0.999606660551402
A4GALT	0	NA	NA	NA	NA	NA
AAAS	6.9202737461871	0.688107140921967	0.739386403948295	0.930646191554918	0.352036612179732	0.999606660551402
AACS	6.5921504528347	-0.129450979226342	0.74560687460478	-0.173618274771084	0.862165468954393	0.999606660551402
AADACL2	0.309320778547333	-0.362733001380164	3.2062335862863	-0.113133679009429	0.909924574401723	0.999606660551402
AADACL3	0.156822877945059	0.599037713457549	4.0804728567969	0.146805954721577	0.883285184425583	0.999606660551402
AADAT	1.4391451901946	0.354471400557033	1.68013099857543	0.210978430168591	0.832904102753035	0.999606660551402
AAED1	9.69902175679804	0.614087519383063	0.625908711456587	0.981113552412437	0.326536747975199	0.999606660551402
AAGAB	8.98960172182024	1.07060137791419	0.638244876930775	1.67741476134137	0.0934614048212025	0.999606660551402
AAK1	7.94327574013787	0.278589934726735	0.647587367754447	0.430196678623866	0.667052577860679	0.999606660551402
AAMDC	12.5354548902325	0.171274692867402	0.535779067780412	0.319674102941249	0.749215393298787	0.999606660551402
AAMP	11.672699936392	0.123535718205557	0.594771253863084	0.207702906627016	0.835460948013715	0.999606660551402
AANAT	0	NA	NA	NA	NA	NA
AAR2	8.73172826442019	-0.53476305424979	0.666965092840254	-0.8017856706301	0.422676948942086	0.999606660551402
AARD	1.37062594875073	-2.8831541220976	1.92496356796286	-1.49777074749979	0.134192823452686	0.999606660551402
AARS	12.0020725530646	0.588210611304498	0.545349767989328	1.0785933098921	0.280769064988304	0.999606660551402
AARS2	1.58709817676146	-0.481440243737384	1.51817040622503	-0.317118711946505	0.751153527018437	0.999606660551402
AARSD1	9.28419889359685	-0.0330894131353137	0.647317342150413	-0.0511177609198441	0.959231683326994	0.999606660551402
AASDH	3.93752328798354	-0.466439367640097	0.927545573431428	-0.502874878605176	0.615052244286576	0.999606660551402
AASDHPPT	7.56954665064775	-0.434131085558627	0.666156674539155	-0.651695167445342	0.514597840713656	0.999606660551402
AASS	3.7153847960339	-0.983074564718518	0.996969957278815	-0.986062375843076	0.324102504963393	0.999606660551402
AATF	2.45757996711101	1.78665933202252	1.29149329279465	1.38340581557058	0.16654046836458	0.999606660551402
AATK	0	NA	NA	NA	NA	NA
ABAT	22.9323699338331	-0.393312218487536	0.402539821231727	-0.977076546822235	0.32853125773913	0.999606660551402
ABCA1	28.5628443658078	0.6495376380729	0.401912999407087	1.61611502745897	0.106069445773896	0.999606660551402
ABCA10	0.298354655408805	1.54379163824591	3.19583895505593	0.483063026628292	0.629050985559467	0.999606660551402
ABCA12	0	NA	NA	NA	NA	NA
ABCA13	2.03267817078972	-0.213795726289683	1.27509065354021	-0.167671001035175	0.866842110992666	0.999606660551402
ABCA2	1.57617338918769	0.247320064541329	1.41748145609437	0.174478518556975	0.861489411532335	0.999606660551402
ABCA3	8.46123611041625	1.19977009152425	0.665721394154549	1.80221050736686	0.0715122921756812	0.999606660551402
ABCA4	0	NA	NA	NA	NA	NA
ABCA5	6.34375606021963	-0.168841931481788	0.722589840332378	-0.23366219957386	0.815247235788554	0.999606660551402
ABCA6	2.21332695649301	-0.578054544142151	1.29894539839067	-0.445018354780987	0.65630648974648	0.999606660551402
ABCA7	0.704523892660996	-0.454854479988984	2.2898248447839	-0.198641603974696	0.842543106804019	0.999606660551402
ABCA8	1.81587630670795	0.915553877567247	1.4237453868864	0.643060118754436	0.520185091106736	0.999606660551402
ABCA9	3.09442707048628	-0.256311396854901	1.09361336642761	-0.234371126691846	0.81469687202164	0.999606660551402
ABCB10	0.424151602898073	-2.35273609858806	2.83532079684123	-0.829795380194436	0.406654483259844	0.999606660551402
ABCB11	0.872312893744583	-0.926982879994781	1.93995036814983	-0.477838451547018	0.632765191037226	0.999606660551402
ABCB4	3.47199712624777	-0.0394730472844516	0.951663760711684	-0.0414779346593301	0.966914883304141	0.999606660551402
ABCB5	2.0243346800342	0.376162224827287	1.24691682462915	0.30167387062017	0.76290068902268	0.999606660551402
ABCB6	7.64519104895878	0.508962599915128	0.740763154477873	0.68707871988297	0.492033123363733	0.999606660551402
ABCB7	2.17791286394312	1.23068897657339	1.35316730287139	0.90948766938271	0.363092763680656	0.999606660551402
ABCB8	2.12649703628664	-0.0095597143790306	1.31645462154276	-0.00726171204278009	0.994206042997717	0.999630620147492
ABCB9	5.39301947995482	0.498385583746795	0.828040966690394	0.601885176936109	0.547250571850595	0.999606660551402
ABCC1	0.740447288388002	-0.76318578600484	2.101497336094	-0.363162861497295	0.716483228654191	0.999606660551402
ABCC10	3.01028841544447	0.12133826308228	1.04728420807223	0.115859918584689	0.907763562039842	0.999606660551402
ABCC11	0.461818679149607	-1.12930857724731	2.78201602927189	-0.405931729136326	0.684792763909276	0.999606660551402
ABCC12	0	NA	NA	NA	NA	NA
ABCC2	1.29121466498012	1.20150778501545	1.67672332341958	0.716580826564183	0.473632778568795	0.999606660551402
ABCC3	7.40490535961545	-0.0189303981918581	0.710993406128213	-0.0266252795436536	0.978758610244414	0.999606660551402
ABCC4	0.869621628580014	-0.923259738562617	2.01365175685769	-0.458500202638496	0.646593116956533	0.999606660551402
ABCC5	2.82784486769305	0.267555803088618	1.16070665170054	0.230511131039548	0.817694615039106	0.999606660551402
ABCC6	1.40266809662811	-1.19204328567044	1.58222479300729	-0.753396919918536	0.451211433119292	0.999606660551402
ABCC8	0	NA	NA	NA	NA	NA
ABCC9	2.1970707201137	-0.238892969478661	1.30199013531852	-0.183482933547894	0.854419108514046	0.999606660551402
ABCD1	0.288336116910318	1.50361884300289	3.23540013461084	0.464739686111113	0.642117884542398	0.999606660551402
ABCD2	0.131513238965259	0.599037713457548	4.0804728567969	0.146805954721577	0.883285184425583	0.999606660551402
ABCD3	5.33555904770574	0.375421423832454	0.780790693548017	0.480822103714491	0.630642939196856	0.999606660551402
ABCD4	11.3864340769796	-0.0696262229245513	0.545548043137558	-0.127626198646258	0.898444797154128	0.999606660551402
ABCE1	3.06317795939577	0.455614954183749	1.06262419695642	0.428763955769807	0.668095012142522	0.999606660551402
ABCF1	4.26033003787953	0.528389659900413	0.968526844369296	0.545560159712971	0.585368316563749	0.999606660551402
ABCF2	8.49044227442462	0.379005324810209	0.682477833953448	0.555337193319104	0.578664043295822	0.999606660551402
ABCF3	3.12891781651532	-0.908144362866495	1.10232462426883	-0.823844757590232	0.410027772556868	0.999606660551402
ABCG1	1.02909443612488	-0.586009270329235	1.85018513666625	-0.316730071340393	0.75144842902839	0.999606660551402
ABCG2	0	NA	NA	NA	NA	NA
ABCG4	0	NA	NA	NA	NA	NA
ABCG5	0	NA	NA	NA	NA	NA
ABHD1	2.88391503979544	-1.21638840594319	1.07811478436074	-1.12825500919593	0.259212238219397	0.999606660551402
ABHD10	2.8096839009193	0.42092778308145	1.11723480868358	0.376758564815414	0.706353035907225	0.999606660551402
ABHD11	2.63194604810529	-0.761165981313179	1.10669485310967	-0.687783067911088	0.491589400311477	0.999606660551402
ABHD12	3.88105896011268	0.404000106235623	0.955211615970156	0.422943041605814	0.672336818527373	0.999606660551402
ABHD12B	1.16892386862886	-0.715058799693298	1.68570977030622	-0.42418855979188	0.671428303401876	0.999606660551402
ABHD13	0.901705112022158	0.791826553256311	2.03488742246432	0.38912548405129	0.697183322647261	0.999606660551402
ABHD14A	3.70589783722042	0.645748171457566	0.995840195797003	0.648445578098756	0.516696799240228	0.999606660551402
ABHD14A-ACY1	2.64326348364863	-0.103790948456217	1.17563836766261	-0.0882847577206692	0.929650353225563	0.999606660551402
ABHD14B	1.03880194379681	0.232325589279041	1.74169581591726	0.13339045036213	0.893884597425788	0.999606660551402
ABHD15	0.42285165186671	0.487320965072256	2.69401491751737	0.180890225181581	0.856453741460511	0.999606660551402
ABHD16A	0.131513238965259	0.599037713457548	4.0804728567969	0.146805954721577	0.883285184425583	0.999606660551402
ABHD16B	0	NA	NA	NA	NA	NA
ABHD17A	3.48759925755565	-0.284367482948643	0.960410324637902	-0.296089573022715	0.767161676693297	0.999606660551402
ABHD17B	3.66659160076044	-1.97766480879511	1.08261693040381	-1.82674476378034	0.0677381543953944	0.999606660551402
ABHD17C	1.36897363132804	-0.548328089719126	1.74102164249849	-0.314946165133385	0.752802529164804	0.999606660551402
ABHD18	4.67664699938681	1.16518510782783	0.912184256458793	1.27735717819908	0.201476175548977	0.999606660551402
ABHD2	5.43512150189545	0.786893124187341	0.791594651212415	0.994060688740287	0.320193322328496	0.999606660551402
ABHD3	0.554717257223291	0.52401188103778	2.64274675262731	0.198283047937465	0.842823614161049	0.999606660551402
ABHD4	25.9845038242108	-0.194129086491508	0.383322039182456	-0.50643862509326	0.612548765172301	0.999606660551402
ABHD5	0.463452391327823	0.630793729099392	2.78106477369924	0.226817345307761	0.820565775579106	0.999606660551402
ABHD6	1.74941355338197	-0.215243395595407	1.48155092243379	-0.145282482253003	0.884487845115508	0.999606660551402
ABHD8	0.152497900602274	-1.32451563818494	4.0804728567969	-0.32459856606537	0.745484912629451	0.999606660551402
ABI1	3.03619327267299	0.016285339790892	1.02649583985898	0.0158649837228071	0.987342105426254	0.999630620147492
ABI2	19.8153992525001	-0.0312082787644096	0.432813376150047	-0.0721056244657059	0.942517850202963	0.999606660551402
ABI3BP	0.71782891457277	-0.835017601752199	2.2236704728007	-0.375513194048262	0.70727883575251	0.999606660551402
ABL1	1.92779725215591	0.493907134034582	1.31605038134829	0.375295004685593	0.707441080802825	0.999606660551402
ABL2	4.04573569685882	0.498223698494953	0.900903581028803	0.553026660107175	0.580245154691674	0.999606660551402
ABLIM1	9.8492960788885	-0.630176021439418	0.612615227360728	-1.02866529151478	0.303636985166405	0.999606660551402
ABLIM2	0.860683373388168	1.84375920560309	2.10400805491006	0.876308054667551	0.38086258743355	0.999606660551402
ABLIM3	0	NA	NA	NA	NA	NA
ABO	0.996498859375923	-0.397880233437067	1.8714549949036	-0.212604756470546	0.83163526113648	0.999606660551402
ABR	3.30727448704036	0.972749308791374	1.02195668366062	0.951849842898444	0.341173139886923	0.999606660551402
ABRA	0	NA	NA	NA	NA	NA
ABRACL	1.33283162186283	0.13367823753195	1.54160624639079	0.0867136065677716	0.930899160681826	0.999606660551402
ABRAXAS1	15.2660144849331	0.172043749701075	0.481982887661062	0.356949912757191	0.721129302678659	0.999606660551402
ABRAXAS2	3.318460731716	-0.267123095425935	1.02520889253723	-0.260554797534821	0.794435852117548	0.999606660551402
ABT1	3.0604866942312	0.45795276812632	1.04582862909162	0.437885094543725	0.661469581174108	0.999606660551402
ABTB1	1.0177945518395	-2.5185374549213	1.92592368036429	-1.3077036647916	0.190973839841283	0.999606660551402
ABTB2	0.263026477930517	1.39543625199323	3.63359527145461	0.384037337057246	0.700950774426562	0.999606660551402
AC001226.2	0.674820643556857	-1.64344940329371	2.4817687519444	-0.662208919346781	0.507837338759676	0.999606660551402
AC002094.3	0	NA	NA	NA	NA	NA
AC002310.4	0	NA	NA	NA	NA	NA
AC002310.5	0	NA	NA	NA	NA	NA
AC002985.1	0	NA	NA	NA	NA	NA
AC003002.1	0	NA	NA	NA	NA	NA
AC003002.2	1.85912697576887	0.672747401070755	1.38871400605509	0.484439127233851	0.62807425564994	0.999606660551402
AC003002.3	0	NA	NA	NA	NA	NA
AC003006.1	0.302304536039979	-2.07530421166403	3.17694461893429	-0.653239026986939	0.513602193800544	0.999606660551402
AC003688.1	0	NA	NA	NA	NA	NA
AC004076.1	0	NA	NA	NA	NA	NA
AC004080.3	0	NA	NA	NA	NA	NA
AC004223.3	0	NA	NA	NA	NA	NA
AC004233.2	0	NA	NA	NA	NA	NA
AC004556.1	4.33511030769864	1.00822075103148	0.90151895823553	1.1183577913933	0.263414213707721	0.999606660551402
AC004691.2	0	NA	NA	NA	NA	NA
