genes	logFC	logCPM	LR	PValue	FDR
CRABP1	3.17739341972422	5.51127065363583	220.317944929275	7.70960127146865e-50	1.36552457720253e-45
LEFTY2	2.2735810574502	6.71917499464086	212.323788013615	4.27458627119063e-48	3.78557360176642e-44
ERLIN2	-1.10620939632665	6.73078942080848	198.845775469027	3.73003651866038e-45	1.91563709066783e-41
RS1	-1.5576425020181	6.30144352905598	198.550707279761	4.32619035832844e-45	1.91563709066783e-41
SCAF4	-1.2344824265068	6.01757357156671	194.328946008686	3.60969124129101e-44	1.27869702531493e-40
TIMP2	-0.820751823927572	7.17858581689014	187.57633312091	1.07493602254927e-42	3.17321113856544e-39
STMN2	1.93038187929835	6.00220490220536	160.304631373897	9.70712081299942e-37	2.4561789119978e-33
ANKRD34A	-1.03669338717576	10.4562223975542	155.094389807872	1.33526280808025e-35	2.95627185708968e-32
MDK	0.979558362155734	7.73652328638682	148.989882253588	2.88238673963579e-34	5.67253710360323e-31
PCDHA5	0.465938144851907	8.43028927564662	142.624836445462	7.10001651385404e-33	1.25755492493383e-29
RAB27A	1.55559242926518	6.45595061529584	137.4111182875	9.80344918322812e-32	1.57853356303033e-28
PTRHD1	-0.83708138087266	6.77319723746366	132.264859341918	1.30931724398686e-30	1.93255225212461e-27
SPCS2	-0.699125875353291	8.54051719656443	126.864827354408	1.98867539388332e-29	2.70949373665087e-26
SNRPC	-0.550348828924324	7.99574718711074	126.497331304587	2.39323317361098e-29	3.02778185507127e-26
ROBO3	1.7808687811461	5.47041631998	124.493367989188	6.56983570734787e-29	7.75766200323636e-26
HLA-DRA	2.30040335656432	5.62511229062123	121.861136489419	2.47573609767195e-28	2.74063986012285e-25
ERH	-0.491258693522693	8.72596774962563	118.494976490122	1.35095872270311e-27	1.40754005273632e-24
IFI6	1.2858993779465	9.34820474266771	116.414202865161	3.8570958694793e-27	3.76019302448083e-24
CPLX1	1.87434089924874	5.51658000214414	116.325448260086	4.03363072860975e-27	3.76019302448083e-24
LAMTOR4	-0.540316207406187	8.0185442518955	115.041572167052	7.70648398419184e-27	6.82486221640029e-24
TAF15	-0.916100023994198	7.0350114808358	113.353880183015	1.80505007295748e-26	1.52243080439156e-23
ROMO1	-0.695703962939779	8.89320802211933	112.83142125311	2.34923212746173e-26	1.89134542916374e-23
KLF15	-0.59690886113827	7.38094999357537	110.241848048347	8.67360792011098e-26	6.67943232526112e-23
ATP5F1B	-0.624195300267754	8.96177862330022	109.056799502689	1.57701454906113e-25	1.16383673720712e-22
NCALD	0.418143178022777	7.97318119373402	108.404320383494	2.19179475443791e-25	1.55284274762417e-22
PROCA1	-1.15494665910447	5.38056700965743	107.337011718202	3.75554918609931e-25	2.55839566093043e-22
NDUFA13	-0.766535707715743	9.26273561545809	106.992137795106	4.46938966697008e-25	2.93191962153238e-22
NHLH1	2.2953493314685	4.74398206652757	106.42492428366	5.95046140150335e-25	3.76409186940812e-22
FIBP	-0.585658257847019	7.1926753987034	106.111380968329	6.9705151090435e-25	4.25730219349581e-22
ATP1B1	0.467884794790054	8.47250392924616	105.814434737139	8.09736049341638e-25	4.78068163531303e-22
NDUFA11	-0.714917319451853	8.7092491097147	105.087723772833	1.16846604753626e-24	6.67608730127816e-22
NKX6-2	1.91197084624415	5.11851500157092	104.504073905724	1.56870538345328e-24	8.6827842974139e-22
FAU	-0.695578375693881	9.68308924159893	103.947340773156	2.0776534509148e-24	1.11513327038191e-21
CHCHD1	-0.591244481996146	7.17227577186868	103.866559476898	2.16411462859558e-24	1.12737642063779e-21
MEF2A	-0.865467341736277	6.61501179240238	103.632514461336	2.43547304652583e-24	1.23248853143044e-21
NDUFC1	-0.523886298884651	8.36059850333715	103.028309664454	3.30393121868445e-24	1.62553415959275e-21
MT-ND5	-0.5220603166199	8.6487242426355	102.705714496432	3.88821250351283e-24	1.86129783411403e-21
GPALPP1	0.513200647676654	9.22707861614897	102.431797147737	4.46477424215573e-24	2.08105477308059e-21
MDH2	-0.66499947462268	8.30781301237277	101.942632998954	5.71531546818274e-24	2.59563250185776e-21
CD74	1.80622580314574	5.96665325501015	100.080151515267	1.46352871795815e-23	6.48050516311871e-21
POLR2F	-0.623514133181745	7.51508078805322	99.9044321881199	1.5993095783667e-23	6.90901737854415e-21
BEST1	0.742501253935164	9.47534084126505	99.6194254804958	1.84684081654253e-23	7.78839155776221e-21
