Gene	logFC	logCPM	LR	PValue	FDR
GADD45A	-2.21123114950715	5.49660357497172	138.127784095734	6.83349918171571e-32	1.21034937506549e-27
PCSK5	-2.26540316592879	5.53155623875907	136.157729203055	1.84293741101668e-31	1.63210537119637e-27
CXCL8	-3.52271994615684	5.03293390375491	103.540623036495	2.55109350088439e-24	1.50616560292215e-20
GAP43	-1.11868838172049	8.24078785682244	101.769345176962	6.237803520096e-24	2.76209939869851e-20
CYR61	-1.78472122492038	5.64899896447614	99.2532234625933	2.22194649709046e-23	7.87102327129324e-20
VGF	-2.82989514395712	5.26591057943954	98.873064883439	2.69216245288574e-23	7.9472635609187e-20
SCG2	-1.11744094685197	6.26651110213284	93.2213970764531	4.67598523201139e-22	1.18315786327694e-18
PPP1R15A	-1.3484634775519	5.77352936132868	90.2820349379743	2.06519292488469e-21	4.5723371356947e-18
TXNRD1	-0.958553940699638	7.03964847114736	86.5807842474671	1.34144239120728e-20	2.63995862589593e-17
RGS4	-2.2115136313448	4.47564713432905	78.7619527684332	7.00635319840024e-19	1.24096527850065e-15
SOD2	-0.672335887517722	8.32879742089915	72.9226805100992	1.34829800873479e-17	2.15713543441524e-14
KLF6	-0.949748485520238	6.46912112291501	72.7636033974842	1.46147387155504e-17	2.15713543441524e-14
GADD45B	-2.09363514000873	4.50003915023866	71.49528425852	2.77921566467182e-17	3.78657445020517e-14
HMOX1	-1.67502579308037	4.74610954167954	61.7283404708292	3.9426464548759e-15	4.98801100062586e-12
RDH10	-0.964074742422642	5.59836616568056	60.9125223340762	5.9668091909594e-15	7.04560829268486e-12
SQSTM1	-0.679941809245621	7.51917881329548	58.0401107181456	2.56827315336084e-14	2.78153901477008e-11
CAV1	-0.861567840701928	6.9084670919175	57.9561196479547	2.68030425089657e-14	2.78153901477008e-11
JUN	-0.642844640946816	6.97278436633681	57.7669813068059	2.95081599570462e-14	2.78153901477008e-11
VMP1	-0.474776921853787	7.33472122958656	57.7451094188071	2.98380991873484e-14	2.78153901477008e-11
HSPA6	-3.66238299810453	4.36253789478165	55.9551484488137	7.41433194236443e-14	6.56613236815794e-11
GDF15	-1.81453223182207	4.83876802553193	55.705470841071	8.4183679567293e-14	7.10029205950426e-11
MT2A	-0.787164856039891	8.94442098562547	51.5340597745613	7.03656939611621e-13	5.66507805200047e-10
ATF3	-1.69851185858444	4.53024662136867	48.7954613405765	2.84096479948625e-12	2.18778993602176e-09
TNFRSF12A	-1.16587052516	5.54805640760989	47.8924053600658	4.50262377596083e-12	3.32293634665909e-09
CXCL2	-2.72148000424215	4.63327834509934	46.4426604434227	9.43390619874867e-12	6.68373386368946e-09
NEFM	-1.21512474954491	4.94752826792042	45.8383717285404	1.28423183381565e-11	8.7485824002088e-09
FLNC	-1.58095715547165	4.63407483888055	44.9826766065527	1.98785240997749e-11	1.30403118094523e-08
CCL2	-0.943924364773737	6.63770212246891	44.6023341926016	2.41403685813554e-11	1.52705074397488e-08
HSPH1	-0.636401687088786	6.23416879953522	44.3950543499233	2.68364201568554e-11	1.63905749592491e-08
MRNIP	-0.552433290573004	6.94487375255378	43.667964650132	3.89089014380593e-11	2.29718154090302e-08
HRH1	-1.04824143516589	4.77744703250919	43.4971054617313	4.24586962119124e-11	2.42589815259804e-08
CYSTM1	-0.477724471936196	7.51787911039515	43.2057847203481	4.92747839943387e-11	2.72735929408665e-08
HSP90AA1	-0.495949795696841	10.6180576180875	42.2623245224221	7.98154354188613e-11	4.28391209739052e-08
SGK1	-1.23173979627153	4.70784942382733	41.017625719269	1.50862532116681e-10	7.85905049661958e-08
PHLDA1	-0.597465448987341	6.1199463367899	40.5078359659716	1.95829106468217e-10	9.9100718107573e-08
EGR1	-1.0103371872161	5.42645036695086	40.3269968684963	2.14819903250525e-10	1.0147897799073e-07
TMEM158	-0.778689634591582	5.50221330112613	40.3196065137114	2.15634052192099e-10	1.0147897799073e-07
DDX39A	-0.554604723911088	6.29970159133103	40.3008263687065	2.1771686786629e-10	1.0147897799073e-07
C15orf48	-1.74957346622249	4.51439184426154	39.9796655366073	2.56620449700085e-10	1.16508350658893e-07
RGS2	-1.11852719696573	4.8591350453163	39.9308293612507	2.63117323077897e-10	1.16508350658893e-07
STIP1	-0.429013676917869	7.07355736560062	39.8654944886867	2.72067326553734e-10	1.17533085071213e-07
JPT1	-0.436945263900157	7.38827724741778	39.5915066856696	3.13041783708956e-10	1.32014192215548e-07
ATP6V1G1	-0.317719103868054	8.47338588435676	39.2567296884753	3.71585431455288e-10	1.53058631672932e-07
SLC3A2	-0.649087216698681	6.96362465368465	39.024702445694	4.18476766999802e-10	1.68455920388647e-07
CAV2	-0.695776050173571	5.72722643224746	38.8425041121903	4.59414690579801e-10	1.8082562221221e-07
TXN	-0.444415197657975	9.06589293978629	38.5896497211961	5.22955146376819e-10	1.97256370573793e-07
EMP1	-0.960602095833382	5.39151636781419	38.5878662383577	5.23433232665326e-10	1.97256370573793e-07
