genes	logFC	logCPM	F	PValue	FDR
9928	NKD1	-2.83893337774	4.79289128694476	129.775868635986	2.69513741777614e-23	4.68468785957849e-19
6069	GDF10	-2.25482971137732	3.92920489862593	84.1136542126851	5.01779743718648e-12	4.36096775265877e-08
5588	FEN1	-1.13524427673818	5.74599169724807	47.7301903837802	7.0179464561006e-11	4.06619817666469e-07
15700	TNFRSF21	-1.42933081328223	4.96344172622319	45.6289227473544	1.66214443266477e-10	7.13821173880202e-07
17661	ZNRF3	-1.05944621837063	5.54740395737666	45.1169408526991	2.0533344088143e-10	7.13821173880202e-07
15590	TMEM51	-1.75864217452664	4.36654868666298	43.402246015809	4.18297316189788e-10	1.19584656609159e-06
11935	PRSS56	-2.69877624237176	3.90092094469624	64.0884829591732	4.81585891303714e-10	1.19584656609159e-06
8799	MCM3	-1.00666226913684	5.68662034690139	41.7202247549917	8.45405144164961e-10	1.83685402698442e-06
2891	CDCA7	-1.44771694074422	4.64089483957407	39.9945830924173	1.75041553460188e-09	3.3806358691611e-06
3572	COLGALT2	-1.48851529243822	4.31771336849713	38.5128568103645	3.2859915046924e-09	5.71171043345633e-06
3653	CP	1.16042001173095	7.15436727024407	36.9927025398743	6.30047517613486e-09	9.9558963192342e-06
6229	GMNN	-0.891856498028233	5.59848502728904	36.6636906037675	7.25844293597165e-09	1.05138545927549e-05
10040	NOTUM	-1.837581817816	3.88367919108642	80.1513559543312	1.99696197634269e-08	2.6700917748299e-05
10877	PCNA	-0.763310937929279	6.65939004964775	33.905591573406	2.39995584826498e-08	2.97971661103871e-05
16828	WSCD1	-1.00183177541251	5.4548139492452	33.7339850319843	2.58679007557005e-08	2.99757233957057e-05
3401	CLSPN	-1.03002223566078	5.2464113151821	32.5985333136178	4.25520374436587e-08	4.62274696778547e-05
8802	MCM5	-1.26260254541515	4.58642693469283	32.088571278293	5.3262812457837e-08	5.44596591848307e-05
2739	CCND2	-1.2084755680457	4.64027595674092	30.381810850525	1.13420068590312e-07	0.000109525979568712
8803	MCM6	-1.24459912666859	4.61003540617861	29.3838071487496	1.77030859149618e-07	0.000161955283880982
2882	CDC45	-1.29163119951575	4.70405753171636	28.0076972496189	3.2841190652842e-07	0.00028542278796385
12631	RHOBTB3	-0.642804056778522	6.13952246470859	26.5740667321899	6.28390366591044e-07	0.000520127683432644
15315	TK1	-1.28841884435604	4.56324020085589	26.0562340666026	7.95412616034761e-07	0.000628448276905282
758	AKR1C3	1.08927411892788	5.56183474554587	25.252354456511	1.14845695168664e-06	0.00086793385800944
6143	GINS2	-0.884622130428126	5.54968512239078	25.0992014574686	1.23194786756052e-06	0.000892238243080709
4665	E2F1	-1.46828902623651	4.01749646137123	32.6191944340524	1.44577212284373e-06	0.00100521644157079
4139	DCTPP1	-0.854363918196217	5.34374936424371	24.2092222587932	1.85460620752046e-06	0.00123987558073541
12546	RFC4	-0.733913376996937	5.53244920522931	24.0550789239575	1.99121854220382e-06	0.00128010581662427
1635	AXIN2	-1.3518010502904	4.16604355368715	23.9720436311092	2.06899158428533e-06	0.00128010581662427
5035	ERBIN	0.632340722288667	6.84714258570629	23.8571570068279	2.18170090029634e-06	0.00128010581662427
9113	MND1	-1.1086419161345	4.4959398199327	23.8298782471604	2.20936454370775e-06	0.00128010581662427
14307	SP5	-1.50520384234956	3.85189385713966	110.733749886256	2.55278148905431e-06	0.00143136928524974
6619	H2AFZ	-0.68095410989489	8.95593988168555	22.444701127174	4.20097210330394e-06	0.00228191553436341
16301	UBE2T	-0.820718941762195	5.70478835988077	22.0244458290245	5.11094379046296e-06	0.00269207348381295
8798	MCM2	-0.991617371301633	4.73437378495559	21.9328673426042	5.33441430934807e-06	0.00272714086838495
4581	DST	0.451645886648101	8.55085011990707	21.8325536955027	5.59058994185458e-06	0.00277644669626618
8801	MCM4	-0.665827562379799	6.08566311183721	21.4200731066283	6.78201757382354e-06	0.00327458415189447
10875	PCMTD1	0.858988368116384	5.44188107945063	21.1474802182553	7.70777454529896e-06	0.00362098749044288
5987	GALT	1.36225753658322	4.48771464040919	21.0402427868998	8.10619782532478e-06	0.00370794554209988
16236	TYMS	-0.888855176802659	5.06672999845281	20.7931588410794	9.10558736859066e-06	0.00404401354612319
15255	THSD1	-1.1782599975467	4.20377437412015	20.7468856927512	9.30620997842179e-06	0.00404401354612319
2884	CDC6	-0.944628134930176	4.78842847627624	20.5406852757191	1.02561657289923e-05	0.00434021255358648
4758	EFHD2	-1.10884241210117	4.7192097833876	20.4934614382907	1.04872239817416e-05	0.00434021255358648
15248	THOC7	-0.494906705794389	6.62758198348319	20.3675167699276	1.11296044580391e-05	0.0044989484811543
3187	CHL1	0.725848293664861	5.88242739297884	19.7060309691691	1.52210852681414e-05	0.00601302054842803
11661	PPP1R14B	-0.638130181682493	6.19427902410381	19.6007387722117	1.60008929910952e-05	0.00605641587706254
16181	TUBG1	-0.580529610426975	6.48271233323313	19.5971999310451	1.60277948650832e-05	0.00605641587706254
12081	PTPN3	0.860159867623193	5.3065310122402	19.4405361126775	1.72658799434477e-05	0.0063854367058938
4478	DNMT1	-0.503224389632031	6.6776437268706	19.122123271266	2.00897657117654e-05	0.00727500640837305
15632	TMEM97	-0.56318965630307	6.64130514995392	18.8540544096405	2.28282339337953e-05	0.00809796657626999
7317	IL1RAPL1	-0.465458957504638	8.95296824107642	18.6846187885598	2.47516244655239e-05	0.00860465472919473
3296	CKS1B	-0.52777869870107	6.92325744323664	18.5362532483423	2.65705639768502e-05	0.0090558733930512
1777	BCS1L	-0.565897616201142	6.15647313484146	18.459436550289	2.75650472785922e-05	0.0092141471499325
9068	MLLT11	-0.607858661268628	7.23256635090427	18.4177143359821	2.81209375280858e-05	0.00922260634175826
11525	POLR2H	-0.47766620553938	6.49570742040939	18.3396034511627	2.9192437469028e-05	0.00939672126086379
5166	EXOSC8	-0.512766270573536	6.62386092973103	18.1512467072949	3.19499465054333e-05	0.0100973449119535
3035	CENPX	-0.549924240961928	6.40244281339334	17.7238615041912	3.92294770269035e-05	0.0121765494586006
10724	PAQR4	-0.899298841695585	4.70182562713971	17.5226304765642	4.32195790425478e-05	0.0131796968932906
16025	TSC22D1	-0.542049171146677	6.11472436207938	17.2712008584582	4.87899400110656e-05	0.014606284818875
8568	MAD2L1	-0.649499087237016	5.66420291117513	17.2379899338054	4.9578345662963e-05	0.014606284818875
9042	MITF	1.56068030866146	4.16152469471921	18.1980334168031	5.08759205531078e-05	0.0147387541842353
4693	ECHDC1	-0.44879671337144	6.70807752948389	17.1035162832673	5.29051913323587e-05	0.0150753776350665
14284	SOX12	-0.477981549017963	6.15403007484523	16.9251920348694	5.76694907057112e-05	0.0154859896208691
588	ADGRL2	-0.721959181273297	4.88921245028266	16.8829458314581	5.88606577104631e-05	0.0154859896208691
9236	MRPL32	-0.476954147939033	6.57384063027443	16.8757427506307	5.90662341977554e-05	0.0154859896208691
7139	HYI	1.06495845325206	4.59903513109011	16.8702861003267	5.92224527326246e-05	0.0154859896208691
14205	SNRPE	-0.469366902572852	8.03756349762291	16.8676879455057	5.92969827498058e-05	0.0154859896208691
2885	CDC7	-1.03203261893757	4.29447395342612	16.8539826092345	5.96917100792908e-05	0.0154859896208691
1189	APOL4	0.986286150724938	4.955908128636	16.6901241573131	6.46229774540239e-05	0.0162338305268724
3148	CHAF1A	-0.875420870566556	4.83120786780297	16.6684786627888	6.5304634380336e-05	0.0162338305268724
4877	ELMOD1	0.814639377163525	4.90716594838308	16.6523812885561	6.58163022219809e-05	0.0162338305268724
13720	SLC1A3	-0.414474053550219	7.77208484352719	16.636966535743	6.63100890235842e-05	0.0162338305268724
11270	PKMYT1	-0.919419628878542	4.61184857430914	16.5266037315327	6.9957074567611e-05	0.0168888037518641
6037	GBX2	1.58853655348381	4.21489541837811	16.4213969111111	7.36233665386415e-05	0.0173422111037605
7451	IQCA1	1.44110788626676	4.3080470448283	16.4156099279753	7.38306076215784e-05	0.0173422111037605
7196	IFIT1	1.13678965227903	6.74996790021541	16.3224470634307	7.724968970137e-05	0.0179033880851895
7016	HPS3	0.94864270392984	5.35514576321747	16.1728983677191	8.30779687231341e-05	0.0190008059519147
6945	HNRNPAB	-0.545076506541584	6.66705849860082	16.1352738688635	8.46133830338617e-05	0.019100647063566
16174	TUBB3	-0.601746194273635	7.35718066998883	16.073797225612	8.71844867830448e-05	0.0192580179039835
14676	STON1-GTF2A1L	-1.15994673546948	4.08571090144008	16.5551427651277	8.77911908303549e-05	0.0192580179039835
14457	SPTBN1	0.366416502236585	8.28434517685935	16.0373963940608	8.8744134732102e-05	0.0192580179039835
11083	PGP	-0.698785060498335	5.14811569394801	16.0144412166251	8.97422304811107e-05	0.0192580179039835
15201	TGFB3	-1.1033464920597	4.18896764530201	15.986236797586	9.09841975765321e-05	0.0192864307594547
15865	TRAM1L1	1.65764062277422	3.9708543702907	22.1893774218058	9.44017745577079e-05	0.0197697788597841
11477	POC1A	-0.890147977064979	4.77046029792957	15.6828753653975	0.000105500021284592	0.0215771274560288
2849	CD9	0.51669263793508	6.73796004785839	15.6825913475215	0.000105514660784861	0.0215771274560288
9433	MTURN	0.611041021658671	5.90264323256779	15.5380138215547	0.000113241452533938	0.0225671272953686
16172	TUBB2A	-0.540879785096872	7.93800789686423	15.5245448181221	0.000113989959266639	0.0225671272953686
3664	CPEB2	1.56743285342942	4.11397944497256	18.5196205423024	0.000114484609657075	0.0225671272953686
14199	SNRPB	-0.569441719742297	5.78159592634467	15.4912246325063	0.000115863329010254	0.0225671272953686
5833	FSCN1	-0.677490337006394	5.49210506305369	15.4544904084844	0.000117964945299575	0.0225671272953686
2252	C4orf46	-0.905351759060132	4.42101207518051	15.4513620903811	0.000118145701523331	0.0225671272953686
2029	C11orf98	-0.459009521133224	7.16352273966606	15.3558390940404	0.000123802767787086	0.0232271893100324
9118	MOB1B	0.709936579662581	5.31937092327877	15.3480852064094	0.000124273881361927	0.0232271893100324
2388	CACYBP	-0.527076641138987	7.0881176905521	15.1854472169571	0.000134586739560182	0.0248870926280328
4323	DIO3	1.42581600412328	4.29890962154124	15.0403486272945	0.000144520575825344	0.0263096070636712
7545	ITGB4	0.549135239565641	7.20496796149356	15.0279566046782	0.000145402783021537	0.0263096070636712
4630	DUT	-0.496349164570053	6.20775867040037	14.9877917882164	0.000148299994580861	0.0263096070636712
3753	CRLS1	-0.606758848671929	5.45711865092128	14.9755569264437	0.000149194144568852	0.0263096070636712
16222	TXNDC17	-0.498107240383655	8.22529856184709	14.9550218714561	0.000150707230336355	0.0263096070636712
14783	SV2A	-0.520907578562328	5.79371129641945	14.9462109783103	0.000151361218868204	0.0263096070636712
10744	PARP14	0.846144972725099	6.45314028247652	14.8940904158535	0.000155289331989132	0.0267251402835157
886	ALG8	-0.476201390253143	6.04190848302006	14.7902704606419	0.000163425586579993	0.0278496426071906
16166	TUBA4A	-0.989821286998433	4.2702488224057	14.7662004410703	0.000165373044188047	0.0279079053793848
15697	TNFRSF19	-0.973576091883734	4.4466730964638	14.7364938563993	0.000167809119894802	0.0280467127116485
2172	C1QTNF9	1.63487831038595	4.02410825628475	20.9016766739255	0.000174445623599647	0.0286691287807919
4404	DNAH12	1.3808495668546	4.5685289155779	14.6532485266361	0.000174831874972037	0.0286691287807919
11831	PRMT1	-0.515022210166798	5.74238825889527	14.5278155646511	0.000185982703254451	0.0302126294202697
10920	PDE1C	0.803462852696558	5.35375562091706	14.4831106481979	0.00019012953606627	0.0306002925546658
15284	TIMM10	-0.421550785009391	6.87684764596932	14.461512880574	0.00019216652110044	0.0306443896308978
15763	TOMM34	-0.600055528806354	5.33805440235991	14.4285813590003	0.000195315264216028	0.0308633629327546
14191	SNRNP25	-0.446429811151481	5.99256404016556	14.4092970846437	0.000197183442236769	0.0308778611978335
14121	SMIM3	-0.997136043674765	4.2799805228513	14.3083522204731	0.000207263386315947	0.0319418274603003
6032	GBP3	1.52370807556435	4.32627966349424	14.2922582592377	0.000208918252987931	0.0319418274603003
17031	ZDHHC11B	1.61315524686549	4.02016760564379	20.1084002909382	0.000209490756557026	0.0319418274603003
