genes	logFC	logCPM	F	PValue	FDR
7201	IFITM1	-1.62450869531147	6.0714262865223	45.2566855885119	2.53524217394773e-10	4.39458878432099e-06
7502	ISG15	-1.65103552531391	6.33140416540609	31.3043332839587	8.68673924773749e-08	0.000681181586173322
411	ACKR3	-1.29415110365849	4.52353396019501	30.6033385312	1.17892278673126e-07	0.000681181586173322
9462	MX1	-1.57603885773749	5.52569283703868	29.2111754007439	2.17031746788367e-07	0.00094050707470739
4775	EGFR	-0.741854062757286	5.74091492304623	26.9549458288	5.89975801095131e-07	0.0020453281072366
7199	IFIT3	-1.34401848586664	6.14623712238044	25.711549256242	1.02990268439614e-06	0.00297538885522045
7194	IFI6	-0.944397433349546	8.5155899705351	23.6714409606029	2.59421137603544e-06	0.00642400857031405
9321	MSI2	-0.4762996420648	7.14414492687595	22.3718887204982	4.70344146901224e-06	0.00996287121316596
7203	IFITM2	-0.926684879328643	6.25017688158327	22.1651864965876	5.1728303287466e-06	0.00996287121316596
13001	RSAD2	-1.42941487315984	4.66587448072772	21.6138909352469	6.67116143733622e-06	0.0115637912354786
10744	PARP14	-0.788144804900443	6.52967937350163	20.9787576734834	8.95371088687258e-06	0.0141094204102772
3771	CRYAB	1.03027103716939	6.90395945826483	20.6086949322882	1.06348760966852e-05	0.0145572217806433
16226	TXNIP	-0.956254727764656	5.06625233689472	20.5523739470502	1.09174964317736e-05	0.0145572217806433
8098	LAP3	-0.511101328487621	7.79526651427735	20.3348515050165	1.20825651794584e-05	0.0149599417729094
1081	ANXA6	0.515601654529886	6.76347549379123	19.9570994683825	1.44144311802052e-05	0.0164178774971791
14907	TAGLN	1.46045964084284	5.51950387633579	19.8501280157652	1.51543809827429e-05	0.0164178774971791
3945	CXCL8	3.39248801056886	5.55479209413508	19.5590425438612	1.73693810695443e-05	0.0169220009230789
8221	LIF	2.01084041316609	4.10906148011824	19.5343037045459	1.75721712596874e-05	0.0169220009230789
700	AHNAK2	1.10627902153674	6.48795946309395	19.3125453411827	1.95009089030185e-05	0.0177909871013117
1116	AP1S2	0.505827346371465	6.8827013818846	18.387451708116	3.01681416058433e-05	0.0227946043234261
1916	BRD8	-0.475430502347637	6.95188298698923	18.3791869323417	3.02863890932887e-05	0.0227946043234261
7193	IFI44L	-1.04029679905542	6.27245250763688	18.3204078913895	3.11410646342799e-05	0.0227946043234261
16174	TUBB3	0.669677954352402	7.30342968411136	18.2707883546037	3.18816153179409e-05	0.0227946043234261
3680	CPNE4	-1.23003788168594	4.13687582354039	18.2195230672309	3.26655376150691e-05	0.0227946043234261
2526	CAV1	1.0282622707726	7.09350858189492	18.2060001941261	3.28755687138371e-05	0.0227946043234261
3941	CXCL2	3.24102986821971	4.91058034067414	17.8744692437544	3.84773200604645e-05	0.0247650282149123
297	AC092143.1	0.754927159200843	6.55933298807881	17.8502930215767	3.89219555805124e-05	0.0247650282149123
3993	CYP1B1	1.9910960348821	4.05192084075509	18.0766535926841	4.04463901205379e-05	0.0247650282149123
7198	IFIT2	-0.929966855159451	6.01796913042882	17.7188608710976	4.14322036594241e-05	0.0247650282149123
13469	SFRP4	1.57223789431889	4.68469827032079	17.5421721135626	4.50683858858446e-05	0.0255840859291733
9795	NEFL	1.32061811173712	6.15097037347182	17.4607065442882	4.68526141797884e-05	0.0255840859291733
2826	CD44	0.951433603712457	7.88706357667167	17.4438648709787	4.72303420868551e-05	0.0255840859291733
5472	FAT4	1.58908141968513	3.99173516155792	25.2218309549753	4.91073748152814e-05	0.0257947646984269
3480	CNR1	1.50588175804037	4.4498604390756	17.2602295701177	5.15555254640805e-05	0.0262842199527756
4881	ELN	0.749800695675043	5.87826901079069	16.9362418700884	6.01936405205409e-05	0.0290915832868695
2455	CAPN2	0.578757731882032	6.5269033127563	16.9284484270889	6.04186568782336e-05	0.0290915832868695
15134	TESC	-1.04662710130183	4.28665766410497	16.4137621918482	7.73420322659794e-05	0.0362336969540131
581	ADGRG1	0.486250890790805	7.55360987944414	16.0403406133416	9.25785586475149e-05	0.0422304404104217
634	AEBP1	0.893585931039366	5.40650846516904	15.9602169629999	9.62273932236433e-05	0.0427693752343239
8825	MDGA1	-0.892695715403146	4.57814652285822	15.7913073090727	0.000104406504818577	0.0448385258573815
1879	BOK	1.38941248578161	4.22204375499569	15.7542173833587	0.000106295277158816	0.0448385258573815
10041	NOV	2.12889050929607	4.39419137769917	15.7090385774624	0.000108643018692167	0.0448385258573815
3934	CXCL1	2.247164617371	4.15518466141381	15.6308826990794	0.000112829774419343	0.0454835188322066
4039	CYSTM1	0.519019831120777	7.73562218174429	15.5159954212085	0.000119284347722974	0.0469926109870463
6186	GLIPR2	0.456100116572109	7.2055735581946	15.2890714953153	0.00013315999594519	0.0512932304380873
14432	SPP1	1.04796899792047	7.25911837393773	15.2329840941937	0.000136835979425438	0.0515633666817509
10326	OAS2	-1.29003119178765	4.09742632702145	14.7397613168992	0.000173960956380619	0.0641582812319498
9500	MYH9	0.715120551899894	6.57440589524403	14.678807996024	0.00017921197904218	0.0647179259316073
4749	EFCAB7	0.774297552524758	4.99051521687809	14.3909869719666	0.000206275874421456	0.0729711430045207
15152	TEX22	-1.16873882693888	4.06626647264396	18.4630372770612	0.000219113936525266	0.0759624195145791
8033	KRT75	1.43616247693859	3.97152848908099	14.2413981649172	0.000244288723408115	0.0830294261089462
10925	PDE4B	-0.729492177089427	4.79204126298167	13.5498830984681	0.000311799785033459	0.103937259110961
3664	CPEB2	1.33203766446918	4.14148904664999	16.1444075001793	0.000354814007455508	0.116044264249694
2061	C15orf48	2.23549964740468	4.55650893104498	13.2387490105198	0.000363588162805825	0.11671180026067
9542	MYOCD	-1.16206007131081	4.03761051597537	17.4383307179888	0.000388404239338206	0.11938638500155
15691	TNFRSF12A	1.55698955796548	5.66325459472712	13.0366006750753	0.000401860847162023	0.11938638500155
7204	IFITM3	-0.498018880689346	9.21275483660402	13.0352862633854	0.000402122711290083	0.11938638500155
8271	LIX1	0.67684977766944	6.71795791311143	13.0165298682854	0.000405878477715719	0.11938638500155
6415	GPR39	0.788396990019289	5.03454544172478	12.9833429486775	0.000412611686098609	0.11938638500155
11380	PLIN3	0.425284567224449	6.25056853321641	12.9802515236785	0.000413244669441156	0.11938638500155
520	ADAMTS15	0.9525354204726	4.61926684289439	12.8883245058444	0.000432526760205597	0.122908505924653
5939	GADD45A	1.48438931527597	5.74275747533777	12.6074153514224	0.000497333381903384	0.137989302359286
9511	MYL9	1.37764340245672	4.08235663546763	13.7797792809391	0.000501518752084634	0.137989302359286
3824	CSPP1	0.467467992936992	6.48402195201001	12.2739056482883	0.000587300644208799	0.15675165678944
1073	ANXA1	0.426521989253845	9.40164706083697	12.27221716428	0.000587796105417885	0.15675165678944
14464	SPTSSA	-0.330731719586085	7.1765291842485	12.2058859628454	0.000607601464102382	0.15957823907198
535	ADAMTSL2	-0.924755237075846	4.27903650513026	12.1575491044148	0.000622462047617914	0.161041151244909
7125	HTRA1	0.342501451816559	6.85524298815731	11.9005713580819	0.000707934146124283	0.179300035361874
12559	RFTN1	0.57281238965531	6.27770112900487	11.8686046364046	0.000719373888017359	0.179300035361874
8511	LY6E	-1.00543144409532	4.17425701545885	13.1864669703844	0.000725774158491622	0.179300035361874
13099	S100B	0.44649955632103	7.83273338617416	11.8273628684703	0.000734412282836797	0.179300035361874
9087	MMP10	1.60175270975374	4.07741784946141	11.661877574596	0.000798056927304443	0.191837857239597
11233	PIPOX	0.399003724596532	6.63053574735172	11.6152687652099	0.000816979845100262	0.191837857239597
7195	IFIH1	-1.14061990497968	4.18248305088118	11.6104345095672	0.000818968584038892	0.191837857239597
6313	GOLIM4	0.342400397129159	6.98255168888907	11.5475159146929	0.000845308062532218	0.192695983723899
3935	CXCL10	-0.9000621238906	5.54577576178399	11.5167905767918	0.000858483506208876	0.192695983723899
5728	FNDC4	0.788765736813816	5.12737221438375	11.4995006972534	0.000865989713363664	0.192695983723899
15072	TCTEX1D2	0.370158309250526	6.97059793833431	11.4743118681451	0.000877045363390967	0.192695983723899
4623	DUSP3	0.603298975899387	5.65891484003039	11.4656230191958	0.000880892359980551	0.192695983723899
10059	NPC2	0.377166028098351	8.10677131969914	11.4277408491225	0.000897867248150729	0.192695983723899
9882	NGEF	0.857167409033714	4.84030715228184	11.4220445050252	0.000900448522074295	0.192695983723899
13067	RUNX2	0.765535987116829	5.03143479302873	11.3214123964615	0.000947321089742082	0.200254436214503
10743	PARP12	-1.08394028648945	4.37438813026183	11.2707691732165	0.000971845731122009	0.201133124823758
16035	TSGA10	0.707168014223812	5.04810125276297	11.2649915082552	0.000974684578585191	0.201133124823758
4924	EMP1	1.17527933397722	5.53390463575995	11.2048498171072	0.00100474332709297	0.202865440247901
15055	TCIM	-0.906194149997826	4.68497772559964	11.2014197382602	0.00100648597330792	0.202865440247901
16550	VASN	0.878490510112906	4.73027128610693	11.1607319056622	0.00102739462473162	0.204699522127562
2417	CALR	0.383199966901606	9.36893885961906	11.097385156192	0.00106083502096341	0.208960389242952
10228	NUB1	-0.34311732043283	6.53020855205541	11.0522043435456	0.00108536390406804	0.209609047787105
5940	GADD45B	1.35159024407733	4.28503733565725	11.0468430523309	0.00108831281301716	0.209609047787105
