pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.0215410995606044	0.31404655675197	0.595752551972993	1.55575778378703	200	10	JUN BCL2 CDKN1A
AHR	0.455318712850994	0.663806755051186	0.350068924917325	1.01331454397123	4442	16	CCND1 MT2A PCNA UGT1A1 AHRR
APC	0.0368775532737109	0.372470385968233	0.606673319387868	1.49692044267458	333	8	ODC1 SGK1 F8 DLG1
AR	0.592	0.751753859246588	0.272625701588829	0.963587444067826	5919	72	JUN SESN1 CDKN1A TMPRSS2 WEE1 PEBP1 USP26 IFI16 FKBP4 PNRC1 TCF7L2 NRAS NDRG1 IGF1R EGFR KLK2 AKR1C3 GTF2F1 ERBB2 UGT2B15 REST CDH11 CDH1 STIM1 MUC1
ARID3A	0.40876585928489	0.645209141300557	0.456979981439746	1.04297901699319	3543	6	RBL1 PML CR2 E2F1 CDC6 CDK1
ARNT	0.58526337364214	0.751753859246588	0.322294870999422	0.932919368116363	5710	16	JUN CDK2 AHR CTSD ESR1 FOS EGLN2 CCNE1 HIF1A GAD1 RELB BHLHE40 BRCA1 VEGFA
ARNTL	0.615686274509804	0.761362044817927	0.39560052822096	0.902890863503362	5337	6	PER1 PER2 BHLHE40
ASCL1	0.970598137133879	0.974114797051031	0.241116570132997	0.57417011716568	8648	7	CHRNA3 TPH1 IGF2 CHRNB4 DKK1 CHRNA5 PCSK6
ATF1	0.0764500922320148	0.419475987009175	0.467228437592963	1.35244615408728	745	16	LDHA FTH1 BCL2 MAP1LC3B PLAUR MITF ERBB2 CYP11B1 IL10 FLT1 CFTR GABPA TOP2A
ATF2	0.102336825141015	0.419475987009175	0.41353967571707	1.28268507726639	1015	24	JUN CCND1 CDKN1A DUSP10 ATF3 MMP2 NOS3 PCK2 CYP11B1 MAP3K1 IFNB1
ATF3	0.358630022902353	0.623964252558125	0.389466901802852	1.08017729169048	3444	13	DDIT3 GDF15 MMP2 PCLAF LDLR AK4
ATF4	0.198994469582705	0.510383963651938	0.37659858578099	1.18324796851336	1978	26	HSPA5 DDIT3 TRIB3 ATF3 MAP1LC3B CEBPB DDR2 HRK BGLAP CHAC1 APOE MCL1 ATG5
ATF5	0.389630793401414	0.645209141300557	0.444183671390499	1.0577331558121	3471	7	EGR1 BCL2 CCND3 CREB1 CYP2B6 ID1
ATF6	0.280135464070272	0.570570026084304	0.427770361164131	1.14345795518796	2646	11	HSPA5 DDIT3 DNAJC3 WBP1 BGLAP XBP1 STARD4
ATM	0.100010102030508	0.419475987009175	0.422306177780451	1.29252618948697	989	22	GADD45A BCL2 CDKN1A PMAIP1 SLC2A1 PCNA
BCL3	0.402974419988102	0.645209141300557	0.483605953441434	1.04733735383938	3386	5	MYB EGFR NFKB1
BCL6	0.60805106558221	0.759688093215451	0.321878091674456	0.91998585297633	5905	15	CDKN1A LITAF BCL2L1 IRF4 HDAC7 XBP1 NFKB1 STAT3 CDKN2B
BRCA1	0.1457	0.486251807228916	0.34784173616894	1.18223502417346	1456	48	GADD45A EGR1 CCND1 HSPA5 DDIT3 CDKN1A STAT1 MAD2L1 TP63 IGF1R EGFR JAK1 XPC CTSD FOXC1 RNASEL CCNB1 ESR1 JAK2 FOS IRF9 BRCA2 STAT2 MDM2 EP300 KHSRP STAT3 IGF1 HIF1A
BTF3	0.168157226454676	0.506299475303753	0.5082310425603	1.25402158443024	1522	8	SSPN EPHB2 MRVI1 MADCAM1 NFKB1
CDX1	0.0317668054729328	0.351501601305215	0.705573864855123	1.52804956038466	266	5	PCNA IRF2BP2 DSC2
CDX2	0.260162601626016	0.558643725972143	0.383958178803295	1.14725996677552	2559	19	ACAT2 CDKN1A ELMO3 DSC2 HEPH UGT2B15 APC FUT2 CFTR IGFBP3 CDH17
CEBPA	0.787975951903808	0.876623823001852	0.258343381869019	0.836192776278595	7863	32	BCL2 GAPDH CRMP1 SPP1 PCK2 IL10 ICAM1 CSF2RA CSF3R CD163 MSR1 CYP3A4 STAT3 IGF1 LEP INSR HSPA4 MAD1L1 ID1 HAMP HSD17B11 IGF2 CSF1 CXCR2 MYC SOCS3
CEBPB	0.0653110287488731	0.411162612805406	0.403268679419915	1.31067829037801	651	33	DDIT3 GDF15 CDKN1A F8 DAPK1 GNLY GADD45G BCL2L1 FURIN IRF4 SAA2 PCK2 IL10 CSF3R HP GFER XBP1 SLC5A8 CR2 HSF1 TOP1
CEBPD	0.0556672663773944	0.388207024959742	0.532687909085897	1.42390937422381	525	11	DDIT3 GAPDH SOD1 GADD45G
CEBPZ	0.310648423557406	0.592006135179039	0.516620621094373	1.11883666936983	2610	5	MLH1 APC SOX9
