pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.252359550561798	0.64418095801301	0.476040737662137	1.16816414627558	2245	7	FOXO3 TP53 CSF1 CCND2
AHR	0.679672750157332	0.908966292134831	-0.347984417344173	-0.849211753454489	1079	5	PCNA AHRR UGT1A1 RFC3 CCNG2
AR	0.978269658378815	0.978269658378815	0.189797610123766	0.600113140433603	9678	21	VEGFA PTEN TJP1 ERBB3 CDK20 CTNNB1 WNT7B NKX3-1 ARG2 EP300 TMPRSS2 ETV1 PC AKT1
ARNTL	0.126470937834304	0.427312775330396	0.5922150073976	1.31449284106141	1063	5	CRY2 PER2 CRY1 BHLHE40
ATF2	0.0103370786516854	0.3783	0.682383084746249	1.67451100412178	91	7	ST3GAL5 RELA PLAT
ATF4	0.934323770491803	0.96740883469818	0.221515348036176	0.666558989901612	9118	16	NDC80 VEGFA CHAC1 ATG5 NUPR1 SIRT1 ASNS HRK SIGMAR1 CEBPB
ATF6	0.24652323784619	0.64418095801301	0.528683551812494	1.17347709085978	2073	5	NUCB1 RTN3 STARD4
ATM	0.067752808988764	0.400979964869184	0.578184820368002	1.41881718020959	602	7	FOXM1 MCL1 CFLAR FAS
BRCA1	0.415373694351486	0.745414549454145	0.332403202143435	1.03393383870444	4095	19	FST VEGFA IRF7 RNASEL ATM ASPM STAT2 DDB2 S100A2 SIRT1
CDX2	0.824557232853917	0.966380710750057	0.335837704786192	0.745432407462717	6936	5	APC FUT2 SLC15A1 CDKN1A ACAT2
CEBPA	0.693412791316378	0.908966292134831	0.309960639522886	0.85646087483359	6515	11	HAMP HSPA4 STAR CSF3R INSR ITGAX LEP HSD17B11
CEBPB	0.638395232521017	0.908966292134831	0.323739783071383	0.894534410093323	5998	11	CSRP1 STAR CSF3R INSR PRDM1 PCK2
CLOCK	0.297379580297923	0.670833006718571	0.429347907330308	1.12811784262691	2734	9	CRY2 PER2 STAR CRY1 BHLHE40
CREB1	0.598542425819885	0.907165864133264	0.318487913040319	0.917180210943901	5748	13	NDC80 SLC20A1 PPP2CA ETV3 NOLC1 BDNF PSEN1 UXT NR5A2 CASP8
CREBBP	0.295138476167836	0.670833006718571	0.508414972884194	1.12848852831589	2482	5	HINFP PSMC5
CTNNB1	0.737311303934387	0.936633082060369	0.366202824770274	0.812831464120274	6202	5	VIM PLD1 STARD7
DDIT3	0.700939022940687	0.908966292134831	0.37797796667041	0.838967815845348	5896	5	RTN3 ATG5 TNFRSF10B
E2F1	0.0915908409159084	0.423231731424189	0.333835680314017	1.21543625764783	915	61	PLK1 UHRF1 TP53BP2 FANCA MAP1LC3A FOXM1 HIC1 ERCC5 SKP2 NRIP1 TP53 CASP7 DRAM1 DAPK2 NOX4 DBF4 MEFV RRM1 SIVA1 APAF1 ATG5 PPARG ATM BBC3 CTNNBIP1 KIF2C ERCC1 E2F6 NPAT XRCC1 RRM2 TYMS PCSK6 LRBA RBM38 CD2AP RASGEF1B TP53INP1
EGR1	0.0326522435897436	0.3984177925697	0.412244629076311	1.39233921315262	325	32	ACE CYP2B6 BCAR1 VEGFA PTEN FN1 HIF1A TP53 RBL2 NAB2 TMPO PTGES PDGFC PCSK2
ELK1	0.383889238514789	0.745414549454145	-0.424119241192412	-1.03500911688977	609	5	FOSL1 EIF2AK1 EZH2 TNFRSF10B PSEN1
EP300	0.0284120803956645	0.3984177925697	0.534260712369125	1.50968689054389	269	12	VCAM1 HINFP DNMT1 VEGFA
ESR1	0.0736359000509944	0.400979964869184	0.444957416745318	1.35409794053716	721	17	VEGFA CCNA2 NRF1 ZFHX3 GREB1 BLM HSPB1
ETS1	0.68535374431113	0.908966292134831	0.296062914268422	0.865993635531933	6625	14	TNFSF14 ECE1 TBXA2R CSF3R ANGPT2 CHUK NKX3-1 MYB BMP4 TNC
ETS2	0.282538927849756	0.66844575613235	0.513555781430327	1.13989917469727	2376	5	CSF3R ANGPT2 MSR1
EZH2	0.0351836443599192	0.3984177925697	0.687050863478717	1.52499249462872	295	5	RPLP0 AXL KPNB1
FOS	0.0522700440055812	0.400979964869184	0.534279092947348	1.44230164051831	486	10	EZR SOX7 CREM FAS SRR
FOSL2	0.229902329075883	0.632845020813321	-0.435250275260439	-1.16977487802098	305	6	MDM2 FOSL1 BCL6 MYB BRCA1 CCR4
FOXM1	0.743512858955138	0.936633082060369	0.343549209399805	0.807501627634162	6446	6	SFTPB CDC25B CCNB1 CDC6 BTG2
FOXO3	0.551147503171491	0.876414882092371	0.399835911205117	0.939801752560527	4778	6	GALT TNFSF10 TXNIP SIRT1
GATA1	0.945056179775281	0.96740883469818	0.252233687027814	0.618960366954797	8410	7	TBXA2R BST2 DICER1 AGGF1 BACH1 CYBB CDC6
