pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.498095134429085	0.952831915452382	0.376855823898769	0.981398882345899	4575	9	FOXO3 TP53 CSF1 CCND2
AHR	0.662688442211055	0.990485618434802	-0.347984417344173	-0.858073863729473	1054	5	PCNA AHRR UGT1A1 RFC3 CCNG2
AR	0.970773696326694	0.990503320120675	0.195743024913556	0.669516451149257	9698	36	XIAP VEGFA CLK3 PTEN CDH1 TJP1 RELA BTG1 ERBB3 VIM TSC1 CDK20 CTNNB1 WNT7B NKX3-1 ARG2 EP300 REST SEPT7 TMPRSS2 ETV1 TSC2 PC
ARNTL	0.134244946492271	0.584304399524376	0.5922150073976	1.30787352878727	1128	5	CRY2 PER2 CRY1 BHLHE40
ATF2	0.108087514966801	0.562055077827365	0.510398501786602	1.32916751563576	992	9	ST3GAL5 RELA PLAT KAT5
ATF3	0.113662589429956	0.571444415690044	0.57221768044645	1.33676073936396	984	6	ADIPOR2 ADIPOR1
ATF4	0.919987799918666	0.990503320120675	0.22501727404978	0.694804879009355	9048	19	NDC80 VEGFA IRF7 CHAC1 ATG5 NUPR1 SIRT1 ASNS SIRT2 HRK SIGMAR1 CEBPB
ATF6	0.25243757431629	0.7455290465014	0.528683551812494	1.16756788308907	2122	5	NUCB1 RTN3 STARD4
ATM	0.369978199937714	0.801261672131693	0.368619196957594	1.06741250898946	3563	14	VEGFA FOXM1 MCL1 CFLAR FAS
BCL6	0.734802512509316	0.990485618434802	0.302898624191842	0.829331216644262	6901	11	CHEK1 PDCD2 SUMO1 CCND2 LITAF
BRCA1	0.748995983935743	0.990485618434802	0.259465219369417	0.855263182380325	7459	28	CDH3 FST VEGFA IRF7 RNASEL CTSD ATM ASPM E2F6 STAT2 DDB2 S100A2 SIRT1 KHSRP EP300 HNRNPA2B1 CDKN1B HMGA2
BTF3	0.292664670658683	0.773825230894144	-0.403404759888202	-1.09890855654221	390	6	SSPN EPHB2 NFKB1 RRAS2 ABL2 ATM
CDX2	0.886222017078237	0.990485618434802	0.294407113620056	0.687766009903263	7679	6	APC FUT2 SLC15A1 IGFBP3 CDKN1A ACAT2
CEBPA	0.788530465949821	0.990485618434802	0.283655537223123	0.793640380187985	7479	12	HAMP HSPA4 STAR CSF3R INSR ITGAX LEP HSD17B11
CEBPB	0.735715791693021	0.990485618434802	0.297835795941846	0.833315353681763	6978	12	CSRP1 STAR CSF3R INSR PRDM1 PCK2
CIITA	0.428791887125221	0.880151768309663	0.406692079627277	1.02803976773249	3889	8	S100A4 PSMC5 HLA-A HLA-DRA HLA-B SIRT1 COL1A1 COL1A2
CLOCK	0.308370044052863	0.774770121833123	0.417189811989884	1.11723050962866	2869	10	CRY2 PER2 STAR CRY1 BHLHE40
CREB1	0.41074168797954	0.854342710997443	0.344589545350479	1.04065883103421	4014	17	NR2F6 NDC80 SLC20A1 PLAT PPP2CA ETV3 NOLC1 BDNF PSEN1 UXT
CREB5	0.596059649504735	0.989205375773816	0.352042067864228	0.916779495050338	5475	9	TNFRSF11B RASGRP3 LGALS3BP TGFBR3 MAPKAPK3 RDX DGKG
CREBBP	0.302615933412604	0.773903042825676	0.508414972884194	1.12280586673466	2544	5	HINFP PSMC5
CREM	0.345091851684887	0.784774940572042	0.447485622061861	1.09013366844525	3061	7	ACE CCNA2 SLC5A5 G6PD
CTNNB1	0.610029940119761	0.990485618434802	-0.325146099771322	-0.885725372363118	814	6	JUN CCND1 STARD7 RB1 PLD1 VIM
DDIT3	0.901948259342063	0.990485618434802	0.251342446825736	0.688171290894714	8471	11	ATF5 RTN3 ATG5 ANKRD1 SIRT1 ASNS SIRT2 TNFRSF10B
DNMT1	0.984726435819646	0.991079509599128	0.191135397479502	0.544602332144168	9412	13	VEGFA CDH1 IL32 GAD1 CXCR4 CASP8 TNFRSF10B CDKN2A MBD2 TIMP3 RB1 BIRC5
E2F1	0.0533946605339466	0.416478352164784	0.337314804361938	1.24693725756806	533	73	PLK1 UHRF1 DNMT1 PNRC2 TP53BP2 VEGFA FANCA MAP1LC3A FOXM1 HIC1 ERCC5 SKP2 MCL1 NRIP1 TP53 CASP7 DRAM1 DAPK2 NOX4 DBF4 TLR3 MEFV RRM1 SIVA1 APAF1 FHIT ATG5 PPARG ATM BBC3 CTNNBIP1 KIF2C ERCC1 E2F6 NPAT XRCC1 RRM2 TYMS PCSK6 BRCA1 LRBA RBM38 CD2AP RASGEF1B TP53INP1 WWOX CHEK2
E2F4	0.347111992945326	0.784774940572042	0.430352994821569	1.08785003446542	3148	8	PLK1 RAD51 TOPBP1 PPARG BRCA1
EGR1	0.0186167550795716	0.378029079159935	0.414300858939208	1.41706832673892	185	36	ACE CYP2B6 BCAR1 VEGFA PTEN FN1 HIF1A TP53 RBL2 FAS NAB2 TMPO PTGES TNFSF10 PDGFC PCSK2
ELK1	0.37248743718593	0.801261672131693	-0.424119241192412	-1.04581015078053	592	5	FOSL1 EIF2AK1 EZH2 TNFRSF10B PSEN1
EP300	0.0346724800166096	0.378029079159935	0.507793830838979	1.47042121381312	333	14	VCAM1 HINFP DNMT1 VEGFA
ERCC2	0.591676575505351	0.989205375773816	0.412519679117577	0.911026505040042	4975	5	TP53 BAX BCL2 CDKN1A
ERG	0.639468049137834	0.990485618434802	0.361728270003659	0.881217510726928	5673	7	ILK VIM ADAMTS1
ESR1	0.242122218866405	0.7455290465014	0.356411185175957	1.14751102822566	2404	24	CD24 VEGFA CCNA2 TP53 NRF1 ZFHX3 GREB1 PTMA BLM HSPB1
ETS1	0.822943411728458	0.990485618434802	0.260555272610306	0.776872951638339	8012	16	TNFSF14 ECE1 TBXA2R CSF3R ANGPT2 CHUK NKX3-1 MYB BMP4 TNC BAX
ETS2	0.289536266349584	0.773825230894144	0.513555781430327	1.13415905321265	2434	5	CSF3R ANGPT2 MSR1
ETV4	0.508442330558859	0.952831915452382	0.438893959412436	0.969272619386319	4275	5	VIM CCND2 ETS1 ERBB2 CCND3
EZH2	0.17329255861366	0.643658074850736	0.398897009981058	1.21822434754317	1699	18	CDH1 TP53 APC CIITA RPLP0 AXL HDAC1 KPNB1 ADAMTS1 SATB1
FLI1	0.563581813985691	0.987325349301397	0.398273156448327	0.930408020016617	4883	6	FOXM1 EYA3 COL1A2
FOS	0.0608325547596803	0.451898978214768	0.483105507382086	1.39893110830215	585	14	EZR SOX7 CREM FAS SRR
FOSL2	0.157661647475642	0.624700598802395	-0.43528714213112	-1.26338037830704	177	7	TIMP1 MDM2 FOSL1 BCL6 MYB BRCA1 CCR4
FOXF2	0.857035928143713	0.990485618434802	-0.267584370552092	-0.728922371858346	1144	6	CXCL12 ITGB1 WASF2 PDGFA MT1F
FOXM1	0.846275216950299	0.990485618434802	0.299679228999553	0.730057908365524	7508	7	SFTPB CDC25B CCNB1 CDKN2A CDC6 BTG2
FOXO1	0.746196325932605	0.990485618434802	0.332068992150958	0.808963619707984	6620	7	ADIPOR1 TNFSF10 TXNIP CXCR4 CDKN1B
FOXO3	0.353725749559083	0.788303099017385	0.42856037111066	1.08331862469446	3208	8	FOXM1 GALT TNFSF10 CCND2 TXNIP SIRT1
FOXO4	0.679904875148633	0.990485618434802	0.385458634480605	0.851263710278131	5717	5	HIF1A TNFSF10 CREB1 BCL6
GATA1	0.974964623925112	0.990503320120675	0.218806494673676	0.569810616434714	8956	9	TBXA2R BST2 DICER1 CBFB AGGF1 ZNF268 BACH1 CYBB CDC6
GATA2	0.489655172413793	0.952831915452382	0.444820341543417	0.982360700934013	4117	5	ERVW-1 PPARG MS4A2
GATA3	0.00259213343852136	0.202186408204666	0.74146244153919	1.80629975927529	22	7	CD40LG CDH3 CDH1 HSD17B1 ERVW-1
GATA4	0.178596908442331	0.647932970162874	0.565199921781718	1.24821223193801	1501	5	HAMP HDAC9 IAPP CCND2
GLI1	0.881720430107527	0.990485618434802	-0.236970715676858	-0.725926750413807	819	8	CYR61 CDK2 BCL2 BHLHE41 H2AFX TNFRSF10B SFRP1
GLI2	0.0782148089710357	0.451907785165984	0.571296609766763	1.39175347378934	693	7	FST CDH1 FAS WNT2B
HDAC1	0.0326174227217985	0.378029079159935	0.421452542233883	1.39598868603943	324	29	CD82 CDH1 TP53 TJP1 BAMBI RECK GRIN2B GAD1 CCND2 SP1 BIRC3 TXNIP HLA-DRA
HDAC2	0.324294532627866	0.774770121833123	0.437173252433678	1.10509034083641	2941	8	DNMT1 CDH1 TNFSF10 APAF1 SP1
HDAC3	0.757074910820452	0.990485618434802	0.360901322476187	0.797030268187756	6366	5	CDH1 CXCR4 CDKN2A GRHL1
HDAC4	0.283879394796996	0.773825230894144	0.437081226786299	1.13823642958394	2607	9	VCAM1 VEGFA RUNX2
HDAC5	0.569610778443114	0.987325349301397	-0.334039129330058	-0.909950734201651	760	6	YY1 SLC2A1 SLIT2 FGF2 MEF2A SLC2A4
HDAC7	0.520680716781247	0.952831915452382	0.393179181654135	0.957836056671498	4619	7	MEF2C HIF1A ACTN4
HDAC9	0.0269349515596721	0.378029079159935	0.555839176759291	1.52187809353788	252	11	MYEF2 STAT6 CFLAR TP53 RELA CITED2
HDGF	0.138644470868014	0.584555066362439	0.589312319228338	1.30146310525615	1165	5	VEGFA CDH1 FAS VIM
HES1	0.658382877526754	0.990485618434802	0.391758467292941	0.865176536647133	5536	5	PTEN DBF4 PTGDS ASCL1
HIC1	0.813639510731595	0.990485618434802	0.321786768425175	0.751727765807527	7050	6	VEGFA STAT3 VLDLR SIRT1 LRP8
HIF1A	0.0883059671605927	0.488930417303097	0.371941156894637	1.26685637226787	881	35	ACE BNIP3 VEGFA CDH1 RORA HIF1A NR4A1 RECK WASF3 SETD2 ASS1 PTGES MIF E2F3 VIM
HIPK2	0.0511296076099881	0.416478352164784	0.665762481648774	1.47029898825843	429	5	MEF2C VEGFA HIF1A VIM
HMGA1	0.840295407339026	0.990485618434802	0.312136196994268	0.72918301502108	7281	6	CDH1 INSR BRCA1 XPA SLC2A3
HOXA10	0.824523836357489	0.990485618434802	0.307013196006021	0.747924413930954	7315	7	TP53 EMX2 KLF9 IL11 CDKN1C PHGDH
HOXB7	0.798280423280423	0.990485618434802	0.305013327156965	0.771015334975629	7241	8	VEGFA CDKN1B FGF2 PDGFA WNT5A DAPK1
HSF1	0.0405725233855517	0.395582103009129	0.61145125369867	1.48957545317028	359	7	ATG7 HSPA4
ING4	0.843819865857554	0.990485618434802	0.27281937801508	0.746974758624442	7925	11	SKP2 TP53 ANGPT1 CDKN1B BAX ARL6IP5 BCL2 CASP3 SPP1
IRF1	0.656669377795852	0.990485618434802	0.290688968546783	0.897584927527918	6458	19	CDK4 IRF2 CEACAM1 CASP7 CIITA TNFSF10 SOCS2 HLA-A
IRF9	0.810408492960997	0.990485618434802	0.323034667689328	0.754642989856005	7022	6	SP100 CCND2 NCAM1 PML CDKN1B
JUN	0.0358	0.378029079159935	0.377956748953575	1.32935115414755	357	45	PPARD VCAM1 SMN1 EZR SOX7 PTN VEGFA CD82 TP53 TNFRSF1B CREM FAS PLAT MAPK8 CSF1 MAT2A MSR1 NOX5 CTSL DCN BRCA1 HEY1 VDR
JUND	0.663219767062153	0.990485618434802	0.335073683159319	0.872590835280318	6092	9	SOX4 CCR4 MYB BCL6 ITGAV
KAT2B	0.883968113374668	0.990485618434802	-0.2499200795041	-0.725369747988803	997	7	ZEB1 CDKN1A CDK2 RB1 SMAD4 CDKN1B
KLF10	0.00188442211055276	0.202186408204666	-0.87305216802168	-2.1528068778747	2	5	SERPINE1 EGFR CDKN1A FGFR1 STMN1
KLF2	0.546611177170036	0.968992541346882	0.426719335612125	0.942385647606693	4596	5	FABP5 PPARG CXCR4
