pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.489589011228606	0.930800781912069	0.376855823898769	0.985382414139401	4490	9	FOXO3 TP53 CSF1 CCND2
AHR	0.620628272251309	0.952286228317322	0.316218715549222	0.90648641113948	5926	13	CYP2B6 ARNT CYP1A2 CCNG2 RFC3 BRCA1 UGT1A1
APC	0.147981025107023	0.680432930484996	0.550545377955596	1.2827663319177	1278	6	DNMT1 AKT1 BIRC5 DLG1
AR	0.948005199480052	0.986102385269912	0.20672076788153	0.753757087258737	9480	60	XIAP VEGFA CLK3 PTEN CDH1 FN1 PIGR TBP TJP1 ATAD2 RELA BSG ELK4 GREB1 BTG1 ERBB3 CDK6 VIM MED1 HMMR SRD5A3 TSC1 CDK20 CTNNB1 PEBP1 WNT7B STIM1 NKX3-1 ARG2 EP300 TRPS1
ARNT	0.330890052356021	0.796178669876323	0.383093128173165	1.0981915295138	3159	13	VEGFA EGLN2 HIF1A BHLHE40 GAD1 CTSD BRCA1
ARNTL	0.136477611940299	0.680432930484996	0.5922150073976	1.30356457415403	1142	5	CRY2 PER2 CRY1 BHLHE40
ASCL1	0.501253731343284	0.930800781912069	0.44121309221631	0.971184028573581	4197	5	CHRNB4 TPH1 CHRNA5 PCSK6
ATF1	0.993137668918919	0.993137668918919	0.180101105801307	0.506150931235451	9406	12	FLT1 SLC20A1 GABPA FTH1 TGFB2 USP7 TOP2A BCL2
ATF2	0.06920237851138	0.664450261780105	0.451894784013893	1.37009148147907	674	17	ST3GAL5 FN1 RELA FAS IMPDH2 PLAT KAT5 MAP3K1
ATF3	0.0131704726500266	0.410506851263572	0.585112391616485	1.60927056303377	123	11	CD82 ADIPOR2 CCL5 TP53 ADIPOR1 AK4
ATF4	0.788568538189176	0.9530378229285	0.256145333758275	0.814667076850107	7794	22	NDC80 VEGFA MCL1 IRF7 CHAC1 ATG5 DISC1 NUPR1
ATF5	0.761425430984612	0.952286228317322	0.340090095774934	0.792407205921428	6580	6	CYP2B6 DISC1 CREB1 BCL2
ATF6	0.311242603550296	0.796178669876323	0.414995320333291	1.11360148351623	2892	10	NUCB1 SRF RTN3 STARD4 ATP2A2
ATM	0.16775310653901	0.680432930484996	0.394243306583164	1.22181304039821	1646	19	MTF1 VEGFA FOXM1 MCL1 CFLAR FAS
BCL3	0.288597014925373	0.790969596462134	0.516242383623752	1.13633608497352	2416	5	CTCF RELA
BCL6	0.546030405405405	0.930800781912069	0.339548737922262	0.954257938253747	5171	12	CHEK1 PDCD2 STAT3 SUMO1 CCND2 LITAF
BRCA1	0.819955964771818	0.9530378229285	0.238344873815117	0.828604560497287	8192	40	CDH3 FST VEGFA HIF1A IRF7 STAT3 RNASEL CTSD ATM XPC ASPM E2F6 STAT2 DDB2 S100A2 SIRT1 KHSRP EP300 CCNB1 CASR HNRNPA2B1 CDKN1B HMGA2 BACH1 IGF1
BTF3	0.347058823529412	0.796178669876323	-0.403404759888202	-1.06792533357602	471	6	SSPN EPHB2 NFKB1 RRAS2 ABL2 ATM
CDX1	0.950567164179104	0.986102385269912	0.281395413369372	0.619398508338489	7960	5	TBP PPARG DSC2 IRF2BP2
CDX2	0.717905405405405	0.952286228317322	0.298610369379759	0.839205933054466	6799	12	GSPT1 GSK3B APC SP1 VDR FUT2 DSC2 GSTP1 SLC15A1
CEBPA	0.345202172601086	0.796178669876323	0.328653229764679	1.07603006862667	3431	26	MAD1L1 CD163 HAMP FN1 HSPA4 STAT3 HOMER3 STAR CSF1 CSF3R INSR VLDLR ITGAX MSR1 PCK2 LEP
CEBPB	0.664036418816388	0.952286228317322	0.279962685975371	0.890417872011271	6563	22	MAD1L1 PTPN13 CSRP1 HSF1 HP STAR CSF3R INSR PRDM1 PCK2 TOP1 BCL2L1 ASNS SLC19A1 OXTR
CEBPD	0.7014050226795	0.952286228317322	0.331963299775859	0.840650768916105	6339	8	POU5F1 PPARG C3 CASP8
CEBPZ	0.894328358208955	0.973239683933275	0.312559755720818	0.687996453609537	7489	5	APC COL11A1 COL1A2 SOX9 MLH1
