pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AR	0.537078651685393	0.904495228819553	0.318683175431132	0.962695458510754	5257	17	XIAP CLK3 CDH1 RELA BTG1 VIM
ATM	0.865458963879377	0.960541457879357	0.283213806216457	0.717480689232417	7834	8	VEGFA CFLAR SP1 TERF1 TNFRSF10B SLC2A1 BCL2
BCL6	0.723622881355932	0.960541457879357	0.302898624191842	0.833187435625919	6830	11	CHEK1 PDCD2 SUMO1 CCND2 LITAF
BRCA1	0.868940368940369	0.960541457879357	0.267776301417207	0.719515391934408	8101	10	CDH3 CTSD E2F6 KHSRP HNRNPA2B1 HMGA2 IGF1
CREB5	0.292421271196216	0.798427624479729	0.485513828554456	1.13241240728456	2534	6	TNFRSF11B RASGRP3
CREM	0.553581727996309	0.904495228819553	0.401912790431448	0.937421353962288	4798	6	CCNA2 SLC5A5 G6PD
DDIT3	0.884615384615385	0.960541457879357	-0.246701346575858	-0.707783152670922	965	7	ATF2 TNFRSF10B SIRT2 ASNS SIRT1 ANKRD1
DNMT1	0.99385593220339	0.99385593220339	0.184206066768344	0.506698176021584	9381	11	CDH1 IL32 GAD1 CXCR4 CASP8 TNFRSF10B CDKN2A MBD2 TIMP3 RB1 BIRC5
E2F1	0.218457101658255	0.791906993511175	0.400868727901544	1.18018760737318	2120	15	DNMT1 PNRC2 VEGFA MCL1 TP53 TLR3 FHIT KIF2C BRCA1 WWOX IRF3
E2F4	0.279461279461279	0.798427624479729	0.468254855977343	1.14282354490865	2489	7	PLK1 RAD51 TOPBP1 PPARG BRCA1
EGR1	0.274940617577197	0.798427624479729	0.519923534470188	1.14836911862965	2314	5	VEGFA FAS TNFSF10
ESR1	0.851651386280791	0.960541457879357	0.287928377623549	0.72942436524096	7709	8	CD24 TP53 PTMA CTNNB1 CDKN1B NQO1
EZH2	0.459956144930563	0.833670512686645	0.352548761786389	1.00675482325462	4404	13	CDH1 TP53 APC CIITA HDAC1 ADAMTS1 SATB1 MST1 PEBP1 FBXO32
HDAC1	0.00976739502567717	0.200865800865801	0.476210464871657	1.53416114547646	96	24	CD82 CDH1 TP53 TJP1 BAMBI RECK GAD1 CCND2 SP1 TXNIP HLA-DRA
HDAC2	0.322765933944549	0.798427624479729	0.437173252433678	1.10751439225517	2921	8	DNMT1 CDH1 TNFSF10 APAF1 SP1
HDAC3	0.755938242280285	0.960541457879357	0.360901322476187	0.797132474540865	6364	5	CDH1 CXCR4 CDKN2A GRHL1
HDAC4	0.405121698004383	0.810243396008767	0.448300731288763	1.04561658278122	3511	6	VEGFA RUNX2
HDAC7	0.565463144538009	0.904495228819553	0.398371028687781	0.929160549210102	4901	6	MEF2C HIF1A ACTN4
HDAC9	0.0145860145860146	0.200865800865801	0.596829156809103	1.60368099195723	135	10	MYEF2 STAT6 CFLAR TP53 RELA CITED2
HIC1	0.903681710213777	0.960541457879357	0.305696775401276	0.675200704067413	7608	5	VEGFA VLDLR SIRT1 LRP8
HIF1A	0.102728377333481	0.496520490445156	0.531852961264614	1.34737156467149	929	8	VEGFA CDH1 HIF1A RECK
HOXA10	0.0170670037926675	0.200865800865801	-0.681317750677507	-1.66831927198348	26	5	PHGDH CDKN1C IL11 KLF9 EMX2
ING4	0.78978622327791	0.960541457879357	0.349365013778571	0.771651918703321	6649	5	SKP2 ANGPT1 BCL2 SPP1
IRF1	0.748039323981001	0.960541457879357	0.319615075524719	0.809697972496729	6771	8	CDK4 CCNB1 MYB CDK1 BCL2 DST CDK2
JUN	0.0242424242424242	0.200865800865801	0.63933749673571	1.56036810955758	215	7	SMN1 VEGFA TP53
KLF4	0.346739596739597	0.798427624479729	0.403000466615498	1.0828629611805	3232	10	IFITM3 TP53 VDR CCNB1
MYC	0.910858279023528	0.960541457879357	0.264420587017219	0.669870821464673	8245	8	CFLAR MST1 SFRP1 CD33 PRODH BRD7
MYCN	0.327931259517076	0.798427624479729	0.421500309462764	1.10159646216451	3014	9	SKP2 TP53 CIITA
NFKB1	0.256289465771274	0.798427624479729	0.337543023281464	1.12693766770729	2556	30	XIAP BIRC2 VEGFA PTEN CTCF REPS2 MCL1 CFLAR FAS
NFKBIA	0.0338945005611672	0.245735129068462	0.62117821604426	1.51604854027201	301	7	CCL5 RELA FAS CD58 TNFSF10
NR3C1	0.395656779661017	0.810243396008767	0.382209805980692	1.05134980050104	3734	11	CDK4 SRF TP53 CDK6 ELK1
PAX5	0.840261282660333	0.960541457879357	0.332003120249786	0.733304236693294	7074	5	TP53 PRDM1 XBP1 BCL2
