pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.384785894206549	0.899101958814666	0.704655401019399	1.03108783102742	3818	8	PIM1 CCND2 FOXO3
AHR	0.510120629728072	0.904827546262778	0.690333062111056	0.988182854973104	4989	6	PCNA UGT1A1 RFC3 CYP1B1
AR	0.812218778122188	0.936538399601388	0.58895617125966	0.924459981633369	8122	21	TMPRSS2 CDK20 CDC6 TJP1 WNT7B
ARNTL	0.859742383970558	0.936538399601388	0.587262982666923	0.840642354658746	8409	6	CRY1 PER2 CRY2 BHLHE40
ATF1	0.54165822015001	0.904827546262778	0.674946708516983	0.977621614280548	5343	7	MAP1LC3B IL10 CFTR SLC20A1 MITF
ATF2	0.281209068010076	0.80679196470804	0.731582196996351	1.07048849640262	2790	8	POLB MMP2 ATF3
ATF4	0.001999800019998	0.231976802319768	0.839788200171292	1.30601350127224	19	18	ATG5 MAP1LC3B PLAU NDC80
ATF6	0.769807391983342	0.936538399601388	0.62342454513582	0.881800118077283	7393	5	DNAJC3 STARD4
ATM	0.854746358613762	0.936538399601388	0.588655456998244	0.869218540504418	8508	9	FAS DUSP1 PVR CFLAR KLRK1
BRCA1	0.994100589941006	0.994100589941006	0.512658572915155	0.802468576277066	9941	20	MDM2 ASPM MAD2L1 RNASEL SIRT1 ATM STAT1 S100A2 GADD45A ESR1
CDX2	0.638796992481203	0.916249167414787	0.638380950268122	0.950857963820627	6371	10	SLC15A1 ELMO3 CFTR AXIN2 FUT2 CDH17
CEBPA	0.719303512458721	0.936538399601388	0.61592997033358	0.930266748793678	7187	12	LEP CCL2 CSF3R IGF1 HAMP HSD17B11
CEBPB	0.174582541745825	0.676059193188729	0.705652371650224	1.08892415021596	1745	16	IRF4 SLC5A8 SAA2 ADM OXTR CSRP1 CSF3R
CEBPD	0.354190525767829	0.874172361469536	0.744138239777968	1.05254307489462	3401	5	CXCL1 SOD1
CIITA	0.54601662274478	0.904827546262778	0.674022135127104	0.976282422728788	5386	7	HLA-C HLA-DOA HLA-DMA
CLOCK	0.832982456140351	0.936538399601388	0.59410825529673	0.884914510188953	8308	10	DEC1 BHLHE41 NAMPT CRY1 PER2 CRY2 BHLHE40
CREB1	0.798420157984202	0.936538399601388	0.593087920496548	0.92235260206321	7984	18	SMAD6 NR5A2 NDC80 IL10 LYL1 SLC20A1 MC2R MITF NOLC1
CREBBP	0.744678694506386	0.936538399601388	0.624270660631628	0.904220264049662	7346	7	ALOX15 IRF1 CREB1
CTNNB1	0.0879596977329975	0.510166246851386	0.811820622411726	1.18789746525024	872	8	MYC MMP7 MMP14 PLD1
DDIT3	0.0106194690265487	0.261803526448363	0.962126681279324	1.36087587146986	101	5	ATG5 MAP1LC3B
E2F1	0.972202779722028	0.989985809852017	0.554255769247423	0.917118321470446	9722	71	ATG5 PCNA MYC PPP1R13B DAPK2 ASF1B SERPINB5 LRBA MAP3K5 CASP7 DBF4 DUSP1 RASGRP1 TP73 FZD1 ERCC5 RB1 PCSK6 SKP2 NPAT MYBL2 AURKA HMGA1 BBC3 CHEK2 CTNNBIP1 MCPH1 DRAM1 CDK1
EGR1	0.64953504649535	0.916249167414787	0.601428772061199	0.973045871509428	6495	38	SYN1 PLAU HPSE CYP2B6 LMTK2 MMP14 PTGES HYAL1 HIF1A PLAUR TMPO PDGFB RBL2
ELK1	0.884686158249847	0.941500865660387	0.576960012794589	0.825894084958305	8653	6	EZH2 MECOM EIF2AK1 FOSL1 PSEN1
EP300	0.412258774122588	0.904827546262778	0.658173358482315	1.01565713356008	4122	16	TBXAS1 IL12B TP73 ALOX15 VCAM1 BRCA1 EIF2AK1
EPAS1	0.599791775117127	0.913259711051574	0.673031328393485	0.951966215442785	5760	5	SERPINE1 MMP14 FLT1 COL10A1
ERG	0.64990877762011	0.916249167414787	0.648610936160384	0.93947575778596	6411	7	TDRD1 ADAMTS1 PIM1 EPB41L4B
ESR1	0.055994400559944	0.499642343457962	0.729009693699632	1.14429616486858	559	21	AMH UGT2B15 SERPINE1 BLM CCNA2
ETS1	0.567743225677432	0.906443642101457	0.626126564555186	0.980080933730928	5677	20	MMP13 CIP2A TGFBR2 CD8A LCK MYB CASP1 ANGPT2 CSF3R TNFSF14 TMEM158
ETS2	0.512880801472092	0.904827546262778	0.689579323618367	0.987103909900806	5016	6	ICAM1 LCK MDM2 ANGPT2 CSF3R
ETV4	0.6062154978532	0.913259711051574	0.664901055444268	0.95177800297481	5929	6	MMP7 MMP14 CCND2 ETS1
EZH2	0.0103250868942956	0.261803526448363	0.945333780695947	1.35320569965742	100	6	PCNA MMP2
FLI1	0.0875585632483082	0.510166246851386	0.868590130596725	1.22857350692551	840	5	TGFBR2 IL10
FOS	0.918696741854637	0.960079477974215	0.565966412139998	0.842997695987448	9163	10	FAS SRR SOX7 CASP9
FOSL2	0.578248530306102	0.906443642101457	0.665813125442592	0.964392142802762	5704	7	MDM2 MYB UGT2B15 BRCA1 FOSL1
FOXM1	0.385972025136834	0.899101958814666	0.712741669928787	1.03236544919496	3807	7	MYC CDC6 SFTPB
FOXO3	0.0876574307304786	0.510166246851386	0.812096716018307	1.18830145953959	869	8	FASLG GALT SIRT1
GATA1	0.387543947764942	0.899101958814666	0.695362158712493	1.0267834495245	3857	9	AGGF1 EPOR CDC6 DICER1
GATA3	0.468173525238192	0.904827546262778	0.692746939128941	1.00340422787928	4618	7	ERVW-1 CD8A CDH1 PAEP
GATA4	0.643733387855244	0.916249167414787	0.655458276882917	0.938261061095915	6296	6	AMH FABP2 CCND2 NOS3 HAMP
GLI1	0.0995706399509303	0.525008828832178	0.84072063198972	1.20345636034558	973	6	BHLHE41 PDGFRA
GLI2	0.129828214471629	0.627503036612875	0.838723096927966	1.18632821193156	1246	5	FOXF1 PDGFRA
HDAC1	0.523727959697733	0.904827546262778	0.67213717588937	0.983505500473109	5197	8	ICAM1 COL1A2 RECK GRIN2B
HIF1A	0.828117188281172	0.936538399601388	0.581711769456905	0.93916638947236	8281	36	LEP MET ENO1 NT5E NR4A1 ITGB2 PTGES MICA ZNF217 RORA
HNF1A	0.857470067673087	0.936538399601388	0.588322451774977	0.832150115824634	8235	5	UGT1A1 CDH17 ACAT2
HNF4A	0.526569563033652	0.904827546262778	0.666115203077001	0.983596903320854	5241	9	MYC CYP2C9 MMP7 FABP2 C1QTNF5
HOXB7	0.308939793229272	0.820168656226043	0.734181464435101	1.06341976244757	3047	7	WNT5A FGF2
HSF1	0.76139848701697	0.936538399601388	0.622712760187865	0.891387225912167	7447	6	SERPINE1 MICA POLK LDHA
ING4	0.212124309957064	0.745649089546043	0.781763501089058	1.11906169763556	2074	6	ARL6IP5 CASP3
IRF1	0.285171482851715	0.80679196470804	0.684864159085722	1.05176868730874	2851	15	IL10 CASP7 CD40 EIF2AK2 TAP1 PSMB9
IRF9	0.0730478589420655	0.510166246851386	-0.726235480101725	-1.26764841593028	28	5	NCAM1 CDKN1A SP100 PML CDKN1B
JUN	0.897510248975103	0.946465353464653	0.570415623926751	0.928895040311204	8975	45	MMP13 IL12B FAS MMP7 UGT2B15 CCL2 NAMPT CTSL NOX5 MAPK8 VCAM1 ETS1 PLAUR BRCA1 FOSL1 LDHA VDR PTN SOX7
JUND	0.44272040302267	0.904827546262778	0.690798962654723	1.01081238155448	4393	8	MDM2 MYB FOSL1 CCR4 GADD45A
KLF4	0.752625787736321	0.936538399601388	0.607118367041072	0.922757530752566	7523	13	LAMA1 CDH1 NANOG
KLF5	0.403828715365239	0.904827546262778	0.699828103022687	1.02402428164718	4007	8	ITGB2 HIF1A
KLF6	0.292114332049463	0.80679196470804	0.73895133029515	1.07032863970138	2881	7	LAMA1 DAPK2 PSG5
MEF2A	0.31889640812077	0.820168656226043	0.755812331743803	1.06905544315833	3062	5	MAPK14 NRF1
MITF	0.663490776403811	0.916249167414787	0.645333292489758	0.934728278828171	6545	7	CTSK GPNMB PPARGC1A HIF1A FOS
MTA1	0.953690451850337	0.987750825130707	0.532814311593179	0.762701363296394	9328	6	BCAS3 CDKN2A SUMO2
MYB	0.145501851295907	0.66915765322845	0.740746479267678	1.11878273852383	1453	12	MYC IL7 LCK IL15 COL1A2 TK1
MYC	0.290870912908709	0.80679196470804	0.630393802457095	1.02910676767583	2908	48	FASLG FUT3 KRAS CDC25C IGF2BP1 HNRNPA2B1 ST3GAL4 BMI1 TP73 HLA-C CD38 EBNA1BP2 CCND2
MYCN	0.315868413158684	0.820168656226043	0.659543116392577	1.0352573706166	3158	21	MCM4 MCM6 BMI1 NDRG1 MCM10 MYBL2
NANOG	0.155752212389381	0.66915765322845	0.824908729034343	1.16678853975342	1495	5	KLF2 YES1 MTF2 SOX1
NFE2L2	0.847759983782688	0.936538399601388	0.592561940497777	0.858292000717379	8363	7	CFTR BRCA1 CAT SOD1
NFIC	0.25562538009325	0.804597827099348	0.750499496001869	1.08705549570011	2521	7	C4BPB CCL2 CYP17A1 HMGB1 SLC34A2
NFKB1	0.055994400559944	0.499642343457962	0.636142357269936	1.06345911342596	559	105	UPP1 FASLG MMP13 IRF4 RIPK2 ICAM1 PLIN1 PLAU CD83 BRCA2 AMH MYC CCL22 TNFAIP3 HPSE SDC1 CXCL1 IL12B FAS IL10 NOD2 GATA3 LIPE CCL2 NAMPT CD40 SLC25A27 SERPINE1 FAF1 NFKBIA BMP2 BGN MMP14 TF CFTR PROX1 NLRP2 CXCR2 PTGES NOX5 STK39 HYAL1 IL18 TLR3 CDH1 CCND2 FOXP3 CXCL12 NOS3 VCAM1 OPTN PLAUR CD58 IRF1
NFYA	0.80735516372796	0.936538399601388	0.604219990869022	0.884125600892675	8012	8	CBS CCND2 SP3 GADD45A
