pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.327083124435977	0.974702745882633	0.704614787748294	1.0468807663551	3261	10	PIM1 CCND2 FOXO3
AHR	0.517029134181371	0.974702745882633	0.690333062111056	0.986138713869279	5039	6	PCNA UGT1A1 RFC3 CYP1B1
APC	0.0297631523789562	0.457285046571842	0.93050740563862	1.31259851511442	283	5	SGK1 MYC
AR	0.505549445055495	0.974702745882633	0.614934617643631	0.995170215827885	5055	39	SERPINB5 WEE1 TMPRSS2 CDK20 AKR1C3 CDC6 UCN CDH1 NFKB1 TJP1
ARNT	0.787570739886816	0.974702745882633	0.615407440569097	0.868110116895816	7514	5	HIF1A CYP1B1 FOS
ARNTL	0.862433319655314	0.974702745882633	0.587262982666923	0.838903413751073	8406	6	CRY1 PER2 CRY2 BHLHE40
ATF1	0.543579845591223	0.974702745882633	0.674946708516983	0.975860613111807	5350	7	MAP1LC3B IL10 CFTR SLC20A1 MITF
ATF2	0.440116162627679	0.974702745882633	0.673397833805729	1.00860497144817	4394	11	POLB NOS3 MMP2 ATF3
ATF3	0.231917683849491	0.974702745882633	0.750444889193334	1.09563410151825	2298	8	ID1 MMP2
ATF4	0.0013998600139986	0.138405797101449	0.839763974808998	1.31544682107378	13	21	ATG5 MAP1LC3B PLAU NDC80
ATF5	0.494760008383987	0.974702745882633	0.705378840904113	0.995026169112999	4720	5	CYP2B6 ID1 CCND3 CREB1
ATF6	0.765981974428841	0.974702745882633	0.62342454513582	0.879419258001012	7308	5	DNAJC3 STARD4
ATM	0.884688468846885	0.982338278506881	0.576505805572427	0.887762151948855	8845	16	FAS DUSP1 PVR CFLAR KLRK1
BCL6	0.668734367183592	0.974702745882633	0.621541010898919	0.948508990841181	6683	14	IRF4 MYC CDKN2B CCND2 NFKB1
BRCA1	0.993100689931007	0.993100689931007	0.526698954373705	0.842226094082225	9931	30	HMGA2 MDM2 CXCL1 HNRNPA2B1 CDH3 IGF1 ASPM MAD2L1 RNASEL SIRT1 ATM STAT1 S100A2 GADD45A ESR1
BTF3	0.898618447785453	0.982338278506881	0.570325154746357	0.824595257908221	8845	7	RRAS2 NFKB1 ATM
CDX2	0.63478870418586	0.974702745882633	0.636847467593497	0.9538603922125	6338	11	SLC15A1 ELMO3 CFTR AXIN2 FUT2 CDH17
CEBPA	0.681940970485243	0.974702745882633	0.619269236353752	0.945042126155713	6815	14	LEP MYC CCL2 CSF3R IGF1 HAMP HSD17B11
CEBPB	0.181418141814181	0.974702745882633	0.702759945678048	1.0864709962309	1813	17	IRF4 SLC5A8 SAA2 ADM OXTR CSRP1 CSF3R
CEBPD	0.369105009431985	0.974702745882633	0.744138239777968	1.0497012088819	3521	5	CXCL1 SOD1
