pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.316427783902977	0.969326125269807	0.704614787748294	1.05141216070093	3156	10	PIM1 CCND2 FOXO3
AHR	0.425442544254426	0.969326125269807	0.659662521962491	1.01309531035721	4253	15	CYP1A2 PCNA MYC UGT1A1 CYP2B6 RFC3 BRCA1 CYP1B1 FOS
APC	0.0271005440257909	0.707213578500707	0.875635574218285	1.28244173159333	268	8	SGK1 MYC F8
AR	0.435956404359564	0.969326125269807	0.607568307275889	1.00530753169864	4359	71	CDH11 KLK2 MYC USP26 SERPINB5 UGT2B15 KLF5 ATAD2 WEE1 TMPRSS2 TRPS1 CDK20 AKR1C3 NDRG1 SESN1 CDC6 UCN CDH1
ARID3A	0.746769487286369	0.973251203734475	0.629417649748992	0.889332527957845	7165	5	E2F1 CDC6 CDK1 RBL1
ARNT	0.851385138513851	0.973251203734475	0.583469462034101	0.896079671109467	8512	15	AHR RELB HIF1A GAD1 BRCA1 CYP1B1 FOS BHLHE40
ARNTL	0.855842029875179	0.973251203734475	0.587262982666923	0.841355236916553	8364	6	CRY1 PER2 CRY2 BHLHE40
ASCL1	0.676488643339472	0.969326125269807	0.64671834254925	0.926535266777427	6611	6	CHRNA5 CHRNB4 CHRNA3 PCSK6 TPH1
ATF1	0.658965896589659	0.969326125269807	0.621036561773777	0.95377440334431	6588	15	MAP1LC3B IL10 CFTR FLT1 SLC20A1 PLAUR MITF LDHA
ATF2	0.283471652834717	0.969326125269807	0.664082324334733	1.04513650464189	2834	22	FASLG PLAU DUSP10 FAS DUSP1 POLB NOS3
ATF3	0.359323391051947	0.969326125269807	0.678933966772088	1.03229249212215	3589	13	ID1 PCLAF CCL5 MMP2
ATF4	0.0012998700129987	0.206335973322218	0.811876157194088	1.28740911379861	12	25	ATG5 MAP1LC3B PLAU NDC80 CCL2
ATF5	0.448261883044492	0.969326125269807	0.696358347137451	1.00935755316934	4422	7	CYP2B6 ID1 CCND3 CREB1
ATF6	0.973940062142929	0.984472958022305	0.523793279402797	0.781593905256291	9716	10	DNAJC3 XBP1 SRF STARD4
ATM	0.947805219478052	0.980385118330299	0.554260793379245	0.872298760297133	9478	22	PCNA FAS DUSP1 PVR CFLAR APLF PBK KLRK1
BCL3	0.504793664026678	0.969326125269807	0.703271378178979	0.993683785076143	4843	5	MYB CTCF NFKB1
BCL6	0.656265626562656	0.969326125269807	0.62153063704492	0.954533193367229	6561	15	IRF4 MYC CDKN2B CCND2 NFKB1
BRCA1	0.918308169183082	0.980385118330299	0.566133754850792	0.92493469105309	9183	48	MDC1 HMGA2 TP63 BRCA2 MYC KRT18 MDM2 CXCL1 HNRNPA2B1 JAK2 CASR HIF1A CDH3 IGF1 ASPM CYP1B1 MAD2L1 FOS
BTF3	0.893990067903111	0.980385118330299	0.570325154746357	0.826674951297853	8820	7	RRAS2 NFKB1 ATM
CDX1	0.0477282200917049	0.741191182600593	0.905012244270674	1.27873253530627	457	5	PCNA DSC2 TBP
CDX2	0.6304	0.969326125269807	0.619594977857763	0.963751138768497	6303	18	SLC15A1 ELMO3 DSC2 UGT2B15 CFTR AXIN2 FUT2 CDH17
CEBPA	0.607739226077392	0.969326125269807	0.608446725239039	0.977249008361461	6077	32	LEP ICAM1 MYC CYP3A4 IL10 CCL2 CXCR2 ID1 CSF3R IGF1 HAMP HSD17B11
CEBPB	0.0594940505949405	0.784372263926167	0.697268058750319	1.11817988371367	594	31	FASLG IRF4 SLC5A8 SAA2 F8 IL10 PTPN13 ADM GNLY OXTR CSRP1 DAPK1
