pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
APC	0.0292921922234963	0.456958198686542	0.93050740563862	1.31427456273047	280	5	SGK1 MYC
AR	0.454954504549545	0.9769677548568	0.641087178623429	1.00382992724227	4549	20	SERPINB5 WEE1 AKR1C3 UCN CDH1 NFKB1
ATF3	0.340248097571146	0.9769677548568	0.751133928989759	1.06092247100119	3263	5	ID1 MMP2
ATM	0.806292722155207	0.9769677548568	0.602319051108657	0.889890778136513	8020	9	PVR CFLAR PMAIP1
BCL6	0.817363472694539	0.9769677548568	0.595414896323588	0.905204743455427	8171	13	IRF4 CDKN2B CCND2 NFKB1 SUMO1 XBP1
BRCA1	0.44892849989986	0.9769677548568	0.670348258972401	1.00684270375099	4482	11	HMGA2 CXCL1 HNRNPA2B1 CDH3 IGF1
CREB5	0.92635777845965	0.9769677548568	0.551195260805513	0.789108855210777	9056	6	TNFRSF11B RDX STAT1 DGKG RASGRP3
CREM	0.739143546441496	0.9769677548568	0.619522409963566	0.915307723474335	7352	9	FASLG DUSP4 DUSP1 MC2R CCNA2 FOS
DDIT3	0.859067149175714	0.9769677548568	0.586449916739969	0.866445070573867	8545	9	CEBPA NOS3 ATF5 SIRT1 ATF2
DNMT1	0.646729345869174	0.9769677548568	0.6279400322587	0.954652460520932	6465	13	BMP2 MBD2 CDH1 RB1 GAD1 RELN CDKN2A
E2F1	0.392360763923608	0.9769677548568	0.663144311465957	1.01896253428208	3923	15	MDM2 SERPINE1 FHIT PNRC2 TLR3 WWOX BRCA1
E2F4	0.73502722323049	0.9769677548568	0.624321489024351	0.914559681731079	7289	8	RAD51 MCM10 BRCA1 TTK
EGR1	0.0916436534724353	0.697042350956663	0.84644000464695	1.21179072203097	895	6	WNT4 FAS MYB
EP300	0.0292921922234963	0.456958198686542	0.930579410628641	1.31437626458282	280	5	NR1H4 PCNA MYC
ESR1	0.0119047619047619	0.30952380952381	-0.726385260552729	-1.38764098279725	0	8	CTNNB1 CD24 TP53 BTG2 CDKN1A PTMA NQO1 CDKN1B
ETS1	0.303241947253206	0.9769677548568	0.762870300364186	1.07749924864176	2908	5	TBXAS1 MDM2 NDRG1
EZH2	0.706929307069293	0.9769677548568	0.607487692720478	0.948130429683808	7069	19	PIP5K1C MYC CDKN2B ADAMTS1 SATB1 CDH1 HOXB13
FOS	0.788700093818409	0.9769677548568	0.615944258195805	0.869976816628398	7565	5	MYC NFKB1 FOS
GATA3	0.698321692901074	0.9769677548568	0.644543944656191	0.910371809929021	6698	5	CXCL1 IL12RB2 CDH3 HSD17B1
HDAC1	0.751824817518248	0.9769677548568	0.592449307385292	0.94771650006559	7518	30	PCNA BRCA2 E2F1 BAMBI RECK MMP28 CDH1 CCND2 GAD1 EIF2AK1 TJP1 FOS
HDAC2	0.452595710563239	0.9769677548568	0.675057125693047	1.00541793105276	4515	10	TGFBR2 COL1A2 CDH1
HDAC3	0.716023321270607	0.9769677548568	0.624774706806566	0.923067681450126	7122	9	MYC GATA2 CDH1 GAS2 GRHL1
HDAC4	0.278246883795738	0.9769677548568	0.723639925123256	1.06913519483284	2767	9	MMP13 IL10 HOXB13 CDKN2A
HDAC7	0.96950663559923	0.9769677548568	0.51485245714152	0.746754399149702	9569	7	HIF1A AKAP12 MEF2C ESR1
HDAC9	0.947526537152013	0.9769677548568	0.549522088217627	0.825365468868478	9461	11	NFKB1 CFLAR ESR1 MYEF2
HES1	0.072414851181344	0.697042350956663	0.863708133271727	1.23651233010651	707	6	E2F1 CD4
HIC1	0.0754184311353095	0.697042350956663	0.820147078832953	1.20142180683594	747	8	MYC E2F1 SIRT1
HIF1A	0.454736631283797	0.9769677548568	0.668957712687475	1.00475414550911	4540	11	RECK CDH1 HIF1A SLC29A1
HIPK2	0.657562806212864	0.9769677548568	0.656327071674959	0.92701462654321	6307	5	NOX1 HIF1A MEF2C
HOXA10	0.349186867137159	0.9769677548568	0.733828994850184	1.05057318018383	3413	6	IL11 PHGDH KLF9
ING4	0.76462003544251	0.9769677548568	0.624504091986033	0.882066964158149	7334	5	SKP2 ANGPT1 SPP1
IRF1	0.633593906594508	0.9769677548568	0.63920616770716	0.952022159595012	6321	10	E2F1 MYB FOXP3 CDK1
JUN	0.00340476667334268	0.210578942105789	0.907475401032191	1.36300046152634	33	11	DCN MYC RARA
KLF4	0.177141713370697	0.9769677548568	0.730228204862782	1.10393842559657	1769	12	LXN VDR SOD1 RARA
MECP2	0.97373084540811	0.9769677548568	0.502348145382102	0.709530504657729	9340	5	GAD1 RELN ESR1
MTA1	0.533394701851284	0.9769677548568	0.68353583455508	0.978571875079351	5214	6	RNF144A CDH1 ESR1
MYC	0.598838373723213	0.9769677548568	0.64200046913597	0.964265185301055	5979	11	CEBPA NDRG1 CD33 CFLAR
MYCN	0.591427999198879	0.9769677548568	0.643575379572209	0.96663065289281	5905	11	NGFR NDRG1 SKP2 GRHL1
NFKB1	0.298070192980702	0.9769677548568	0.641544805319503	1.03261411864032	2980	34	COL2A1 MYC COL1A2 FAS CTCF SERPINE1 NFKBIA TLR3 BHMT CFLAR BCL2L11 REPS2
NFKBIA	0.652736019242333	0.9769677548568	0.63540797473848	0.946365199360144	6512	10	ICAM1 FAS CD40 CD58 NFKB1 S100A6
NR0B1	0.228499947878662	0.9769677548568	0.792803958722105	1.11977838098491	2191	5	NR1H4 AMH ESRRG CYP17A1
NR1I2	0.654644011258209	0.9769677548568	0.657433500583894	0.928577377534412	6279	5	NOD2 CCL2 NOD1 NFKB1
